ID,Date,Element,Data_Value
AGM00060656,2011-06-28,TMAX,426
AGM00060656,2013-11-03,TMIN,178
AGM00060656,2010-04-27,TMIN,154
AGM00060656,2015-06-06,TMIN,264
AGM00060656,2014-01-19,TMAX,206
AGM00060656,2008-07-11,TMIN,290
AGM00060656,2008-07-11,TMAX,457
AGM00060656,2009-08-15,TMIN,226
AGM00060656,2009-06-26,TMIN,240
AGM00060656,2010-10-07,TMIN,165
AGM00060656,2014-04-23,TMIN,144
AGM00060656,2012-08-05,TMIN,305
AGM00060656,2012-12-17,TMAX,251
AGM00060656,2013-02-14,TMAX,250
AGM00060656,2009-06-03,TMAX,382
AGM00060656,2011-06-20,TMAX,440
AGM00060656,2006-11-21,TMAX,302
AGM00060656,2014-01-19,TMIN,85
AGM00060656,2009-04-07,TMIN,175
AGM00060656,2006-10-08,TMAX,360
AGM00060656,2012-12-17,TMIN,66
AGM00060656,2009-06-03,TMIN,223
AGM00060656,2010-10-07,TMAX,316
AGM00060656,2010-12-10,TMIN,140
AGM00060656,2006-08-19,TMIN,180
AGM00060656,2012-09-27,TMIN,184
AGM00060656,2007-11-22,TMAX,248
AGM00060656,2006-04-10,TMIN,223
AGM00060656,2007-09-19,TMIN,240
AGM00060656,2005-02-12,TMIN,80
AGM00060656,2007-02-05,TMAX,245
AGM00060656,2015-07-12,TMAX,431
AGM00060656,2006-04-10,TMAX,353
AGM00060656,2015-10-29,TMIN,155
AGM00060656,2006-08-18,TMAX,354
AGM00060656,2010-11-05,TMAX,253
AGM00060656,2013-02-28,TMAX,226
AGM00060656,2007-05-08,TMIN,168
AGM00060656,2015-08-07,TMIN,254
AGM00060656,2010-04-05,TMAX,345
AGM00060656,2015-07-19,TMIN,295
AGM00060656,2007-05-21,TMAX,290
AGM00060656,2013-02-28,TMIN,98
AGM00060656,2008-09-02,TMAX,420
AGM00060656,2013-06-23,TMIN,194
AGM00060656,2012-05-13,TMIN,210
AGM00060656,2007-09-15,TMIN,200
AGM00060656,2008-04-28,TMAX,366
AGM00060656,2008-01-19,TMAX,232
AGM00060656,2015-05-05,TMIN,184
AGM00060656,2005-02-07,TMIN,48
AGM00060656,2009-09-29,TMAX,306
AGM00060656,2015-10-29,TMAX,294
AGM00060656,2005-09-28,TMAX,366
AGM00060656,2005-07-04,TMIN,260
AGM00060656,2009-01-18,TMIN,50
AGM00060656,2005-02-07,TMAX,172
AGM00060656,2005-09-14,TMAX,342
AGM00060656,2015-07-22,TMAX,452
AGM00060656,2013-01-16,TMIN,30
AGM00060656,2015-05-12,TMAX,400
AGM00060656,2013-06-23,TMAX,436
AGM00060656,2012-05-13,TMAX,370
AGM00060656,2015-05-11,TMIN,242
AGM00060656,2013-11-03,TMAX,300
AGM00060656,2007-05-21,TMIN,151
AGM00060656,2015-09-07,TMAX,320
AGM00060656,2012-04-11,TMIN,150
AGM00060656,2007-06-19,TMIN,180
AGM00060656,2012-04-11,TMAX,205
AGM00060656,2007-07-19,TMIN,300
AGM00060656,2005-06-18,TMIN,238
AGM00060656,2007-07-19,TMAX,442
AGM00060656,2005-01-12,TMAX,186
AGM00060656,2006-06-01,TMAX,343
AGM00060656,2013-10-13,TMIN,160
AGM00060656,2005-05-27,TMIN,237
AGM00060656,2005-02-12,TMAX,174
AGM00060656,2015-12-03,TMIN,88
AGM00060656,2015-12-03,TMAX,224
