ID,Date,Element,Data_Value
TUM00017088,2006-03-16,TMAX,104
TUM00017088,2009-12-19,TMAX,64
TUM00017088,2012-12-02,TMIN,20
TUM00017088,2007-01-14,TMAX,24
TUM00017088,2010-10-31,TMAX,74
TUM00017088,2015-07-03,TMIN,155
TUM00017088,2007-03-06,TMIN,0
TUM00017088,2005-07-24,TMIN,136
TUM00017088,2006-02-11,TMAX,80
TUM00017088,2015-06-29,TMAX,256
TUM00017088,2011-12-15,TMAX,65
TUM00017088,2013-10-27,TMIN,22
TUM00017088,2008-04-30,TMAX,180
TUM00017088,2010-12-19,TMIN,15
TUM00017088,2007-01-14,TMIN,-20
TUM00017088,2009-12-11,TMAX,84
TUM00017088,2006-06-15,TMIN,126
TUM00017088,2008-11-23,TMAX,133
TUM00017088,2009-02-05,TMAX,90
TUM00017088,2009-02-05,TMIN,16
TUM00017088,2015-06-18,TMIN,104
TUM00017088,2015-07-21,TMAX,323
TUM00017088,2011-06-30,TMAX,210
TUM00017088,2015-07-21,TMIN,133
TUM00017088,2009-08-03,TMIN,118
TUM00017088,2005-09-08,TMIN,116
TUM00017088,2009-06-30,TMAX,310
TUM00017088,2008-12-02,TMIN,-20
TUM00017088,2006-02-11,TMIN,8
TUM00017088,2010-04-27,TMAX,162
TUM00017088,2015-06-29,TMIN,126
TUM00017088,2009-04-13,TMAX,152
TUM00017088,2015-06-18,TMAX,293
TUM00017088,2006-06-20,TMIN,118
TUM00017088,2008-09-08,TMAX,258
TUM00017088,2012-05-01,TMAX,248
TUM00017088,2006-05-13,TMAX,186
TUM00017088,2015-10-18,TMIN,56
TUM00017088,2006-09-07,TMIN,80
TUM00017088,2013-01-15,TMIN,-128
TUM00017088,2006-02-28,TMIN,5
TUM00017088,2014-01-03,TMIN,-63
TUM00017088,2015-04-15,TMIN,-8
TUM00017088,2015-10-18,TMAX,231
TUM00017088,2012-10-14,TMIN,60
TUM00017088,2011-10-28,TMAX,164
TUM00017088,2013-11-10,TMIN,31
TUM00017088,2013-02-04,TMIN,-46
TUM00017088,2006-04-04,TMIN,12
TUM00017088,2006-07-06,TMAX,214
TUM00017088,2009-11-01,TMIN,40
TUM00017088,2006-09-30,TMAX,254
TUM00017088,2006-12-23,TMIN,-98
TUM00017088,2015-04-03,TMAX,128
TUM00017088,2012-06-23,TMIN,157
TUM00017088,2009-01-17,TMAX,82
TUM00017088,2006-05-01,TMAX,164
TUM00017088,2008-01-12,TMIN,-180
TUM00017088,2011-10-28,TMIN,20
TUM00017088,2013-08-18,TMIN,137
TUM00017088,2010-01-19,TMIN,60
TUM00017088,2015-04-15,TMAX,153
TUM00017088,2012-06-23,TMAX,282
TUM00017088,2013-03-23,TMAX,65
TUM00017088,2011-06-14,TMIN,122
TUM00017088,2009-02-03,TMIN,-24
TUM00017088,2006-11-06,TMAX,24
TUM00017088,2008-01-12,TMAX,-68
TUM00017088,2010-09-09,TMAX,264
TUM00017088,2013-01-15,TMAX,-38
TUM00017088,2008-03-15,TMAX,44
TUM00017088,2006-09-07,TMAX,220
TUM00017088,2008-12-31,TMAX,-52
TUM00017088,2005-09-05,TMAX,168
TUM00017088,2009-02-08,TMIN,20
TUM00017088,2013-02-04,TMAX,86
TUM00017088,2011-12-19,TMAX,104
TUM00017088,2010-09-21,TMIN,106
TUM00017088,2014-05-15,TMIN,105
TUM00017088,2007-07-30,TMAX,360
TUM00017088,2005-05-31,TMAX,240
TUM00017088,2006-11-01,TMAX,186
TUM00017088,2006-04-04,TMAX,124
TUM00017088,2013-09-28,TMIN,77
TUM00017088,2006-05-13,TMIN,86
TUM00017088,2011-01-29,TMAX,14
