ID,Date,Element,Data_Value
MXM00076556,2005-07-30,TMAX,334
MXM00076556,2009-09-21,TMIN,190
MXM00076556,2012-10-21,TMIN,178
MXM00076556,2010-01-26,TMAX,250
MXM00076556,2007-12-24,TMAX,288
MXM00076556,2009-09-18,TMAX,344
MXM00076556,2006-01-28,TMIN,136
MXM00076556,2009-09-18,TMIN,200
MXM00076556,2007-12-24,TMIN,130
MXM00076556,2006-08-31,TMIN,210
MXM00076556,2006-09-29,TMIN,190
MXM00076556,2009-10-03,TMIN,198
MXM00076556,2007-09-28,TMAX,298
MXM00076556,2007-09-28,TMIN,214
MXM00076556,2007-09-14,TMAX,290
MXM00076556,2006-10-22,TMAX,296
MXM00076556,2007-07-29,TMIN,200
MXM00076556,2007-08-02,TMAX,310
MXM00076556,2009-10-03,TMAX,308
MXM00076556,2015-08-06,TMAX,320
MXM00076556,2007-11-07,TMIN,154
MXM00076556,2005-09-28,TMAX,330
MXM00076556,2015-08-06,TMIN,200
MXM00076556,2007-09-14,TMIN,190
MXM00076556,2007-08-02,TMIN,185
MXM00076556,2006-08-31,TMAX,332
MXM00076556,2012-09-04,TMIN,190
MXM00076556,2007-07-03,TMAX,326
MXM00076556,2012-09-02,TMIN,196
MXM00076556,2015-07-23,TMAX,300
MXM00076556,2005-09-15,TMIN,210
MXM00076556,2015-09-11,TMAX,304
MXM00076556,2014-11-04,TMAX,292
MXM00076556,2006-12-08,TMAX,278
MXM00076556,2009-07-22,TMIN,195
MXM00076556,2005-10-19,TMIN,200
MXM00076556,2015-07-23,TMIN,192
MXM00076556,2010-02-08,TMIN,90
MXM00076556,2005-10-19,TMAX,302
MXM00076556,2007-01-20,TMIN,132
MXM00076556,2007-10-19,TMAX,290
MXM00076556,2012-09-04,TMAX,306
MXM00076556,2012-09-02,TMAX,310
MXM00076556,2010-07-28,TMAX,295
MXM00076556,2013-06-29,TMIN,205
MXM00076556,2005-09-15,TMAX,310
MXM00076556,2014-11-04,TMIN,176
MXM00076556,2006-09-20,TMAX,296
MXM00076556,2006-12-08,TMIN,140
MXM00076556,2013-06-29,TMAX,302
MXM00076556,2005-07-30,TMIN,192
MXM00076556,2012-05-21,TMIN,164
MXM00076556,2010-07-28,TMIN,210
MXM00076556,2005-09-22,TMAX,330
MXM00076556,2006-11-21,TMIN,146
MXM00076556,2009-07-22,TMAX,312
MXM00076556,2012-05-21,TMAX,336
MXM00076556,2006-09-20,TMIN,182
MXM00076556,2010-02-08,TMAX,244
MXM00076556,2014-05-07,TMIN,170
MXM00076556,2007-07-03,TMIN,200
MXM00076556,2007-07-22,TMAX,306
MXM00076556,2005-11-11,TMIN,150
MXM00076556,2007-08-10,TMIN,180
MXM00076556,2006-01-23,TMIN,70
MXM00076556,2014-08-25,TMIN,190
MXM00076556,2014-08-25,TMAX,294
MXM00076556,2014-07-04,TMIN,198
MXM00076556,2006-07-18,TMIN,210
MXM00076556,2006-07-18,TMAX,325
MXM00076556,2006-01-23,TMAX,302
MXM00076556,2006-11-15,TMIN,148
MXM00076556,2010-08-07,TMIN,210
MXM00076556,2010-08-07,TMAX,314
MXM00076556,2007-10-18,TMIN,150
MXM00076556,2011-06-21,TMIN,207
MXM00076556,2007-02-02,TMAX,238
MXM00076556,2007-02-02,TMIN,90
MXM00076556,2015-11-03,TMIN,152
MXM00076556,2010-05-27,TMAX,322
MXM00076556,2011-10-30,TMAX,290
MXM00076556,2011-10-30,TMIN,165
MXM00076556,2007-08-10,TMAX,315
MXM00076556,2014-11-11,TMIN,178
MXM00076556,2013-11-07,TMAX,276
MXM00076556,2007-06-11,TMIN,190
MXM00076556,2007-06-11,TMAX,300
MXM00076556,2006-10-11,TMIN,180
MXM00076556,2013-07-26,TMAX,316
MXM00076556,2013-07-26,TMIN,189
MXM00076556,2014-12-09,TMIN,148
MXM00076556,2014-12-09,TMAX,316
MXM00076556,2007-10-08,TMAX,295
MXM00076556,2006-10-11,TMAX,302
MXM00076556,2007-10-18,TMAX,288
MXM00076556,2007-10-08,TMIN,172
MXM00076556,2007-09-13,TMIN,190
MXM00076556,2006-11-15,TMAX,295
MXM00076556,2007-06-13,TMAX,304
MXM00076556,2007-06-13,TMIN,180
MXM00076556,2010-05-27,TMIN,142
MXM00076556,2006-06-29,TMAX,344
MXM00076556,2011-08-11,TMAX,314
MXM00076556,2014-07-04,TMAX,280
MXM00076556,2014-01-01,TMAX,218
MXM00076556,2009-09-26,TMIN,200
MXM00076556,2011-06-21,TMAX,312
MXM00076556,2014-05-07,TMAX,332
MXM00076556,2005-01-24,TMAX,262
MXM00076556,2005-09-22,TMIN,215
MXM00076556,2015-06-12,TMAX,286
MXM00076556,2005-01-24,TMIN,134
MXM00076556,2009-09-10,TMAX,316
MXM00076556,2014-06-08,TMIN,202
MXM00076556,2010-07-27,TMAX,288
MXM00076556,2010-07-27,TMIN,190
MXM00076556,2014-06-08,TMAX,306
MXM00076556,2010-01-26,TMIN,120
MXM00076556,2009-09-21,TMAX,331
MXM00076556,2007-07-29,TMAX,305
MXM00076556,2006-10-22,TMIN,200
MXM00076556,2009-09-26,TMAX,340
MXM00076556,2005-11-11,TMAX,312
MXM00076556,2014-01-01,TMIN,149
MXM00076556,2009-07-23,TMIN,195
MXM00076556,2006-06-29,TMIN,195
MXM00076556,2015-11-03,TMAX,290
MXM00076556,2011-08-11,TMIN,200
MXM00076556,2009-07-28,TMAX,314
MXM00076556,2006-12-04,TMIN,132
