ID,Date,Element,Data_Value
FKM00088894,2014-07-31,TMIN,23
FKM00088894,2014-05-31,TMIN,27
FKM00088894,2014-08-26,TMIN,-8
FKM00088894,2014-07-29,TMAX,22
FKM00088894,2014-10-07,TMAX,69
FKM00088894,2014-10-07,TMIN,25
FKM00088894,2014-10-25,TMAX,91
FKM00088894,2014-07-01,TMIN,33
FKM00088894,2014-07-30,TMAX,40
FKM00088894,2014-07-31,TMAX,46
FKM00088894,2014-10-19,TMAX,74
FKM00088894,2014-10-27,TMIN,11
FKM00088894,2014-09-07,TMAX,37
FKM00088894,2014-09-07,TMIN,13
FKM00088894,2014-07-19,TMAX,27
FKM00088894,2014-09-23,TMAX,84
FKM00088894,2014-07-06,TMAX,43
FKM00088894,2014-09-21,TMAX,24
FKM00088894,2014-10-05,TMAX,63
FKM00088894,2014-10-08,TMAX,44
FKM00088894,2014-06-10,TMAX,59
FKM00088894,2014-09-17,TMAX,65
FKM00088894,2014-07-24,TMIN,-39
FKM00088894,2014-10-14,TMIN,-36
FKM00088894,2014-09-30,TMIN,-18
FKM00088894,2014-08-19,TMAX,14
FKM00088894,2014-08-28,TMIN,7
FKM00088894,2014-08-19,TMIN,-27
FKM00088894,2014-07-26,TMIN,-44
FKM00088894,2014-09-06,TMAX,37
FKM00088894,2014-06-10,TMIN,1
FKM00088894,2014-07-05,TMIN,-1
FKM00088894,2014-08-26,TMAX,32
FKM00088894,2014-06-14,TMAX,39
FKM00088894,2014-07-29,TMIN,-8
FKM00088894,2014-06-18,TMIN,6
FKM00088894,2014-09-15,TMAX,61
FKM00088894,2014-06-27,TMIN,17
FKM00088894,2014-06-15,TMIN,5
FKM00088894,2014-10-17,TMAX,53
FKM00088894,2014-06-29,TMIN,41
FKM00088894,2014-10-02,TMIN,4
FKM00088894,2014-06-29,TMAX,85
FKM00088894,2014-08-21,TMAX,12
FKM00088894,2014-05-30,TMIN,24
FKM00088894,2014-05-18,TMAX,28
FKM00088894,2014-08-28,TMAX,39
FKM00088894,2014-05-30,TMAX,52
FKM00088894,2014-09-16,TMAX,59
FKM00088894,2014-06-23,TMAX,34
FKM00088894,2014-08-18,TMAX,34
FKM00088894,2014-07-02,TMIN,24
FKM00088894,2014-05-21,TMAX,22
FKM00088894,2014-05-21,TMIN,-11
FKM00088894,2014-07-02,TMAX,53
FKM00088894,2014-10-22,TMAX,51
FKM00088894,2014-05-15,TMAX,10
FKM00088894,2014-08-21,TMIN,-4
FKM00088894,2014-09-10,TMAX,24
FKM00088894,2014-09-16,TMIN,30
FKM00088894,2014-06-23,TMIN,16
FKM00088894,2014-08-12,TMAX,14
FKM00088894,2014-08-01,TMAX,37
FKM00088894,2014-10-12,TMIN,-24
FKM00088894,2014-10-19,TMIN,7
FKM00088894,2014-11-01,TMIN,-23
FKM00088894,2014-11-01,TMAX,42
FKM00088894,2014-08-15,TMIN,2
FKM00088894,2014-06-17,TMAX,21
FKM00088894,2014-06-20,TMAX,76
FKM00088894,2014-09-20,TMAX,39
FKM00088894,2014-09-20,TMIN,-10
FKM00088894,2014-10-02,TMAX,70
FKM00088894,2014-10-01,TMAX,37
FKM00088894,2014-06-14,TMIN,4
FKM00088894,2014-08-10,TMAX,24
FKM00088894,2014-08-03,TMAX,31
FKM00088894,2014-10-21,TMAX,59
FKM00088894,2014-10-24,TMAX,64
FKM00088894,2014-10-24,TMIN,19
FKM00088894,2014-06-17,TMIN,-9
FKM00088894,2014-09-24,TMAX,63
FKM00088894,2014-06-18,TMAX,28
FKM00088894,2014-08-12,TMIN,-14
FKM00088894,2014-06-01,TMAX,59
FKM00088894,2014-06-15,TMAX,36
FKM00088894,2014-06-27,TMAX,67
FKM00088894,2014-10-21,TMIN,28
FKM00088894,2014-09-14,TMAX,73
FKM00088894,2014-06-01,TMIN,25
FKM00088894,2014-06-24,TMAX,33
