ID,Date,Element,Data_Value
CA002203095,2011-11-27,TMAX,-211
CA002203095,2012-04-23,TMIN,-166
CA002203095,2014-12-11,TMAX,-265
CA002203095,2011-09-21,TMIN,16
CA002203095,2009-05-17,TMAX,22
CA002203095,2012-06-26,TMAX,85
CA002203095,2008-05-29,TMIN,-16
CA002203095,2012-05-25,TMIN,-34
CA002203095,2009-08-13,TMIN,71
CA002203095,2014-07-07,TMAX,93
CA002203095,2014-07-27,TMAX,73
CA002203095,2010-02-15,TMAX,-154
CA002203095,2012-07-12,TMAX,161
CA002203095,2008-05-29,TMAX,7
CA002203095,2012-02-10,TMAX,-122
CA002203095,2009-11-08,TMAX,-98
CA002203095,2009-09-28,TMAX,-2
CA002203095,2012-01-22,TMAX,-327
CA002203095,2014-08-07,TMAX,100
CA002203095,2009-08-13,TMAX,130
CA002203095,2014-07-07,TMIN,48
CA002203095,2013-10-07,TMAX,4
CA002203095,2009-06-01,TMAX,29
CA002203095,2013-10-07,TMIN,-18
CA002203095,2012-02-07,TMAX,-205
CA002203095,2012-02-07,TMIN,-229
CA002203095,2008-01-11,TMAX,-238
CA002203095,2009-12-29,TMAX,-267
CA002203095,2012-02-10,TMIN,-176
CA002203095,2009-03-19,TMAX,-271
CA002203095,2006-07-03,TMIN,20
CA002203095,2014-10-18,TMIN,-43
CA002203095,2012-03-21,TMAX,-253
CA002203095,2014-10-18,TMAX,-19
CA002203095,2005-05-15,TMIN,-28
CA002203095,2012-07-20,TMIN,121
CA002203095,2014-12-11,TMIN,-282
CA002203095,2012-07-12,TMIN,55
CA002203095,2009-11-08,TMIN,-128
CA002203095,2008-01-11,TMIN,-291
CA002203095,2012-08-27,TMAX,120
CA002203095,2011-11-27,TMIN,-245
CA002203095,2013-06-21,TMIN,38
CA002203095,2009-09-28,TMIN,-40
CA002203095,2015-01-31,TMIN,-199
CA002203095,2008-09-22,TMIN,17
CA002203095,2005-04-22,TMIN,-181
CA002203095,2008-09-22,TMAX,31
CA002203095,2010-02-26,TMAX,-254
CA002203095,2008-11-12,TMAX,-74
CA002203095,2008-11-12,TMIN,-106
CA002203095,2014-05-08,TMIN,-31
CA002203095,2006-04-11,TMAX,-170
CA002203095,2006-04-11,TMIN,-228
CA002203095,2009-06-01,TMIN,-3
CA002203095,2005-07-02,TMIN,34
CA002203095,2011-10-15,TMIN,-23
CA002203095,2012-07-10,TMIN,34
CA002203095,2014-06-03,TMIN,-58
CA002203095,2013-06-22,TMAX,47
CA002203095,2011-10-12,TMIN,-24
CA002203095,2009-02-17,TMAX,-158
CA002203095,2006-08-31,TMIN,35
CA002203095,2014-05-08,TMAX,-7
CA002203095,2012-08-27,TMIN,90
CA002203095,2010-02-26,TMIN,-339
CA002203095,2005-05-31,TMAX,5
CA002203095,2006-08-31,TMAX,60
CA002203095,2012-11-29,TMAX,-126
CA002203095,2005-05-31,TMIN,-19
CA002203095,2011-10-15,TMAX,-13
CA002203095,2013-06-21,TMAX,199
CA002203095,2012-03-21,TMIN,-295
CA002203095,2005-07-02,TMAX,83
CA002203095,2011-10-12,TMAX,-6
CA002203095,2012-11-29,TMIN,-157
CA002203095,2013-06-22,TMIN,12
CA002203095,2014-06-03,TMAX,-14
CA002203095,2011-01-04,TMAX,-145
CA002203095,2014-06-11,TMAX,47
CA002203095,2009-12-29,TMIN,-284
CA002203095,2005-12-21,TMAX,-162
CA002203095,2008-04-14,TMIN,-236
CA002203095,2012-07-10,TMAX,58
CA002203095,2011-09-21,TMAX,31
CA002203095,2011-11-18,TMIN,-229
CA002203095,2005-04-22,TMAX,19
CA002203095,2012-05-25,TMAX,-1
CA002203095,2009-05-17,TMIN,-126
CA002203095,2014-07-27,TMIN,46
CA002203095,2005-05-15,TMAX,9
CA002203095,2014-08-07,TMIN,62
CA002203095,2012-07-20,TMAX,177
CA002203095,2012-04-23,TMAX,-111
CA002203095,2006-07-04,TMAX,48
CA002203095,2010-02-15,TMIN,-218
CA002203095,2005-12-21,TMIN,-225
CA002203095,2014-08-16,TMAX,88
CA002203095,2007-10-16,TMAX,-20
CA002203095,2006-07-28,TMIN,58
CA002203095,2006-07-28,TMAX,161
CA002203095,2013-06-25,TMAX,34
CA002203095,2013-06-25,TMIN,-3
CA002203095,2014-06-11,TMIN,6
CA002203095,2015-01-31,TMAX,-100
CA002203095,2012-06-26,TMIN,29
CA002203095,2011-11-18,TMAX,-177
CA002203095,2015-01-17,TMIN,-246
CA002203095,2011-01-04,TMIN,-203
CA002203095,2006-07-04,TMIN,10
CA002203095,2014-08-16,TMIN,55
CA002203095,2014-12-03,TMIN,-250
CA002203095,2012-01-22,TMIN,-357
CA002203095,2006-09-13,TMIN,-4
CA002203095,2008-04-14,TMAX,-139
CA002203095,2014-12-03,TMAX,-196
CA002203095,2006-09-13,TMAX,89
CA002203095,2007-10-14,TMAX,-30
CA002203095,2015-01-17,TMAX,-208
CA002203095,2005-07-13,TMAX,94
CA002203095,2015-02-15,TMIN,-324
CA002203095,2006-04-19,TMAX,-164
CA002203095,2006-04-19,TMIN,-219
CA002203095,2011-11-16,TMAX,-181
CA002203095,2014-06-07,TMAX,35
CA002203095,2014-12-16,TMIN,-193
CA002203095,2011-11-16,TMIN,-275
CA002203095,2014-12-16,TMAX,-180
CA002203095,2015-02-02,TMIN,-275
CA002203095,2014-06-07,TMIN,-29
CA002203095,2015-02-02,TMAX,-147
CA002203095,2011-09-14,TMIN,30
CA002203095,2008-04-26,TMAX,-47
CA002203095,2008-04-26,TMIN,-105
CA002203095,2010-10-19,TMAX,-71
CA002203095,2010-10-19,TMIN,-83
CA002203095,2005-07-13,TMIN,51
CA002203095,2012-04-22,TMIN,-173
CA002203095,2012-04-22,TMAX,-104
CA002203095,2007-12-10,TMIN,-255
CA002203095,2010-07-26,TMIN,116
CA002203095,2007-12-10,TMAX,-236
CA002203095,2010-07-26,TMAX,170
CA002203095,2008-07-21,TMAX,81
CA002203095,2008-02-02,TMIN,-360
CA002203095,2009-01-05,TMAX,-220
CA002203095,2012-01-16,TMIN,-279
CA002203095,2010-11-16,TMAX,-86
CA002203095,2010-11-16,TMIN,-130
CA002203095,2009-07-02,TMIN,-4
CA002203095,2009-01-05,TMIN,-275
CA002203095,2012-04-21,TMAX,-103
CA002203095,2015-02-15,TMAX,-289
CA002203095,2012-04-21,TMIN,-165
CA002203095,2012-01-16,TMAX,-212
CA002203095,2008-10-12,TMIN,-22
CA002203095,2011-09-14,TMAX,47
CA002203095,2005-09-21,TMAX,10
CA002203095,2007-11-19,TMAX,-162
CA002203095,2005-03-21,TMIN,-246
CA002203095,2005-09-21,TMIN,-5
CA002203095,2006-01-05,TMIN,-310
CA002203095,2009-07-02,TMAX,29
CA002203095,2006-01-05,TMAX,-205
CA002203095,2005-03-21,TMAX,-189
CA002203095,2008-07-21,TMIN,55
CA002203095,2010-08-13,TMIN,79
CA002203095,2012-10-16,TMAX,-2
CA002203095,2008-11-17,TMIN,-144
CA002203095,2011-03-27,TMAX,-110
CA002203095,2012-03-26,TMIN,-311
CA002203095,2014-05-06,TMAX,0
CA002203095,2014-12-04,TMIN,-245
CA002203095,2014-05-06,TMIN,-28
CA002203095,2010-06-08,TMAX,47
CA002203095,2012-04-06,TMIN,-230
CA002203095,2006-02-11,TMIN,-222
CA002203095,2010-01-06,TMIN,-217
CA002203095,2010-01-06,TMAX,-182
CA002203095,2006-02-11,TMAX,-160
CA002203095,2012-04-06,TMAX,-91
CA002203095,2006-10-10,TMIN,-41
CA002203095,2014-08-18,TMAX,105
CA002203095,2012-03-26,TMAX,-217
CA002203095,2007-10-10,TMAX,-34
CA002203095,2014-12-09,TMAX,-231
CA002203095,2006-09-20,TMIN,25
CA002203095,2012-11-10,TMIN,-83
CA002203095,2012-11-10,TMAX,-34
CA002203095,2007-10-10,TMIN,-82
CA002203095,2011-03-27,TMIN,-204
CA002203095,2010-06-08,TMIN,-11
CA002203095,2014-12-04,TMAX,-156
CA002203095,2013-05-30,TMIN,-11
CA002203095,2010-08-13,TMAX,114
CA002203095,2006-08-11,TMIN,118
CA002203095,2006-08-11,TMAX,179
CA002203095,2011-02-21,TMAX,-184
CA002203095,2008-11-17,TMAX,-77
CA002203095,2009-07-24,TMIN,20
CA002203095,2009-07-24,TMAX,49
CA002203095,2011-02-21,TMIN,-280
CA002203095,2009-04-05,TMIN,-244
CA002203095,2011-09-09,TMAX,75
CA002203095,2008-02-02,TMAX,-290
CA002203095,2008-04-19,TMAX,-41
CA002203095,2011-09-09,TMIN,19
CA002203095,2009-05-21,TMIN,-61
CA002203095,2006-09-20,TMAX,84
CA002203095,2014-12-10,TMIN,-290
CA002203095,2014-12-10,TMAX,-276
CA002203095,2012-10-16,TMIN,-19
CA002203095,2009-05-21,TMAX,24
CA002203095,2013-05-30,TMAX,18
CA002203095,2009-04-05,TMAX,-171
CA002203095,2008-10-12,TMAX,-5
CA002203095,2008-04-19,TMIN,-175
CA002203095,2014-01-30,TMAX,-63
CA002203095,2006-11-06,TMAX,-49
CA002203095,2012-02-09,TMAX,-118
CA002203095,2008-01-06,TMIN,-247
CA002203095,2012-06-15,TMIN,-6
CA002203095,2012-06-16,TMAX,162
CA002203095,2012-06-15,TMAX,83
CA002203095,2012-06-16,TMIN,44
CA002203095,2005-11-27,TMIN,-254
CA002203095,2005-11-27,TMAX,-143
CA002203095,2011-01-21,TMAX,-288
CA002203095,2009-06-04,TMIN,15
CA002203095,2007-08-14,TMIN,83
CA002203095,2007-08-05,TMAX,83
CA002203095,2007-08-05,TMIN,45
CA002203095,2007-08-14,TMAX,124
CA002203095,2009-06-04,TMAX,61
CA002203095,2006-04-06,TMIN,-268
CA002203095,2006-04-06,TMAX,-181
CA002203095,2011-10-29,TMAX,-101
CA002203095,2008-07-17,TMAX,135
CA002203095,2008-07-17,TMIN,39
CA002203095,2013-09-22,TMIN,-3
CA002203095,2011-10-29,TMIN,-120
CA002203095,2013-09-25,TMAX,54
CA002203095,2012-11-03,TMIN,-98
CA002203095,2009-02-21,TMAX,-232
CA002203095,2009-02-21,TMIN,-272
CA002203095,2014-09-16,TMAX,63
CA002203095,2009-05-09,TMAX,-51
CA002203095,2015-02-06,TMIN,-331
CA002203095,2014-08-04,TMAX,57
CA002203095,2010-12-15,TMAX,-190
CA002203095,2010-06-18,TMAX,31
CA002203095,2010-12-15,TMIN,-259
CA002203095,2015-02-06,TMAX,-271
CA002203095,2014-09-16,TMIN,40
CA002203095,2011-11-08,TMAX,-96
CA002203095,2006-01-23,TMAX,-206
CA002203095,2011-11-08,TMIN,-137
CA002203095,2008-11-02,TMAX,-84
CA002203095,2008-11-02,TMIN,-167
CA002203095,2006-01-23,TMIN,-243
CA002203095,2012-01-14,TMAX,-238
CA002203095,2010-06-18,TMIN,2
CA002203095,2013-09-25,TMIN,-9
CA002203095,2012-08-17,TMIN,116
CA002203095,2014-08-04,TMIN,29
CA002203095,2012-08-17,TMAX,188
CA002203095,2012-01-14,TMIN,-275
CA002203095,2012-11-03,TMAX,-68
CA002203095,2013-09-22,TMAX,21
CA002203095,2011-02-14,TMIN,-307
CA002203095,2011-11-29,TMAX,-265
CA002203095,2012-04-09,TMAX,-83
CA002203095,2012-04-09,TMIN,-179
CA002203095,2006-10-10,TMAX,10
CA002203095,2011-04-03,TMIN,-245
CA002203095,2010-12-04,TMAX,-187
CA002203095,2010-12-04,TMIN,-293
CA002203095,2011-09-27,TMAX,11
CA002203095,2012-01-28,TMAX,-314
CA002203095,2011-09-27,TMIN,-4
CA002203095,2014-08-19,TMIN,40
CA002203095,2013-04-25,TMAX,-133
CA002203095,2013-04-25,TMIN,-170
CA002203095,2011-01-21,TMIN,-366
CA002203095,2014-08-19,TMAX,75
CA002203095,2006-11-06,TMIN,-121
CA002203095,2012-01-28,TMIN,-379
CA002203095,2007-09-12,TMIN,42
CA002203095,2009-03-05,TMIN,-300
CA002203095,2009-03-05,TMAX,-214
CA002203095,2007-09-12,TMAX,77
CA002203095,2011-11-29,TMIN,-294
CA002203095,2007-11-21,TMIN,-185
CA002203095,2011-04-03,TMAX,-159
CA002203095,2012-02-21,TMIN,-232
CA002203095,2005-09-23,TMAX,24
CA002203095,2011-12-07,TMIN,-266
CA002203095,2005-12-17,TMAX,-132
CA002203095,2011-12-07,TMAX,-217
CA002203095,2005-12-17,TMIN,-175
CA002203095,2011-02-14,TMAX,-224
CA002203095,2007-11-21,TMAX,-127
CA002203095,2007-11-19,TMIN,-189
CA002203095,2005-10-06,TMAX,-24
CA002203095,2005-09-23,TMIN,-6
CA002203095,2012-02-09,TMIN,-150
CA002203095,2005-10-06,TMIN,-45
CA002203095,2008-05-06,TMIN,-99
CA002203095,2008-02-01,TMIN,-390
CA002203095,2012-02-21,TMAX,-172
CA002203095,2013-09-24,TMIN,-14
CA002203095,2009-11-07,TMAX,-103
CA002203095,2013-09-24,TMAX,31
CA002203095,2008-02-01,TMAX,-336
CA002203095,2012-07-11,TMIN,29
CA002203095,2009-11-07,TMIN,-126
CA002203095,2012-07-11,TMAX,67
CA002203095,2008-05-06,TMAX,-56
CA002203095,2005-06-09,TMAX,150
CA002203095,2014-01-30,TMIN,-209
CA002203095,2012-09-24,TMAX,109
CA002203095,2009-02-17,TMIN,-229
CA002203095,2013-11-07,TMIN,-160
CA002203095,2014-09-11,TMAX,31
CA002203095,2015-02-07,TMIN,-332
CA002203095,2014-11-18,TMAX,-92
CA002203095,2014-11-18,TMIN,-154
CA002203095,2006-03-07,TMAX,-208
CA002203095,2009-04-06,TMIN,-265
CA002203095,2014-04-28,TMAX,-107
CA002203095,2009-01-24,TMAX,-153
CA002203095,2009-01-24,TMIN,-261
CA002203095,2010-02-05,TMAX,-280
CA002203095,2010-02-05,TMIN,-338
CA002203095,2006-03-07,TMIN,-258
CA002203095,2008-03-08,TMAX,-206
CA002203095,2015-01-07,TMIN,-281
CA002203095,2009-03-24,TMAX,-227
CA002203095,2014-09-22,TMIN,2
CA002203095,2005-05-21,TMIN,-69
CA002203095,2005-09-20,TMIN,4
CA002203095,2009-12-02,TMAX,-87
CA002203095,2005-10-28,TMAX,-82
CA002203095,2009-12-02,TMIN,-130
CA002203095,2013-07-16,TMAX,88
CA002203095,2013-11-07,TMAX,-141
CA002203095,2013-09-26,TMAX,49
CA002203095,2008-08-12,TMAX,99
CA002203095,2008-09-14,TMAX,28
CA002203095,2010-03-28,TMIN,-216
CA002203095,2012-08-31,TMAX,123
CA002203095,2012-08-31,TMIN,59
CA002203095,2013-09-26,TMIN,0
CA002203095,2013-06-08,TMAX,87
CA002203095,2013-06-08,TMIN,-20
CA002203095,2015-02-07,TMAX,-239
CA002203095,2009-02-16,TMIN,-191
CA002203095,2007-11-24,TMIN,-221
CA002203095,2007-11-24,TMAX,-182
CA002203095,2008-04-29,TMIN,-74
CA002203095,2008-04-29,TMAX,-61
CA002203095,2008-08-12,TMIN,59
CA002203095,2014-04-28,TMIN,-183
CA002203095,2014-09-22,TMAX,28
CA002203095,2005-10-28,TMIN,-119
CA002203095,2012-11-13,TMIN,-139
CA002203095,2013-07-16,TMIN,43
CA002203095,2008-09-14,TMIN,-3
CA002203095,2009-04-06,TMAX,-152
CA002203095,2015-01-27,TMAX,-246
CA002203095,2015-01-27,TMIN,-273
CA002203095,2010-09-27,TMIN,-28
CA002203095,2010-05-10,TMIN,-125
CA002203095,2012-08-22,TMAX,150
CA002203095,2006-01-17,TMIN,-243
CA002203095,2006-01-17,TMAX,-206
CA002203095,2013-07-13,TMIN,28
CA002203095,2006-04-07,TMIN,-304
CA002203095,2013-07-13,TMAX,83
CA002203095,2009-03-22,TMIN,-294
CA002203095,2009-12-23,TMAX,-172
CA002203095,2009-12-23,TMIN,-204
CA002203095,2008-05-04,TMAX,-50
CA002203095,2005-11-13,TMIN,-225
CA002203095,2005-11-13,TMAX,-184
CA002203095,2008-05-04,TMIN,-66
CA002203095,2009-03-22,TMAX,-229
CA002203095,2014-12-17,TMIN,-183
CA002203095,2008-11-01,TMIN,-157
CA002203095,2014-12-17,TMAX,-157
CA002203095,2005-06-09,TMIN,33
CA002203095,2008-11-01,TMAX,-74
CA002203095,2007-11-18,TMIN,-201
CA002203095,2007-11-18,TMAX,-157
CA002203095,2008-03-08,TMIN,-244
CA002203095,2009-09-03,TMAX,97
CA002203095,2009-05-16,TMAX,-24
CA002203095,2009-05-16,TMIN,-87
CA002203095,2011-08-12,TMAX,111
CA002203095,2009-03-24,TMIN,-306
CA002203095,2005-09-20,TMAX,20
CA002203095,2005-05-21,TMAX,2
CA002203095,2007-09-01,TMAX,43
CA002203095,2011-08-12,TMIN,87
CA002203095,2015-01-07,TMAX,-223
CA002203095,2012-11-13,TMAX,-86
CA002203095,2008-06-20,TMAX,39
CA002203095,2012-08-22,TMIN,88
CA002203095,2006-04-07,TMAX,-205
CA002203095,2007-09-01,TMIN,13
CA002203095,2014-09-11,TMIN,13
CA002203095,2012-07-27,TMIN,109
CA002203095,2006-03-20,TMIN,-273
CA002203095,2006-03-20,TMAX,-194
CA002203095,2010-09-27,TMAX,7
CA002203095,2012-07-27,TMAX,161
CA002203095,2009-09-03,TMIN,42
CA002203095,2005-04-06,TMAX,-93
CA002203095,2005-04-06,TMIN,-253
CA002203095,2012-09-24,TMIN,44
CA002203095,2008-06-01,TMIN,-29
CA002203095,2008-06-20,TMIN,4
CA002203095,2008-08-22,TMIN,41
CA002203095,2011-09-12,TMAX,136
CA002203095,2005-05-22,TMIN,-17
CA002203095,2008-07-10,TMIN,65
CA002203095,2008-07-10,TMAX,97
CA002203095,2011-09-12,TMIN,66
CA002203095,2011-03-17,TMAX,-205
CA002203095,2012-01-19,TMAX,-178
CA002203095,2012-05-22,TMAX,7
CA002203095,2007-11-02,TMAX,-52
CA002203095,2011-01-08,TMIN,-237
CA002203095,2010-04-06,TMAX,-100
CA002203095,2007-11-02,TMIN,-100
CA002203095,2014-07-12,TMIN,84
CA002203095,2011-03-17,TMIN,-273
CA002203095,2007-09-13,TMIN,56
CA002203095,2005-10-03,TMIN,-61
CA002203095,2009-09-14,TMAX,40
CA002203095,2014-10-06,TMAX,9
CA002203095,2014-07-12,TMAX,170
CA002203095,2014-12-05,TMIN,-270
CA002203095,2008-08-22,TMAX,57
CA002203095,2014-12-05,TMAX,-229
CA002203095,2009-09-23,TMAX,24
CA002203095,2007-09-13,TMAX,88
CA002203095,2014-12-09,TMIN,-290
CA002203095,2014-08-18,TMIN,61
CA002203095,2013-04-14,TMAX,-156
CA002203095,2013-04-14,TMIN,-231
CA002203095,2011-10-14,TMAX,-13
CA002203095,2011-10-14,TMIN,-32
CA002203095,2005-05-22,TMAX,15
CA002203095,2012-05-22,TMIN,-39
CA002203095,2009-10-07,TMAX,-16
CA002203095,2005-08-06,TMIN,48
CA002203095,2005-08-06,TMAX,129
CA002203095,2011-01-13,TMAX,-175
CA002203095,2005-11-23,TMIN,-197
CA002203095,2005-11-23,TMAX,-135
CA002203095,2008-08-11,TMIN,31
CA002203095,2011-01-13,TMIN,-221
CA002203095,2009-09-23,TMIN,3
CA002203095,2006-02-04,TMIN,-317
CA002203095,2006-02-04,TMAX,-233
CA002203095,2006-02-01,TMAX,-315
CA002203095,2006-02-01,TMIN,-361
CA002203095,2009-10-07,TMIN,-46
CA002203095,2009-09-14,TMIN,4
CA002203095,2008-08-11,TMAX,71
CA002203095,2011-01-08,TMAX,-125
CA002203095,2013-05-12,TMIN,-40
CA002203095,2011-02-24,TMIN,-132
CA002203095,2010-05-10,TMAX,-107
CA002203095,2009-09-05,TMAX,171
CA002203095,2007-12-17,TMAX,-167
CA002203095,2011-03-06,TMAX,-113
CA002203095,2007-12-17,TMIN,-192
CA002203095,2012-01-19,TMIN,-213
CA002203095,2011-03-06,TMIN,-223
CA002203095,2013-10-18,TMIN,3
CA002203095,2013-10-03,TMIN,12
CA002203095,2010-09-25,TMIN,-19
CA002203095,2010-03-28,TMAX,-142
CA002203095,2013-10-18,TMAX,44
CA002203095,2006-06-10,TMIN,27
CA002203095,2013-03-18,TMAX,-233
CA002203095,2006-06-10,TMAX,184
CA002203095,2008-06-10,TMAX,45
CA002203095,2013-03-18,TMIN,-270
CA002203095,2010-09-25,TMAX,20
CA002203095,2008-06-10,TMIN,12
CA002203095,2013-05-12,TMAX,-16
CA002203095,2011-02-24,TMAX,-38
CA002203095,2014-01-11,TMIN,-277
CA002203095,2014-01-11,TMAX,-201
CA002203095,2005-10-03,TMAX,-39
CA002203095,2005-08-02,TMIN,34
CA002203095,2005-08-02,TMAX,144
CA002203095,2010-03-29,TMIN,-194
CA002203095,2012-07-18,TMIN,102
CA002203095,2012-07-18,TMAX,124
CA002203095,2014-12-15,TMAX,-159
CA002203095,2013-11-03,TMAX,-81
CA002203095,2013-11-03,TMIN,-109
CA002203095,2010-03-29,TMAX,-144
CA002203095,2008-06-01,TMAX,3
CA002203095,2014-12-15,TMIN,-187
CA002203095,2010-04-06,TMIN,-137
CA002203095,2014-01-27,TMAX,-148
CA002203095,2014-01-27,TMIN,-212
CA002203095,2014-06-20,TMAX,40
CA002203095,2014-06-20,TMIN,0
CA002203095,2012-06-21,TMIN,86
CA002203095,2010-05-23,TMAX,-16
CA002203095,2012-06-21,TMAX,247
CA002203095,2009-09-05,TMIN,44
CA002203095,2013-10-03,TMAX,27
CA002203095,2010-05-23,TMIN,-86
CA002203095,2014-10-06,TMIN,-13
CA002203095,2005-04-20,TMIN,-195
CA002203095,2009-03-19,TMIN,-310
CA002203095,2014-04-15,TMIN,-55
CA002203095,2014-08-02,TMIN,44
CA002203095,2008-04-13,TMIN,-190
CA002203095,2008-02-22,TMIN,-155
CA002203095,2008-04-13,TMAX,-109
CA002203095,2008-02-22,TMAX,-75
CA002203095,2014-11-12,TMAX,-49
CA002203095,2012-05-17,TMAX,-8
CA002203095,2014-11-12,TMIN,-96
CA002203095,2012-05-17,TMIN,-41
CA002203095,2005-05-11,TMAX,-74
CA002203095,2010-05-28,TMAX,122
CA002203095,2006-09-16,TMAX,129
CA002203095,2006-09-16,TMIN,52
CA002203095,2011-03-02,TMAX,-265
CA002203095,2011-03-02,TMIN,-320
CA002203095,2013-05-05,TMAX,-73
CA002203095,2005-04-13,TMAX,-140
CA002203095,2009-11-24,TMIN,-236
CA002203095,2012-10-31,TMIN,-84
CA002203095,2009-11-24,TMAX,-168
CA002203095,2014-10-12,TMIN,-35
CA002203095,2013-06-13,TMAX,101
CA002203095,2013-06-13,TMIN,5
CA002203095,2014-10-12,TMAX,-15
CA002203095,2014-04-15,TMAX,-2
CA002203095,2005-04-13,TMIN,-178
CA002203095,2005-09-25,TMAX,4
CA002203095,2014-08-02,TMAX,109
CA002203095,2013-10-10,TMIN,-12
CA002203095,2013-10-10,TMAX,7
CA002203095,2010-09-08,TMAX,116
CA002203095,2011-11-09,TMIN,-206
CA002203095,2009-07-30,TMAX,210
CA002203095,2010-09-08,TMIN,69
CA002203095,2006-04-27,TMAX,-111
CA002203095,2009-07-30,TMIN,110
CA002203095,2010-03-25,TMIN,-265
CA002203095,2006-07-15,TMIN,51
CA002203095,2006-07-15,TMAX,113
CA002203095,2005-08-21,TMIN,25
CA002203095,2005-08-21,TMAX,51
CA002203095,2011-11-09,TMAX,-125
CA002203095,2010-03-25,TMAX,-195
CA002203095,2009-02-02,TMIN,-336
CA002203095,2014-01-12,TMAX,-203
CA002203095,2014-01-12,TMIN,-289
CA002203095,2009-02-02,TMAX,-311
CA002203095,2009-06-18,TMIN,0
CA002203095,2006-06-23,TMAX,120
CA002203095,2006-06-23,TMIN,1
CA002203095,2009-02-11,TMAX,-295
