ID,Date,Element,Data_Value
GV000001809,2005-03-31,TMAX,332
GV000001809,2006-12-22,TMAX,305
GV000001809,2005-08-22,TMAX,266
GV000001809,2006-01-06,TMAX,304
GV000001809,2005-03-24,TMAX,335
GV000001809,2005-09-24,TMAX,272
GV000001809,2006-12-03,TMAX,289
GV000001809,2006-04-07,TMAX,300
GV000001809,2005-09-06,TMAX,248
GV000001809,2005-10-25,TMAX,287
GV000001809,2007-05-29,TMAX,315
GV000001809,2005-01-31,TMAX,308
GV000001809,2006-03-23,TMAX,347
GV000001809,2006-03-24,TMAX,335
GV000001809,2005-09-23,TMAX,268
GV000001809,2006-05-05,TMAX,347
GV000001809,2005-10-12,TMAX,270
GV000001809,2005-10-17,TMAX,292
GV000001809,2006-02-17,TMAX,295
GV000001809,2006-02-21,TMAX,320
GV000001809,2006-05-30,TMAX,300
GV000001809,2005-10-09,TMAX,253
GV000001809,2007-07-25,TMAX,269
GV000001809,2005-08-18,TMAX,250
GV000001809,2005-10-24,TMAX,284
GV000001809,2005-09-05,TMAX,255
GV000001809,2005-01-30,TMAX,305
GV000001809,2005-10-11,TMAX,279
GV000001809,2007-01-02,TMAX,265
GV000001809,2006-12-25,TMAX,305
GV000001809,2006-10-16,TMAX,290
GV000001809,2005-09-29,TMAX,250
GV000001809,2006-04-26,TMAX,317
GV000001809,2005-12-18,TMAX,308
GV000001809,2014-01-28,TMAX,334
GV000001809,2006-12-15,TMAX,295
GV000001809,2005-09-01,TMAX,262
GV000001809,2006-12-23,TMAX,306
GV000001809,2007-03-31,TMAX,346
GV000001809,2007-05-30,TMAX,327
GV000001809,2005-10-01,TMAX,282
GV000001809,2006-12-07,TMAX,285
GV000001809,2007-06-04,TMAX,315
GV000001809,2005-08-26,TMAX,287
GV000001809,2006-03-15,TMAX,335
GV000001809,2007-03-28,TMAX,337
GV000001809,2006-01-14,TMAX,300
GV000001809,2005-09-11,TMAX,289
GV000001809,2005-09-27,TMIN,175
GV000001809,2005-10-21,TMIN,176
GV000001809,2005-07-20,TMAX,255
GV000001809,2005-10-21,TMAX,297
GV000001809,2006-03-14,TMAX,330
GV000001809,2005-05-10,TMAX,263
GV000001809,2005-09-25,TMAX,270
GV000001809,2005-09-30,TMAX,270
GV000001809,2006-03-22,TMAX,345
GV000001809,2006-12-24,TMAX,344
GV000001809,2006-01-04,TMAX,298
GV000001809,2005-03-21,TMAX,325
GV000001809,2005-09-14,TMAX,269
GV000001809,2006-03-10,TMAX,298
GV000001809,2006-12-05,TMAX,270
GV000001809,2007-08-31,TMAX,267
GV000001809,2005-12-24,TMAX,294
GV000001809,2005-11-01,TMAX,285
GV000001809,2005-08-21,TMAX,263
GV000001809,2006-12-19,TMAX,300
GV000001809,2006-03-05,TMAX,335
GV000001809,2005-11-23,TMAX,299
GV000001809,2005-03-14,TMAX,320
GV000001809,2005-03-18,TMAX,335
GV000001809,2005-11-19,TMAX,292
GV000001809,2005-09-27,TMAX,246
GV000001809,2005-12-03,TMAX,294
GV000001809,2005-05-11,TMAX,335
GV000001809,2006-04-29,TMAX,295
GV000001809,2006-02-25,TMAX,325
GV000001809,2006-10-29,TMAX,285
GV000001809,2006-02-22,TMAX,325
GV000001809,2005-11-27,TMAX,293
GV000001809,2006-05-29,TMAX,297
GV000001809,2006-02-15,TMAX,310
GV000001809,2006-03-08,TMAX,320
GV000001809,2006-04-27,TMAX,307
GV000001809,2006-12-21,TMAX,297
GV000001809,2005-09-08,TMAX,255
GV000001809,2006-05-17,TMAX,344
GV000001809,2005-07-24,TMAX,279
GV000001809,2005-10-13,TMAX,293
GV000001809,2006-01-01,TMAX,294
GV000001809,2006-12-17,TMAX,305
GV000001809,2006-05-01,TMAX,315
GV000001809,2006-12-13,TMAX,295
GV000001809,2006-04-14,TMAX,340
GV000001809,2005-07-15,TMAX,250
GV000001809,2007-04-24,TMAX,346
GV000001809,2005-12-07,TMAX,312
GV000001809,2005-11-29,TMAX,304
GV000001809,2005-10-16,TMAX,287
GV000001809,2006-03-31,TMAX,325
GV000001809,2006-03-15,TMIN,133
GV000001809,2006-05-28,TMAX,280
GV000001809,2005-10-03,TMAX,283
GV000001809,2005-11-06,TMAX,290
GV000001809,2006-06-04,TMAX,290
GV000001809,2006-03-06,TMAX,342
GV000001809,2006-12-12,TMAX,300
GV000001809,2005-11-22,TMIN,160
GV000001809,2005-12-14,TMAX,301
GV000001809,2007-06-01,TMAX,310
GV000001809,2007-04-30,TMAX,359
GV000001809,2007-06-02,TMAX,305
GV000001809,2005-12-21,TMAX,285
GV000001809,2006-03-30,TMAX,300
GV000001809,2005-09-19,TMAX,291
GV000001809,2005-11-08,TMAX,295
GV000001809,2005-12-25,TMAX,280
GV000001809,2005-11-25,TMAX,313
GV000001809,2006-03-16,TMAX,330
GV000001809,2005-09-17,TMAX,280
GV000001809,2006-10-20,TMAX,285
GV000001809,2006-01-05,TMAX,303
GV000001809,2006-01-03,TMAX,296
GV000001809,2006-04-28,TMAX,294
GV000001809,2005-09-09,TMAX,295
GV000001809,2005-11-20,TMAX,298
GV000001809,2006-01-09,TMAX,304
GV000001809,2006-12-31,TMAX,277
GV000001809,2006-05-03,TMAX,315
GV000001809,2005-09-26,TMAX,229
GV000001809,2006-02-14,TMAX,322
