ID,Date,Element,Data_Value
ASN00013015,2005-11-27,TMAX,405
ASN00013015,2008-01-10,TMAX,440
ASN00013015,2014-04-25,TMIN,229
ASN00013015,2014-04-25,TMAX,320
ASN00013015,2015-11-12,TMIN,249
ASN00013015,2008-08-05,TMIN,43
ASN00013015,2012-02-12,TMAX,394
ASN00013015,2006-07-06,TMAX,223
ASN00013015,2014-10-26,TMAX,362
ASN00013015,2005-11-27,TMIN,195
ASN00013015,2012-10-28,TMAX,357
ASN00013015,2011-08-30,TMIN,134
ASN00013015,2010-08-01,TMIN,57
ASN00013015,2015-06-29,TMIN,33
ASN00013015,2011-02-18,TMIN,210
ASN00013015,2006-03-26,TMIN,200
ASN00013015,2012-02-15,TMIN,242
ASN00013015,2015-08-08,TMAX,269
ASN00013015,2009-08-22,TMAX,234
ASN00013015,2012-03-31,TMAX,382
ASN00013015,2009-12-11,TMAX,339
ASN00013015,2013-06-01,TMAX,166
ASN00013015,2011-12-16,TMIN,173
ASN00013015,2013-05-20,TMAX,190
ASN00013015,2015-06-04,TMIN,99
ASN00013015,2007-06-15,TMIN,20
ASN00013015,2012-09-27,TMIN,135
ASN00013015,2008-03-28,TMAX,300
ASN00013015,2011-02-18,TMAX,305
ASN00013015,2015-05-24,TMAX,165
ASN00013015,2007-04-08,TMAX,344
ASN00013015,2009-08-22,TMIN,117
ASN00013015,2009-07-02,TMIN,73
ASN00013015,2015-03-08,TMIN,204
ASN00013015,2009-04-26,TMIN,124
ASN00013015,2014-12-27,TMAX,336
ASN00013015,2010-08-05,TMIN,36
ASN00013015,2007-07-11,TMAX,224
ASN00013015,2015-05-21,TMIN,95
ASN00013015,2006-11-18,TMIN,209
ASN00013015,2014-09-01,TMAX,274
ASN00013015,2013-06-01,TMIN,84
ASN00013015,2013-01-07,TMIN,289
ASN00013015,2013-05-20,TMIN,140
ASN00013015,2011-01-28,TMAX,453
ASN00013015,2010-07-29,TMIN,63
ASN00013015,2014-10-15,TMIN,201
ASN00013015,2008-03-19,TMIN,215
ASN00013015,2015-04-30,TMAX,276
ASN00013015,2012-03-22,TMAX,275
ASN00013015,2009-09-21,TMAX,278
ASN00013015,2009-09-19,TMIN,119
ASN00013015,2005-07-16,TMAX,190
ASN00013015,2007-07-15,TMIN,69
ASN00013015,2006-11-15,TMIN,232
ASN00013015,2014-11-11,TMAX,359
ASN00013015,2007-07-05,TMIN,33
ASN00013015,2008-05-09,TMAX,295
ASN00013015,2005-11-02,TMIN,120
ASN00013015,2010-02-10,TMIN,216
ASN00013015,2008-04-28,TMIN,100
ASN00013015,2006-10-10,TMIN,163
ASN00013015,2009-09-21,TMIN,131
ASN00013015,2013-06-10,TMAX,264
ASN00013015,2013-11-22,TMAX,385
ASN00013015,2014-02-22,TMIN,180
ASN00013015,2014-11-04,TMIN,230
ASN00013015,2006-11-17,TMAX,394
ASN00013015,2007-02-03,TMIN,268
ASN00013015,2010-06-02,TMAX,223
ASN00013015,2015-02-01,TMAX,389
ASN00013015,2006-03-26,TMAX,320
ASN00013015,2010-09-02,TMIN,123
ASN00013015,2013-10-06,TMAX,380
ASN00013015,2014-06-30,TMIN,68
ASN00013015,2011-09-14,TMAX,307
ASN00013015,2011-01-20,TMIN,309
ASN00013015,2011-12-16,TMAX,328
ASN00013015,2012-02-15,TMAX,415
ASN00013015,2008-08-22,TMIN,62
ASN00013015,2009-02-24,TMAX,440
ASN00013015,2015-04-26,TMAX,234
ASN00013015,2012-08-18,TMAX,248
ASN00013015,2012-01-18,TMAX,317
