ID,Date,Element,Data_Value
GR000016754,2006-03-24,TMIN,110
GR000016754,2013-07-09,TMIN,218
GR000016754,2012-02-29,TMIN,36
GR000016754,2011-01-02,TMAX,160
GR000016754,2008-03-26,TMAX,192
GR000016754,2012-12-14,TMIN,110
GR000016754,2009-03-26,TMAX,162
GR000016754,2007-07-11,TMAX,316
GR000016754,2015-08-19,TMIN,218
GR000016754,2005-06-30,TMIN,198
GR000016754,2012-07-22,TMAX,298
GR000016754,2008-06-06,TMAX,272
GR000016754,2015-06-15,TMAX,310
GR000016754,2008-04-28,TMAX,176
GR000016754,2010-10-22,TMAX,240
GR000016754,2009-06-07,TMAX,298
GR000016754,2006-03-24,TMAX,182
GR000016754,2010-09-14,TMIN,220
GR000016754,2005-12-27,TMIN,112
GR000016754,2012-11-30,TMIN,184
GR000016754,2015-08-18,TMAX,302
GR000016754,2011-06-05,TMAX,260
GR000016754,2007-02-04,TMIN,56
GR000016754,2005-05-15,TMAX,232
GR000016754,2009-06-02,TMIN,190
GR000016754,2009-09-01,TMAX,286
GR000016754,2014-11-06,TMIN,156
GR000016754,2010-04-07,TMAX,190
GR000016754,2011-05-30,TMAX,234
GR000016754,2015-07-25,TMAX,292
GR000016754,2014-09-29,TMIN,200
GR000016754,2005-12-27,TMAX,166
GR000016754,2009-10-15,TMIN,150
GR000016754,2009-08-12,TMAX,286
GR000016754,2012-01-11,TMAX,102
GR000016754,2009-05-28,TMAX,234
GR000016754,2007-05-27,TMIN,156
GR000016754,2007-04-14,TMAX,200
GR000016754,2012-09-02,TMIN,198
GR000016754,2010-09-04,TMIN,190
GR000016754,2009-08-04,TMIN,206
GR000016754,2015-04-04,TMAX,172
GR000016754,2009-03-01,TMAX,150
GR000016754,2007-07-06,TMAX,294
GR000016754,2010-09-04,TMAX,286
GR000016754,2008-12-22,TMAX,132
GR000016754,2007-08-07,TMIN,198
GR000016754,2007-05-27,TMAX,240
GR000016754,2007-08-02,TMAX,290
GR000016754,2006-07-11,TMAX,256
GR000016754,2005-05-15,TMIN,140
GR000016754,2010-09-13,TMIN,208
GR000016754,2015-09-27,TMAX,264
GR000016754,2013-02-03,TMIN,144
GR000016754,2008-07-23,TMIN,244
GR000016754,2006-07-08,TMIN,174
GR000016754,2011-02-26,TMAX,142
GR000016754,2007-03-02,TMIN,100
GR000016754,2010-09-13,TMAX,270
GR000016754,2008-12-01,TMAX,214
GR000016754,2015-02-20,TMIN,80
GR000016754,2014-03-20,TMIN,116
GR000016754,2008-09-11,TMAX,276
GR000016754,2010-07-23,TMAX,306
GR000016754,2007-08-02,TMIN,224
GR000016754,2015-11-17,TMAX,204
GR000016754,2007-06-28,TMAX,384
GR000016754,2015-07-10,TMIN,200
GR000016754,2008-03-24,TMAX,264
GR000016754,2013-05-06,TMIN,176
GR000016754,2011-02-06,TMAX,154
GR000016754,2013-01-20,TMIN,122
GR000016754,2013-12-06,TMIN,108
GR000016754,2011-05-30,TMIN,160
GR000016754,2007-01-26,TMAX,212
GR000016754,2007-06-28,TMIN,276
GR000016754,2015-11-17,TMIN,164
GR000016754,2013-10-06,TMIN,146
GR000016754,2007-06-09,TMAX,242
GR000016754,2007-07-11,TMIN,200
GR000016754,2007-11-20,TMIN,108
GR000016754,2005-11-17,TMAX,245
GR000016754,2010-09-19,TMAX,300
GR000016754,2009-11-02,TMIN,116
GR000016754,2013-07-18,TMIN,238
GR000016754,2011-04-15,TMAX,180
GR000016754,2010-07-27,TMAX,303
GR000016754,2008-01-03,TMAX,142
GR000016754,2009-07-16,TMAX,292
GR000016754,2015-11-07,TMIN,136
GR000016754,2008-03-18,TMAX,192
GR000016754,2015-11-07,TMAX,194
GR000016754,2006-05-11,TMIN,154
GR000016754,2006-10-14,TMAX,210
GR000016754,2014-08-19,TMIN,248
GR000016754,2015-08-20,TMIN,210
GR000016754,2009-05-13,TMAX,240
GR000016754,2009-10-29,TMAX,216
GR000016754,2010-03-06,TMAX,202
GR000016754,2007-12-19,TMAX,135
GR000016754,2015-04-03,TMAX,182
GR000016754,2010-11-22,TMAX,220
GR000016754,2010-03-15,TMAX,146
GR000016754,2012-11-30,TMAX,224
GR000016754,2012-06-23,TMIN,206
GR000016754,2014-10-09,TMIN,198
GR000016754,2010-04-04,TMAX,194
GR000016754,2012-05-11,TMAX,230
GR000016754,2015-07-01,TMAX,262
GR000016754,2013-05-05,TMIN,160
GR000016754,2008-08-13,TMIN,216
GR000016754,2009-01-23,TMIN,110
GR000016754,2015-04-03,TMIN,96
GR000016754,2012-06-23,TMAX,290
GR000016754,2006-01-15,TMAX,120
GR000016754,2009-11-26,TMAX,197
GR000016754,2010-11-29,TMAX,272
GR000016754,2008-01-30,TMAX,110
GR000016754,2014-05-24,TMIN,155
GR000016754,2006-01-15,TMIN,68
GR000016754,2008-07-08,TMAX,316
GR000016754,2011-06-13,TMAX,252
GR000016754,2009-06-07,TMIN,178
GR000016754,2006-10-19,TMAX,184
GR000016754,2007-04-26,TMAX,196
GR000016754,2012-05-31,TMAX,232
GR000016754,2010-05-07,TMAX,250
GR000016754,2006-08-01,TMAX,304
GR000016754,2009-12-25,TMIN,144
GR000016754,2015-11-10,TMAX,220
GR000016754,2011-03-14,TMIN,80
GR000016754,2005-08-26,TMIN,200
GR000016754,2010-03-06,TMIN,108
GR000016754,2009-04-10,TMIN,98
GR000016754,2009-07-22,TMAX,292
GR000016754,2008-05-07,TMIN,138
GR000016754,2014-08-24,TMIN,228
GR000016754,2012-11-19,TMIN,138
GR000016754,2008-02-01,TMIN,86
GR000016754,2015-08-05,TMIN,220
GR000016754,2007-06-20,TMAX,306
GR000016754,2007-09-09,TMAX,252
GR000016754,2015-11-12,TMAX,214
GR000016754,2008-05-16,TMAX,216
GR000016754,2009-10-29,TMIN,188
GR000016754,2005-12-10,TMIN,120
GR000016754,2008-03-26,TMIN,100
GR000016754,2010-10-07,TMAX,244
GR000016754,2007-08-18,TMIN,212
GR000016754,2008-05-07,TMAX,206
GR000016754,2008-05-25,TMIN,144
GR000016754,2008-03-24,TMIN,120
GR000016754,2012-07-09,TMAX,312
GR000016754,2007-06-09,TMIN,166
GR000016754,2006-11-08,TMAX,186
GR000016754,2008-11-24,TMAX,214
GR000016754,2008-09-12,TMAX,278
GR000016754,2008-05-25,TMAX,246
GR000016754,2008-07-08,TMIN,244
GR000016754,2006-02-14,TMIN,42
GR000016754,2015-07-31,TMAX,332
GR000016754,2007-04-26,TMIN,130
GR000016754,2007-07-25,TMAX,362
GR000016754,2009-07-16,TMIN,250
GR000016754,2007-09-29,TMAX,278
GR000016754,2005-06-28,TMAX,288
GR000016754,2009-12-25,TMAX,204
GR000016754,2007-07-16,TMIN,232
GR000016754,2012-07-09,TMIN,268
GR000016754,2007-02-04,TMAX,130
GR000016754,2014-04-10,TMIN,130
GR000016754,2007-09-03,TMAX,290
GR000016754,2010-02-16,TMIN,80
GR000016754,2015-08-19,TMAX,290
GR000016754,2009-08-04,TMAX,295
GR000016754,2012-03-28,TMIN,88
GR000016754,2009-07-15,TMAX,290
GR000016754,2011-02-06,TMIN,90
GR000016754,2008-03-14,TMAX,184
GR000016754,2006-01-09,TMAX,104
GR000016754,2005-08-26,TMAX,284
GR000016754,2006-05-22,TMAX,280
GR000016754,2007-10-31,TMIN,178
GR000016754,2014-03-19,TMIN,98
GR000016754,2009-07-23,TMAX,282
GR000016754,2011-04-29,TMAX,180
GR000016754,2008-04-06,TMAX,184
GR000016754,2009-10-27,TMAX,228
GR000016754,2015-10-15,TMIN,170
GR000016754,2005-10-18,TMAX,234
GR000016754,2009-06-15,TMAX,260
GR000016754,2012-04-26,TMAX,214
GR000016754,2015-02-28,TMIN,96
GR000016754,2005-10-18,TMIN,146
GR000016754,2011-03-14,TMAX,174
GR000016754,2006-10-30,TMAX,228
GR000016754,2010-06-21,TMIN,210
GR000016754,2014-10-05,TMIN,165
GR000016754,2010-11-16,TMAX,210
GR000016754,2005-02-20,TMIN,66
GR000016754,2015-07-03,TMIN,200
GR000016754,2006-01-09,TMIN,78
GR000016754,2006-12-30,TMAX,150
GR000016754,2008-10-29,TMIN,130
GR000016754,2009-02-26,TMAX,112
GR000016754,2015-08-06,TMIN,236
GR000016754,2008-02-09,TMIN,88
GR000016754,2015-11-15,TMAX,202
GR000016754,2007-04-29,TMIN,114
GR000016754,2007-02-27,TMIN,72
GR000016754,2008-11-29,TMAX,210
GR000016754,2009-05-06,TMAX,196
GR000016754,2005-08-29,TMAX,292
GR000016754,2012-01-07,TMAX,160
GR000016754,2014-05-06,TMIN,130
GR000016754,2005-08-29,TMIN,220
GR000016754,2014-03-23,TMIN,100
GR000016754,2008-01-10,TMAX,141
GR000016754,2008-01-10,TMIN,106
GR000016754,2010-05-20,TMIN,126
GR000016754,2015-08-06,TMAX,294
GR000016754,2013-03-17,TMAX,144
GR000016754,2015-07-01,TMIN,190
GR000016754,2015-05-19,TMIN,156
GR000016754,2008-10-04,TMAX,260
GR000016754,2007-11-20,TMAX,156
GR000016754,2011-11-30,TMIN,102
GR000016754,2007-11-15,TMAX,226
GR000016754,2009-12-05,TMIN,120
GR000016754,2015-03-25,TMIN,138
GR000016754,2011-09-12,TMAX,274
GR000016754,2011-05-02,TMIN,142
GR000016754,2010-11-09,TMIN,180
GR000016754,2015-06-10,TMAX,244
GR000016754,2006-08-21,TMAX,308
GR000016754,2008-07-18,TMAX,286
GR000016754,2011-10-29,TMIN,166
GR000016754,2010-12-25,TMAX,222
GR000016754,2010-05-11,TMAX,260
GR000016754,2010-11-09,TMAX,252
GR000016754,2012-12-14,TMAX,140
GR000016754,2007-09-12,TMAX,274
GR000016754,2006-06-06,TMAX,238
GR000016754,2011-01-02,TMIN,62
GR000016754,2010-02-10,TMAX,200
GR000016754,2008-09-02,TMAX,268
GR000016754,2013-10-28,TMIN,140
GR000016754,2009-10-27,TMIN,160
GR000016754,2010-06-21,TMAX,298
GR000016754,2015-07-25,TMIN,200
GR000016754,2008-11-29,TMIN,108
GR000016754,2011-10-29,TMAX,182
GR000016754,2009-05-06,TMIN,116
GR000016754,2008-07-16,TMAX,316
GR000016754,2015-09-11,TMAX,292
GR000016754,2008-12-31,TMIN,70
GR000016754,2009-02-12,TMAX,180
GR000016754,2015-03-25,TMAX,180
GR000016754,2011-04-07,TMAX,176
GR000016754,2015-06-10,TMIN,170
GR000016754,2009-07-02,TMAX,274
GR000016754,2009-12-05,TMAX,200
GR000016754,2014-05-15,TMIN,168
GR000016754,2011-11-30,TMAX,170
GR000016754,2011-07-23,TMIN,210
GR000016754,2007-02-27,TMAX,171
GR000016754,2010-09-02,TMAX,284
GR000016754,2006-07-08,TMAX,270
GR000016754,2006-10-30,TMIN,128
GR000016754,2010-02-10,TMIN,96
GR000016754,2007-03-31,TMIN,136
GR000016754,2007-02-28,TMAX,140
GR000016754,2007-02-28,TMIN,88
GR000016754,2008-09-09,TMIN,216
GR000016754,2010-05-12,TMAX,276
GR000016754,2010-04-07,TMIN,130
GR000016754,2011-01-01,TMAX,144
GR000016754,2011-05-12,TMAX,196
GR000016754,2013-03-28,TMAX,216
GR000016754,2009-12-20,TMAX,224
GR000016754,2006-01-16,TMIN,74
GR000016754,2008-03-04,TMIN,98
GR000016754,2005-10-27,TMIN,134
GR000016754,2012-10-23,TMAX,220
GR000016754,2005-10-27,TMAX,220
GR000016754,2007-02-09,TMAX,156
GR000016754,2015-08-05,TMAX,300
GR000016754,2007-04-17,TMAX,170
GR000016754,2014-09-18,TMIN,218
GR000016754,2013-11-16,TMIN,164
GR000016754,2006-09-03,TMAX,266
GR000016754,2006-07-11,TMIN,190
GR000016754,2005-12-12,TMAX,172
GR000016754,2010-03-28,TMAX,224
GR000016754,2006-08-31,TMIN,214
GR000016754,2012-01-08,TMAX,132
GR000016754,2013-09-04,TMIN,198
GR000016754,2006-07-02,TMAX,304
GR000016754,2011-02-04,TMIN,106
GR000016754,2006-03-05,TMIN,80
GR000016754,2012-05-11,TMIN,166
GR000016754,2009-07-11,TMAX,320
GR000016754,2006-08-31,TMAX,294
GR000016754,2010-09-14,TMAX,270
GR000016754,2015-11-12,TMIN,140
GR000016754,2014-05-10,TMIN,110
GR000016754,2008-08-28,TMAX,280
GR000016754,2011-10-16,TMAX,210
GR000016754,2010-05-16,TMAX,235
GR000016754,2007-07-06,TMIN,224
GR000016754,2014-08-21,TMIN,200
GR000016754,2005-06-19,TMAX,286
GR000016754,2011-07-11,TMAX,284
GR000016754,2009-05-21,TMAX,212
GR000016754,2011-06-15,TMIN,180
GR000016754,2011-11-10,TMIN,128
GR000016754,2008-12-29,TMAX,128
GR000016754,2011-11-10,TMAX,204
GR000016754,2006-12-30,TMIN,80
GR000016754,2010-08-27,TMAX,304
GR000016754,2013-04-06,TMIN,196
GR000016754,2006-12-29,TMAX,160
GR000016754,2011-02-04,TMAX,140
GR000016754,2006-02-24,TMAX,188
GR000016754,2005-02-20,TMAX,154
GR000016754,2009-11-02,TMAX,160
GR000016754,2008-10-29,TMAX,212
GR000016754,2008-09-10,TMAX,286
GR000016754,2011-06-29,TMAX,262
GR000016754,2013-01-20,TMAX,200
GR000016754,2007-04-29,TMAX,204
GR000016754,2012-10-27,TMIN,160
GR000016754,2011-09-25,TMAX,260
GR000016754,2008-01-02,TMIN,76
GR000016754,2008-01-22,TMAX,156
GR000016754,2007-02-22,TMAX,160
GR000016754,2007-08-18,TMAX,306
GR000016754,2006-11-05,TMIN,46
GR000016754,2008-01-02,TMAX,144
GR000016754,2013-03-01,TMAX,140
GR000016754,2008-09-29,TMAX,235
GR000016754,2006-08-04,TMAX,304
GR000016754,2010-10-25,TMIN,128
GR000016754,2009-01-19,TMIN,84
GR000016754,2007-03-02,TMAX,204
GR000016754,2009-05-09,TMAX,224
GR000016754,2011-11-02,TMAX,162
GR000016754,2006-01-11,TMAX,100
GR000016754,2007-09-13,TMIN,210
GR000016754,2014-04-01,TMIN,90
GR000016754,2013-09-26,TMIN,182
GR000016754,2007-07-01,TMAX,288
GR000016754,2009-05-21,TMIN,184
GR000016754,2007-07-01,TMIN,250
GR000016754,2013-02-03,TMAX,192
GR000016754,2007-09-13,TMAX,275
GR000016754,2012-06-21,TMAX,274
GR000016754,2015-12-05,TMAX,162
GR000016754,2011-04-15,TMIN,96
GR000016754,2006-11-05,TMAX,122
GR000016754,2010-05-17,TMAX,225
GR000016754,2009-02-23,TMAX,112
GR000016754,2012-06-21,TMIN,240
GR000016754,2013-10-15,TMAX,260
GR000016754,2008-07-23,TMAX,318
GR000016754,2014-09-06,TMIN,200
GR000016754,2006-11-28,TMIN,106
GR000016754,2012-04-24,TMAX,210
GR000016754,2013-04-06,TMAX,304
GR000016754,2007-01-29,TMIN,56
GR000016754,2012-01-11,TMIN,74
GR000016754,2011-12-30,TMIN,88
GR000016754,2010-02-25,TMIN,134
GR000016754,2008-10-07,TMIN,150
GR000016754,2014-07-22,TMIN,210
GR000016754,2006-08-30,TMIN,206
GR000016754,2007-01-27,TMIN,135
GR000016754,2008-07-02,TMAX,294
GR000016754,2006-11-13,TMAX,210
GR000016754,2010-08-21,TMIN,270
GR000016754,2008-10-07,TMAX,236
GR000016754,2007-09-22,TMAX,242
GR000016754,2006-01-20,TMAX,136
GR000016754,2010-08-14,TMIN,240
GR000016754,2006-10-12,TMIN,174
GR000016754,2007-09-12,TMIN,180
GR000016754,2007-09-02,TMIN,220
GR000016754,2013-03-10,TMAX,225
GR000016754,2008-11-14,TMIN,122
GR000016754,2010-08-21,TMAX,312
GR000016754,2015-01-10,TMIN,36
GR000016754,2010-12-27,TMIN,140
GR000016754,2010-01-13,TMIN,100
GR000016754,2012-03-03,TMAX,170
GR000016754,2015-09-28,TMAX,260
GR000016754,2011-06-16,TMAX,250
GR000016754,2006-10-13,TMAX,226
GR000016754,2008-02-20,TMAX,154
GR000016754,2011-06-10,TMAX,284
GR000016754,2009-11-07,TMAX,250
GR000016754,2007-01-27,TMAX,220
GR000016754,2007-10-10,TMAX,244
GR000016754,2012-10-04,TMAX,270
GR000016754,2013-03-10,TMIN,116
GR000016754,2015-03-22,TMAX,150
GR000016754,2006-01-13,TMAX,104
GR000016754,2008-07-02,TMIN,236
GR000016754,2008-08-13,TMAX,296
GR000016754,2009-12-18,TMAX,208
GR000016754,2010-05-24,TMAX,230
GR000016754,2015-12-06,TMAX,170
GR000016754,2015-11-16,TMAX,200
GR000016754,2011-08-18,TMAX,300
GR000016754,2015-03-27,TMAX,234
GR000016754,2009-12-18,TMIN,110
GR000016754,2006-11-13,TMIN,110
GR000016754,2015-12-06,TMIN,106
GR000016754,2012-02-23,TMIN,98
GR000016754,2012-05-09,TMAX,262
GR000016754,2012-05-09,TMIN,168
GR000016754,2007-05-14,TMAX,250
GR000016754,2012-02-23,TMAX,150
GR000016754,2015-03-27,TMIN,130
GR000016754,2010-02-09,TMAX,144
GR000016754,2013-02-01,TMAX,154
GR000016754,2008-07-11,TMIN,250
GR000016754,2015-11-28,TMAX,212
GR000016754,2013-03-16,TMIN,78
GR000016754,2012-12-30,TMIN,80
