ID,Date,Element,Data_Value
UVM00065510,2011-09-30,TMAX,325
UVM00065510,2014-07-02,TMAX,320
UVM00065510,2010-07-06,TMIN,212
UVM00065510,2015-06-12,TMAX,355
UVM00065510,2005-08-22,TMIN,224
UVM00065510,2014-05-15,TMAX,325
UVM00065510,2007-07-07,TMAX,316
UVM00065510,2011-12-06,TMAX,334
UVM00065510,2015-08-31,TMIN,226
UVM00065510,2007-09-18,TMAX,326
UVM00065510,2007-09-20,TMAX,315
UVM00065510,2014-07-29,TMIN,238
UVM00065510,2010-04-22,TMAX,334
UVM00065510,2011-05-07,TMAX,355
UVM00065510,2006-11-11,TMAX,346
UVM00065510,2007-09-20,TMIN,220
UVM00065510,2010-02-16,TMIN,240
UVM00065510,2015-12-30,TMIN,174
UVM00065510,2007-09-16,TMAX,315
UVM00065510,2006-05-17,TMAX,358
UVM00065510,2009-05-11,TMIN,197
UVM00065510,2008-06-19,TMAX,313
UVM00065510,2011-12-06,TMIN,177
UVM00065510,2012-04-24,TMAX,397
UVM00065510,2006-10-01,TMIN,195
UVM00065510,2012-10-14,TMAX,343
UVM00065510,2008-06-19,TMIN,224
UVM00065510,2008-04-29,TMAX,372
UVM00065510,2005-06-03,TMIN,210
UVM00065510,2009-07-25,TMIN,204
UVM00065510,2014-08-29,TMIN,230
UVM00065510,2007-09-16,TMIN,215
UVM00065510,2011-05-07,TMIN,245
UVM00065510,2005-08-22,TMAX,308
UVM00065510,2015-05-27,TMAX,369
UVM00065510,2011-09-30,TMIN,219
UVM00065510,2007-04-23,TMAX,335
UVM00065510,2005-03-06,TMAX,390
UVM00065510,2014-08-29,TMAX,332
UVM00065510,2012-04-24,TMIN,265
UVM00065510,2010-03-22,TMAX,363
UVM00065510,2008-06-28,TMAX,322
UVM00065510,2012-02-01,TMIN,209
UVM00065510,2011-07-27,TMAX,305
UVM00065510,2014-04-16,TMIN,270
UVM00065510,2014-04-16,TMAX,394
UVM00065510,2012-12-05,TMIN,168
UVM00065510,2015-09-10,TMAX,302
UVM00065510,2010-07-06,TMAX,305
UVM00065510,2007-04-23,TMIN,225
UVM00065510,2014-11-01,TMIN,235
UVM00065510,2012-03-12,TMAX,338
UVM00065510,2014-02-04,TMAX,336
UVM00065510,2012-12-07,TMAX,335
UVM00065510,2013-11-29,TMAX,376
UVM00065510,2005-04-15,TMIN,270
UVM00065510,2012-02-01,TMAX,357
UVM00065510,2005-09-08,TMIN,211
UVM00065510,2009-03-10,TMAX,391
UVM00065510,2011-01-13,TMAX,313
UVM00065510,2012-03-08,TMIN,247
UVM00065510,2009-08-08,TMAX,305
UVM00065510,2012-12-05,TMAX,315
UVM00065510,2015-04-24,TMAX,395
UVM00065510,2009-08-01,TMAX,270
UVM00065510,2014-02-17,TMIN,227
UVM00065510,2009-08-08,TMIN,220
UVM00065510,2012-03-08,TMAX,380
UVM00065510,2011-10-21,TMIN,223
UVM00065510,2011-07-27,TMIN,217
UVM00065510,2008-12-23,TMAX,343
UVM00065510,2011-02-16,TMAX,357
UVM00065510,2014-03-18,TMAX,385
UVM00065510,2008-04-29,TMIN,268
UVM00065510,2014-03-18,TMIN,237
UVM00065510,2008-10-09,TMAX,330
UVM00065510,2014-08-02,TMIN,207
UVM00065510,2005-09-28,TMIN,214
UVM00065510,2014-07-02,TMIN,219
UVM00065510,2005-09-28,TMAX,314
UVM00065510,2014-02-17,TMAX,327
UVM00065510,2007-09-25,TMIN,229
UVM00065510,2006-03-29,TMAX,373
UVM00065510,2005-01-23,TMIN,205
UVM00065510,2007-11-21,TMAX,364
UVM00065510,2006-07-10,TMAX,326
UVM00065510,2014-05-09,TMAX,308
UVM00065510,2006-12-17,TMIN,209
UVM00065510,2014-02-04,TMIN,190
UVM00065510,2015-09-10,TMIN,225
UVM00065510,2006-05-17,TMIN,232
UVM00065510,2008-12-23,TMIN,218
UVM00065510,2014-08-02,TMAX,295
UVM00065510,2006-11-11,TMIN,230
UVM00065510,2010-03-22,TMIN,266
UVM00065510,2013-08-10,TMAX,282
UVM00065510,2014-11-01,TMAX,348
UVM00065510,2013-07-09,TMAX,277
UVM00065510,2006-12-17,TMAX,337
UVM00065510,2012-03-12,TMIN,204
UVM00065510,2013-07-29,TMAX,253
UVM00065510,2005-01-23,TMAX,361
UVM00065510,2007-09-18,TMIN,227
UVM00065510,2013-08-20,TMAX,297
UVM00065510,2010-04-22,TMIN,279
UVM00065510,2014-04-03,TMAX,395
UVM00065510,2008-06-27,TMIN,225
UVM00065510,2013-12-25,TMIN,175
UVM00065510,2005-10-25,TMAX,359
UVM00065510,2014-06-25,TMAX,337
UVM00065510,2008-03-26,TMIN,242
UVM00065510,2009-03-27,TMAX,373
UVM00065510,2009-11-29,TMIN,212
UVM00065510,2013-11-15,TMIN,221
UVM00065510,2009-03-27,TMIN,260
UVM00065510,2009-10-26,TMIN,220
UVM00065510,2006-03-31,TMIN,265
UVM00065510,2006-02-27,TMAX,387
UVM00065510,2005-04-27,TMIN,264
UVM00065510,2013-12-25,TMAX,338
UVM00065510,2007-06-03,TMIN,213
UVM00065510,2008-09-19,TMAX,282
UVM00065510,2006-02-27,TMIN,231
UVM00065510,2007-03-05,TMAX,378
UVM00065510,2009-05-21,TMAX,391
UVM00065510,2013-04-24,TMAX,353
UVM00065510,2009-11-29,TMAX,332
UVM00065510,2013-06-04,TMAX,331
UVM00065510,2015-04-07,TMAX,395
UVM00065510,2013-03-09,TMAX,405
UVM00065510,2012-05-20,TMAX,320
UVM00065510,2005-10-25,TMIN,215
UVM00065510,2006-03-30,TMAX,392
UVM00065510,2014-02-23,TMIN,220
UVM00065510,2013-01-10,TMAX,319
UVM00065510,2013-03-09,TMIN,267
UVM00065510,2008-09-19,TMIN,217
UVM00065510,2005-04-19,TMIN,244
UVM00065510,2014-02-23,TMAX,375
UVM00065510,2007-02-25,TMAX,348
UVM00065510,2005-09-20,TMIN,195
UVM00065510,2012-06-04,TMAX,350
UVM00065510,2012-03-25,TMAX,391
UVM00065510,2012-03-25,TMIN,258
UVM00065510,2014-04-03,TMIN,271
UVM00065510,2005-04-19,TMAX,372
UVM00065510,2012-06-04,TMIN,234
UVM00065510,2010-06-18,TMIN,228
UVM00065510,2010-07-13,TMAX,317
UVM00065510,2013-01-10,TMIN,177
UVM00065510,2013-06-17,TMIN,226
