ID,Date,Element,Data_Value
NOE00111385,2009-05-12,TMAX,88
NOE00111385,2008-12-20,TMIN,26
NOE00111385,2005-02-04,TMAX,72
NOE00111385,2007-02-07,TMIN,11
NOE00111385,2006-09-13,TMAX,116
NOE00111385,2005-05-15,TMIN,16
NOE00111385,2006-04-15,TMAX,64
NOE00111385,2006-09-13,TMIN,108
NOE00111385,2008-09-06,TMIN,88
NOE00111385,2006-04-15,TMIN,40
NOE00111385,2006-08-08,TMAX,121
NOE00111385,2005-09-12,TMIN,67
NOE00111385,2007-09-29,TMIN,75
NOE00111385,2008-10-15,TMIN,75
NOE00111385,2007-11-20,TMIN,44
NOE00111385,2008-02-05,TMIN,52
NOE00111385,2008-02-05,TMAX,67
NOE00111385,2005-11-16,TMIN,23
NOE00111385,2005-11-16,TMAX,57
NOE00111385,2006-06-10,TMIN,73
NOE00111385,2008-08-01,TMIN,110
NOE00111385,2007-01-21,TMIN,16
NOE00111385,2005-09-12,TMAX,95
NOE00111385,2008-04-05,TMIN,22
NOE00111385,2008-09-06,TMAX,125
NOE00111385,2007-08-21,TMIN,104
NOE00111385,2008-02-21,TMAX,88
NOE00111385,2008-01-15,TMIN,4
NOE00111385,2006-04-26,TMIN,49
NOE00111385,2008-01-15,TMAX,28
NOE00111385,2007-01-21,TMAX,32
NOE00111385,2006-04-26,TMAX,74
NOE00111385,2008-02-21,TMIN,47
NOE00111385,2006-06-10,TMAX,93
NOE00111385,2005-05-17,TMIN,45
NOE00111385,2006-05-12,TMAX,65
NOE00111385,2007-02-07,TMAX,32
NOE00111385,2005-01-09,TMAX,31
NOE00111385,2005-05-15,TMAX,37
NOE00111385,2006-01-07,TMIN,62
NOE00111385,2005-05-17,TMAX,60
NOE00111385,2006-06-30,TMIN,105
NOE00111385,2009-05-30,TMAX,109
NOE00111385,2006-05-12,TMIN,54
NOE00111385,2005-01-09,TMIN,11
NOE00111385,2009-05-31,TMIN,81
NOE00111385,2008-08-01,TMAX,125
NOE00111385,2005-09-29,TMAX,79
NOE00111385,2009-03-20,TMAX,70
NOE00111385,2007-01-12,TMIN,2
NOE00111385,2009-03-20,TMIN,55
NOE00111385,2008-02-08,TMAX,60
NOE00111385,2005-09-23,TMAX,116
NOE00111385,2008-07-27,TMIN,120
NOE00111385,2007-01-11,TMAX,52
NOE00111385,2005-02-16,TMIN,36
NOE00111385,2009-07-02,TMIN,125
NOE00111385,2005-05-24,TMIN,59
NOE00111385,2009-05-10,TMAX,65
NOE00111385,2006-02-10,TMAX,62
NOE00111385,2008-06-03,TMIN,86
NOE00111385,2005-10-23,TMIN,35
NOE00111385,2009-05-31,TMAX,105
NOE00111385,2007-02-08,TMAX,27
NOE00111385,2008-09-17,TMAX,125
NOE00111385,2007-01-11,TMIN,-22
NOE00111385,2008-09-17,TMIN,105
NOE00111385,2007-01-12,TMAX,60
NOE00111385,2009-07-02,TMAX,145
NOE00111385,2007-10-08,TMIN,60
NOE00111385,2009-11-16,TMAX,94
NOE00111385,2005-10-23,TMAX,50
NOE00111385,2009-11-16,TMIN,81
NOE00111385,2005-09-23,TMIN,74
NOE00111385,2008-02-09,TMAX,77
NOE00111385,2007-10-08,TMAX,72
NOE00111385,2006-06-26,TMIN,70
NOE00111385,2006-06-26,TMAX,84
NOE00111385,2006-07-19,TMAX,95
NOE00111385,2006-07-19,TMIN,75
NOE00111385,2009-04-25,TMAX,75
NOE00111385,2005-07-21,TMIN,95
NOE00111385,2006-04-29,TMAX,72
NOE00111385,2007-08-25,TMIN,98
NOE00111385,2008-10-15,TMAX,95
NOE00111385,2009-05-12,TMIN,74
NOE00111385,2007-10-22,TMIN,80
NOE00111385,2008-02-07,TMIN,37
NOE00111385,2005-12-24,TMAX,44
NOE00111385,2008-07-27,TMAX,151
NOE00111385,2009-04-12,TMAX,80
NOE00111385,2006-02-16,TMAX,64
NOE00111385,2006-02-16,TMIN,52
NOE00111385,2007-02-08,TMIN,13
NOE00111385,2008-02-07,TMAX,65
NOE00111385,2008-03-04,TMIN,-28
NOE00111385,2007-05-10,TMAX,42
NOE00111385,2007-05-10,TMIN,16
NOE00111385,2008-03-04,TMAX,8
NOE00111385,2006-04-24,TMAX,77
NOE00111385,2005-05-24,TMAX,69
NOE00111385,2007-10-22,TMAX,90
NOE00111385,2007-10-11,TMAX,55
NOE00111385,2006-04-24,TMIN,40
NOE00111385,2005-06-18,TMAX,105
NOE00111385,2005-12-24,TMIN,27
NOE00111385,2007-11-20,TMAX,59
NOE00111385,2006-04-29,TMIN,57
NOE00111385,2008-08-03,TMAX,125
NOE00111385,2006-06-19,TMAX,85
NOE00111385,2005-07-21,TMAX,105
NOE00111385,2009-06-24,TMIN,108
NOE00111385,2006-07-21,TMIN,95
NOE00111385,2006-07-21,TMAX,114
NOE00111385,2007-12-14,TMAX,83
NOE00111385,2005-07-10,TMAX,120
NOE00111385,2008-12-09,TMAX,65
NOE00111385,2007-12-14,TMIN,55
NOE00111385,2005-07-10,TMIN,95
NOE00111385,2008-03-30,TMIN,57
NOE00111385,2007-09-29,TMAX,96
NOE00111385,2009-10-31,TMAX,101
NOE00111385,2008-03-30,TMAX,70
NOE00111385,2005-07-08,TMIN,111
NOE00111385,2006-11-21,TMIN,54
NOE00111385,2007-09-08,TMIN,95
NOE00111385,2006-06-30,TMAX,115
NOE00111385,2007-09-08,TMAX,109
NOE00111385,2006-08-01,TMIN,120
NOE00111385,2005-07-08,TMAX,125
NOE00111385,2008-04-22,TMIN,40
NOE00111385,2008-04-22,TMAX,59
NOE00111385,2005-12-18,TMIN,35
NOE00111385,2005-12-18,TMAX,50
NOE00111385,2005-06-21,TMIN,85
NOE00111385,2005-03-08,TMIN,28
NOE00111385,2005-02-17,TMIN,8
NOE00111385,2009-06-22,TMIN,95
NOE00111385,2008-04-05,TMAX,40
NOE00111385,2009-07-19,TMIN,105
NOE00111385,2005-02-17,TMAX,37
NOE00111385,2005-01-10,TMAX,40
NOE00111385,2007-02-20,TMIN,-18
NOE00111385,2005-01-10,TMIN,22
NOE00111385,2005-09-29,TMIN,59
NOE00111385,2005-05-27,TMIN,27
NOE00111385,2006-02-11,TMIN,57
NOE00111385,2006-02-11,TMAX,62
NOE00111385,2008-09-28,TMIN,59
NOE00111385,2009-06-20,TMIN,101
NOE00111385,2006-11-19,TMIN,10
NOE00111385,2006-08-01,TMAX,129
NOE00111385,2006-02-10,TMIN,4
NOE00111385,2005-10-19,TMAX,89
NOE00111385,2007-02-12,TMIN,13
NOE00111385,2007-02-09,TMAX,30
NOE00111385,2005-04-13,TMAX,52
NOE00111385,2007-02-12,TMAX,32
NOE00111385,2006-04-21,TMIN,31
NOE00111385,2009-06-20,TMAX,120
NOE00111385,2008-08-18,TMAX,134
NOE00111385,2006-10-04,TMAX,136
NOE00111385,2006-10-04,TMIN,83
NOE00111385,2008-08-02,TMIN,111
NOE00111385,2007-02-05,TMIN,27
NOE00111385,2006-04-21,TMAX,65
NOE00111385,2008-09-28,TMAX,84
NOE00111385,2009-06-24,TMAX,115
NOE00111385,2005-05-27,TMAX,67
NOE00111385,2007-02-20,TMAX,27
NOE00111385,2008-08-02,TMAX,125
NOE00111385,2008-09-19,TMIN,114
NOE00111385,2008-12-09,TMIN,27
NOE00111385,2005-03-08,TMAX,45
NOE00111385,2005-07-30,TMIN,86
NOE00111385,2006-09-29,TMIN,105
NOE00111385,2005-06-23,TMIN,79
NOE00111385,2007-02-01,TMAX,75
NOE00111385,2007-02-01,TMIN,38
NOE00111385,2009-05-30,TMIN,91
NOE00111385,2005-12-11,TMAX,85
NOE00111385,2005-11-25,TMIN,27
NOE00111385,2008-12-27,TMAX,55
NOE00111385,2005-12-11,TMIN,45
NOE00111385,2008-12-27,TMIN,45
NOE00111385,2006-08-10,TMIN,115
NOE00111385,2009-02-22,TMAX,54
NOE00111385,2007-02-27,TMAX,31
NOE00111385,2007-12-27,TMAX,89
NOE00111385,2008-08-03,TMIN,108
NOE00111385,2005-05-12,TMAX,62
NOE00111385,2008-05-25,TMIN,67
NOE00111385,2009-04-02,TMAX,75
NOE00111385,2007-02-27,TMIN,9
NOE00111385,2007-02-09,TMIN,5
NOE00111385,2006-06-19,TMIN,72
NOE00111385,2005-05-12,TMIN,33
NOE00111385,2007-10-02,TMIN,90
NOE00111385,2007-10-02,TMAX,104
NOE00111385,2009-10-05,TMIN,47
NOE00111385,2005-07-24,TMAX,111
NOE00111385,2005-07-24,TMIN,88
NOE00111385,2009-10-05,TMAX,69
NOE00111385,2008-05-25,TMAX,90
NOE00111385,2005-07-30,TMAX,114
NOE00111385,2007-08-21,TMAX,120
NOE00111385,2006-09-29,TMAX,116
NOE00111385,2009-06-22,TMAX,110
NOE00111385,2009-01-22,TMAX,70
NOE00111385,2005-06-24,TMAX,86
NOE00111385,2005-06-24,TMIN,80
NOE00111385,2005-06-21,TMAX,98
NOE00111385,2007-08-25,TMAX,113
NOE00111385,2007-08-10,TMAX,116
NOE00111385,2005-06-10,TMIN,57
NOE00111385,2007-08-10,TMIN,103
NOE00111385,2006-11-21,TMAX,72
NOE00111385,2006-08-17,TMAX,110
