ID,Date,Element,Data_Value
CA002402684,2009-03-24,TMAX,-220
CA002402684,2008-11-09,TMAX,-118
CA002402684,2007-10-31,TMAX,-98
CA002402684,2005-05-02,TMIN,-150
CA002402684,2008-09-28,TMAX,-33
CA002402684,2009-04-07,TMIN,-290
CA002402684,2008-09-30,TMIN,-99
CA002402684,2005-05-02,TMAX,-111
CA002402684,2006-07-24,TMAX,77
CA002402684,2008-06-06,TMAX,35
CA002402684,2008-06-06,TMIN,-24
CA002402684,2005-10-03,TMAX,-45
CA002402684,2008-08-15,TMAX,39
CA002402684,2007-12-16,TMAX,-272
CA002402684,2008-04-16,TMIN,-193
CA002402684,2006-08-13,TMIN,47
CA002402684,2005-01-13,TMAX,-347
CA002402684,2006-08-13,TMAX,100
CA002402684,2009-02-12,TMAX,-181
CA002402684,2009-06-14,TMAX,25
CA002402684,2007-12-16,TMIN,-296
CA002402684,2006-07-24,TMIN,25
CA002402684,2005-10-03,TMIN,-82
CA002402684,2005-04-13,TMAX,-203
CA002402684,2007-11-14,TMIN,-206
CA002402684,2008-04-14,TMIN,-258
CA002402684,2005-04-24,TMIN,-198
CA002402684,2009-07-03,TMIN,23
CA002402684,2007-03-07,TMAX,-251
CA002402684,2008-08-06,TMAX,168
CA002402684,2006-09-22,TMIN,-17
CA002402684,2005-01-10,TMIN,-385
CA002402684,2007-07-22,TMIN,68
CA002402684,2009-01-17,TMIN,-366
CA002402684,2008-11-16,TMIN,-223
CA002402684,2007-04-21,TMIN,-229
CA002402684,2005-04-16,TMAX,-159
CA002402684,2007-04-21,TMAX,-175
CA002402684,2007-08-27,TMAX,117
CA002402684,2006-05-01,TMAX,-87
CA002402684,2006-11-08,TMAX,-139
CA002402684,2005-12-18,TMAX,-200
CA002402684,2005-03-15,TMAX,-49
CA002402684,2008-08-15,TMIN,14
CA002402684,2007-08-27,TMIN,23
CA002402684,2009-02-03,TMIN,-234
CA002402684,2005-06-25,TMAX,71
CA002402684,2008-03-20,TMIN,-325
CA002402684,2006-10-07,TMAX,7
CA002402684,2009-05-03,TMAX,-85
CA002402684,2008-07-07,TMAX,136
CA002402684,2006-10-07,TMIN,-18
CA002402684,2006-07-03,TMIN,38
CA002402684,2008-09-05,TMAX,64
CA002402684,2008-06-16,TMAX,24
CA002402684,2008-06-16,TMIN,2
CA002402684,2008-07-07,TMIN,73
CA002402684,2009-02-16,TMIN,-341
CA002402684,2006-07-03,TMAX,74
CA002402684,2005-03-15,TMIN,-69
CA002402684,2009-03-12,TMIN,-293
CA002402684,2009-04-29,TMAX,-164
CA002402684,2005-03-29,TMIN,-291
CA002402684,2005-03-29,TMAX,-245
CA002402684,2006-05-16,TMIN,-82
CA002402684,2007-11-14,TMAX,-152
CA002402684,2009-02-20,TMAX,-303
CA002402684,2006-05-16,TMAX,-8
CA002402684,2006-01-11,TMIN,-317
CA002402684,2008-05-22,TMAX,-4
CA002402684,2007-10-22,TMAX,-95
CA002402684,2007-10-22,TMIN,-161
CA002402684,2006-11-08,TMIN,-182
CA002402684,2008-02-14,TMAX,-286
CA002402684,2005-10-31,TMIN,-137
CA002402684,2009-02-03,TMAX,-187
CA002402684,2005-12-18,TMIN,-267
CA002402684,2006-01-24,TMAX,-200
CA002402684,2006-01-24,TMIN,-333
CA002402684,2007-01-05,TMIN,-297
CA002402684,2006-11-20,TMIN,-85
CA002402684,2009-07-03,TMAX,97
CA002402684,2005-06-25,TMIN,21
CA002402684,2006-09-22,TMAX,41
CA002402684,2005-01-10,TMAX,-340
CA002402684,2007-01-25,TMAX,-243
CA002402684,2006-07-15,TMIN,74
CA002402684,2007-01-25,TMIN,-294
CA002402684,2008-12-21,TMIN,-383
CA002402684,2008-12-21,TMAX,-304
CA002402684,2007-07-22,TMAX,108
CA002402684,2005-10-31,TMAX,-56
CA002402684,2006-07-15,TMAX,142
CA002402684,2008-11-16,TMAX,-195
CA002402684,2008-08-06,TMIN,117
CA002402684,2006-03-28,TMAX,-186
CA002402684,2009-05-20,TMIN,-64
CA002402684,2007-10-03,TMAX,-28
CA002402684,2009-03-12,TMAX,-220
CA002402684,2007-07-28,TMIN,54
