ID,Date,Element,Data_Value
ARM00087467,2006-01-11,TMIN,180
ARM00087467,2009-01-20,TMIN,125
ARM00087467,2012-02-19,TMIN,190
ARM00087467,2005-05-15,TMIN,80
ARM00087467,2007-09-24,TMIN,2
ARM00087467,2005-01-16,TMIN,127
ARM00087467,2014-07-30,TMAX,222
ARM00087467,2005-09-12,TMIN,-50
ARM00087467,2013-01-31,TMIN,200
ARM00087467,2011-06-28,TMIN,-42
ARM00087467,2015-01-02,TMIN,87
ARM00087467,2006-08-12,TMIN,42
ARM00087467,2005-11-22,TMIN,189
ARM00087467,2014-10-31,TMAX,275
ARM00087467,2009-12-05,TMAX,245
ARM00087467,2008-12-24,TMIN,160
ARM00087467,2011-07-23,TMIN,5
ARM00087467,2007-03-07,TMIN,202
ARM00087467,2012-06-12,TMIN,36
ARM00087467,2014-09-12,TMIN,64
ARM00087467,2012-08-12,TMIN,19
ARM00087467,2007-12-04,TMAX,352
ARM00087467,2013-10-05,TMIN,34
ARM00087467,2010-03-03,TMIN,156
ARM00087467,2007-08-19,TMIN,49
ARM00087467,2015-12-31,TMIN,230
ARM00087467,2012-11-04,TMAX,301
ARM00087467,2006-07-08,TMIN,80
ARM00087467,2007-11-14,TMAX,245
ARM00087467,2015-01-28,TMIN,203
ARM00087467,2013-02-15,TMIN,176
ARM00087467,2005-07-13,TMIN,90
ARM00087467,2008-07-29,TMIN,70
ARM00087467,2015-01-13,TMAX,321
ARM00087467,2011-07-23,TMAX,196
ARM00087467,2013-01-15,TMIN,168
ARM00087467,2007-02-17,TMAX,223
ARM00087467,2014-07-18,TMIN,30
ARM00087467,2015-04-28,TMIN,160
ARM00087467,2015-12-23,TMAX,317
ARM00087467,2008-01-23,TMIN,120
ARM00087467,2011-01-12,TMIN,145
ARM00087467,2009-06-25,TMAX,155
ARM00087467,2005-06-05,TMAX,167
ARM00087467,2012-03-16,TMIN,106
ARM00087467,2014-11-14,TMIN,84
ARM00087467,2015-01-13,TMIN,182
ARM00087467,2008-06-08,TMIN,0
ARM00087467,2012-11-28,TMIN,174
ARM00087467,2012-11-04,TMIN,182
ARM00087467,2005-06-04,TMIN,121
ARM00087467,2012-05-28,TMIN,120
ARM00087467,2010-03-02,TMIN,156
ARM00087467,2008-06-23,TMAX,118
ARM00087467,2008-11-08,TMAX,350
ARM00087467,2011-03-10,TMIN,185
ARM00087467,2014-10-07,TMIN,102
ARM00087467,2005-07-17,TMIN,16
ARM00087467,2005-03-03,TMIN,136
ARM00087467,2015-09-20,TMIN,126
ARM00087467,2015-05-01,TMIN,157
ARM00087467,2006-08-28,TMIN,-2
ARM00087467,2011-08-07,TMIN,45
ARM00087467,2011-08-07,TMAX,230
ARM00087467,2007-07-15,TMIN,-32
ARM00087467,2013-09-16,TMIN,53
ARM00087467,2015-11-04,TMIN,133
ARM00087467,2012-02-12,TMIN,136
ARM00087467,2007-09-18,TMIN,123
ARM00087467,2007-06-12,TMIN,50
ARM00087467,2005-08-29,TMIN,55
ARM00087467,2015-08-06,TMIN,135
ARM00087467,2013-09-16,TMAX,154
ARM00087467,2015-10-02,TMIN,110
ARM00087467,2015-09-05,TMIN,40
ARM00087467,2011-07-11,TMIN,67
ARM00087467,2011-05-14,TMIN,130
ARM00087467,2014-03-22,TMIN,55
ARM00087467,2012-04-10,TMAX,298
ARM00087467,2007-11-14,TMIN,82
ARM00087467,2007-12-12,TMIN,122
ARM00087467,2012-02-19,TMAX,376
ARM00087467,2014-10-31,TMIN,143
ARM00087467,2008-08-31,TMIN,84
ARM00087467,2011-02-23,TMAX,282
ARM00087467,2006-04-22,TMIN,80
ARM00087467,2012-08-12,TMAX,246
ARM00087467,2006-09-27,TMAX,325
ARM00087467,2011-08-12,TMIN,130
ARM00087467,2011-08-12,TMAX,291
ARM00087467,2014-04-03,TMIN,184
ARM00087467,2015-10-02,TMAX,279
ARM00087467,2011-05-08,TMIN,88
ARM00087467,2011-02-23,TMIN,176
ARM00087467,2008-04-02,TMAX,272
ARM00087467,2014-08-12,TMAX,169
ARM00087467,2011-05-08,TMAX,252
ARM00087467,2014-05-12,TMIN,138
ARM00087467,2008-10-18,TMIN,83
ARM00087467,2005-07-20,TMIN,-10
ARM00087467,2010-12-26,TMAX,350
ARM00087467,2008-06-23,TMIN,25
ARM00087467,2010-12-26,TMIN,183
ARM00087467,2011-06-22,TMIN,84
ARM00087467,2005-08-12,TMIN,39
ARM00087467,2013-01-31,TMAX,360
ARM00087467,2006-12-20,TMIN,180
ARM00087467,2006-03-25,TMAX,230
ARM00087467,2006-03-25,TMIN,107
ARM00087467,2006-04-08,TMAX,295
ARM00087467,2007-07-12,TMIN,-50
ARM00087467,2013-08-24,TMIN,-2
ARM00087467,2015-09-27,TMIN,90
ARM00087467,2015-09-20,TMAX,248
ARM00087467,2015-05-03,TMIN,37
ARM00087467,2013-06-29,TMIN,18
ARM00087467,2015-06-30,TMIN,60
ARM00087467,2014-08-13,TMIN,-46
ARM00087467,2013-01-08,TMIN,162
ARM00087467,2006-10-17,TMIN,100
ARM00087467,2007-04-06,TMAX,231
ARM00087467,2010-01-03,TMIN,190
ARM00087467,2007-10-16,TMIN,65
ARM00087467,2006-11-09,TMAX,245
ARM00087467,2015-02-20,TMIN,94
ARM00087467,2009-01-11,TMAX,334
ARM00087467,2011-09-26,TMIN,124
ARM00087467,2008-02-21,TMIN,206
ARM00087467,2012-12-18,TMIN,144
ARM00087467,2013-10-09,TMIN,183
ARM00087467,2014-02-13,TMAX,299
