ID,Date,Element,Data_Value
CHM00053646,2009-09-23,TMIN,116
CHM00053646,2007-07-29,TMIN,174
CHM00053646,2007-02-07,TMAX,63
CHM00053646,2015-08-29,TMIN,149
CHM00053646,2009-10-11,TMAX,107
CHM00053646,2009-09-23,TMAX,197
CHM00053646,2005-12-19,TMIN,-160
CHM00053646,2009-01-22,TMIN,-174
CHM00053646,2007-07-29,TMAX,230
CHM00053646,2005-04-09,TMAX,83
CHM00053646,2014-07-18,TMAX,311
CHM00053646,2011-03-27,TMIN,-68
CHM00053646,2010-04-26,TMAX,46
CHM00053646,2007-03-19,TMAX,67
CHM00053646,2013-01-07,TMAX,-1
CHM00053646,2010-07-04,TMAX,325
CHM00053646,2005-08-29,TMIN,168
CHM00053646,2007-10-17,TMIN,30
CHM00053646,2005-08-29,TMAX,286
CHM00053646,2008-09-13,TMAX,244
CHM00053646,2012-06-13,TMAX,285
CHM00053646,2012-01-07,TMIN,-94
CHM00053646,2012-01-07,TMAX,-20
CHM00053646,2015-02-07,TMAX,20
CHM00053646,2008-09-13,TMIN,126
CHM00053646,2012-06-13,TMIN,160
CHM00053646,2010-06-18,TMIN,139
CHM00053646,2015-03-31,TMAX,221
CHM00053646,2014-09-01,TMAX,222
CHM00053646,2011-08-09,TMIN,197
CHM00053646,2009-01-22,TMAX,35
CHM00053646,2011-03-22,TMAX,44
CHM00053646,2014-03-12,TMAX,45
CHM00053646,2005-05-30,TMAX,275
CHM00053646,2009-10-11,TMIN,90
CHM00053646,2014-11-27,TMAX,21
CHM00053646,2005-05-30,TMIN,148
CHM00053646,2013-01-19,TMAX,11
CHM00053646,2013-01-19,TMIN,-90
CHM00053646,2010-10-24,TMIN,34
CHM00053646,2008-01-25,TMIN,-181
CHM00053646,2010-10-24,TMAX,106
CHM00053646,2010-06-05,TMIN,158
CHM00053646,2007-07-03,TMAX,289
CHM00053646,2013-01-07,TMIN,-149
CHM00053646,2009-01-14,TMIN,-179
CHM00053646,2012-03-18,TMAX,99
CHM00053646,2011-01-04,TMIN,-180
CHM00053646,2011-01-04,TMAX,-71
CHM00053646,2012-03-18,TMIN,-57
CHM00053646,2012-03-19,TMIN,2
CHM00053646,2012-03-19,TMAX,93
CHM00053646,2007-07-03,TMIN,154
CHM00053646,2005-04-09,TMIN,3
CHM00053646,2009-09-12,TMAX,165
CHM00053646,2009-09-12,TMIN,103
CHM00053646,2008-03-15,TMAX,129
CHM00053646,2005-06-19,TMAX,355
CHM00053646,2010-07-04,TMIN,215
CHM00053646,2005-12-19,TMAX,-4
CHM00053646,2008-01-25,TMAX,-99
CHM00053646,2010-04-26,TMIN,-17
CHM00053646,2011-08-09,TMAX,319
CHM00053646,2007-10-17,TMAX,202
CHM00053646,2007-05-15,TMAX,245
CHM00053646,2007-05-15,TMIN,188
CHM00053646,2005-06-05,TMAX,267
CHM00053646,2009-01-14,TMAX,-24
CHM00053646,2006-10-26,TMAX,151
CHM00053646,2006-04-09,TMIN,99
