ID,Date,Element,Data_Value
ASN00014254,2015-02-27,TMAX,325
ASN00014254,2015-04-25,TMIN,245
ASN00014254,2013-12-18,TMIN,271
ASN00014254,2015-10-21,TMAX,344
ASN00014254,2013-10-19,TMIN,250
ASN00014254,2014-02-28,TMAX,327
ASN00014254,2014-06-10,TMIN,166
ASN00014254,2013-06-18,TMIN,180
ASN00014254,2014-08-05,TMAX,311
ASN00014254,2013-09-29,TMIN,241
ASN00014254,2015-12-06,TMIN,253
ASN00014254,2014-11-18,TMIN,233
ASN00014254,2015-11-09,TMIN,282
ASN00014254,2014-06-13,TMAX,316
ASN00014254,2014-01-22,TMIN,256
ASN00014254,2012-11-04,TMAX,353
ASN00014254,2013-09-26,TMAX,327
ASN00014254,2012-10-27,TMAX,344
ASN00014254,2012-12-08,TMAX,353
ASN00014254,2013-12-12,TMAX,359
ASN00014254,2014-07-22,TMAX,310
ASN00014254,2015-07-22,TMAX,303
ASN00014254,2015-07-29,TMIN,178
ASN00014254,2015-03-21,TMAX,344
ASN00014254,2012-12-27,TMAX,342
ASN00014254,2013-04-20,TMIN,247
ASN00014254,2015-03-22,TMIN,242
ASN00014254,2013-09-26,TMIN,214
ASN00014254,2013-02-26,TMAX,335
ASN00014254,2015-05-19,TMIN,220
ASN00014254,2014-12-24,TMIN,239
ASN00014254,2014-05-07,TMAX,306
ASN00014254,2014-10-20,TMAX,341
ASN00014254,2013-12-18,TMAX,353
ASN00014254,2015-11-09,TMAX,371
ASN00014254,2014-09-07,TMIN,189
ASN00014254,2015-01-30,TMIN,260
ASN00014254,2014-02-18,TMIN,233
ASN00014254,2013-01-28,TMAX,323
ASN00014254,2014-02-18,TMAX,299
ASN00014254,2015-12-06,TMAX,355
ASN00014254,2015-12-11,TMIN,255
ASN00014254,2013-11-05,TMAX,341
ASN00014254,2014-02-02,TMIN,249
ASN00014254,2015-08-08,TMIN,194
ASN00014254,2014-09-08,TMIN,185
ASN00014254,2014-08-02,TMAX,319
ASN00014254,2014-08-16,TMIN,140
ASN00014254,2013-06-18,TMAX,312
ASN00014254,2013-07-12,TMIN,213
ASN00014254,2014-09-07,TMAX,322
ASN00014254,2014-10-25,TMIN,223
ASN00014254,2015-06-05,TMAX,329
ASN00014254,2015-08-01,TMIN,211
ASN00014254,2014-08-02,TMIN,213
ASN00014254,2015-03-04,TMAX,319
ASN00014254,2015-03-04,TMIN,256
ASN00014254,2015-06-20,TMIN,171
ASN00014254,2012-11-15,TMIN,247
ASN00014254,2015-12-11,TMAX,363
ASN00014254,2014-01-20,TMAX,310
ASN00014254,2015-04-25,TMAX,322
ASN00014254,2013-02-28,TMIN,260
ASN00014254,2015-08-08,TMAX,325
ASN00014254,2012-11-04,TMIN,245
ASN00014254,2013-07-12,TMAX,316
ASN00014254,2013-07-22,TMAX,318
ASN00014254,2014-05-07,TMIN,187
ASN00014254,2014-06-13,TMIN,177
ASN00014254,2013-11-05,TMIN,221
ASN00014254,2013-02-22,TMAX,297
ASN00014254,2014-07-24,TMIN,182
ASN00014254,2014-12-10,TMIN,285
ASN00014254,2013-03-29,TMIN,254
ASN00014254,2014-12-07,TMIN,248
ASN00014254,2014-10-01,TMAX,330
ASN00014254,2014-05-11,TMIN,228
ASN00014254,2015-11-25,TMIN,265
ASN00014254,2013-08-07,TMIN,158
ASN00014254,2013-09-24,TMIN,208
ASN00014254,2014-12-08,TMAX,347
ASN00014254,2013-09-24,TMAX,341
ASN00014254,2015-03-27,TMAX,298
ASN00014254,2013-08-07,TMAX,309
ASN00014254,2014-10-16,TMAX,355
ASN00014254,2013-09-13,TMAX,332
ASN00014254,2014-10-16,TMIN,239
ASN00014254,2013-04-14,TMIN,231
ASN00014254,2015-11-12,TMIN,232
ASN00014254,2014-09-02,TMAX,319
ASN00014254,2015-03-02,TMAX,308
ASN00014254,2012-12-11,TMIN,258
ASN00014254,2013-08-25,TMIN,164
ASN00014254,2015-09-04,TMAX,325
ASN00014254,2014-11-18,TMAX,358
ASN00014254,2013-10-07,TMIN,231
ASN00014254,2015-11-25,TMAX,373
ASN00014254,2014-07-31,TMAX,318
ASN00014254,2013-04-20,TMAX,327
ASN00014254,2013-09-29,TMAX,334
ASN00014254,2015-04-17,TMIN,259
ASN00014254,2015-08-02,TMAX,317
ASN00014254,2015-12-27,TMAX,304
ASN00014254,2015-07-25,TMAX,328
ASN00014254,2013-05-23,TMAX,326
ASN00014254,2014-12-01,TMAX,347
ASN00014254,2013-07-18,TMIN,200
ASN00014254,2015-02-11,TMIN,250
ASN00014254,2013-07-18,TMAX,316
ASN00014254,2015-11-07,TMAX,357
ASN00014254,2014-05-11,TMAX,313
ASN00014254,2015-05-13,TMAX,325
ASN00014254,2015-06-18,TMAX,344
ASN00014254,2015-03-27,TMIN,244
ASN00014254,2013-01-07,TMAX,340
ASN00014254,2013-11-03,TMAX,355
ASN00014254,2015-10-29,TMAX,344
ASN00014254,2015-11-12,TMAX,343
ASN00014254,2015-03-25,TMIN,223
ASN00014254,2012-12-18,TMIN,256
ASN00014254,2014-06-15,TMIN,203
ASN00014254,2013-08-25,TMAX,327
ASN00014254,2013-11-03,TMIN,254
ASN00014254,2015-07-08,TMAX,309
ASN00014254,2015-10-29,TMIN,241
ASN00014254,2015-09-25,TMIN,242
ASN00014254,2012-12-23,TMAX,330
ASN00014254,2015-09-04,TMIN,214
ASN00014254,2013-01-07,TMIN,263
ASN00014254,2015-12-27,TMIN,228
ASN00014254,2014-01-20,TMIN,243
ASN00014254,2015-11-28,TMIN,249
ASN00014254,2015-09-23,TMAX,345
ASN00014254,2015-09-08,TMIN,185
ASN00014254,2013-02-26,TMIN,264
ASN00014254,2015-07-24,TMAX,308
ASN00014254,2015-08-25,TMAX,326
ASN00014254,2013-09-19,TMAX,337
ASN00014254,2015-10-21,TMIN,201
ASN00014254,2012-12-27,TMIN,254
ASN00014254,2015-01-20,TMIN,261
ASN00014254,2013-03-29,TMAX,285
ASN00014254,2013-12-05,TMAX,330
ASN00014254,2013-02-05,TMAX,338
ASN00014254,2013-02-28,TMAX,326
ASN00014254,2013-12-12,TMIN,256
ASN00014254,2014-07-24,TMAX,309
ASN00014254,2015-07-24,TMIN,182
ASN00014254,2015-03-21,TMIN,260
ASN00014254,2014-01-22,TMAX,321
ASN00014254,2012-12-08,TMIN,286
ASN00014254,2015-03-22,TMAX,329
ASN00014254,2012-12-05,TMAX,357
ASN00014254,2013-03-12,TMIN,244
ASN00014254,2013-12-05,TMIN,251
ASN00014254,2014-07-22,TMIN,170
ASN00014254,2015-11-07,TMIN,272
ASN00014254,2013-12-09,TMIN,265
ASN00014254,2013-10-29,TMAX,344
ASN00014254,2013-08-02,TMAX,330
ASN00014254,2013-08-02,TMIN,159
ASN00014254,2013-10-07,TMAX,343
ASN00014254,2014-04-21,TMIN,233
