ID,Date,Element,Data_Value
EI000003953,2015-09-23,TMIN,109
EI000003953,2009-05-26,TMAX,144
EI000003953,2011-12-26,TMAX,126
EI000003953,2007-04-27,TMIN,46
EI000003953,2012-05-17,TMAX,128
EI000003953,2013-11-14,TMAX,113
EI000003953,2009-04-24,TMIN,72
EI000003953,2014-02-24,TMAX,81
EI000003953,2007-02-26,TMAX,119
EI000003953,2014-09-08,TMAX,187
EI000003953,2015-01-09,TMIN,95
EI000003953,2007-11-25,TMIN,110
EI000003953,2012-07-26,TMAX,170
EI000003953,2012-05-13,TMAX,129
EI000003953,2007-01-21,TMIN,39
EI000003953,2008-06-07,TMAX,167
EI000003953,2007-08-29,TMIN,127
EI000003953,2014-06-20,TMAX,185
EI000003953,2013-04-28,TMIN,77
EI000003953,2007-06-08,TMAX,210
EI000003953,2009-05-26,TMIN,86
EI000003953,2008-10-09,TMIN,104
EI000003953,2014-11-11,TMAX,132
EI000003953,2010-07-29,TMAX,197
EI000003953,2013-07-03,TMIN,120
EI000003953,2010-04-05,TMAX,113
EI000003953,2006-09-10,TMIN,171
EI000003953,2009-12-17,TMAX,62
EI000003953,2006-10-01,TMIN,87
EI000003953,2008-06-24,TMIN,122
EI000003953,2006-10-21,TMIN,119
EI000003953,2008-04-12,TMAX,115
EI000003953,2014-10-20,TMIN,109
EI000003953,2011-06-23,TMAX,164
EI000003953,2009-06-15,TMAX,175
EI000003953,2006-10-01,TMAX,156
EI000003953,2012-05-27,TMIN,110
EI000003953,2005-04-15,TMIN,69
EI000003953,2009-12-17,TMIN,40
EI000003953,2005-04-15,TMAX,108
EI000003953,2013-07-03,TMAX,152
EI000003953,2008-02-01,TMIN,37
EI000003953,2008-08-19,TMAX,170
EI000003953,2011-04-25,TMAX,141
EI000003953,2014-12-23,TMAX,120
EI000003953,2014-08-17,TMAX,169
EI000003953,2008-10-25,TMIN,103
EI000003953,2010-09-08,TMAX,182
EI000003953,2015-09-17,TMIN,111
EI000003953,2006-10-19,TMIN,142
EI000003953,2007-01-08,TMIN,80
EI000003953,2007-01-21,TMAX,101
EI000003953,2013-12-22,TMAX,76
EI000003953,2011-01-21,TMAX,75
EI000003953,2008-02-01,TMAX,71
