ID,Date,Element,Data_Value
MX000029030,2014-07-17,TMAX,261
MX000029030,2008-01-10,TMAX,242
MX000029030,2005-01-30,TMIN,55
MX000029030,2007-02-11,TMAX,208
MX000029030,2013-01-31,TMIN,34
MX000029030,2012-04-27,TMAX,295
MX000029030,2011-09-25,TMIN,115
MX000029030,2015-08-10,TMIN,105
MX000029030,2011-09-25,TMAX,288
MX000029030,2010-09-20,TMIN,135
MXM00076685,2011-06-18,TMAX,262
MXM00076685,2007-12-25,TMAX,235
MX000029030,2015-11-08,TMIN,111
MX000029030,2015-11-08,TMAX,245
MX000029030,2011-06-22,TMAX,215
MX000029030,2006-01-27,TMAX,235
MXM00076685,2010-02-03,TMIN,86
MX000029030,2005-01-30,TMAX,266
MX000029030,2014-05-22,TMAX,270
MXM00076685,2012-09-24,TMIN,116
MX000029030,2008-01-10,TMIN,36
MXM00076685,2008-09-18,TMAX,228
MX000029030,2007-07-30,TMAX,255
MX000029030,2009-08-17,TMIN,75
MXM00076685,2012-09-24,TMAX,238
MX000029030,2011-01-21,TMIN,18
MX000029030,2014-05-22,TMIN,70
MX000029030,2012-01-18,TMIN,62
MX000029030,2010-09-20,TMAX,236
MX000029030,2013-06-15,TMAX,240
MX000029030,2006-11-14,TMAX,243
MXM00076685,2008-09-18,TMIN,108
MX000029030,2011-12-05,TMIN,45
MXM00076685,2011-06-18,TMIN,118
MX000029030,2011-03-15,TMIN,50
MXM00076685,2007-06-26,TMAX,246
MXM00076685,2007-06-06,TMIN,115
MX000029030,2009-08-17,TMAX,265
MXM00076685,2007-06-26,TMIN,130
MX000029030,2011-06-22,TMIN,137
MX000029030,2012-04-27,TMIN,36
MXM00076685,2015-09-25,TMAX,250
MX000029030,2015-04-07,TMAX,282
MX000029030,2014-05-19,TMAX,282
MXM00076685,2015-11-22,TMAX,258
MX000029030,2009-07-24,TMIN,96
MX000029030,2007-02-11,TMIN,30
MX000029030,2006-01-27,TMIN,50
MX000029030,2011-12-05,TMAX,277
