ID,Date,Element,Data_Value
CHM00059211,2011-03-10,TMAX,171
CHM00059211,2006-04-30,TMAX,265
CHM00059211,2005-04-21,TMIN,197
CHM00059211,2007-11-25,TMIN,144
CHM00059211,2007-06-08,TMIN,260
CHM00059211,2007-10-05,TMAX,329
CHM00059211,2014-07-07,TMIN,240
CHM00059211,2012-08-28,TMAX,365
CHM00059211,2007-11-25,TMAX,240
CHM00059211,2006-02-23,TMIN,125
CHM00059211,2011-09-20,TMIN,223
CHM00059211,2013-11-21,TMIN,158
CHM00059211,2014-01-18,TMAX,193
CHM00059211,2012-10-07,TMAX,275
CHM00059211,2010-11-14,TMAX,290
CHM00059211,2015-12-15,TMAX,162
CHM00059211,2010-09-09,TMIN,263
CHM00059211,2010-10-16,TMIN,185
CHM00059211,2008-07-24,TMIN,241
CHM00059211,2007-11-03,TMIN,146
CHM00059211,2009-04-24,TMIN,248
CHM00059211,2014-10-05,TMAX,257
CHM00059211,2010-07-11,TMIN,291
CHM00059211,2009-02-14,TMIN,146
CHM00059211,2005-06-01,TMIN,252
CHM00059211,2007-08-21,TMIN,247
CHM00059211,2013-11-21,TMAX,186
CHM00059211,2008-07-03,TMAX,341
CHM00059211,2009-03-08,TMIN,133
CHM00059211,2014-10-27,TMIN,212
CHM00059211,2012-10-12,TMIN,212
CHM00059211,2012-01-27,TMAX,97
CHM00059211,2009-02-20,TMAX,281
CHM00059211,2006-07-13,TMIN,265
CHM00059211,2005-04-21,TMAX,330
CHM00059211,2010-02-17,TMAX,180
CHM00059211,2010-07-29,TMIN,262
CHM00059211,2006-02-23,TMAX,183
CHM00059211,2012-08-13,TMIN,258
CHM00059211,2009-02-20,TMIN,162
CHM00059211,2010-10-01,TMAX,316
CHM00059211,2012-12-28,TMAX,134
CHM00059211,2009-01-25,TMAX,95
CHM00059211,2010-02-14,TMAX,139
CHM00059211,2012-10-07,TMIN,196
CHM00059211,2011-08-03,TMAX,362
CHM00059211,2011-09-26,TMIN,192
CHM00059211,2005-01-03,TMAX,145
CHM00059211,2014-06-17,TMIN,232
CHM00059211,2012-08-13,TMAX,353
CHM00059211,2006-08-13,TMIN,250
CHM00059211,2009-04-24,TMAX,336
CHM00059211,2007-12-28,TMIN,131
CHM00059211,2012-06-27,TMAX,271
CHM00059211,2005-08-30,TMAX,344
CHM00059211,2012-06-27,TMIN,248
CHM00059211,2011-08-03,TMIN,239
CHM00059211,2005-05-06,TMAX,322
CHM00059211,2006-11-18,TMIN,204
CHM00059211,2011-06-14,TMIN,256
CHM00059211,2007-12-28,TMAX,167
CHM00059211,2007-08-29,TMIN,249
CHM00059211,2007-08-29,TMAX,337
CHM00059211,2008-11-26,TMIN,122
CHM00059211,2005-06-01,TMAX,342
CHM00059211,2008-11-26,TMAX,238
CHM00059211,2012-10-12,TMAX,309
CHM00059211,2006-11-18,TMAX,276
CHM00059211,2008-07-24,TMAX,281
CHM00059211,2012-08-28,TMIN,239
CHM00059211,2006-08-13,TMAX,344
CHM00059211,2011-08-29,TMIN,231
CHM00059211,2011-09-20,TMAX,275
CHM00059211,2011-03-10,TMIN,130
CHM00059211,2006-02-20,TMAX,169
CHM00059211,2006-02-20,TMIN,103
CHM00059211,2010-06-03,TMIN,194
CHM00059211,2013-03-14,TMIN,164
CHM00059211,2007-06-08,TMAX,355
CHM00059211,2010-06-03,TMAX,300
CHM00059211,2006-07-13,TMAX,356
CHM00059211,2013-03-14,TMAX,221
CHM00059211,2014-02-01,TMIN,119
CHM00059211,2014-10-27,TMAX,306
CHM00059211,2014-06-17,TMAX,306
CHM00059211,2010-07-29,TMAX,321
CHM00059211,2006-12-20,TMIN,65
CHM00059211,2010-09-09,TMAX,342
CHM00059211,2006-12-20,TMAX,214
CHM00059211,2015-12-12,TMAX,154
CHM00059211,2014-12-08,TMAX,204
CHM00059211,2005-08-31,TMAX,354
CHM00059211,2014-11-03,TMAX,236
CHM00059211,2011-09-26,TMAX,331
CHM00059211,2008-08-28,TMAX,329
CHM00059211,2006-08-26,TMIN,246
CHM00059211,2008-07-03,TMIN,246
CHM00059211,2014-11-03,TMIN,165
CHM00059211,2010-10-16,TMAX,286
CHM00059211,2006-07-19,TMIN,247
CHM00059211,2011-06-14,TMAX,332
CHM00059211,2006-07-19,TMAX,331
CHM00059211,2014-10-18,TMAX,305
CHM00059211,2005-08-31,TMIN,248
CHM00059211,2010-05-25,TMAX,287
CHM00059211,2006-01-10,TMAX,195
CHM00059211,2007-05-07,TMAX,342
CHM00059211,2013-09-21,TMIN,231
CHM00059211,2009-04-18,TMIN,243
CHM00059211,2006-07-30,TMAX,326
CHM00059211,2015-06-14,TMIN,248
CHM00059211,2006-07-30,TMIN,240
CHM00059211,2011-02-01,TMIN,59
CHM00059211,2007-06-22,TMAX,368
CHM00059211,2006-11-26,TMIN,171
CHM00059211,2007-06-22,TMIN,260
CHM00059211,2008-10-02,TMAX,314
CHM00059211,2011-03-11,TMAX,144
CHM00059211,2015-11-10,TMAX,211
CHM00059211,2009-02-07,TMIN,144
CHM00059211,2008-11-14,TMAX,242
CHM00059211,2010-03-12,TMIN,93
