ID,Date,Element,Data_Value
KSM00047138,2009-11-18,TMIN,-9
KSM00047138,2007-08-12,TMAX,297
KSM00047138,2006-09-12,TMAX,234
KSM00047138,2010-02-15,TMIN,-1
KSM00047138,2011-10-15,TMAX,231
KSM00047138,2010-02-15,TMAX,79
KSM00047138,2014-05-06,TMAX,204
KSM00047138,2013-03-13,TMAX,156
KSM00047138,2014-05-06,TMIN,91
KSM00047138,2009-01-18,TMIN,14
KSM00047138,2013-03-23,TMIN,51
KSM00047138,2015-02-10,TMIN,-2
KSM00047138,2015-07-14,TMAX,333
KSM00047138,2011-12-23,TMAX,35
KSM00047138,2012-09-18,TMAX,266
KSM00047138,2011-03-28,TMAX,149
KSM00047138,2006-06-29,TMAX,295
KSM00047138,2013-03-23,TMAX,112
KSM00047138,2011-11-08,TMAX,162
KSM00047138,2011-02-27,TMAX,82
KSM00047138,2015-09-26,TMAX,254
KSM00047138,2009-06-08,TMIN,155
KSM00047138,2014-01-09,TMAX,30
KSM00047138,2007-01-23,TMAX,105
KSM00047138,2006-09-04,TMAX,308
KSM00047138,2007-04-13,TMAX,235
KSM00047138,2013-02-13,TMAX,74
KSM00047138,2012-05-28,TMAX,228
KSM00047138,2005-03-27,TMIN,-2
KSM00047138,2013-12-03,TMAX,121
KSM00047138,2012-08-20,TMAX,334
KSM00047138,2005-03-27,TMAX,160
KSM00047138,2015-07-14,TMIN,239
KSM00047138,2008-02-05,TMIN,-41
KSM00047138,2006-03-06,TMAX,121
KSM00047138,2006-12-20,TMIN,0
KSM00047138,2012-05-29,TMAX,269
KSM00047138,2013-06-28,TMIN,206
KSM00047138,2011-04-30,TMIN,155
KSM00047138,2009-10-01,TMAX,255
KSM00047138,2005-12-22,TMAX,6
KSM00047138,2006-12-19,TMAX,94
KSM00047138,2008-09-13,TMAX,261
KSM00047138,2007-01-19,TMIN,-16
KSM00047138,2012-11-18,TMAX,117
KSM00047138,2013-03-17,TMIN,49
KSM00047138,2006-12-19,TMIN,-13
KSM00047138,2009-06-08,TMAX,216
KSM00047138,2008-05-21,TMAX,287
KSM00047138,2011-04-30,TMAX,257
KSM00047138,2008-02-05,TMAX,46
KSM00047138,2006-09-29,TMAX,274
KSM00047138,2008-08-18,TMIN,212
KSM00047138,2005-10-30,TMIN,68
KSM00047138,2013-09-05,TMIN,179
KSM00047138,2014-03-11,TMIN,9
KSM00047138,2013-10-14,TMAX,265
KSM00047138,2007-11-03,TMIN,64
KSM00047138,2010-02-02,TMAX,49
