ID,Date,Element,Data_Value
SGM00061699,2012-06-16,TMIN,264
SGM00061699,2015-10-28,TMIN,230
SGM00061699,2009-05-17,TMAX,404
SGM00061699,2008-12-10,TMAX,346
SGM00061699,2009-02-26,TMAX,373
SGM00061699,2005-05-23,TMAX,387
SGM00061699,2006-04-24,TMAX,417
SGM00061699,2014-01-17,TMAX,342
SGM00061699,2013-01-23,TMAX,358
SGM00061699,2012-06-09,TMAX,384
SGM00061699,2013-04-05,TMIN,267
SGM00061699,2005-03-13,TMAX,398
SGM00061699,2009-05-17,TMIN,268
SGM00061699,2013-12-15,TMIN,180
SGM00061699,2005-05-23,TMIN,278
SGM00061699,2005-04-14,TMIN,287
SGM00061699,2013-12-15,TMAX,324
SGM00061699,2013-01-23,TMIN,197
SGM00061699,2015-10-28,TMAX,337
SGM00061699,2011-07-16,TMIN,230
SGM00061699,2011-11-07,TMIN,206
SGM00061699,2006-12-01,TMIN,182
SGM00061699,2013-11-22,TMAX,347
SGM00061699,2006-09-27,TMAX,335
SGM00061699,2010-08-06,TMIN,220
SGM00061699,2009-04-24,TMAX,424
SGM00061699,2009-07-19,TMAX,328
SGM00061699,2005-09-20,TMIN,243
SGM00061699,2010-07-13,TMAX,287
SGM00061699,2012-01-22,TMAX,306
SGM00061699,2010-07-06,TMIN,260
SGM00061699,2012-12-25,TMAX,372
SGM00061699,2012-01-22,TMIN,167
SGM00061699,2015-06-23,TMIN,214
SGM00061699,2009-07-16,TMAX,320
SGM00061699,2013-02-27,TMAX,403
SGM00061699,2012-12-25,TMIN,182
SGM00061699,2006-09-03,TMAX,322
SGM00061699,2011-10-06,TMIN,242
SGM00061699,2015-06-23,TMAX,378
SGM00061699,2013-07-09,TMAX,344
SGM00061699,2011-09-08,TMAX,334
SGM00061699,2010-07-13,TMIN,220
SGM00061699,2013-07-09,TMIN,234
SGM00061699,2009-08-05,TMIN,248
SGM00061699,2014-08-11,TMIN,230
SGM00061699,2005-06-26,TMIN,234
SGM00061699,2011-10-06,TMAX,358
SGM00061699,2005-06-26,TMAX,328
SGM00061699,2010-04-24,TMIN,280
SGM00061699,2009-06-26,TMAX,344
SGM00061699,2010-02-03,TMAX,392
SGM00061699,2011-10-09,TMAX,350
SGM00061699,2012-06-16,TMAX,372
SGM00061699,2012-05-15,TMIN,274
SGM00061699,2008-10-12,TMIN,240
SGM00061699,2005-10-26,TMAX,357
SGM00061699,2009-03-10,TMIN,266
SGM00061699,2015-06-26,TMIN,265
SGM00061699,2008-12-15,TMIN,185
SGM00061699,2005-08-20,TMIN,230
SGM00061699,2008-10-12,TMAX,343
SGM00061699,2012-08-29,TMAX,335
SGM00061699,2012-05-15,TMAX,380
SGM00061699,2006-04-02,TMAX,414
SGM00061699,2009-07-19,TMIN,246
SGM00061699,2006-04-02,TMIN,267
SGM00061699,2009-04-20,TMAX,422
SGM00061699,2012-08-24,TMIN,229
