ID,Date,Element,Data_Value
CA003077498,2005-05-19,TMIN,20
CA003077498,2011-05-15,TMAX,196
CA003077678,2011-07-06,TMIN,70
CA003077498,2011-05-15,TMIN,59
CA003077498,2007-08-15,TMIN,3
CA003077498,2005-06-02,TMIN,61
CA003077498,2005-08-05,TMIN,112
CA003077498,2007-06-02,TMIN,121
CA003077678,2005-05-18,TMAX,90
CA003077498,2005-08-01,TMAX,165
CA003077498,2007-05-13,TMAX,102
CA003077678,2006-05-26,TMAX,140
CA003077498,2005-05-19,TMAX,133
CA003077678,2005-08-05,TMIN,145
CA003077678,2005-08-02,TMIN,100
CA003077498,2007-07-07,TMIN,58
CA003077498,2011-07-19,TMAX,210
CA003077498,2011-05-26,TMIN,39
CA003077498,2006-09-01,TMIN,24
CA003077678,2006-06-24,TMIN,100
CA003077498,2011-06-13,TMAX,193
CA003077498,2006-08-24,TMAX,189
CA003077498,2005-05-28,TMAX,181
CA003077498,2007-08-16,TMAX,165
CA003077498,2011-06-18,TMAX,189
CA003077678,2007-08-07,TMAX,195
CA003077678,2006-08-04,TMIN,80
CA003077498,2006-04-15,TMAX,21
CA003077498,2011-06-09,TMIN,57
CA003077498,2006-06-27,TMAX,290
CA003077498,2005-06-14,TMAX,117
CA003077498,2011-05-14,TMIN,44
CA003077678,2007-07-13,TMAX,330
CA003077678,2007-08-07,TMIN,115
CA003077498,2006-08-11,TMIN,63
CA003077498,2007-07-03,TMAX,189
CA003077678,2008-07-24,TMAX,255
CA003077498,2005-05-28,TMIN,12
CA003077498,2006-04-15,TMIN,-13
CA003077498,2011-06-18,TMIN,84
CA003077678,2009-07-01,TMIN,50
CA003077498,2006-05-28,TMAX,168
CA003077498,2011-09-01,TMAX,149
CA003077678,2005-05-23,TMAX,110
CA003077678,2005-05-18,TMIN,20
CA003077498,2006-06-11,TMAX,170
CA003077498,2006-08-31,TMIN,24
CA003077498,2006-05-07,TMIN,33
CA003077498,2006-06-11,TMIN,43
CA003077498,2006-05-07,TMAX,126
CA003077498,2005-06-14,TMIN,78
CA003077678,2007-07-01,TMIN,115
CA003077678,2007-07-01,TMAX,195
CA003077498,2007-08-16,TMIN,21
CA003077498,2007-05-28,TMAX,131
CA003077678,2007-06-13,TMIN,90
CA003077678,2008-06-27,TMAX,250
CA003077498,2007-08-12,TMIN,18
CA003077678,2005-08-11,TMIN,80
CA003077498,2007-08-02,TMIN,104
CA003077678,2010-06-19,TMIN,10
CA003077498,2011-08-15,TMAX,165
CA003077678,2009-08-16,TMIN,70
CA003077678,2005-08-05,TMAX,230
CA003077498,2006-05-28,TMIN,31
CA003077498,2011-06-29,TMAX,188
CA003077498,2006-09-11,TMAX,138
CA003077498,2011-05-29,TMAX,155
CA003077498,2007-08-08,TMIN,35
CA003077678,2011-07-28,TMIN,70
CA003077678,2011-07-27,TMIN,100
CA003077498,2006-05-12,TMIN,40
CA003077678,2011-07-27,TMAX,240
CA003077498,2005-07-19,TMIN,50
CA003077498,2005-08-13,TMIN,41
CA003077498,2011-05-24,TMAX,115
CA003077498,2007-08-08,TMAX,97
CA003077498,2011-07-06,TMAX,210
CA003077498,2005-06-02,TMAX,206
CA003077678,2007-06-14,TMAX,230
CA003077498,2007-05-07,TMIN,5
CA003077678,2009-06-02,TMAX,240
CA003077678,2005-08-12,TMAX,210
CA003077678,2008-07-07,TMIN,50
CA003077498,2011-09-01,TMIN,21
CA003077498,2005-08-18,TMIN,29
CA003077498,2011-05-24,TMIN,-13
CA003077498,2005-07-19,TMAX,164
CA003077498,2005-06-19,TMAX,50
CA003077498,2007-05-12,TMAX,115
CA003077678,2009-08-16,TMAX,245
CA003077678,2007-07-24,TMAX,230
CA003077678,2006-06-04,TMAX,120
CA003077678,2005-08-10,TMIN,70
CA003077498,2007-05-24,TMAX,138
CA003077498,2011-09-09,TMAX,225
CA003077678,2005-05-23,TMIN,-20
CA003077678,2009-06-02,TMIN,60
CA003077498,2005-04-24,TMAX,144
CA003077678,2011-06-20,TMAX,280
CA003077678,2010-05-21,TMIN,-30
CA003077498,2005-09-30,TMAX,41
CA003077498,2005-09-30,TMIN,-47
CA003077678,2011-06-20,TMIN,100
CA003077678,2007-06-03,TMAX,250
CA003077498,2005-06-19,TMIN,1
CA003077678,2008-07-19,TMAX,290
CA003077678,2011-07-28,TMAX,240
CA003077678,2005-05-15,TMAX,260
CA003077498,2007-05-24,TMIN,-3
CA003077498,2006-06-12,TMAX,174
CA003077498,2011-07-06,TMIN,85
CA003077498,2007-07-18,TMIN,143
CA003077678,2008-07-19,TMIN,100
CA003077678,2005-08-12,TMIN,50
CA003077678,2008-08-09,TMAX,290
CA003077678,2008-07-02,TMAX,275
CA003077498,2005-08-05,TMAX,189
CA003077498,2007-06-04,TMIN,63
CA003077678,2008-06-23,TMAX,220
CA003077678,2008-07-02,TMIN,75
CA003077498,2007-09-14,TMAX,173
CA003077678,2011-06-24,TMAX,250
CA003077498,2007-07-03,TMIN,81
CA003077678,2005-05-16,TMAX,210
CA003077498,2007-05-28,TMIN,4
CA003077678,2006-06-08,TMAX,200
CA003077498,2005-09-22,TMAX,73
CA003077678,2010-08-12,TMAX,200
CA003077498,2007-07-07,TMAX,154
CA003077678,2007-06-11,TMAX,230
CA003077498,2007-08-12,TMAX,103
CA003077678,2007-06-11,TMIN,45
CA003077678,2010-08-12,TMIN,100
CA003077498,2011-05-26,TMAX,191
CA003077678,2005-07-25,TMIN,80
CA003077678,2007-07-13,TMIN,170
CA003077678,2006-06-10,TMAX,190
CA003077498,2006-08-24,TMIN,80
CA003077678,2011-06-24,TMIN,100
CA003077498,2007-06-02,TMAX,219
CA003077678,2007-07-24,TMIN,140
CA003077678,2007-06-14,TMIN,90
CA003077498,2005-04-17,TMIN,-99
CA003077678,2009-07-11,TMIN,60
CA003077678,2009-07-11,TMAX,240
CA003077498,2005-04-17,TMAX,-40
CA003077678,2005-08-10,TMAX,160
CA003077498,2006-09-23,TMAX,126
CA003077498,2006-05-12,TMAX,153
CA003077678,2009-06-01,TMIN,5
CA003077678,2007-07-22,TMIN,120
CA003077678,2009-06-01,TMAX,200
CA003077678,2007-06-03,TMIN,110
CA003077498,2005-08-10,TMIN,30
CA003077678,2010-06-16,TMAX,230
CA003077498,2005-08-10,TMAX,121
CA003077678,2011-07-18,TMAX,250
CA003077498,2006-06-04,TMAX,76
CA003077678,2008-08-09,TMIN,120
CA003077678,2005-05-16,TMIN,95
CA003077498,2007-05-13,TMIN,-8
CA003077498,2007-09-21,TMAX,55
CA003077498,2011-06-24,TMAX,197
