ID,Date,Element,Data_Value
MLM00061240,2006-09-27,TMAX,404
MLM00061240,2009-04-18,TMAX,429
MLM00061240,2009-11-21,TMAX,350
MLM00061240,2009-04-23,TMAX,395
MLM00061240,2006-06-17,TMIN,256
MLM00061240,2006-11-25,TMIN,177
MLM00061240,2006-10-30,TMAX,394
MLM00061240,2009-04-18,TMIN,281
MLM00061240,2006-10-30,TMIN,245
MLM00061240,2007-03-20,TMIN,288
MLM00061240,2009-11-30,TMIN,202
MLM00061240,2011-10-06,TMAX,390
MLM00061240,2008-12-10,TMIN,135
MLM00061240,2011-04-24,TMAX,398
MLM00061240,2008-08-30,TMIN,221
MLM00061240,2009-11-30,TMAX,318
MLM00061240,2010-08-29,TMAX,346
MLM00061240,2009-08-10,TMAX,340
MLM00061240,2008-10-10,TMIN,256
MLM00061240,2008-08-30,TMAX,345
MLM00061240,2009-04-02,TMIN,293
MLM00061240,2010-08-29,TMIN,225
MLM00061240,2009-04-02,TMAX,403
MLM00061240,2009-02-28,TMAX,395
MLM00061240,2008-10-10,TMAX,409
MLM00061240,2006-12-02,TMAX,333
MLM00061240,2009-02-28,TMIN,305
MLM00061240,2011-12-25,TMAX,315
MLM00061240,2011-09-17,TMIN,246
MLM00061240,2011-12-25,TMIN,153
MLM00061240,2011-09-17,TMAX,365
MLM00061240,2010-03-13,TMAX,422
MLM00061240,2006-08-15,TMIN,252
MLM00061240,2006-12-02,TMIN,182
MLM00061240,2009-10-10,TMIN,314
MLM00061240,2011-08-25,TMAX,345
MLM00061240,2009-02-24,TMAX,387
MLM00061240,2011-08-25,TMIN,265
MLM00061240,2010-04-02,TMAX,422
MLM00061240,2009-08-10,TMIN,227
MLM00061240,2005-03-27,TMAX,426
MLM00061240,2010-08-15,TMAX,350
MLM00061240,2009-02-24,TMIN,225
MLM00061240,2011-12-14,TMAX,304
MLM00061240,2009-02-19,TMIN,242
MLM00061240,2007-08-15,TMIN,250
MLM00061240,2007-08-15,TMAX,334
MLM00061240,2010-06-11,TMIN,290
MLM00061240,2009-05-01,TMAX,446
MLM00061240,2008-02-12,TMIN,202
MLM00061240,2008-02-27,TMIN,255
MLM00061240,2010-06-18,TMAX,407
MLM00061240,2006-08-03,TMIN,273
MLM00061240,2005-04-30,TMAX,430
MLM00061240,2009-02-17,TMAX,321
MLM00061240,2010-06-04,TMIN,308
MLM00061240,2005-04-30,TMIN,308
MLM00061240,2010-10-19,TMAX,387
MLM00061240,2010-06-11,TMAX,411
MLM00061240,2011-08-29,TMAX,355
MLM00061240,2009-09-18,TMIN,282
MLM00061240,2008-07-15,TMAX,400
MLM00061240,2011-08-29,TMIN,244
MLM00061240,2010-06-18,TMIN,300
MLM00061240,2010-12-17,TMIN,200
MLM00061240,2006-06-02,TMAX,442
MLM00061240,2008-02-27,TMAX,400
MLM00061240,2009-08-31,TMIN,235
MLM00061240,2005-09-18,TMIN,250
MLM00061240,2011-06-12,TMIN,300
MLM00061240,2008-07-15,TMIN,270
MLM00061240,2011-10-03,TMAX,427
MLM00061240,2011-11-21,TMIN,214
MLM00061240,2011-11-21,TMAX,392
MLM00061240,2009-07-01,TMAX,342
MLM00061240,2008-06-29,TMIN,255
MLM00061240,2011-10-09,TMIN,275
MLM00061240,2006-07-11,TMIN,268
MLM00061240,2006-10-28,TMAX,385
MLM00061240,2009-11-14,TMAX,374
MLM00061240,2008-11-02,TMIN,242
MLM00061240,2010-03-17,TMAX,395
MLM00061240,2007-11-05,TMIN,200
MLM00061240,2007-11-05,TMAX,383
MLM00061240,2010-12-17,TMAX,346
MLM00061240,2011-06-12,TMAX,407
MLM00061240,2006-08-03,TMAX,359
MLM00061240,2009-11-14,TMIN,215
MLM00061240,2008-06-29,TMAX,357
MLM00061240,2009-02-13,TMIN,246
MLM00061240,2005-09-18,TMAX,410
MLM00061240,2006-10-28,TMIN,257
MLM00061240,2006-06-02,TMIN,295
MLM00061240,2011-08-20,TMIN,230
MLM00061240,2009-05-01,TMIN,315
MLM00061240,2011-03-16,TMIN,275
MLM00061240,2011-05-16,TMAX,455
MLM00061240,2006-12-06,TMIN,172
MLM00061240,2006-12-06,TMAX,315
MLM00061240,2009-11-20,TMAX,353
MLM00061240,2012-01-27,TMIN,165
MLM00061240,2010-10-07,TMAX,332
MLM00061240,2009-11-20,TMIN,194
MLM00061240,2009-11-21,TMIN,200
MLM00061240,2012-01-27,TMAX,325
MLM00061240,2006-02-14,TMIN,224
MLM00061240,2006-02-14,TMAX,383
MLM00061240,2011-05-16,TMIN,316
MLM00061240,2011-04-11,TMIN,274
MLM00061240,2005-03-27,TMIN,288
MLM00061240,2008-07-11,TMAX,420
MLM00061240,2008-07-11,TMIN,190
MLM00061240,2011-04-11,TMAX,413
MLM00061240,2006-11-13,TMIN,212
MLM00061240,2005-06-27,TMAX,345
MLM00061240,2005-06-27,TMIN,235
MLM00061240,2005-05-23,TMIN,289
MLM00061240,2005-05-23,TMAX,426
MLM00061240,2006-11-25,TMAX,350
MLM00061240,2011-03-16,TMAX,420
MLM00061240,2008-07-17,TMAX,357
MLM00061240,2010-01-08,TMAX,350
MLM00061240,2011-05-28,TMAX,450
MLM00061240,2010-01-08,TMIN,188
MLM00061240,2011-05-28,TMIN,288
MLM00061240,2011-02-09,TMIN,197
MLM00061240,2006-03-19,TMIN,185
MLM00061240,2010-11-13,TMAX,403
MLM00061240,2006-11-13,TMAX,343
MLM00061240,2010-11-13,TMIN,252
MLM00061240,2005-04-08,TMAX,430
MLM00061240,2006-04-24,TMAX,375
MLM00061240,2006-10-29,TMAX,402
