ID,Date,Element,Data_Value
MGM00044313,2010-03-10,TMIN,-158
MGM00044313,2010-02-08,TMAX,-166
MGM00044313,2007-10-30,TMAX,11
MGM00044313,2007-12-15,TMAX,-106
MGM00044313,2007-10-30,TMIN,-76
MGM00044313,2014-02-13,TMAX,-111
MGM00044313,2011-06-04,TMAX,252
MGM00044313,2015-04-20,TMAX,80
MGM00044313,2009-01-13,TMAX,-200
MGM00044313,2011-12-09,TMAX,-140
MGM00044313,2012-04-14,TMIN,-101
MGM00044313,2013-03-05,TMAX,-10
MGM00044313,2013-03-29,TMAX,-86
MGM00044313,2008-01-17,TMIN,-364
MGM00044313,2013-02-14,TMAX,-204
MGM00044313,2015-09-11,TMIN,0
MGM00044313,2006-08-21,TMIN,73
MGM00044313,2008-08-15,TMAX,287
MGM00044313,2006-08-21,TMAX,285
MGM00044313,2015-10-26,TMAX,67
MGM00044313,2014-09-02,TMAX,203
MGM00044313,2011-03-27,TMIN,-163
MGM00044313,2011-03-27,TMAX,10
MGM00044313,2008-08-15,TMIN,77
MGM00044313,2013-07-30,TMIN,154
MGM00044313,2014-02-13,TMIN,-275
MGM00044313,2013-07-30,TMAX,286
MGM00044313,2015-11-27,TMAX,-140
MGM00044313,2011-06-26,TMIN,129
MGM00044313,2014-10-20,TMAX,-37
MGM00044313,2014-05-27,TMIN,39
MGM00044313,2008-03-19,TMIN,-114
MGM00044313,2014-05-27,TMAX,179
MGM00044313,2014-07-15,TMIN,120
MGM00044313,2006-07-13,TMIN,152
MGM00044313,2010-03-10,TMAX,-20
MGM00044313,2009-07-14,TMAX,245
MGM00044313,2006-07-13,TMAX,255
MGM00044313,2012-02-29,TMIN,-263
MGM00044313,2012-05-20,TMAX,266
MGM00044313,2012-02-29,TMAX,-96
MGM00044313,2013-05-28,TMAX,164
MGM00044313,2012-02-28,TMAX,-36
MGM00044313,2008-03-19,TMAX,75
MGM00044313,2011-03-12,TMIN,-208
MGM00044313,2015-09-11,TMAX,145
MGM00044313,2005-09-28,TMAX,197
MGM00044313,2015-10-01,TMAX,81
MGM00044313,2007-07-20,TMAX,206
MGM00044313,2010-04-18,TMAX,153
MGM00044313,2009-04-21,TMAX,128
MGM00044313,2013-03-21,TMIN,-215
MGM00044313,2013-03-21,TMAX,-108
MGM00044313,2012-12-23,TMIN,-374
MGM00044313,2007-03-01,TMAX,24
MGM00044313,2011-06-26,TMAX,298
MGM00044313,2006-05-06,TMIN,31
MGM00044313,2005-11-21,TMAX,-38
MGM00044313,2010-07-11,TMAX,289
MGM00044313,2010-07-27,TMAX,222
MGM00044313,2014-07-15,TMAX,249
MGM00044313,2005-11-21,TMIN,-112
MGM00044313,2010-07-27,TMIN,103
MGM00044313,2013-05-01,TMAX,134
MGM00044313,2013-05-01,TMIN,-19
MGM00044313,2007-09-28,TMAX,140
MGM00044313,2014-12-11,TMIN,-272
MGM00044313,2010-12-04,TMAX,-130
MGM00044313,2012-10-25,TMIN,-48
MGM00044313,2007-12-15,TMIN,-213
MGM00044313,2014-12-11,TMAX,-142
MGM00044313,2012-10-25,TMAX,153
MGM00044313,2007-12-19,TMAX,-112
MGM00044313,2015-10-10,TMIN,-2
MGM00044313,2014-01-11,TMAX,-183
MGM00044313,2015-10-10,TMAX,70
MGM00044313,2009-01-26,TMAX,-182
MGM00044313,2011-02-20,TMAX,-20
MGM00044313,2013-07-29,TMAX,248
MGM00044313,2010-01-14,TMAX,-193
MGM00044313,2005-10-14,TMAX,74
MGM00044313,2012-06-27,TMAX,251
MGM00044313,2012-06-27,TMIN,97
MGM00044313,2007-11-19,TMAX,-110
MGM00044313,2008-11-05,TMAX,61
MGM00044313,2010-05-31,TMIN,88
MGM00044313,2006-06-08,TMAX,135
MGM00044313,2010-01-14,TMIN,-369
MGM00044313,2011-02-13,TMIN,-378
MGM00044313,2006-06-08,TMIN,66
MGM00044313,2013-12-12,TMIN,-247
MGM00044313,2013-12-12,TMAX,-185
MGM00044313,2006-12-04,TMAX,-150
MGM00044313,2008-08-16,TMIN,96
MGM00044313,2008-08-16,TMAX,321
MGM00044313,2005-09-03,TMIN,17
MGM00044313,2005-09-03,TMAX,216
MGM00044313,2011-02-13,TMAX,-225
MGM00044313,2014-05-31,TMIN,117
MGM00044313,2009-11-14,TMAX,-121
MGM00044313,2009-11-02,TMAX,-32
MGM00044313,2006-02-20,TMAX,-12
MGM00044313,2006-02-20,TMIN,-190
MGM00044313,2011-08-02,TMIN,140
MGM00044313,2015-07-06,TMAX,307
MGM00044313,2011-08-02,TMAX,224
MGM00044313,2006-05-09,TMIN,-2
MGM00044313,2008-10-05,TMAX,100
MGM00044313,2008-10-05,TMIN,-94
MGM00044313,2009-07-26,TMIN,133
MGM00044313,2006-05-09,TMAX,82
MGM00044313,2011-08-27,TMAX,302
MGM00044313,2009-02-20,TMIN,-339
MGM00044313,2015-08-12,TMAX,304
MGM00044313,2015-08-12,TMIN,135
MGM00044313,2012-04-23,TMAX,239
MGM00044313,2008-09-01,TMAX,192
MGM00044313,2009-11-02,TMIN,-178
MGM00044313,2009-07-26,TMAX,319
MGM00044313,2012-10-09,TMAX,91
MGM00044313,2014-05-31,TMAX,367
MGM00044313,2008-11-22,TMAX,-32
MGM00044313,2008-11-22,TMIN,-87
MGM00044313,2015-04-04,TMAX,0
MGM00044313,2009-05-07,TMAX,173
MGM00044313,2009-05-07,TMIN,67
MGM00044313,2006-09-09,TMAX,100
MGM00044313,2007-06-17,TMAX,332
MGM00044313,2015-03-21,TMAX,-36
MGM00044313,2006-09-09,TMIN,-24
MGM00044313,2012-03-02,TMIN,-303
MGM00044313,2015-07-29,TMAX,231
MGM00044313,2012-03-02,TMAX,-129
MGM00044313,2009-10-19,TMAX,0
MGM00044313,2012-11-10,TMAX,-1
MGM00044313,2011-11-20,TMAX,-132
MGM00044313,2014-08-05,TMAX,190
MGM00044313,2005-06-29,TMAX,256
MGM00044313,2005-06-29,TMIN,154
MGM00044313,2011-03-26,TMAX,2
MGM00044313,2011-03-26,TMIN,-185
MGM00044313,2015-08-18,TMAX,291
MGM00044313,2007-11-08,TMAX,41
MGM00044313,2009-06-10,TMAX,150
MGM00044313,2010-02-07,TMAX,-148
MGM00044313,2007-02-27,TMAX,-2
MGM00044313,2010-08-29,TMAX,205
MGM00044313,2014-11-29,TMAX,-40
MGM00044313,2015-04-28,TMAX,242
MGM00044313,2015-04-28,TMIN,41
MGM00044313,2010-05-31,TMAX,250
MGM00044313,2008-06-01,TMAX,176
MGM00044313,2008-06-01,TMIN,72
MGM00044313,2013-07-25,TMAX,270
MGM00044313,2013-07-25,TMIN,139
MGM00044313,2005-11-19,TMAX,-24
MGM00044313,2011-07-26,TMAX,180
MGM00044313,2011-07-26,TMIN,160
MGM00044313,2011-02-18,TMIN,-285
MGM00044313,2011-07-02,TMAX,246
MGM00044313,2011-07-02,TMIN,113
MGM00044313,2005-11-19,TMIN,-151
MGM00044313,2015-12-02,TMAX,-118
MGM00044313,2015-12-02,TMIN,-188
MGM00044313,2012-09-23,TMAX,193
MGM00044313,2008-07-06,TMAX,225
MGM00044313,2013-07-24,TMAX,238
MGM00044313,2008-05-18,TMAX,166
MGM00044313,2011-03-06,TMIN,-265
MGM00044313,2007-04-19,TMIN,-38
MGM00044313,2007-04-19,TMAX,155
MGM00044313,2013-12-13,TMIN,-247
MGM00044313,2013-12-13,TMAX,-175
MGM00044313,2011-03-06,TMAX,-85
MGM00044313,2006-08-14,TMIN,68
MGM00044313,2006-08-14,TMAX,210
MGM00044313,2007-07-10,TMAX,227
MGM00044313,2007-02-07,TMIN,-238
MGM00044313,2010-02-19,TMAX,-96
MGM00044313,2010-02-19,TMIN,-205
MGM00044313,2005-11-18,TMAX,-49
MGM00044313,2013-07-23,TMAX,260
MGM00044313,2013-07-23,TMIN,140
MGM00044313,2015-04-13,TMIN,-20
MGM00044313,2015-04-13,TMAX,182
MGM00044313,2015-05-17,TMAX,215
MGM00044313,2007-07-10,TMIN,175
MGM00044313,2005-03-13,TMAX,-28
MGM00044313,2015-05-09,TMAX,109
MGM00044313,2015-05-09,TMIN,-51
MGM00044313,2014-01-09,TMIN,-299
MGM00044313,2012-03-04,TMIN,-221
MGM00044313,2012-03-04,TMAX,-43
MGM00044313,2006-11-10,TMAX,-80
MGM00044313,2012-04-05,TMAX,-14
MGM00044313,2014-07-12,TMAX,263
MGM00044313,2011-05-11,TMAX,180
MGM00044313,2014-01-21,TMIN,-286
MGM00044313,2014-01-21,TMAX,-128
MGM00044313,2014-12-22,TMAX,-68
MGM00044313,2011-08-26,TMAX,274
MGM00044313,2011-08-26,TMIN,134
MGM00044313,2009-08-17,TMAX,206
MGM00044313,2008-01-27,TMAX,-151
MGM00044313,2014-06-02,TMAX,290
MGM00044313,2008-01-27,TMIN,-246
MGM00044313,2005-03-13,TMIN,-259
MGM00044313,2008-04-17,TMAX,263
MGM00044313,2012-06-16,TMAX,202
MGM00044313,2007-02-07,TMAX,-79
MGM00044313,2007-09-16,TMIN,78
MGM00044313,2009-04-05,TMAX,153
MGM00044313,2009-09-03,TMAX,286
MGM00044313,2006-06-16,TMIN,102
MGM00044313,2015-12-25,TMAX,-235
MGM00044313,2007-05-10,TMIN,-6
MGM00044313,2010-10-23,TMAX,9
MGM00044313,2006-06-16,TMAX,188
MGM00044313,2013-05-31,TMAX,216
MGM00044313,2010-10-23,TMIN,-72
MGM00044313,2010-03-22,TMIN,-148
MGM00044313,2009-07-07,TMAX,249
MGM00044313,2010-03-22,TMAX,-32
MGM00044313,2012-03-03,TMAX,-70
MGM00044313,2015-02-16,TMAX,-68
MGM00044313,2007-01-02,TMIN,-280
MGM00044313,2007-01-02,TMAX,-131
