ID,Date,Element,Data_Value
RSM00020476,2005-02-24,TMIN,-294
RSM00020476,2007-09-20,TMAX,24
RSM00020476,2015-09-05,TMAX,69
RSM00020476,2009-07-05,TMIN,39
RSM00020476,2006-03-05,TMAX,-221
RSM00020476,2012-03-03,TMAX,-202
RSM00020476,2012-03-03,TMIN,-240
RSM00020476,2005-11-20,TMAX,-143
RSM00020476,2005-02-24,TMAX,-210
RSM00020476,2010-11-17,TMIN,-217
RSM00020476,2006-01-02,TMAX,-61
RSM00020476,2009-05-12,TMIN,-202
RSM00020476,2010-11-17,TMAX,-140
RSM00020476,2005-11-20,TMIN,-184
RSM00020476,2007-11-05,TMIN,-270
RSM00020476,2009-11-24,TMIN,-312
RSM00020476,2015-12-08,TMIN,-226
RSM00020476,2009-11-24,TMAX,-250
RSM00020476,2010-11-26,TMIN,-306
RSM00020476,2010-11-26,TMAX,-254
RSM00020476,2007-11-05,TMAX,-166
RSM00020476,2011-05-16,TMAX,-97
RSM00020476,2008-07-07,TMAX,11
RSM00020476,2009-12-27,TMIN,-279
RSM00020476,2007-01-20,TMIN,-335
RSM00020476,2011-05-16,TMIN,-133
RSM00020476,2008-07-07,TMIN,0
RSM00020476,2010-11-15,TMAX,-138
RSM00020476,2013-01-05,TMAX,-254
RSM00020476,2007-09-20,TMIN,-6
RSM00020476,2011-02-09,TMIN,-317
RSM00020476,2009-01-01,TMIN,-205
RSM00020476,2011-10-28,TMAX,-140
RSM00020476,2009-01-01,TMAX,-139
RSM00020476,2006-03-21,TMIN,-349
RSM00020476,2005-01-23,TMIN,-198
RSM00020476,2006-07-04,TMIN,23
RSM00020476,2011-06-15,TMAX,131
RSM00020476,2010-11-15,TMIN,-201
RSM00020476,2006-07-04,TMAX,98
RSM00020476,2011-02-09,TMAX,-300
RSM00020476,2009-12-27,TMAX,-236
RSM00020476,2011-09-05,TMIN,6
RSM00020476,2011-09-05,TMAX,27
RSM00020476,2012-12-13,TMAX,-37
RSM00020476,2007-01-20,TMAX,-241
RSM00020476,2006-03-05,TMIN,-261
RSM00020476,2005-01-23,TMAX,-108
RSM00020476,2005-04-24,TMAX,-154
RSM00020476,2007-10-18,TMIN,-94
RSM00020476,2007-08-11,TMAX,150
RSM00020476,2010-12-29,TMAX,-253
RSM00020476,2010-12-29,TMIN,-320
RSM00020476,2008-08-04,TMIN,-2
RSM00020476,2010-01-25,TMAX,-160
RSM00020476,2007-11-02,TMIN,-242
RSM00020476,2010-01-25,TMIN,-333
RSM00020476,2009-09-24,TMAX,39
RSM00020476,2007-08-29,TMIN,23
RSM00020476,2005-01-28,TMAX,-69
RSM00020476,2009-09-24,TMIN,-23
RSM00020476,2010-08-16,TMIN,19
RSM00020476,2007-08-29,TMAX,53
RSM00020476,2006-03-04,TMAX,-174
RSM00020476,2006-03-04,TMIN,-250
RSM00020476,2009-12-06,TMAX,-186
RSM00020476,2010-08-16,TMAX,99
RSM00020476,2009-12-06,TMIN,-211
RSM00020476,2007-04-17,TMIN,-67
RSM00020476,2007-04-17,TMAX,-42
RSM00020476,2005-01-28,TMIN,-140
RSM00020476,2013-12-16,TMIN,-339
RSM00020476,2010-11-07,TMAX,2
RSM00020476,2010-11-07,TMIN,-122
RSM00020476,2006-12-15,TMIN,-234
RSM00020476,2012-08-23,TMIN,59
RSM00020476,2009-04-24,TMAX,-54
RSM00020476,2009-04-24,TMIN,-144
RSM00020476,2011-03-07,TMAX,-148
RSM00020476,2011-06-15,TMIN,14
RSM00020476,2011-03-07,TMIN,-184
RSM00020476,2011-08-24,TMIN,3
RSM00020476,2012-01-10,TMAX,-174
RSM00020476,2012-01-10,TMIN,-260
RSM00020476,2007-08-11,TMIN,30
RSM00020476,2010-04-30,TMIN,-184
RSM00020476,2010-04-30,TMAX,-105
RSM00020476,2007-10-04,TMAX,35
RSM00020476,2006-03-21,TMAX,-267
RSM00020476,2009-05-12,TMAX,-95
RSM00020476,2007-10-18,TMAX,-47
RSM00020476,2007-10-04,TMIN,-8
RSM00020476,2010-10-03,TMAX,-18
RSM00020476,2006-04-15,TMAX,-94
RSM00020476,2006-04-15,TMIN,-136
RSM00020476,2010-10-03,TMIN,-40
RSM00020476,2008-08-16,TMIN,6
RSM00020476,2008-08-16,TMAX,89
RSM00020476,2009-10-26,TMIN,-156
RSM00020476,2009-10-26,TMAX,-109
RSM00020476,2008-08-04,TMAX,28
RSM00020476,2006-11-19,TMIN,-174
RSM00020476,2006-11-19,TMAX,-140
RSM00020476,2007-10-24,TMAX,-11
RSM00020476,2012-04-01,TMIN,-154
RSM00020476,2012-03-24,TMAX,-233
RSM00020476,2012-04-01,TMAX,-86
RSM00020476,2012-03-24,TMIN,-259
RSM00020476,2007-10-24,TMIN,-136
RSM00020476,2011-08-24,TMAX,25
RSM00020476,2015-09-05,TMIN,32
RSM00020476,2010-03-10,TMAX,-181
RSM00020476,2010-08-11,TMAX,31
RSM00020476,2006-12-30,TMIN,-237
RSM00020476,2012-01-23,TMAX,-213
RSM00020476,2005-03-15,TMIN,-403
RSM00020476,2005-03-15,TMAX,-370
RSM00020476,2006-09-21,TMAX,6
RSM00020476,2006-11-12,TMAX,-178
RSM00020476,2007-12-14,TMAX,-225
RSM00020476,2007-01-08,TMIN,-160
RSM00020476,2007-12-14,TMIN,-279
RSM00020476,2012-08-10,TMIN,64
RSM00020476,2007-01-08,TMAX,-78
RSM00020476,2009-08-06,TMAX,42
RSM00020476,2009-08-06,TMIN,20
RSM00020476,2006-01-18,TMAX,-110
RSM00020476,2015-10-16,TMIN,-168
RSM00020476,2008-06-19,TMIN,-6
RSM00020476,2009-03-06,TMAX,-395
RSM00020476,2009-03-06,TMIN,-454
RSM00020476,2005-05-13,TMIN,-85
RSM00020476,2005-02-13,TMAX,-271
RSM00020476,2005-02-13,TMIN,-296
RSM00020476,2011-11-16,TMIN,-160
RSM00020476,2013-04-16,TMIN,-155
RSM00020476,2006-11-16,TMIN,-225
RSM00020476,2013-04-14,TMAX,-212
RSM00020476,2008-09-20,TMAX,5
RSM00020476,2008-09-20,TMIN,-22
RSM00020476,2013-04-14,TMIN,-288
RSM00020476,2005-05-13,TMAX,-42
RSM00020476,2006-12-30,TMAX,-202
RSM00020476,2006-01-18,TMIN,-167
RSM00020476,2006-09-21,TMIN,-9
RSM00020476,2012-09-15,TMAX,42
RSM00020476,2006-04-28,TMIN,-261
RSM00020476,2012-01-03,TMAX,-31
RSM00020476,2011-08-26,TMIN,-3
RSM00020476,2007-10-11,TMAX,-26
RSM00020476,2005-12-26,TMAX,-242
RSM00020476,2008-11-25,TMIN,-212
RSM00020476,2005-12-26,TMIN,-294
RSM00020476,2008-11-25,TMAX,-180
RSM00020476,2006-05-08,TMIN,-105
RSM00020476,2006-05-08,TMAX,-19
RSM00020476,2013-10-23,TMIN,-156
RSM00020476,2008-07-29,TMIN,18
RSM00020476,2012-05-14,TMAX,-32
RSM00020476,2012-05-14,TMIN,-109
RSM00020476,2008-07-29,TMAX,64
RSM00020476,2012-07-29,TMIN,58
RSM00020476,2012-07-29,TMAX,98
RSM00020476,2011-03-27,TMIN,-75
RSM00020476,2011-03-27,TMAX,-24
RSM00020476,2008-07-17,TMAX,65
RSM00020476,2012-07-05,TMAX,145
RSM00020476,2007-10-11,TMIN,-56
RSM00020476,2012-07-05,TMIN,22
RSM00020476,2008-01-17,TMAX,-221
RSM00020476,2008-01-17,TMIN,-328
RSM00020476,2006-11-02,TMIN,-222
RSM00020476,2013-09-04,TMIN,9
RSM00020476,2012-08-10,TMAX,98
RSM00020476,2012-01-23,TMIN,-262
RSM00020476,2008-07-17,TMIN,9
RSM00020476,2011-10-21,TMIN,-106
RSM00020476,2011-11-16,TMAX,-95
RSM00020476,2008-06-19,TMAX,20
RSM00020476,2009-12-26,TMIN,-290
RSM00020476,2008-10-23,TMIN,-19
RSM00020476,2008-10-23,TMAX,2
RSM00020476,2011-03-03,TMAX,-307
RSM00020476,2015-08-11,TMIN,6
RSM00020476,2011-03-03,TMIN,-360
RSM00020476,2006-11-16,TMAX,-133
RSM00020476,2010-12-06,TMAX,-215
RSM00020476,2008-06-06,TMIN,-71
RSM00020476,2010-12-06,TMIN,-366
RSM00020476,2015-08-24,TMAX,26
RSM00020476,2015-08-24,TMIN,6
RSM00020476,2013-11-19,TMIN,-227
RSM00020476,2011-10-28,TMIN,-214
RSM00020476,2006-03-31,TMIN,-259
RSM00020476,2006-03-31,TMAX,-220
RSM00020476,2008-06-12,TMIN,-29
RSM00020476,2008-06-12,TMAX,-1
RSM00020476,2006-01-02,TMIN,-195
RSM00020476,2012-08-05,TMAX,88
RSM00020476,2012-08-05,TMIN,52
RSM00020476,2015-08-11,TMAX,34
RSM00020476,2010-08-11,TMIN,9
RSM00020476,2010-03-10,TMIN,-226
RSM00020476,2009-07-05,TMAX,86
RSM00020476,2012-06-04,TMAX,27
RSM00020476,2012-06-04,TMIN,-11
RSM00020476,2007-11-02,TMAX,-116
RSM00020476,2011-10-21,TMAX,-27
RSM00020476,2009-12-26,TMAX,-227
RSM00020476,2009-06-13,TMIN,-7
RSM00020476,2006-04-16,TMAX,-123
RSM00020476,2005-06-19,TMAX,81
RSM00020476,2005-03-27,TMAX,-230
RSM00020476,2005-03-27,TMIN,-302
RSM00020476,2009-06-13,TMAX,4
RSM00020476,2013-05-14,TMIN,-65
RSM00020476,2010-08-03,TMIN,6
RSM00020476,2009-07-06,TMIN,51
RSM00020476,2009-07-06,TMAX,130
RSM00020476,2010-08-03,TMAX,16
RSM00020476,2013-06-30,TMIN,-25
RSM00020476,2005-08-16,TMAX,14
RSM00020476,2005-08-16,TMIN,0
