ID,Date,Element,Data_Value
TUM00017112,2006-08-12,TMAX,327
TUM00017112,2009-05-02,TMAX,186
TUM00017112,2010-11-08,TMAX,226
TUM00017112,2005-10-23,TMIN,105
TUM00017112,2009-05-02,TMIN,110
TUM00017112,2012-12-15,TMAX,102
TUM00017112,2010-11-08,TMIN,108
TUM00017112,2008-04-14,TMAX,196
TUM00017112,2009-09-03,TMAX,302
TUM00017112,2009-07-18,TMAX,350
TUM00017112,2005-10-23,TMAX,205
TUM00017112,2014-04-26,TMIN,129
TUM00017112,2011-10-06,TMAX,250
TUM00017112,2009-11-19,TMAX,172
TUM00017112,2013-12-01,TMIN,80
TUM00017112,2008-05-18,TMAX,265
TUM00017112,2007-07-22,TMIN,224
TUM00017112,2006-09-27,TMIN,195
TUM00017112,2008-07-03,TMAX,309
TUM00017112,2014-02-15,TMIN,57
TUM00017112,2007-09-08,TMAX,210
TUM00017112,2007-05-27,TMAX,231
TUM00017112,2007-05-27,TMIN,177
TUM00017112,2010-08-20,TMIN,250
TUM00017112,2013-06-11,TMIN,187
TUM00017112,2011-08-23,TMAX,313
TUM00017112,2009-07-29,TMIN,215
TUM00017112,2007-01-12,TMIN,26
TUM00017112,2008-07-03,TMIN,222
TUM00017112,2007-01-12,TMAX,138
TUM00017112,2006-12-28,TMAX,98
TUM00017112,2006-12-28,TMIN,-38
TUM00017112,2008-11-06,TMAX,188
TUM00017112,2012-05-23,TMAX,210
TUM00017112,2013-07-14,TMIN,219
TUM00017112,2008-11-06,TMIN,87
TUM00017112,2006-10-12,TMIN,170
TUM00017112,2008-11-16,TMAX,157
TUM00017112,2010-03-22,TMIN,86
TUM00017112,2006-10-12,TMAX,217
TUM00017112,2011-09-20,TMAX,274
TUM00017112,2009-06-22,TMIN,190
TUM00017112,2005-10-26,TMAX,218
TUM00017112,2014-08-28,TMIN,203
TUM00017112,2011-09-14,TMAX,314
TUM00017112,2007-02-12,TMAX,131
TUM00017112,2009-08-14,TMAX,310
TUM00017112,2013-08-05,TMIN,225
TUM00017112,2010-04-04,TMAX,190
TUM00017112,2010-04-04,TMIN,81
TUM00017112,2006-11-26,TMAX,143
TUM00017112,2005-12-23,TMAX,50
TUM00017112,2005-12-23,TMIN,-3
TUM00017112,2007-03-06,TMAX,133
TUM00017112,2008-04-30,TMAX,172
TUM00017112,2006-08-12,TMIN,199
TUM00017112,2007-03-06,TMIN,40
TUM00017112,2006-06-16,TMAX,267
TUM00017112,2011-04-30,TMAX,182
TUM00017112,2009-11-11,TMIN,118
TUM00017112,2014-03-13,TMIN,15
TUM00017112,2008-02-28,TMIN,94
TUM00017112,2008-05-02,TMIN,97
TUM00017112,2007-07-22,TMAX,374
TUM00017112,2005-11-13,TMAX,130
TUM00017112,2012-02-15,TMAX,73
TUM00017112,2012-02-15,TMIN,20
TUM00017112,2008-04-30,TMIN,108
TUM00017112,2009-07-18,TMIN,217
TUM00017112,2008-09-13,TMIN,199
TUM00017112,2011-10-29,TMAX,152
TUM00017112,2014-07-20,TMIN,209
TUM00017112,2013-08-08,TMIN,227
TUM00017112,2013-10-27,TMIN,98
TUM00017112,2008-09-12,TMIN,178
TUM00017112,2008-09-12,TMAX,289
TUM00017112,2006-12-06,TMAX,143
TUM00017112,2006-12-06,TMIN,41
TUM00017112,2006-01-09,TMAX,33
TUM00017112,2008-11-10,TMAX,159
TUM00017112,2008-05-06,TMAX,185
TUM00017112,2012-11-19,TMAX,179
TUM00017112,2013-08-10,TMIN,228
TUM00017112,2006-01-26,TMAX,-19
TUM00017112,2008-01-19,TMIN,48
TUM00017112,2008-11-10,TMIN,127
TUM00017112,2010-01-21,TMIN,15
TUM00017112,2008-01-19,TMAX,105
TUM00017112,2006-05-30,TMIN,175
TUM00017112,2008-10-17,TMAX,217
TUM00017112,2009-11-17,TMAX,171
TUM00017112,2009-11-17,TMIN,67
TUM00017112,2015-09-17,TMAX,301
TUM00017112,2005-09-22,TMIN,163
TUM00017112,2011-03-09,TMAX,41
TUM00017112,2013-07-04,TMIN,192
TUM00017112,2010-03-06,TMAX,94
TUM00017112,2012-08-15,TMAX,324
TUM00017112,2007-08-22,TMIN,207
TUM00017112,2009-05-22,TMAX,273
TUM00017112,2011-11-18,TMAX,100
TUM00017112,2013-04-14,TMIN,125
TUM00017112,2013-04-14,TMAX,178
TUM00017112,2008-09-18,TMAX,214
TUM00017112,2008-09-20,TMAX,191
TUM00017112,2008-05-18,TMIN,136
TUM00017112,2006-09-23,TMAX,189
TUM00017112,2009-05-22,TMIN,132
TUM00017112,2011-10-28,TMAX,153
TUM00017112,2010-06-20,TMAX,306
TUM00017112,2011-01-19,TMAX,118
TUM00017112,2008-09-18,TMIN,142
TUM00017112,2006-09-23,TMIN,145
TUM00017112,2010-09-01,TMIN,144
TUM00017112,2007-11-06,TMIN,67
TUM00017112,2012-10-21,TMAX,190
TUM00017112,2010-09-01,TMAX,243
TUM00017112,2007-08-22,TMAX,378
TUM00017112,2012-01-19,TMAX,63
TUM00017112,2006-01-14,TMAX,38
TUM00017112,2007-08-27,TMAX,316
TUM00017112,2009-11-12,TMAX,154
TUM00017112,2009-11-12,TMIN,108
TUM00017112,2012-08-02,TMAX,340
TUM00017112,2011-01-18,TMAX,105
TUM00017112,2014-06-15,TMIN,199
TUM00017112,2010-06-20,TMIN,209
TUM00017112,2010-01-21,TMAX,65
TUM00017112,2007-12-25,TMIN,8
TUM00017112,2010-11-28,TMIN,189
TUM00017112,2009-11-11,TMAX,177
TUM00017112,2008-09-13,TMAX,285
TUM00017112,2008-02-09,TMAX,48
TUM00017112,2008-02-14,TMAX,72
TUM00017112,2010-01-07,TMAX,178
TUM00017112,2009-01-04,TMIN,26
TUM00017112,2009-09-03,TMIN,167
TUM00017112,2008-02-14,TMIN,-11
TUM00017112,2012-11-14,TMAX,156
TUM00017112,2011-02-01,TMAX,50
TUM00017112,2006-11-22,TMAX,172
TUM00017112,2010-07-03,TMAX,304
TUM00017112,2010-07-03,TMIN,212
TUM00017112,2011-11-24,TMIN,76
TUM00017112,2007-12-25,TMAX,98
TUM00017112,2006-06-15,TMAX,226
TUM00017112,2007-12-19,TMIN,14
TUM00017112,2006-06-15,TMIN,133
TUM00017112,2011-01-26,TMAX,64
TUM00017112,2009-11-19,TMIN,74
TUM00017112,2010-09-22,TMAX,228
TUM00017112,2007-02-12,TMIN,97
TUM00017112,2005-09-22,TMAX,214
TUM00017112,2009-09-05,TMIN,184
TUM00017112,2006-11-26,TMIN,88
TUM00017112,2013-11-04,TMIN,111
TUM00017112,2014-11-12,TMIN,105
TUM00017112,2009-12-14,TMAX,95
TUM00017112,2008-05-06,TMIN,97
TUM00017112,2009-02-19,TMAX,128
TUM00017112,2007-11-15,TMIN,146
TUM00017112,2007-11-15,TMAX,200
TUM00017112,2008-10-17,TMIN,113
TUM00017112,2014-03-16,TMIN,103
TUM00017112,2010-08-08,TMAX,345
TUM00017112,2006-09-28,TMAX,258
TUM00017112,2006-09-28,TMIN,192
TUM00017112,2011-07-30,TMAX,320
TUM00017112,2007-04-06,TMAX,177
TUM00017112,2007-04-06,TMIN,80
TUM00017112,2009-04-02,TMAX,160
TUM00017112,2009-12-04,TMIN,80
TUM00017112,2009-12-04,TMAX,167
TUM00017112,2009-12-14,TMIN,18
TUM00017112,2010-12-14,TMAX,73
TUM00017112,2014-10-13,TMIN,130
TUM00017112,2009-02-19,TMIN,73
TUM00017112,2008-01-25,TMIN,15
TUM00017112,2009-02-13,TMIN,58
TUM00017112,2010-09-22,TMIN,172
TUM00017112,2006-01-26,TMIN,-60
TUM00017112,2010-08-08,TMIN,226
TUM00017112,2009-06-11,TMIN,191
TUM00017112,2010-11-05,TMIN,104
TUM00017112,2006-01-15,TMAX,42
TUM00017112,2008-11-24,TMIN,39
TUM00017112,2009-10-09,TMIN,133
TUM00017112,2010-05-27,TMIN,153
TUM00017112,2006-10-25,TMIN,170
TUM00017112,2011-02-21,TMAX,94
TUM00017112,2013-11-29,TMIN,25
TUM00017112,2010-05-27,TMAX,288
TUM00017112,2010-01-08,TMAX,160
TUM00017112,2015-03-28,TMIN,117
TUM00017112,2014-09-15,TMIN,199
TUM00017112,2014-06-14,TMIN,183
TUM00017112,2011-02-21,TMIN,39
TUM00017112,2006-09-04,TMAX,301
TUM00017112,2014-03-02,TMIN,95
TUM00017112,2011-06-18,TMAX,295
TUM00017112,2015-06-06,TMAX,266
TUM00017112,2006-02-24,TMAX,99
TUM00017112,2007-03-21,TMAX,206
TUM00017112,2008-02-23,TMAX,116
TUM00017112,2008-11-20,TMIN,100
TUM00017112,2006-08-03,TMIN,220
TUM00017112,2006-08-03,TMAX,338
TUM00017112,2008-11-24,TMAX,134
TUM00017112,2008-02-28,TMAX,149
TUM00017112,2011-11-06,TMAX,162
TUM00017112,2008-01-21,TMIN,35
TUM00017112,2011-08-27,TMAX,293
TUM00017112,2007-12-14,TMAX,46
TUM00017112,2011-05-14,TMAX,243
TUM00017112,2014-08-02,TMIN,214
TUM00017112,2006-12-31,TMAX,101
TUM00017112,2006-12-23,TMIN,11
TUM00017112,2010-08-30,TMIN,238
TUM00017112,2013-04-30,TMIN,138
TUM00017112,2006-10-08,TMAX,245
TUM00017112,2011-08-13,TMAX,302
TUM00017112,2010-02-13,TMAX,132
TUM00017112,2009-09-28,TMAX,223
TUM00017112,2006-12-23,TMAX,79
TUM00017112,2009-09-28,TMIN,166
TUM00017112,2011-11-19,TMAX,118
TUM00017112,2008-06-06,TMIN,159
TUM00017112,2010-08-11,TMIN,251
TUM00017112,2010-02-12,TMIN,95
TUM00017112,2008-01-21,TMAX,115
TUM00017112,2008-06-06,TMAX,242
TUM00017112,2008-10-11,TMAX,207
TUM00017112,2008-10-11,TMIN,128
TUM00017112,2009-12-02,TMAX,178
TUM00017112,2006-01-01,TMIN,41
TUM00017112,2010-08-30,TMAX,293
TUM00017112,2009-03-25,TMAX,146
TUM00017112,2006-10-25,TMAX,184
TUM00017112,2008-02-23,TMIN,46
TUM00017112,2005-06-05,TMIN,135
TUM00017112,2010-10-11,TMAX,192
TUM00017112,2012-10-28,TMIN,207
TUM00017112,2012-06-07,TMAX,269
TUM00017112,2011-05-30,TMAX,271
TUM00017112,2008-11-05,TMIN,105
TUM00017112,2009-08-30,TMAX,317
TUM00017112,2007-06-01,TMAX,270
TUM00017112,2008-03-27,TMIN,52
TUM00017112,2008-11-05,TMAX,191
TUM00017112,2006-06-08,TMAX,215
TUM00017112,2011-09-21,TMAX,244
TUM00017112,2008-03-27,TMAX,154
TUM00017112,2008-09-29,TMAX,173
TUM00017112,2015-02-18,TMIN,-33
TUM00017112,2006-10-31,TMIN,71
TUM00017112,2010-05-02,TMAX,228
