ID,Date,Element,Data_Value
CA00220CQHR,2010-10-07,TMAX,83
CA00220CQHR,2006-11-07,TMAX,-131
CA00220CQHR,2010-03-04,TMIN,-123
CA00220CQHR,2009-02-18,TMIN,-233
CA00220CQHR,2005-07-08,TMIN,102
CA00220CQHR,2005-06-11,TMAX,185
CA00220CQHR,2014-04-25,TMAX,52
CA00220CQHR,2006-07-07,TMIN,88
CA00220CQHR,2014-04-25,TMIN,-11
CA00220CQHR,2009-04-18,TMAX,98
CA00220CQHR,2006-12-07,TMIN,-96
CA00220CQHR,2005-07-08,TMAX,195
CA00220CQHR,2010-12-12,TMAX,-205
CA00220CQHR,2010-12-03,TMIN,-348
CA00220CQHR,2009-04-18,TMIN,-95
CA00220CQHR,2011-04-18,TMIN,-173
CA00220CQHR,2009-09-27,TMIN,43
CA00220CQHR,2008-07-12,TMAX,185
CA00220CQHR,2009-02-18,TMAX,-51
CA00220CQHR,2006-06-26,TMAX,244
CA00220CQHR,2012-04-07,TMIN,-191
CA00220CQHR,2009-07-18,TMIN,35
CA00220CQHR,2010-10-07,TMIN,-6
CA00220CQHR,2006-11-07,TMIN,-153
CA00220CQHR,2010-12-12,TMIN,-249
CA00220CQHR,2008-07-27,TMIN,107
CA00220CQHR,2014-06-07,TMAX,205
CA00220CQHR,2010-01-18,TMIN,-232
CA00220CQHR,2008-10-05,TMIN,33
CA00220CQHR,2007-10-26,TMIN,-194
CA00220CQHR,2005-08-01,TMIN,34
CA00220CQHR,2006-12-07,TMAX,4
CA00220CQHR,2007-12-21,TMIN,-341
CA00220CQHR,2006-11-27,TMIN,-398
CA00220CQHR,2011-04-26,TMIN,-93
CA00220CQHR,2005-08-01,TMAX,146
CA00220CQHR,2011-04-26,TMAX,145
CA00220CQHR,2007-11-29,TMIN,-333
CA00220CQHR,2010-12-03,TMAX,-139
CA00220CQHR,2005-12-17,TMAX,-28
CA00220CQHR,2008-07-27,TMAX,213
CA00220CQHR,2006-03-09,TMIN,-170
CA00220CQHR,2005-12-17,TMIN,-149
CA00220CQHR,2006-03-09,TMAX,-68
CA00220CQHR,2010-01-20,TMIN,-160
CA00220CQHR,2010-01-18,TMAX,-166
CA00220CQHR,2010-02-22,TMAX,-94
CA00220CQHR,2007-11-29,TMAX,-98
CA00220CQHR,2011-04-18,TMAX,27
CA00220CQHR,2011-01-17,TMAX,-212
CA00220CQHR,2010-05-29,TMIN,7
