ID,Date,Element,Data_Value
ITM00016153,2015-01-13,TMAX,130
ITM00016153,2006-01-09,TMAX,96
ITM00016153,2010-12-30,TMIN,60
ITM00016153,2006-12-12,TMIN,89
ITM00016153,2012-04-06,TMAX,163
ITM00016153,2007-10-19,TMAX,200
ITM00016153,2009-10-15,TMAX,170
ITM00016153,2008-12-08,TMIN,90
ITM00016153,2014-01-21,TMAX,140
ITM00016153,2012-12-03,TMAX,132
ITM00016153,2011-04-11,TMAX,231
ITM00016153,2013-03-14,TMAX,142
ITM00016153,2013-12-19,TMAX,115
ITM00016153,2015-01-13,TMIN,100
ITM00016153,2015-05-07,TMAX,191
ITM00016153,2006-11-08,TMAX,176
ITM00016153,2014-12-04,TMAX,178
ITM00016153,2013-12-24,TMAX,132
ITM00016153,2014-03-09,TMIN,120
ITM00016153,2009-02-16,TMAX,104
ITM00016153,2013-03-30,TMAX,130
ITM00016153,2012-04-06,TMIN,116
ITM00016153,2007-06-10,TMAX,221
ITM00016153,2008-07-22,TMAX,282
ITM00016153,2014-01-10,TMAX,134
ITM00016153,2006-01-09,TMIN,50
ITM00016153,2008-12-12,TMIN,79
ITM00016153,2014-02-02,TMAX,113
ITM00016153,2011-01-03,TMAX,100
ITM00016153,2009-02-19,TMIN,50
ITM00016153,2013-03-22,TMIN,79
ITM00016153,2007-10-07,TMAX,261
ITM00016153,2011-09-13,TMAX,273
ITM00016153,2011-09-04,TMAX,245
ITM00016153,2013-03-01,TMIN,88
ITM00016153,2013-03-22,TMAX,153
ITM00016153,2013-12-22,TMAX,140
ITM00016153,2011-12-15,TMIN,90
ITM00016153,2009-10-23,TMAX,210
ITM00016153,2015-01-07,TMAX,146
ITM00016153,2009-03-21,TMAX,130
ITM00016153,2011-05-05,TMAX,203
ITM00016153,2005-12-29,TMIN,20
ITM00016153,2006-12-12,TMAX,130
ITM00016153,2015-05-07,TMIN,150
ITM00016153,2011-05-30,TMIN,177
ITM00016153,2012-03-01,TMAX,154
ITM00016153,2009-10-23,TMIN,124
ITM00016153,2014-01-13,TMAX,126
ITM00016153,2011-05-05,TMIN,157
ITM00016153,2008-07-08,TMIN,184
