ID,Date,Element,Data_Value
MXM00076160,2013-11-27,TMAX,270
MXM00076160,2010-05-19,TMIN,165
MXM00076160,2009-08-08,TMAX,430
MXM00076160,2013-08-02,TMAX,415
MXM00076160,2013-07-30,TMIN,285
MXM00076160,2013-08-02,TMIN,290
MXM00076160,2014-07-30,TMIN,295
MXM00076160,2010-12-07,TMIN,70
MXM00076160,2015-04-21,TMAX,355
MXM00076160,2009-05-19,TMAX,430
MXM00076160,2013-07-30,TMAX,415
MXM00076160,2015-08-21,TMIN,255
MXM00076160,2009-09-18,TMIN,225
MXM00076160,2009-09-18,TMAX,415
MXM00076160,2012-04-25,TMAX,395
MXM00076160,2015-11-21,TMIN,105
MXM00076160,2015-03-24,TMAX,365
MXM00076160,2012-09-29,TMAX,375
MXM00076160,2012-07-31,TMAX,405
MXM00076160,2009-05-12,TMIN,180
MXM00076160,2009-08-21,TMIN,240
MXM00076160,2014-04-25,TMIN,135
MXM00076160,2013-11-16,TMAX,325
MXM00076160,2014-04-25,TMAX,355
MXM00076160,2013-01-24,TMAX,320
MXM00076160,2010-12-07,TMAX,325
MXM00076160,2011-01-22,TMIN,75
MXM00076160,2012-05-16,TMIN,195
MXM00076160,2013-11-27,TMIN,105
MXM00076160,2011-10-21,TMAX,370
MXM00076160,2010-08-24,TMIN,295
MXM00076160,2010-08-24,TMAX,430
MXM00076160,2009-05-12,TMAX,405
MXM00076160,2012-05-16,TMAX,455
MXM00076160,2015-03-03,TMAX,240
MXM00076160,2009-12-29,TMAX,220
MXM00076160,2015-06-19,TMAX,445
MXM00076160,2015-03-03,TMIN,150
MXM00076160,2015-08-21,TMAX,380
MXM00076160,2010-07-17,TMAX,415
MXM00076160,2012-12-18,TMIN,70
MXM00076160,2012-12-18,TMAX,240
MXM00076160,2014-07-02,TMAX,435
MXM00076160,2011-01-22,TMAX,270
MXM00076160,2010-07-17,TMIN,280
MXM00076160,2014-09-09,TMIN,265
MXM00076160,2014-07-02,TMIN,280
MXM00076160,2013-07-16,TMAX,420
MXM00076160,2014-05-09,TMAX,330
MXM00076160,2009-12-05,TMIN,60
MXM00076160,2013-07-16,TMIN,256
MXM00076160,2013-10-23,TMIN,145
MXM00076160,2013-10-23,TMAX,375
MXM00076160,2009-08-21,TMAX,385
MXM00076160,2012-09-22,TMAX,420
MXM00076160,2010-08-05,TMIN,275
MXM00076160,2012-09-20,TMIN,245
MXM00076160,2012-09-22,TMIN,240
MXM00076160,2010-08-05,TMAX,450
MXM00076160,2014-04-23,TMIN,165
MXM00076160,2012-05-23,TMIN,240
MXM00076160,2014-05-10,TMAX,350
MXM00076160,2014-05-10,TMIN,145
MXM00076160,2014-07-30,TMAX,425
MXM00076160,2009-12-05,TMAX,235
MXM00076160,2012-05-23,TMAX,430
MXM00076160,2013-08-28,TMAX,415
MXM00076160,2010-05-19,TMAX,375
MXM00076160,2014-04-22,TMIN,175
MXM00076160,2012-10-11,TMAX,355
MXM00076160,2013-01-24,TMIN,130
MXM00076160,2015-06-19,TMIN,280
MXM00076160,2012-04-25,TMIN,200
MXM00076160,2011-11-01,TMIN,125
MXM00076160,2010-07-20,TMIN,310
MXM00076160,2009-05-19,TMIN,220
MXM00076160,2011-07-26,TMIN,280
MXM00076160,2009-12-29,TMIN,40
MXM00076160,2009-08-08,TMIN,290
MXM00076160,2011-11-05,TMAX,305
MXM00076160,2014-09-09,TMAX,380
MXM00076160,2013-10-08,TMAX,380
MXM00076160,2013-11-16,TMIN,195
MXM00076160,2012-09-29,TMIN,245
MXM00076160,2012-10-11,TMIN,205
MXM00076160,2011-07-26,TMAX,420
MXM00076160,2012-09-20,TMAX,425
MXM00076160,2011-10-21,TMIN,185
MXM00076160,2012-07-31,TMIN,270
MXM00076160,2011-11-01,TMAX,360
MXM00076160,2014-04-22,TMAX,390
MXM00076160,2015-06-05,TMIN,245
MXM00076160,2015-06-05,TMAX,425
MXM00076160,2014-04-23,TMAX,370
MXM00076160,2012-10-04,TMAX,400
MXM00076160,2010-07-20,TMAX,435
MXM00076160,2012-10-04,TMIN,220
MXM00076160,2011-11-05,TMIN,105
MXM00076160,2013-08-28,TMIN,255
MXM00076160,2011-08-18,TMIN,265
MXM00076160,2014-05-09,TMIN,140
MXM00076160,2011-04-19,TMAX,370
MXM00076160,2011-08-10,TMAX,375
MXM00076160,2014-04-05,TMAX,270
MXM00076160,2014-07-05,TMAX,395
MXM00076160,2010-11-05,TMIN,145
MXM00076160,2014-04-04,TMAX,285
MXM00076160,2014-04-04,TMIN,110
MXM00076160,2011-08-05,TMIN,270
MXM00076160,2011-04-13,TMIN,110
MXM00076160,2010-04-06,TMIN,125
MXM00076160,2011-08-05,TMAX,410
MXM00076160,2009-05-15,TMIN,170
MXM00076160,2013-10-02,TMIN,195
MXM00076160,2015-07-28,TMIN,255
MXM00076160,2009-05-15,TMAX,415
MXM00076160,2014-08-20,TMAX,365
MXM00076160,2015-08-27,TMIN,265
MXM00076160,2015-07-21,TMIN,245
MXM00076160,2013-10-02,TMAX,370
MXM00076160,2010-11-05,TMAX,355
MXM00076160,2014-07-05,TMIN,240
MXM00076160,2013-07-13,TMAX,405
MXM00076160,2011-07-27,TMIN,275
MXM00076160,2013-08-05,TMAX,415
MXM00076160,2009-09-12,TMAX,410
MXM00076160,2014-04-26,TMAX,350
MXM00076160,2013-08-05,TMIN,240
MXM00076160,2011-07-27,TMAX,415
MXM00076160,2009-07-31,TMAX,430
MXM00076160,2009-07-31,TMIN,275
MXM00076160,2009-09-12,TMIN,255
MXM00076160,2012-07-28,TMAX,380
MXM00076160,2011-11-11,TMAX,315
