ID,Date,Element,Data_Value
USC00508594,2009-08-06,TMIN,72
USC00508594,2005-03-14,TMAX,-61
USC00508594,2009-12-26,TMAX,-78
USC00508594,2010-03-31,TMAX,56
USC00508594,2010-11-10,TMAX,-72
USC00508594,2011-06-02,TMAX,200
USC00508594,2009-10-11,TMAX,106
USC00508594,2010-06-25,TMIN,-6
USC00508594,2005-03-14,TMIN,-111
USC00508594,2009-08-23,TMIN,-17
USC00508594,2005-03-02,TMAX,-61
USC00508594,2010-07-05,TMIN,0
USC00508594,2005-03-20,TMAX,22
USC00508594,2011-08-08,TMIN,17
USC00508594,2010-11-05,TMIN,-244
USC00508594,2011-04-19,TMAX,89
USC00508594,2011-09-14,TMIN,-28
USC00508594,2010-11-10,TMIN,-178
USC00508594,2009-08-22,TMIN,-17
USC00508594,2009-11-16,TMAX,-144
USC00508594,2009-12-22,TMAX,-106
USC00508594,2005-02-17,TMIN,-222
USC00508594,2011-01-28,TMAX,-106
USC00508594,2010-04-04,TMAX,39
USC00508594,2009-11-15,TMIN,-333
USC00508594,2009-12-22,TMIN,-239
USC00508594,2011-08-12,TMAX,183
USC00508594,2010-04-01,TMIN,-189
USC00508594,2011-09-14,TMAX,133
USC00508594,2010-10-30,TMIN,-239
USC00508594,2010-05-19,TMIN,-72
USC00508594,2005-02-17,TMAX,-83
USC00508594,2010-04-01,TMAX,44
USC00508594,2011-04-16,TMAX,78
USC00508594,2011-08-04,TMAX,167
USC00508594,2011-06-08,TMIN,22
USC00508594,2011-09-13,TMAX,161
USC00508594,2011-04-12,TMAX,39
USC00508594,2011-06-12,TMAX,161
USC00508594,2005-04-29,TMIN,-56
USC00508594,2011-04-24,TMIN,-56
USC00508594,2011-01-01,TMAX,0
USC00508594,2010-05-16,TMIN,-78
USC00508594,2011-08-21,TMAX,178
USC00508594,2011-08-07,TMAX,144
USC00508594,2009-09-20,TMAX,67
USC00508594,2011-03-09,TMAX,-61
USC00508594,2011-01-05,TMIN,-194
USC00508594,2009-07-10,TMAX,250
USC00508594,2011-03-08,TMIN,-317
USC00508594,2011-07-01,TMIN,50
USC00508594,2010-07-20,TMIN,72
USC00508594,2010-03-31,TMIN,-206
USC00508594,2011-07-11,TMAX,228
USC00508594,2011-05-22,TMAX,150
USC00508594,2005-04-27,TMAX,144
USC00508594,2009-11-30,TMIN,-267
USC00508594,2011-08-25,TMAX,139
USC00508594,2009-08-27,TMAX,139
USC00508594,2011-05-22,TMIN,-33
USC00508594,2010-09-03,TMIN,-17
USC00508594,2005-02-19,TMIN,-156
USC00508594,2009-08-27,TMIN,-22
USC00508594,2010-03-19,TMIN,-156
USC00508594,2010-09-11,TMIN,-17
USC00508594,2010-06-25,TMAX,189
USC00508594,2011-04-05,TMAX,67
USC00508594,2010-11-03,TMAX,-44
USC00508594,2010-01-14,TMAX,-167
USC00508594,2011-01-28,TMIN,-183
USC00508594,2005-03-15,TMIN,-233
USC00508594,2010-09-11,TMAX,178
USC00508594,2009-08-22,TMAX,194
USC00508594,2010-09-03,TMAX,161
USC00508594,2011-08-04,TMIN,33
USC00508594,2011-01-01,TMIN,-233
USC00508594,2010-11-18,TMAX,-133
USC00508594,2009-12-26,TMIN,-111
USC00508594,2011-01-05,TMAX,-150
USC00508594,2010-01-12,TMAX,-200
USC00508594,2009-11-30,TMAX,-28
USC00508594,2011-06-14,TMIN,33
USC00508594,2011-06-02,TMIN,67
USC00508594,2009-07-10,TMIN,72
USC00508594,2011-08-21,TMIN,44
USC00508594,2011-03-04,TMIN,-400
USC00508594,2011-07-01,TMAX,161
USC00508594,2011-04-05,TMIN,-83
USC00508594,2005-03-02,TMIN,-194
USC00508594,2005-03-20,TMIN,-200
USC00508594,2009-11-08,TMAX,-67
USC00508594,2005-04-19,TMIN,-111
USC00508594,2011-03-09,TMIN,-350
USC00508594,2010-11-01,TMIN,-206
USC00508594,2005-06-12,TMAX,178
USC00508594,2005-05-06,TMAX,111
USC00508594,2011-07-11,TMIN,72
USC00508594,2009-11-16,TMIN,-228
USC00508594,2011-01-03,TMAX,22
USC00508594,2009-09-23,TMAX,83
USC00508594,2009-09-23,TMIN,-50
USC00508594,2010-01-22,TMAX,-122
USC00508594,2005-06-13,TMIN,89
USC00508594,2010-10-17,TMIN,-133
USC00508594,2005-02-03,TMAX,-244
USC00508594,2010-05-18,TMAX,189
USC00508594,2011-04-27,TMIN,-39
USC00508594,2010-12-03,TMIN,-350
USC00508594,2010-12-25,TMIN,-394
USC00508594,2009-07-27,TMIN,28
USC00508594,2010-12-12,TMAX,-144
USC00508594,2009-07-24,TMIN,-33
USC00508594,2010-04-14,TMIN,-100
USC00508594,2010-09-12,TMAX,172
USC00508594,2010-11-03,TMIN,-139
USC00508594,2011-04-11,TMAX,44
USC00508594,2009-08-01,TMIN,44
USC00508594,2009-09-12,TMIN,6
USC00508594,2010-05-16,TMAX,106
USC00508594,2009-09-13,TMAX,144
USC00508594,2011-01-03,TMIN,-22
USC00508594,2010-01-29,TMAX,-94
USC00508594,2010-05-04,TMAX,111
USC00508594,2010-01-29,TMIN,-233
USC00508594,2005-04-20,TMAX,72
USC00508594,2005-06-24,TMAX,189
USC00508594,2009-08-29,TMAX,122
USC00508594,2010-10-03,TMAX,72
USC00508594,2010-08-31,TMAX,156
USC00508594,2011-07-18,TMAX,167
USC00508594,2010-12-03,TMAX,-217
USC00508594,2011-05-26,TMIN,39
USC00508594,2005-06-12,TMIN,39
USC00508594,2005-03-21,TMAX,-83
USC00508594,2005-05-31,TMIN,0
USC00508594,2005-06-23,TMAX,189
USC00508594,2005-03-23,TMIN,-161
USC00508594,2010-11-06,TMAX,-28
USC00508594,2011-10-26,TMIN,-94
USC00508594,2005-06-24,TMIN,61
USC00508594,2010-09-12,TMIN,-39
USC00508594,2010-10-22,TMAX,-17
USC00508594,2009-08-02,TMIN,-39
USC00508594,2005-06-23,TMIN,67
USC00508594,2011-05-26,TMAX,194
USC00508594,2009-09-30,TMIN,-56
USC00508594,2010-12-25,TMAX,-300
USC00508594,2011-06-20,TMAX,150
USC00508594,2009-09-30,TMAX,44
USC00508594,2005-03-21,TMIN,-311
USC00508594,2009-08-01,TMAX,183
USC00508594,2005-02-25,TMAX,-28
USC00508594,2010-05-29,TMIN,-22
USC00508594,2011-04-27,TMAX,83
USC00508594,2009-10-03,TMIN,-39
USC00508594,2011-10-26,TMAX,11
USC00508594,2011-06-14,TMAX,144
USC00508594,2010-05-29,TMAX,228
USC00508594,2005-04-14,TMIN,-189
USC00508594,2009-10-03,TMAX,72
USC00508594,2010-01-20,TMIN,-322
USC00508594,2010-11-06,TMIN,-139
USC00508594,2010-10-22,TMIN,-167
USC00508594,2010-12-12,TMIN,-239
USC00508594,2010-05-18,TMIN,-67
USC00508594,2009-10-18,TMAX,44
USC00508594,2010-08-31,TMIN,22
USC00508594,2009-11-07,TMAX,-33
USC00508594,2009-08-23,TMAX,156
USC00508594,2011-09-17,TMAX,117
USC00508594,2005-05-22,TMAX,100
USC00508594,2009-11-07,TMIN,-89
USC00508594,2005-06-07,TMAX,161
USC00508594,2005-06-04,TMAX,156
USC00508594,2009-07-23,TMIN,33
USC00508594,2011-04-24,TMAX,83
USC00508594,2010-04-14,TMAX,50
USC00508594,2011-03-30,TMIN,-217
USC00508594,2010-01-21,TMAX,-194
USC00508594,2005-05-02,TMAX,133
USC00508594,2009-07-24,TMAX,167
USC00508594,2005-02-06,TMIN,-306
USC00508594,2011-06-20,TMIN,56
USC00508594,2010-12-26,TMIN,-378
USC00508594,2005-02-19,TMAX,-72
USC00508594,2010-12-26,TMAX,-261
USC00508594,2010-10-03,TMIN,-28
USC00508594,2005-05-21,TMAX,206
USC00508594,2005-02-03,TMIN,-433
USC00508594,2011-09-03,TMAX,111
USC00508594,2009-10-11,TMIN,-28
USC00508594,2005-05-21,TMIN,56
USC00508594,2011-08-25,TMIN,-28
USC00508594,2011-09-17,TMIN,-67
USC00508594,2005-05-31,TMAX,161
USC00508594,2010-09-06,TMIN,-28
USC00508594,2009-10-30,TMIN,-194
USC00508594,2009-09-01,TMIN,0
USC00508594,2009-09-01,TMAX,156
USC00508594,2011-06-08,TMAX,156
USC00508594,2011-01-14,TMAX,-233
USC00508594,2009-07-15,TMIN,94
USC00508594,2009-08-29,TMIN,22
USC00508594,2009-10-09,TMIN,-17
USC00508594,2009-07-15,TMAX,233
