ID,Date,Element,Data_Value
PAM00086246,2012-07-24,TMIN,155
PAM00086246,2012-08-22,TMIN,180
PAM00086246,2010-09-25,TMIN,152
PAM00086246,2006-02-21,TMIN,208
PAM00086246,2008-11-11,TMIN,214
PAM00086246,2011-01-09,TMIN,240
PAM00086246,2006-08-29,TMIN,35
PAM00086246,2012-02-18,TMIN,224
PAM00086246,2005-06-15,TMIN,174
PAM00086246,2008-05-03,TMIN,125
PAM00086246,2006-12-05,TMIN,240
PAM00086246,2011-01-09,TMAX,354
PAM00086246,2012-05-21,TMIN,150
PAM00086246,2011-01-08,TMIN,230
PAM00086246,2006-11-03,TMIN,214
PAM00086246,2007-06-02,TMAX,176
PAM00086246,2009-10-14,TMIN,166
PAM00086246,2011-08-10,TMIN,132
PAM00086246,2008-09-09,TMIN,72
PAM00086246,2006-10-21,TMAX,316
PAM00086246,2008-05-25,TMAX,272
PAM00086246,2009-02-16,TMIN,228
PAM00086246,2005-05-24,TMIN,96
PAM00086246,2008-03-29,TMIN,200
PAM00086246,2008-12-16,TMIN,180
PAM00086246,2011-08-10,TMAX,290
PAM00086246,2009-05-08,TMAX,286
PAM00086246,2007-12-04,TMAX,390
PAM00086246,2012-02-11,TMAX,355
PAM00086246,2011-09-21,TMIN,116
PAM00086246,2011-05-19,TMIN,134
PAM00086246,2012-11-19,TMAX,325
PAM00086246,2008-07-27,TMIN,104
PAM00086246,2008-12-24,TMIN,246
PAM00086246,2011-11-12,TMIN,190
PAM00086246,2011-10-25,TMAX,342
PAM00086246,2011-10-25,TMIN,200
PAM00086246,2010-09-26,TMAX,294
PAM00086246,2009-12-09,TMAX,324
PAM00086246,2007-12-31,TMIN,204
PAM00086246,2005-05-24,TMAX,234
PAM00086246,2012-02-11,TMIN,185
PAM00086246,2012-01-18,TMIN,200
PAM00086246,2005-02-27,TMIN,204
PAM00086246,2008-12-24,TMAX,376
PAM00086246,2010-09-26,TMIN,168
PAM00086246,2012-03-08,TMAX,370
PAM00086246,2011-08-27,TMIN,150
PAM00086246,2007-01-01,TMAX,330
PAM00086246,2009-04-20,TMIN,172
PAM00086246,2008-10-17,TMAX,268
PAM00086246,2009-07-10,TMAX,194
PAM00086246,2012-03-08,TMIN,184
PAM00086246,2012-11-03,TMIN,208
PAM00086246,2008-09-29,TMAX,316
PAM00086246,2005-03-17,TMIN,194
PAM00086246,2012-02-13,TMIN,134
PAM00086246,2006-11-02,TMIN,190
PAM00086246,2009-01-09,TMIN,210
PAM00086246,2008-02-20,TMAX,344
PAM00086246,2010-12-01,TMAX,320
PAM00086246,2006-12-05,TMAX,350
PAM00086246,2012-09-06,TMIN,184
PAM00086246,2006-11-03,TMAX,314
PAM00086246,2007-01-01,TMIN,230
PAM00086246,2012-11-19,TMIN,190
PAM00086246,2011-08-31,TMIN,104
PAM00086246,2009-07-10,TMIN,152
PAM00086246,2012-05-27,TMAX,230
PAM00086246,2011-03-26,TMIN,244
PAM00086246,2009-05-08,TMIN,146
PAM00086246,2007-12-04,TMIN,240
PAM00086246,2012-01-14,TMIN,200
PAM00086246,2006-10-21,TMIN,184
PAM00086246,2012-09-13,TMIN,148
PAM00086246,2012-05-18,TMIN,140
PAM00086246,2012-08-03,TMIN,168
PAM00086246,2009-02-02,TMAX,364
PAM00086246,2011-01-29,TMIN,220
PAM00086246,2012-01-26,TMIN,195
PAM00086246,2008-11-29,TMIN,216
PAM00086246,2011-03-13,TMAX,324
PAM00086246,2008-07-08,TMIN,178
PAM00086246,2008-07-26,TMIN,80
PAM00086246,2008-01-01,TMIN,196
PAM00086246,2007-03-14,TMIN,218
PAM00086246,2007-02-02,TMAX,352
PAM00086246,2008-07-14,TMIN,138
PAM00086246,2011-03-13,TMIN,220
PAM00086246,2005-07-05,TMIN,140
PAM00086246,2005-07-05,TMAX,264
PAM00086246,2012-05-26,TMIN,120
PAM00086246,2005-06-21,TMAX,194
PAM00086246,2011-07-16,TMIN,152
PAM00086246,2008-07-31,TMIN,158
PAM00086246,2008-12-05,TMIN,160
PAM00086246,2009-12-09,TMIN,240
PAM00086246,2005-12-29,TMAX,334
PAM00086246,2010-06-25,TMIN,192
PAM00086246,2009-04-02,TMIN,200
PAM00086246,2007-08-18,TMIN,116
PAM00086246,2006-08-26,TMIN,174
PAM00086246,2007-08-15,TMIN,194
PAM00086246,2007-11-28,TMAX,330
PAM00086246,2011-07-11,TMIN,120
PAM00086246,2008-07-14,TMAX,290
PAM00086246,2006-08-22,TMIN,34
PAM00086246,2011-11-14,TMIN,174
PAM00086246,2011-11-14,TMAX,288
PAM00086246,2011-05-12,TMIN,200
PAM00086246,2013-08-15,TMIN,12
PAM00086246,2012-06-14,TMIN,180
PAM00086246,2010-04-11,TMAX,278
PAM00086246,2009-04-01,TMIN,210
PAM00086246,2012-07-01,TMAX,302
PAM00086246,2010-05-20,TMIN,112
PAM00086246,2011-10-09,TMIN,185
PAM00086246,2006-01-02,TMAX,340
PAM00086246,2010-06-03,TMAX,218
PAM00086246,2011-05-17,TMIN,124
PAM00086246,2006-02-12,TMAX,320
PAM00086246,2007-03-21,TMIN,182
PAM00086246,2008-08-25,TMIN,166
PAM00086246,2010-07-06,TMAX,296
PAM00086246,2008-06-08,TMAX,302
PAM00086246,2006-08-26,TMAX,331
PAM00086246,2009-12-27,TMIN,234
PAM00086246,2007-06-05,TMIN,54
PAM00086246,2012-10-04,TMIN,174
PAM00086246,2008-03-19,TMIN,196
PAM00086246,2010-04-05,TMAX,292
PAM00086246,2010-04-19,TMIN,194
PAM00086246,2006-02-12,TMIN,208
