ID,Date,Element,Data_Value
RSM00030745,2006-01-07,TMAX,-148
RSM00030745,2015-07-23,TMAX,305
RSM00030745,2013-05-20,TMIN,-47
RSM00030745,2014-07-25,TMIN,98
RSM00030745,2009-12-24,TMAX,-141
RSM00030745,2014-10-09,TMIN,-64
RSM00030745,2013-05-20,TMAX,134
RSM00030745,2006-10-31,TMAX,75
RSM00030745,2014-09-28,TMAX,31
RSM00030745,2007-05-13,TMAX,160
RSM00030745,2014-04-13,TMAX,74
RSM00030745,2008-08-04,TMIN,103
RSM00030745,2014-09-28,TMIN,-123
RSM00030745,2008-08-04,TMAX,194
RSM00030745,2014-09-03,TMAX,259
RSM00030745,2014-10-09,TMAX,66
RSM00030745,2006-11-17,TMIN,-93
RSM00030745,2005-07-27,TMIN,101
RSM00030745,2006-10-31,TMIN,-4
RSM00030745,2010-08-06,TMAX,209
RSM00030745,2009-03-05,TMAX,-114
RSM00030745,2006-11-19,TMIN,-132
RSM00030745,2013-12-15,TMAX,-190
RSM00030745,2006-11-19,TMAX,-56
RSM00030745,2010-08-06,TMIN,78
RSM00030745,2006-08-11,TMAX,301
RSM00030745,2006-08-11,TMIN,120
RSM00030745,2006-01-07,TMIN,-228
RSM00030745,2012-04-01,TMAX,-16
RSM00030745,2006-07-16,TMAX,244
RSM00030745,2012-04-01,TMIN,-162
RSM00030745,2010-08-15,TMIN,105
RSM00030745,2006-07-16,TMIN,88
RSM00030745,2010-08-15,TMAX,211
RSM00030745,2008-06-24,TMIN,150
RSM00030745,2011-03-04,TMAX,-26
RSM00030745,2011-03-04,TMIN,-152
RSM00030745,2006-06-28,TMAX,266
RSM00030745,2006-06-28,TMIN,132
RSM00030745,2014-04-06,TMIN,-46
RSM00030745,2005-07-27,TMAX,254
RSM00030745,2012-04-21,TMAX,35
RSM00030745,2015-06-01,TMIN,-2
RSM00030745,2009-12-24,TMIN,-300
RSM00030745,2008-06-24,TMAX,214
RSM00030745,2012-03-30,TMIN,-124
RSM00030745,2014-09-03,TMIN,50
RSM00030745,2012-04-21,TMIN,-96
RSM00030745,2013-01-09,TMIN,-374
RSM00030745,2006-05-09,TMAX,57
RSM00030745,2012-10-25,TMAX,71
RSM00030745,2009-07-02,TMIN,74
RSM00030745,2011-03-17,TMIN,-108
RSM00030745,2009-07-02,TMAX,242
RSM00030745,2009-03-05,TMIN,-227
RSM00030745,2012-10-25,TMIN,-73
RSM00030745,2005-05-05,TMIN,-40
RSM00030745,2005-05-05,TMAX,-4
RSM00030745,2005-08-21,TMAX,253
RSM00030745,2012-07-03,TMAX,253
RSM00030745,2012-07-03,TMIN,94
RSM00030745,2005-08-21,TMIN,45
RSM00030745,2007-02-13,TMAX,-142
RSM00030745,2007-02-13,TMIN,-245
RSM00030745,2015-08-16,TMAX,276
RSM00030745,2010-01-31,TMAX,-230
RSM00030745,2007-08-10,TMAX,272
RSM00030745,2013-04-23,TMIN,-37
RSM00030745,2010-01-31,TMIN,-310
RSM00030745,2005-12-28,TMAX,-270
RSM00030745,2008-08-29,TMIN,34
RSM00030745,2005-06-04,TMAX,186
RSM00030745,2010-03-01,TMAX,-153
RSM00030745,2013-11-18,TMIN,-214
RSM00030745,2014-06-27,TMAX,284
RSM00030745,2013-11-18,TMAX,-95
RSM00030745,2014-06-27,TMIN,81
RSM00030745,2006-11-12,TMIN,-61
RSM00030745,2010-02-04,TMIN,-364
RSM00030745,2006-11-12,TMAX,-18
RSM00030745,2015-03-15,TMAX,-36
RSM00030745,2015-03-15,TMIN,-200
RSM00030745,2010-02-04,TMAX,-260
RSM00030745,2012-08-11,TMIN,90
RSM00030745,2008-08-29,TMAX,152
RSM00030745,2013-04-23,TMAX,68
RSM00030745,2014-01-07,TMAX,-215
RSM00030745,2014-01-07,TMIN,-276
RSM00030745,2005-12-28,TMIN,-363
RSM00030745,2005-01-26,TMIN,-318
RSM00030745,2007-08-21,TMAX,199
RSM00030745,2007-08-21,TMIN,83
RSM00030745,2006-11-23,TMIN,-215
RSM00030745,2011-01-29,TMAX,-176
RSM00030745,2011-01-29,TMIN,-317
RSM00030745,2015-06-01,TMAX,146
RSM00030745,2008-02-03,TMAX,-154
RSM00030745,2014-07-19,TMAX,240
RSM00030745,2008-05-08,TMAX,66
RSM00030745,2007-03-17,TMIN,-245
RSM00030745,2014-07-19,TMIN,70
RSM00030745,2015-12-16,TMIN,-238
RSM00030745,2005-01-26,TMAX,-205
RSM00030745,2009-03-27,TMIN,-99
RSM00030745,2014-05-20,TMAX,43
RSM00030745,2007-03-09,TMIN,-238
RSM00030745,2014-07-25,TMAX,312
