ID,Date,Element,Data_Value
CIM00085782,2007-09-07,TMAX,135
CIM00085782,2008-07-24,TMIN,8
CIM00085782,2008-01-05,TMIN,100
CIM00085782,2013-02-08,TMIN,126
CIM00085782,2014-01-07,TMIN,31
CIM00085782,2005-08-02,TMIN,40
CIM00085782,2009-02-07,TMIN,95
CIM00085782,2011-10-09,TMIN,65
CIM00085782,2015-03-27,TMIN,56
CIM00085782,2013-09-16,TMIN,-21
CIM00085782,2015-05-03,TMIN,6
CIM00085782,2006-07-15,TMIN,20
CIM00085782,2005-11-25,TMIN,88
CIM00085782,2010-02-17,TMIN,96
CIM00085782,2012-12-01,TMAX,200
CIM00085782,2013-11-16,TMIN,70
CIM00085782,2005-03-07,TMIN,70
CIM00085782,2012-04-19,TMIN,26
CIM00085782,2015-07-28,TMIN,37
CIM00085782,2013-01-28,TMIN,113
CIM00085782,2015-07-25,TMIN,103
CIM00085782,2007-07-30,TMIN,58
CIM00085782,2012-02-18,TMIN,142
CIM00085782,2006-10-13,TMIN,66
CIM00085782,2012-02-25,TMIN,116
CIM00085782,2006-11-09,TMIN,34
CIM00085782,2015-02-28,TMIN,82
CIM00085782,2007-04-30,TMIN,110
CIM00085782,2013-04-12,TMIN,-20
CIM00085782,2007-07-06,TMIN,38
CIM00085782,2010-03-07,TMIN,91
CIM00085782,2008-06-22,TMAX,110
CIM00085782,2014-12-17,TMIN,31
CIM00085782,2008-04-07,TMIN,108
CIM00085782,2011-04-18,TMIN,76
CIM00085782,2007-12-27,TMAX,268
CIM00085782,2006-12-09,TMIN,50
CIM00085782,2014-02-23,TMIN,60
CIM00085782,2006-03-19,TMIN,116
CIM00085782,2005-10-30,TMIN,20
CIM00085782,2015-12-31,TMIN,55
CIM00085782,2014-01-27,TMIN,45
CIM00085782,2015-06-18,TMIN,-30
CIM00085782,2015-08-10,TMIN,0
CIM00085782,2014-12-27,TMIN,70
CIM00085782,2005-02-25,TMIN,84
CIM00085782,2007-12-20,TMIN,148
CIM00085782,2011-10-21,TMIN,6
CIM00085782,2014-03-19,TMIN,54
CIM00085782,2007-12-20,TMAX,224
CIM00085782,2006-01-19,TMIN,70
CIM00085782,2005-08-15,TMIN,-8
CIM00085782,2007-12-22,TMAX,226
CIM00085782,2007-12-27,TMIN,84
CIM00085782,2012-02-29,TMIN,110
CIM00085782,2005-05-27,TMIN,84
CIM00085782,2011-09-29,TMIN,72
CIM00085782,2007-05-13,TMIN,44
CIM00085782,2013-12-29,TMIN,140
CIM00085782,2012-11-23,TMIN,36
CIM00085782,2006-09-17,TMIN,-12
CIM00085782,2013-11-20,TMIN,33
CIM00085782,2015-07-24,TMIN,85
CIM00085782,2006-06-13,TMIN,50
CIM00085782,2014-11-01,TMIN,51
CIM00085782,2011-02-07,TMIN,75
CIM00085782,2012-02-28,TMIN,138
CIM00085782,2011-09-11,TMIN,82
CIM00085782,2014-11-14,TMIN,55
CIM00085782,2007-02-03,TMIN,120
CIM00085782,2012-09-24,TMIN,2
CIM00085782,2015-07-12,TMIN,-1
CIM00085782,2005-08-26,TMIN,84
CIM00085782,2006-11-23,TMIN,98
CIM00085782,2006-05-02,TMIN,-2
CIM00085782,2006-12-17,TMIN,120
CIM00085782,2005-03-19,TMIN,110
CIM00085782,2007-10-16,TMAX,130
CIM00085782,2007-10-16,TMIN,96
CIM00085782,2006-08-02,TMIN,40
CIM00085782,2014-02-15,TMIN,78
CIM00085782,2014-10-01,TMIN,48
CIM00085782,2011-11-05,TMIN,28
CIM00085782,2015-08-01,TMIN,62
CIM00085782,2009-01-19,TMIN,125
CIM00085782,2014-12-10,TMIN,65
CIM00085782,2009-03-06,TMIN,42
CIM00085782,2014-09-18,TMIN,72
CIM00085782,2006-05-28,TMIN,0
CIM00085782,2008-05-15,TMAX,173
CIM00085782,2015-04-20,TMIN,56
CIM00085782,2015-10-25,TMIN,100
CIM00085782,2006-03-09,TMIN,104
CIM00085782,2009-04-06,TMIN,103
CIM00085782,2007-03-03,TMIN,80
CIM00085782,2010-10-10,TMIN,52
CIM00085782,2012-03-31,TMIN,70
CIM00085782,2008-01-22,TMIN,116
CIM00085782,2007-07-26,TMIN,50
CIM00085782,2005-09-14,TMIN,-17
CIM00085782,2013-09-27,TMIN,10
CIM00085782,2013-03-27,TMIN,122
CIM00085782,2014-03-12,TMIN,115
CIM00085782,2013-10-26,TMIN,73
CIM00085782,2012-12-01,TMIN,117
CIM00085782,2012-09-07,TMIN,42
CIM00085782,2006-12-15,TMIN,132
CIM00085782,2015-02-01,TMIN,85
CIM00085782,2008-06-30,TMAX,132
CIM00085782,2007-07-18,TMIN,76
CIM00085782,2008-11-22,TMIN,102
CIM00085782,2005-02-01,TMIN,60
CIM00085782,2007-12-01,TMAX,194
