ID,Date,Element,Data_Value
CHM00058321,2010-04-02,TMIN,71
CHM00058321,2007-11-09,TMAX,178
CHM00058321,2012-03-28,TMAX,268
CHM00058321,2015-01-10,TMAX,153
CHM00058321,2007-10-11,TMAX,247
CHM00058321,2005-02-06,TMIN,26
CHM00058321,2011-08-09,TMIN,259
CHM00058321,2011-11-19,TMIN,118
CHM00058321,2005-07-22,TMIN,263
CHM00058321,2009-03-06,TMAX,127
CHM00058321,2015-01-10,TMIN,-1
CHM00058321,2005-11-11,TMIN,146
CHM00058321,2011-11-19,TMAX,151
CHM00058321,2005-07-22,TMAX,336
CHM00058321,2015-06-28,TMAX,232
CHM00058321,2006-12-21,TMAX,132
CHM00058321,2015-01-29,TMAX,9
CHM00058321,2012-06-27,TMAX,240
CHM00058321,2010-09-22,TMAX,281
CHM00058321,2009-03-06,TMIN,11
CHM00058321,2010-12-05,TMIN,80
CHM00058321,2011-05-18,TMAX,335
CHM00058321,2005-07-02,TMAX,341
CHM00058321,2009-09-09,TMAX,255
CHM00058321,2012-05-03,TMIN,176
CHM00058321,2005-03-25,TMIN,10
CHM00058321,2007-11-09,TMIN,94
CHM00058321,2011-08-26,TMIN,217
CHM00058321,2005-04-05,TMIN,152
CHM00058321,2010-02-03,TMAX,78
CHM00058321,2012-01-11,TMAX,70
CHM00058321,2005-03-25,TMAX,155
CHM00058321,2010-12-05,TMAX,223
CHM00058321,2011-05-18,TMIN,235
CHM00058321,2006-01-29,TMAX,161
CHM00058321,2013-09-08,TMIN,206
CHM00058321,2012-05-03,TMAX,268
CHM00058321,2014-05-16,TMAX,281
CHM00058321,2011-11-07,TMAX,170
CHM00058321,2008-09-21,TMIN,238
CHM00058321,2008-05-21,TMIN,184
CHM00058321,2012-08-21,TMAX,295
CHM00058321,2005-02-06,TMAX,40
CHM00058321,2013-08-28,TMAX,355
CHM00058321,2008-07-03,TMAX,342
CHM00058321,2010-06-26,TMAX,307
CHM00058321,2015-11-15,TMAX,201
CHM00058321,2009-09-09,TMIN,208
CHM00058321,2009-01-10,TMAX,41
CHM00058321,2013-08-28,TMIN,259
CHM00058321,2010-06-29,TMAX,334
CHM00058321,2005-07-04,TMAX,376
CHM00058321,2010-08-30,TMIN,223
CHM00058321,2007-03-21,TMAX,148
CHM00058321,2015-04-17,TMIN,147
CHM00058321,2013-04-21,TMAX,142
CHM00058321,2006-03-25,TMAX,218
CHM00058321,2008-01-01,TMIN,-38
CHM00058321,2014-05-04,TMAX,205
CHM00058321,2009-11-12,TMAX,86
CHM00058321,2006-01-29,TMIN,33
CHM00058321,2013-04-21,TMIN,75
CHM00058321,2013-11-29,TMIN,-40
CHM00058321,2010-04-11,TMIN,107
CHM00058321,2007-04-07,TMIN,101
CHM00058321,2013-12-07,TMIN,27
CHM00058321,2012-08-21,TMIN,222
CHM00058321,2008-05-21,TMAX,334
CHM00058321,2005-07-09,TMIN,243
CHM00058321,2011-06-11,TMAX,295
CHM00058321,2010-12-06,TMAX,183
CHM00058321,2008-10-22,TMIN,195
CHM00058321,2014-12-26,TMAX,83
CHM00058321,2006-03-25,TMIN,85
CHM00058321,2011-06-11,TMIN,209
CHM00058321,2010-12-06,TMIN,84
CHM00058321,2012-02-24,TMIN,26
CHM00058321,2010-06-26,TMIN,227
CHM00058321,2010-04-11,TMAX,150
CHM00058321,2008-01-28,TMAX,-6
CHM00058321,2011-03-24,TMAX,133
CHM00058321,2015-06-11,TMAX,328
CHM00058321,2013-02-08,TMAX,-11
CHM00058321,2006-03-10,TMAX,186
CHM00058321,2010-02-09,TMAX,135
CHM00058321,2012-02-06,TMIN,53
CHM00058321,2008-06-27,TMAX,254
CHM00058321,2012-08-16,TMAX,304
CHM00058321,2007-03-14,TMIN,97
CHM00058321,2006-06-24,TMAX,276
CHM00058321,2014-10-08,TMAX,250
CHM00058321,2014-10-08,TMIN,128
CHM00058321,2006-09-16,TMAX,272
CHM00058321,2015-09-29,TMAX,246
CHM00058321,2005-03-11,TMAX,181
CHM00058321,2006-03-10,TMIN,87
CHM00058321,2008-06-27,TMIN,220
CHM00058321,2006-03-16,TMIN,31
CHM00058321,2007-06-03,TMAX,261
CHM00058321,2007-04-26,TMIN,127
CHM00058321,2009-09-11,TMAX,304
CHM00058321,2007-10-10,TMAX,238
CHM00058321,2011-11-11,TMIN,61
CHM00058321,2010-04-29,TMAX,243
CHM00058321,2013-01-24,TMAX,60
CHM00058321,2008-07-17,TMAX,354
CHM00058321,2009-11-12,TMIN,17
CHM00058321,2014-05-16,TMIN,145
CHM00058321,2010-07-15,TMIN,237
CHM00058321,2007-09-05,TMIN,200
CHM00058321,2011-11-11,TMAX,186
CHM00058321,2009-02-06,TMIN,85
CHM00058321,2013-06-23,TMAX,294
CHM00058321,2006-04-19,TMIN,149
CHM00058321,2006-06-24,TMIN,238
CHM00058321,2007-04-26,TMAX,257
CHM00058321,2005-12-11,TMIN,6
CHM00058321,2010-02-09,TMIN,84
CHM00058321,2006-04-19,TMAX,240
CHM00058321,2014-03-21,TMIN,28
CHM00058321,2007-03-14,TMAX,133
CHM00058321,2013-11-29,TMAX,121
CHM00058321,2008-07-16,TMIN,258
CHM00058321,2014-04-24,TMAX,238
CHM00058321,2009-02-02,TMIN,48
CHM00058321,2014-04-02,TMIN,91
CHM00058321,2014-02-25,TMAX,100
CHM00058321,2007-10-10,TMIN,135
CHM00058321,2014-04-10,TMIN,148
CHM00058321,2006-11-29,TMAX,95
CHM00058321,2005-01-01,TMIN,-88
CHM00058321,2013-10-31,TMAX,177
CHM00058321,2008-10-31,TMIN,150
CHM00058321,2009-11-29,TMIN,19
CHM00058321,2015-12-08,TMAX,143
CHM00058321,2012-07-30,TMAX,378
CHM00058321,2009-08-29,TMAX,262
CHM00058321,2014-02-25,TMIN,73
CHM00058321,2005-03-31,TMIN,46
CHM00058321,2005-03-31,TMAX,194
CHM00058321,2015-08-28,TMAX,318
CHM00058321,2015-05-13,TMIN,184
