ID,Date,Element,Data_Value
BOM00033041,2013-04-13,TMAX,100
BOM00033041,2006-06-14,TMAX,231
BOM00033041,2013-11-09,TMAX,139
BOM00033041,2013-12-21,TMIN,-30
BOM00033041,2012-03-16,TMAX,33
BOM00033041,2011-02-04,TMAX,30
BOM00033041,2012-10-15,TMAX,103
BOM00033041,2011-10-29,TMAX,86
BOM00033041,2006-10-27,TMIN,4
BOM00033041,2009-12-02,TMAX,101
BOM00033041,2011-09-24,TMAX,160
BOM00033041,2007-10-14,TMAX,44
BOM00033041,2015-10-01,TMIN,15
BOM00033041,2008-03-09,TMIN,19
BOM00033041,2006-11-28,TMAX,30
BOM00033041,2006-10-27,TMAX,126
BOM00033041,2014-04-02,TMIN,-33
BOM00033041,2013-10-28,TMAX,161
BOM00033041,2005-06-24,TMAX,252
BOM00033041,2014-07-29,TMAX,300
BOM00033041,2006-08-15,TMIN,152
BOM00033041,2015-03-12,TMAX,109
BOM00033041,2008-07-01,TMAX,214
BOM00033041,2007-07-14,TMAX,224
BOM00033041,2014-05-06,TMIN,-1
BOM00033041,2012-10-14,TMIN,57
BOM00033041,2012-05-02,TMAX,196
BOM00033041,2013-03-10,TMAX,-26
BOM00033041,2011-01-18,TMAX,28
BOM00033041,2010-09-03,TMAX,168
BOM00033041,2012-04-03,TMIN,-21
BOM00033041,2011-12-13,TMIN,-20
BOM00033041,2006-03-29,TMAX,53
BOM00033041,2014-04-18,TMIN,70
BOM00033041,2011-09-21,TMAX,214
BOM00033041,2015-07-22,TMAX,284
BOM00033041,2014-04-28,TMIN,68
BOM00033041,2007-04-26,TMAX,175
BOM00033041,2014-09-30,TMAX,174
BOM00033041,2013-07-26,TMIN,149
BOM00033041,2013-07-26,TMAX,210
BOM00033041,2014-01-22,TMAX,-90
BOM00033041,2014-11-07,TMIN,15
BOM00033041,2014-10-07,TMAX,125
BOM00033041,2010-04-16,TMIN,60
BOM00033041,2006-01-14,TMIN,-11
BOM00033041,2006-05-19,TMAX,165
BOM00033041,2015-06-19,TMAX,204
BOM00033041,2015-10-15,TMAX,105
BOM00033041,2005-07-23,TMIN,150
