ID,Date,Element,Data_Value
RSM00034267,2015-03-26,TMAX,155
RSM00034267,2014-08-14,TMIN,155
RSM00034267,2013-03-26,TMIN,-80
RSM00034267,2012-09-27,TMIN,49
RSM00034267,2015-03-20,TMIN,-59
RSM00034262,2014-11-30,TMIN,-93
RSM00034262,2013-02-21,TMIN,-103
RSM00034262,2013-02-21,TMAX,-19
RSM00034267,2015-02-09,TMAX,8
RSM00034267,2012-12-16,TMAX,-87
RSM00034262,2013-07-12,TMIN,146
RSM00034267,2015-12-02,TMAX,40
RSM00034267,2012-09-27,TMAX,235
RSM00034262,2012-09-19,TMIN,42
RSM00034267,2012-11-20,TMAX,58
RSM00034262,2015-01-02,TMIN,-104
RSM00034262,2015-11-22,TMIN,86
RSM00034267,2013-02-03,TMIN,-1
RSM00034262,2015-02-21,TMIN,-150
RSM00034267,2013-01-26,TMIN,-149
RSM00034262,2015-10-27,TMAX,85
RSM00034262,2012-07-31,TMAX,306
RSM00034262,2014-05-31,TMIN,93
RSM00034262,2013-07-21,TMIN,165
RSM00034267,2013-02-03,TMAX,15
RSM00034267,2014-08-12,TMIN,165
RSM00034262,2013-07-20,TMIN,111
RSM00034267,2015-11-29,TMAX,6
RSM00034267,2014-06-28,TMIN,117
RSM00034262,2013-09-19,TMIN,100
RSM00034267,2014-11-29,TMIN,-121
RSM00034262,2014-11-06,TMIN,-6
RSM00034262,2013-10-11,TMIN,101
RSM00034267,2013-01-26,TMAX,-93
RSM00034267,2012-09-15,TMAX,276
RSM00034262,2013-11-29,TMIN,-5
RSM00034267,2012-11-05,TMIN,58
RSM00034262,2014-02-28,TMIN,-81
RSM00034267,2013-07-17,TMIN,140
RSM00034267,2013-12-23,TMIN,0
RSM00034267,2013-06-02,TMIN,150
RSM00034267,2014-09-16,TMIN,59
RSM00034262,2014-05-14,TMIN,151
RSM00034267,2014-08-09,TMIN,145
RSM00034262,2014-08-05,TMIN,134
RSM00034267,2015-11-12,TMAX,31
RSM00034267,2014-03-14,TMIN,-28
RSM00034267,2013-08-17,TMIN,158
RSM00034267,2014-10-24,TMIN,-114
RSM00034267,2013-01-14,TMIN,-172
RSM00034262,2013-06-23,TMIN,115
RSM00034267,2014-11-15,TMIN,-24
RSM00034267,2014-10-05,TMIN,-48
RSM00034267,2013-05-30,TMIN,121
RSM00034267,2015-11-29,TMIN,-110
RSM00034262,2013-05-19,TMIN,81
RSM00034267,2013-11-01,TMIN,26
RSM00034262,2015-01-08,TMIN,-305
RSM00034267,2014-06-17,TMIN,83
RSM00034267,2012-09-21,TMIN,78
RSM00034262,2013-11-02,TMIN,43
RSM00034262,2014-12-07,TMAX,-29
RSM00034262,2014-09-21,TMIN,33
RSM00034262,2014-12-07,TMIN,-109
RSM00034262,2014-12-20,TMIN,-8
RSM00034262,2014-04-20,TMIN,91
RSM00034262,2013-08-31,TMIN,157
RSM00034267,2012-09-07,TMIN,85
RSM00034267,2012-09-07,TMAX,243
RSM00034267,2013-11-24,TMIN,-68
RSM00034267,2014-07-17,TMIN,112
RSM00034267,2012-08-22,TMAX,122
RSM00034262,2013-08-10,TMIN,137
RSM00034262,2013-12-29,TMIN,-31
RSM00034262,2014-03-30,TMIN,-43
RSM00034267,2014-06-14,TMIN,80
RSM00034262,2013-03-18,TMAX,6
RSM00034267,2012-12-03,TMIN,43
RSM00034262,2014-03-24,TMIN,-6
RSM00034267,2013-07-15,TMIN,181
RSM00034267,2013-03-23,TMIN,-17
RSM00034262,2015-03-12,TMIN,-7
RSM00034267,2013-03-31,TMIN,-16
RSM00034267,2014-07-18,TMIN,145
RSM00034262,2013-08-03,TMIN,152
RSM00034267,2012-09-16,TMAX,283
RSM00034262,2015-10-29,TMAX,29
RSM00034262,2014-08-22,TMIN,132
RSM00034267,2015-11-15,TMAX,31
RSM00034267,2014-08-23,TMIN,143
RSM00034267,2013-06-15,TMIN,152
RSM00034267,2013-03-08,TMAX,24
RSM00034267,2014-10-11,TMIN,1
RSM00034267,2014-03-03,TMIN,-94
RSM00034267,2015-11-09,TMAX,47
RSM00034267,2013-03-20,TMIN,-37
RSM00034267,2015-11-15,TMIN,-15
RSM00034262,2012-09-05,TMAX,162
RSM00034267,2013-03-23,TMAX,35
RSM00034267,2014-01-21,TMIN,-274
RSM00034267,2015-03-17,TMIN,-33
RSM00034262,2015-12-24,TMAX,95
RSM00034262,2012-09-19,TMAX,217
RSM00034262,2013-05-29,TMIN,131
RSM00034262,2015-12-24,TMIN,17
RSM00034262,2013-09-28,TMIN,22
RSM00034267,2015-12-07,TMAX,73
RSM00034262,2012-09-15,TMIN,89
RSM00034262,2014-11-29,TMIN,-124
RSM00034262,2014-12-23,TMIN,-41
RSM00034262,2014-06-06,TMIN,153
RSM00034267,2015-03-17,TMAX,52
RSM00034267,2014-01-15,TMIN,-81
RSM00034262,2012-09-15,TMAX,275
RSM00034262,2012-12-09,TMIN,14
RSM00034262,2012-08-20,TMAX,264
RSM00034267,2014-07-31,TMIN,93
RSM00034262,2012-12-26,TMIN,-172
RSM00034262,2013-01-06,TMIN,-12
RSM00034267,2013-02-27,TMIN,-168
RSM00034262,2013-07-01,TMIN,188
RSM00034267,2014-05-24,TMIN,111
RSM00034267,2014-11-03,TMIN,-37
RSM00034267,2012-08-14,TMIN,221
RSM00034262,2013-09-12,TMIN,109
RSM00034267,2015-03-20,TMAX,90
RSM00034267,2013-01-28,TMAX,-64
RSM00034267,2013-09-08,TMIN,95
RSM00034267,2013-01-28,TMIN,-169
RSM00034267,2013-03-26,TMAX,-34
RSM00034267,2015-11-09,TMIN,-23
RSM00034267,2014-05-12,TMIN,99
RSM00034267,2015-01-25,TMIN,-187
RSM00034262,2014-09-19,TMIN,-16
RSM00034267,2012-11-20,TMIN,-57
RSM00034262,2015-02-14,TMIN,-59
RSM00034262,2012-08-20,TMIN,136
RSM00034267,2012-09-15,TMIN,69
RSM00034262,2014-04-08,TMIN,45
RSM00034267,2013-06-07,TMIN,58
RSM00034262,2012-10-03,TMAX,177
RSM00034262,2013-06-07,TMIN,96
RSM00034267,2015-11-19,TMAX,0
RSM00034267,2013-02-09,TMIN,-35
RSM00034267,2015-11-19,TMIN,-14
RSM00034267,2015-03-25,TMAX,131
RSM00034267,2013-05-10,TMIN,84
RSM00034267,2012-09-21,TMAX,241
RSM00034262,2014-08-21,TMIN,154
RSM00034267,2012-12-11,TMAX,-68
RSM00034267,2013-03-31,TMAX,57
RSM00034267,2013-06-05,TMIN,78
RSM00034267,2012-11-05,TMAX,99
RSM00034262,2012-12-09,TMAX,27
RSM00034267,2014-11-07,TMIN,-1
RSM00034267,2012-09-16,TMIN,104
RSM00034267,2014-05-02,TMIN,85
RSM00034267,2015-12-07,TMIN,19
RSM00034267,2013-06-01,TMIN,154
RSM00034267,2013-02-27,TMAX,10
RSM00034267,2012-08-22,TMIN,88
RSM00034267,2014-04-08,TMIN,31
RSM00034267,2014-10-21,TMIN,54
RSM00034267,2014-06-26,TMIN,157
RSM00034262,2013-09-07,TMIN,109
RSM00034262,2012-10-03,TMIN,13
RSM00034267,2012-08-14,TMAX,350
RSM00034262,2015-01-18,TMIN,-94
RSM00034262,2013-12-11,TMIN,-93
RSM00034262,2013-02-17,TMAX,-51
RSM00034267,2012-09-19,TMAX,228
RSM00034267,2012-08-02,TMIN,171
RSM00034262,2015-11-08,TMAX,48
RSM00034262,2014-04-17,TMIN,74
RSM00034267,2012-08-26,TMAX,301
RSM00034267,2012-08-06,TMAX,366
RSM00034267,2014-04-13,TMIN,-12
RSM00034267,2012-11-30,TMIN,32
RSM00034267,2012-08-26,TMIN,146
RSM00034262,2013-03-10,TMIN,-82
RSM00034262,2014-07-25,TMIN,122
RSM00034262,2012-08-24,TMAX,247
RSM00034267,2014-01-27,TMIN,-328
RSM00034262,2014-07-26,TMIN,120
RSM00034262,2014-05-22,TMIN,93
RSM00034262,2015-01-17,TMIN,-109
RSM00034267,2014-07-26,TMIN,123
RSM00034267,2013-11-14,TMIN,64
RSM00034262,2014-06-04,TMIN,104
RSM00034262,2013-03-27,TMIN,-82
RSM00034267,2015-03-15,TMAX,78
RSM00034262,2013-01-05,TMIN,-35
RSM00034262,2013-03-27,TMAX,-7
RSM00034262,2012-10-07,TMAX,211
RSM00034262,2012-12-14,TMAX,-105
RSM00034262,2013-02-15,TMAX,-29
RSM00034262,2013-08-22,TMIN,138
RSM00034262,2012-10-07,TMIN,83
RSM00034267,2012-08-02,TMAX,368
RSM00034262,2015-11-08,TMIN,-60
RSM00034267,2013-11-09,TMIN,26
RSM00034262,2012-09-13,TMAX,260
RSM00034267,2012-09-19,TMIN,22
RSM00034262,2014-03-05,TMIN,-118
RSM00034262,2013-01-06,TMAX,9
RSM00034267,2015-10-10,TMAX,46
RSM00034267,2013-02-23,TMAX,-63
RSM00034262,2012-12-06,TMIN,-18
RSM00034267,2015-10-10,TMIN,-34
RSM00034262,2012-11-09,TMIN,7
RSM00034262,2012-11-09,TMAX,85
RSM00034262,2014-06-28,TMIN,118
RSM00034262,2015-02-08,TMIN,-146
RSM00034267,2012-09-25,TMAX,195
RSM00034262,2015-03-26,TMAX,145
RSM00034267,2014-08-24,TMIN,161
RSM00034267,2014-07-24,TMIN,116
RSM00034262,2015-02-20,TMIN,-252
RSM00034262,2012-09-08,TMIN,118
RSM00034262,2012-09-08,TMAX,180
RSM00034267,2013-02-18,TMAX,-31
RSM00034262,2013-02-06,TMAX,13
RSM00034262,2013-02-06,TMIN,-51
RSM00034267,2013-02-20,TMAX,-22
RSM00034267,2012-12-15,TMIN,-155
RSM00034262,2014-02-23,TMIN,-167
RSM00034267,2014-12-04,TMIN,-124
RSM00034262,2014-02-16,TMIN,-24
RSM00034267,2014-09-01,TMIN,55
RSM00034262,2014-11-05,TMIN,-56
RSM00034267,2013-11-28,TMIN,-27
RSM00034262,2013-01-12,TMIN,-154
RSM00034267,2012-09-25,TMIN,27
RSM00034262,2015-03-27,TMAX,30
RSM00034262,2013-01-14,TMIN,-181
RSM00034262,2013-05-10,TMIN,98
RSM00034267,2015-02-24,TMIN,-114
RSM00034267,2014-02-25,TMIN,-171
RSM00034267,2013-06-23,TMIN,108
RSM00034267,2013-02-20,TMIN,-128
RSM00034267,2013-02-23,TMIN,-192
RSM00034267,2012-12-15,TMAX,-100
RSM00034267,2014-08-13,TMIN,152
RSM00034267,2012-11-30,TMAX,124
RSM00034267,2014-05-26,TMIN,180
RSM00034262,2012-12-14,TMIN,-149
RSM00034262,2013-03-16,TMAX,66
RSM00034262,2014-03-13,TMIN,-28
RSM00034262,2015-12-31,TMAX,-115
RSM00034262,2013-09-06,TMIN,95
RSM00034262,2013-05-07,TMIN,72
RSM00034262,2014-10-30,TMIN,36
RSM00034262,2013-02-26,TMAX,-3
RSM00034262,2015-03-16,TMIN,-58
RSM00034267,2015-03-01,TMIN,-51
RSM00034267,2014-03-22,TMIN,-52
RSM00034262,2015-03-16,TMAX,30
RSM00034262,2012-11-01,TMAX,71
RSM00034267,2015-03-15,TMIN,-42
RSM00034267,2013-12-07,TMIN,-53
RSM00034262,2015-03-19,TMIN,-87
RSM00034262,2014-07-15,TMIN,144
RSM00034262,2015-12-31,TMIN,-151
RSM00034267,2012-08-17,TMAX,307
RSM00034262,2012-12-19,TMAX,-126
RSM00034262,2012-11-24,TMAX,18
RSM00034267,2014-01-06,TMIN,-33
RSM00034267,2012-12-30,TMIN,-89
RSM00034267,2012-12-30,TMAX,-33
RSM00034267,2015-10-27,TMAX,77
RSM00034267,2015-10-21,TMAX,61
RSM00034262,2015-01-09,TMIN,-238
RSM00034267,2015-12-27,TMAX,29
RSM00034262,2015-03-13,TMIN,-9
RSM00034262,2015-03-13,TMAX,19
RSM00034267,2014-11-25,TMIN,-168
RSM00034262,2014-08-24,TMIN,156
RSM00034262,2014-04-25,TMIN,-14
RSM00034262,2015-11-11,TMAX,77
RSM00034267,2015-11-08,TMAX,64
RSM00034267,2013-07-14,TMIN,129
