ID,Date,Element,Data_Value
CHM00054618,2005-04-15,TMAX,207
CHM00054618,2006-12-04,TMAX,58
CHM00054618,2014-12-13,TMIN,-61
CHM00054618,2010-10-16,TMAX,228
CHM00054618,2010-03-04,TMIN,1
CHM00054618,2012-10-14,TMIN,73
CHM00054618,2007-04-09,TMAX,258
CHM00054618,2013-03-02,TMIN,-29
CHM00054618,2008-04-01,TMAX,169
CHM00054618,2007-09-03,TMIN,188
CHM00054618,2015-01-29,TMAX,35
CHM00054618,2005-04-15,TMIN,62
CHM00054618,2015-01-27,TMIN,-65
CHM00054618,2011-07-13,TMAX,328
CHM00054618,2012-10-14,TMAX,213
CHM00054618,2008-09-09,TMAX,255
CHM00054618,2008-07-03,TMAX,350
CHM00054618,2007-01-19,TMAX,68
CHM00054618,2007-01-19,TMIN,-44
CHM00054618,2005-10-17,TMAX,198
CHM00054618,2005-01-11,TMIN,-107
CHM00054618,2011-02-28,TMAX,26
CHM00054618,2006-09-25,TMAX,252
CHM00054618,2010-10-03,TMIN,102
CHM00054618,2009-05-23,TMAX,320
CHM00054618,2010-03-04,TMAX,109
CHM00054618,2008-11-20,TMAX,146
CHM00054618,2013-03-02,TMAX,64
CHM00054618,2010-08-29,TMAX,303
CHM00054618,2008-09-09,TMIN,211
CHM00054618,2006-01-19,TMIN,-72
CHM00054618,2009-08-09,TMAX,315
CHM00054618,2014-11-07,TMIN,33
CHM00054618,2009-08-29,TMAX,236
CHM00054618,2006-07-13,TMIN,242
CHM00054618,2009-08-29,TMIN,176
CHM00054618,2007-05-17,TMAX,281
CHM00054618,2010-04-12,TMIN,41
CHM00054618,2013-03-08,TMAX,258
CHM00054618,2013-04-03,TMAX,212
CHM00054618,2006-11-16,TMIN,38
CHM00054618,2013-02-10,TMAX,9
CHM00054618,2006-11-16,TMAX,168
CHM00054618,2007-05-17,TMIN,167
CHM00054618,2007-07-19,TMAX,321
CHM00054618,2014-11-07,TMAX,118
CHM00054618,2009-08-09,TMIN,232
CHM00054618,2007-12-26,TMAX,69
CHM00054618,2008-01-26,TMAX,25
CHM00054618,2015-07-08,TMIN,216
CHM00054618,2009-12-11,TMAX,52
CHM00054618,2012-03-10,TMAX,97
CHM00054618,2005-10-11,TMAX,246
CHM00054618,2014-10-05,TMAX,209
CHM00054618,2012-05-11,TMIN,199
CHM00054618,2014-12-02,TMIN,-77
