ID,Date,Element,Data_Value
ECM00084270,2013-05-01,TMIN,142
ECM00084270,2011-10-03,TMIN,120
ECM00084270,2015-12-06,TMIN,118
ECM00084270,2012-03-16,TMAX,212
ECM00084270,2015-06-19,TMIN,130
ECM00084270,2012-11-28,TMIN,140
ECM00084270,2013-09-05,TMIN,105
ECM00084270,2011-10-12,TMAX,257
ECM00084270,2011-08-04,TMIN,138
ECM00084270,2012-11-28,TMAX,247
ECM00084270,2012-07-07,TMIN,140
ECM00084270,2015-04-06,TMIN,110
ECM00084270,2015-04-06,TMAX,204
ECM00084270,2015-04-02,TMAX,222
ECM00084270,2012-07-14,TMAX,216
ECM00084270,2012-07-07,TMAX,192
ECM00084270,2013-09-20,TMAX,206
ECM00084270,2015-10-27,TMAX,242
ECM00084270,2015-01-21,TMAX,215
ECM00084270,2012-04-01,TMAX,210
ECM00084270,2011-10-12,TMIN,140
ECM00084270,2015-06-19,TMAX,176
ECM00084270,2013-09-05,TMAX,289
ECM00084270,2015-03-24,TMIN,120
ECM00084270,2013-09-20,TMIN,135
ECM00084270,2014-07-29,TMIN,135
ECM00084270,2011-09-25,TMAX,244
ECM00084270,2015-12-21,TMAX,198
ECM00084270,2013-02-16,TMIN,115
ECM00084270,2014-09-28,TMIN,138
ECM00084270,2015-03-28,TMIN,125
ECM00084270,2012-07-14,TMIN,128
ECM00084270,2015-12-06,TMAX,240
ECM00084270,2012-10-10,TMIN,110
ECM00084270,2015-09-09,TMAX,228
ECM00084270,2012-07-17,TMIN,140
ECM00084270,2012-08-21,TMAX,214
ECM00084270,2013-06-25,TMIN,120
ECM00084270,2013-05-01,TMAX,236
ECM00084270,2014-08-26,TMAX,218
ECM00084270,2012-10-22,TMAX,255
ECM00084270,2012-03-13,TMIN,138
ECM00084270,2012-04-11,TMIN,90
ECM00084270,2012-04-01,TMIN,128
ECM00084270,2012-10-22,TMIN,130
ECM00084270,2014-02-18,TMIN,136
ECM00084270,2012-03-13,TMAX,210
ECM00084270,2012-10-10,TMAX,260
ECM00084270,2015-11-19,TMIN,140
ECM00084270,2012-08-21,TMIN,134
ECM00084270,2013-02-16,TMAX,227
ECM00084270,2015-06-10,TMIN,100
ECM00084270,2012-06-19,TMAX,227
ECM00084270,2015-03-28,TMAX,230
ECM00084270,2015-01-14,TMIN,99
ECM00084270,2014-08-26,TMIN,120
ECM00084270,2014-07-29,TMAX,192
ECM00084270,2011-09-25,TMIN,132
ECM00084270,2011-10-03,TMAX,250
ECM00084270,2015-01-21,TMIN,122
ECM00084270,2015-09-08,TMAX,204
ECM00084270,2015-11-19,TMAX,248
ECM00084270,2013-04-09,TMIN,141
ECM00084270,2013-04-09,TMAX,202
ECM00084270,2015-09-08,TMIN,145
ECM00084270,2014-06-16,TMIN,125
ECM00084270,2014-09-28,TMAX,205
ECM00084270,2015-12-21,TMIN,134
ECM00084270,2015-10-27,TMIN,140
ECM00084270,2014-02-18,TMAX,216
ECM00084270,2012-04-11,TMAX,225
ECM00084270,2014-06-16,TMAX,170
ECM00084270,2013-06-25,TMAX,216
ECM00084270,2015-06-10,TMAX,200
ECM00084270,2012-10-04,TMAX,250
ECM00084270,2013-01-15,TMAX,235
ECM00084270,2014-01-25,TMAX,236
ECM00084270,2012-08-29,TMIN,125
ECM00084270,2013-06-14,TMAX,203
ECM00084270,2013-06-14,TMIN,146
ECM00084270,2012-02-28,TMAX,218
ECM00084270,2014-03-07,TMIN,106
ECM00084270,2012-02-29,TMAX,232
ECM00084270,2012-02-28,TMIN,127
ECM00084270,2012-08-23,TMAX,223
ECM00084270,2015-06-21,TMIN,128
ECM00084270,2015-06-21,TMAX,185
ECM00084270,2014-08-22,TMIN,105
ECM00084270,2014-08-22,TMAX,225
ECM00084270,2014-01-25,TMIN,132
ECM00084270,2015-11-05,TMAX,266
ECM00084270,2014-12-18,TMIN,120
ECM00084270,2015-11-05,TMIN,85
ECM00084270,2011-09-16,TMAX,240
ECM00084270,2012-10-16,TMIN,142
ECM00084270,2015-10-29,TMAX,242
ECM00084270,2014-09-03,TMAX,215
ECM00084270,2014-09-03,TMIN,115
ECM00084270,2014-11-14,TMIN,122
ECM00084270,2015-09-26,TMAX,208
ECM00084270,2011-09-16,TMIN,106
ECM00084270,2014-12-18,TMAX,249
ECM00084270,2015-12-25,TMAX,190
ECM00084270,2013-03-25,TMIN,126
ECM00084270,2014-11-14,TMAX,212
ECM00084270,2012-08-29,TMAX,154
ECM00084270,2012-02-29,TMIN,120
ECM00084270,2015-12-25,TMIN,144
ECM00084270,2015-08-30,TMAX,165
ECM00084270,2015-08-23,TMIN,130
ECM00084270,2013-08-06,TMIN,137
ECM00084270,2012-11-13,TMIN,146
ECM00084270,2013-12-15,TMAX,232
ECM00084270,2013-04-03,TMIN,134
ECM00084270,2012-02-19,TMAX,208
ECM00084270,2013-04-04,TMIN,118
ECM00084270,2012-11-13,TMAX,217
ECM00084270,2013-04-03,TMAX,215
ECM00084270,2011-08-03,TMAX,230
ECM00084270,2015-10-29,TMIN,120
ECM00084270,2015-09-20,TMIN,148
ECM00084270,2014-02-10,TMAX,210
ECM00084270,2012-06-11,TMIN,120
ECM00084270,2012-07-02,TMAX,196
ECM00084270,2012-02-01,TMAX,233
ECM00084270,2015-08-23,TMAX,230
ECM00084270,2012-10-16,TMAX,247
ECM00084270,2011-08-03,TMIN,140
ECM00084270,2012-07-31,TMAX,207
ECM00084270,2013-08-06,TMAX,175
ECM00084270,2014-07-31,TMIN,132
ECM00084270,2015-10-19,TMIN,148
ECM00084270,2014-07-31,TMAX,216
ECM00084270,2015-09-20,TMAX,220
ECM00084270,2014-02-07,TMAX,238
ECM00084270,2013-12-15,TMIN,132
ECM00084270,2014-02-07,TMIN,130
