ID,Date,Element,Data_Value
CA007093716,2014-04-10,TMAX,26
CA007093715,2011-01-17,TMAX,-161
CA007093715,2005-06-25,TMAX,135
CA007093715,2007-06-13,TMIN,163
CA007093716,2015-02-04,TMAX,-245
CA007093716,2014-08-05,TMAX,191
CA007093715,2007-06-13,TMAX,333
CA007093716,2014-09-27,TMAX,210
CA007093715,2007-10-05,TMAX,83
CA007093715,2010-07-16,TMIN,160
CA007093716,2006-05-14,TMIN,83
CA007093715,2008-02-27,TMIN,-316
CA007093716,2014-09-27,TMIN,55
CA007093716,2006-03-13,TMIN,-148
CA007093716,2010-07-27,TMIN,90
CA007093716,2008-04-05,TMAX,-7
CA007093715,2008-06-03,TMAX,113
CA007093716,2008-04-05,TMIN,-106
CA007093715,2012-07-13,TMIN,135
CA007093715,2005-06-25,TMIN,50
CA007093715,2010-07-16,TMAX,267
CA007093715,2006-04-14,TMIN,-56
CA007093716,2015-07-27,TMIN,40
CA007093715,2007-07-09,TMAX,154
CA007093715,2011-04-28,TMIN,-18
CA007093716,2013-06-08,TMIN,80
CA007093716,2015-11-03,TMIN,-46
CA007093715,2008-02-27,TMAX,-228
CA007093716,2013-09-09,TMAX,94
CA007093716,2005-08-28,TMAX,274
CA007093715,2009-03-10,TMIN,-197
CA007093716,2005-11-09,TMIN,-104
CA007093716,2005-11-09,TMAX,-34
CA007093716,2005-08-28,TMIN,159
CA007093715,2008-06-11,TMAX,124
CA007093716,2010-05-03,TMAX,100
CA007093715,2009-08-02,TMIN,129
CA007093716,2010-05-03,TMIN,20
CA007093715,2011-10-04,TMIN,-13
CA007093716,2005-10-22,TMIN,-3
CA007093715,2011-10-04,TMAX,80
CA007093715,2011-06-06,TMAX,131
CA007093715,2009-03-10,TMAX,-105
CA007093715,2009-12-03,TMIN,-95
CA007093716,2014-11-15,TMIN,-129
CA007093716,2010-06-19,TMIN,55
CA007093716,2015-11-03,TMAX,32
CA007093715,2008-05-20,TMIN,12
CA007093715,2007-07-09,TMIN,67
CA007093715,2010-12-30,TMIN,-65
CA007093715,2008-05-20,TMAX,145
CA007093715,2005-12-24,TMIN,-245
CA007093716,2014-08-05,TMIN,63
CA007093715,2011-04-28,TMAX,73
CA007093716,2009-05-29,TMAX,205
CA007093715,2012-07-13,TMAX,261
CA007093716,2015-07-27,TMAX,154
CA007093716,2007-07-30,TMIN,105
CA007093716,2013-10-02,TMIN,27
CA007093715,2012-10-30,TMAX,19
CA007093716,2013-03-30,TMIN,-66
CA007093715,2012-03-13,TMIN,-162
CA007093715,2012-10-30,TMIN,3
CA007093716,2014-11-13,TMAX,-53
CA007093716,2010-06-19,TMAX,216
CA007093715,2009-05-29,TMIN,-27
CA007093715,2005-12-04,TMAX,-44
CA007093716,2009-05-29,TMIN,-9
CA007093715,2008-04-05,TMIN,-163
CA007093716,2013-06-08,TMAX,234
CA007093715,2012-08-10,TMAX,208
CA007093715,2007-06-14,TMAX,342
CA007093716,2012-11-09,TMIN,-81
CA007093715,2005-12-04,TMIN,-124
CA007093716,2013-03-30,TMAX,63
CA007093716,2013-09-09,TMIN,-13
CA007093716,2013-10-06,TMIN,13
CA007093715,2011-03-12,TMIN,-191
CA007093715,2009-05-29,TMAX,127
CA007093715,2007-06-14,TMIN,184
CA007093716,2013-10-06,TMAX,72
CA007093715,2011-01-17,TMIN,-279
CA007093716,2012-12-07,TMAX,-16
CA007093715,2008-03-25,TMAX,-71
CA007093715,2012-04-11,TMIN,-66
CA007093716,2014-10-25,TMIN,33
CA007093716,2014-05-24,TMIN,34
CA007093716,2014-10-25,TMAX,85
CA007093716,2013-12-02,TMIN,-158
CA007093716,2010-09-21,TMAX,83
CA007093716,2014-09-10,TMIN,26
CA007093715,2006-11-05,TMAX,-54
CA007093715,2010-10-26,TMIN,-5
CA007093716,2014-09-10,TMAX,88
CA007093716,2014-02-05,TMIN,-246
CA007093716,2005-03-14,TMIN,-130
CA007093715,2007-07-08,TMIN,72
CA007093715,2008-01-23,TMAX,-259
CA007093715,2008-01-23,TMIN,-322
CA007093715,2006-12-02,TMAX,-84
CA007093716,2006-05-02,TMIN,59
CA007093716,2007-11-09,TMIN,-110
CA007093715,2011-05-01,TMIN,38
CA007093715,2006-08-06,TMIN,83
CA007093715,2005-02-01,TMAX,-94
CA007093715,2012-04-11,TMAX,22
CA007093715,2006-11-07,TMIN,-83
CA007093716,2006-05-14,TMAX,254
CA007093716,2013-04-18,TMIN,-112
CA007093715,2006-07-13,TMIN,102
CA007093716,2010-09-21,TMIN,26
CA007093715,2011-09-28,TMAX,240
CA007093715,2009-08-13,TMAX,184
CA007093715,2006-11-05,TMIN,-93
CA007093715,2012-08-28,TMIN,67
CA007093715,2007-05-04,TMIN,-64
CA007093715,2007-05-04,TMAX,43
CA007093715,2012-01-25,TMAX,-201
CA007093716,2010-09-20,TMAX,90
CA007093716,2015-02-05,TMIN,-343
CA007093715,2012-10-20,TMIN,58
CA007093716,2010-11-30,TMIN,-44
CA007093715,2011-04-10,TMIN,1
CA007093715,2011-12-02,TMAX,-83
CA007093715,2011-05-01,TMAX,187
CA007093716,2005-12-23,TMAX,-162
CA007093716,2013-12-02,TMAX,-116
CA007093715,2005-07-11,TMAX,361
CA007093716,2006-05-02,TMAX,254
CA007093715,2005-02-21,TMAX,-148
CA007093715,2005-07-16,TMAX,306
CA007093716,2006-06-16,TMAX,286
CA007093716,2015-04-08,TMAX,-69
CA007093715,2009-08-13,TMIN,104
CA007093716,2015-04-08,TMIN,-257
CA007093716,2005-12-23,TMIN,-265
CA007093716,2010-11-30,TMAX,-7
CA007093715,2012-10-20,TMAX,99
CA007093716,2015-07-22,TMAX,148
CA007093716,2014-05-24,TMAX,223
CA007093715,2005-07-11,TMIN,193
CA007093715,2011-06-08,TMIN,-6
CA007093716,2013-01-27,TMIN,-296
CA007093716,2006-07-30,TMAX,199
CA007093715,2008-06-05,TMAX,211
CA007093716,2006-03-13,TMAX,-50
CA007093715,2008-06-03,TMIN,-10
CA007093715,2008-02-16,TMAX,-215
CA007093715,2007-07-08,TMAX,220
CA007093715,2008-06-05,TMIN,70
CA007093715,2006-07-13,TMAX,248
CA007093715,2005-12-24,TMAX,-168
CA007093715,2005-05-23,TMAX,200
CA007093715,2007-04-05,TMIN,-71
CA007093715,2005-05-23,TMIN,64
CA007093716,2006-05-19,TMIN,78
CA007093716,2006-07-30,TMIN,65
CA007093716,2010-07-27,TMAX,232
CA007093715,2011-03-12,TMAX,-27
CA007093715,2009-12-03,TMAX,-61
CA007093715,2010-02-26,TMAX,8
CA007093716,2010-03-15,TMAX,102
CA007093715,2012-08-10,TMIN,67
CA007093715,2011-11-05,TMIN,-14
CA007093715,2008-03-25,TMIN,-248
CA007093715,2008-02-16,TMIN,-322
CA007093715,2010-02-26,TMIN,-57
CA007093716,2015-11-19,TMIN,38
CA007093716,2014-05-16,TMIN,-4
CA007093715,2007-04-05,TMAX,10
CA007093715,2008-04-05,TMAX,-14
CA007093716,2014-05-16,TMAX,47
CA007093716,2006-03-31,TMAX,34
CA007093715,2011-09-28,TMIN,110
CA007093715,2005-02-21,TMIN,-227
CA007093716,2006-06-16,TMIN,80
CA007093715,2006-11-07,TMAX,-2
CA007093715,2005-07-16,TMIN,191
CA007093715,2005-01-21,TMAX,-270
CA007093716,2013-04-18,TMAX,-21
CA007093716,2014-02-05,TMAX,-185
CA007093715,2007-08-14,TMAX,115
