ID,Date,Element,Data_Value
UPM00033924,2014-06-02,TMIN,153
UPM00033924,2011-08-29,TMIN,137
UPM00033924,2005-03-14,TMAX,48
UPM00033924,2010-09-05,TMIN,145
UPM00033924,2014-05-26,TMIN,169
UPM00033924,2015-05-09,TMAX,154
UPM00033924,2006-02-19,TMAX,97
UPM00033924,2013-02-06,TMAX,104
UPM00033924,2011-02-23,TMIN,-35
UPM00033924,2006-10-04,TMAX,227
UPM00033924,2012-10-15,TMIN,189
UPM00033924,2005-07-31,TMAX,329
UPM00033924,2015-08-03,TMAX,294
UPM00033924,2013-02-06,TMIN,-13
UPM00033924,2006-10-04,TMIN,167
UPM00033924,2007-12-13,TMAX,16
UPM00033924,2012-10-17,TMAX,245
UPM00033924,2014-04-12,TMIN,73
UPM00033924,2013-02-18,TMAX,24
UPM00033924,2011-05-12,TMAX,157
UPM00033924,2011-07-22,TMIN,187
UPM00033924,2010-05-03,TMAX,213
UPM00033924,2006-04-12,TMIN,81
UPM00033924,2012-03-24,TMAX,129
UPM00033924,2005-11-03,TMIN,59
UPM00033924,2010-05-03,TMIN,53
UPM00033924,2012-04-23,TMIN,97
UPM00033924,2014-10-27,TMAX,58
UPM00033924,2009-09-18,TMIN,134
UPM00033924,2014-10-27,TMIN,7
UPM00033924,2009-09-18,TMAX,232
UPM00033924,2009-05-13,TMIN,128
UPM00033924,2014-04-10,TMAX,162
UPM00033924,2011-09-22,TMIN,96
UPM00033924,2011-02-06,TMAX,92
UPM00033924,2011-09-22,TMAX,247
UPM00033924,2009-11-14,TMAX,101
UPM00033924,2014-04-25,TMAX,180
UPM00033924,2006-12-01,TMIN,56
UPM00033924,2012-08-07,TMIN,224
UPM00033924,2015-10-16,TMAX,160
UPM00033924,2014-05-26,TMAX,244
UPM00033924,2013-05-25,TMIN,170
UPM00033924,2009-09-16,TMIN,147
UPM00033924,2013-05-25,TMAX,213
UPM00033924,2014-04-12,TMAX,120
UPM00033924,2007-04-12,TMIN,53
UPM00033924,2012-03-31,TMAX,100
UPM00033924,2009-10-06,TMAX,207
UPM00033924,2015-08-03,TMIN,169
UPM00033924,2008-10-31,TMIN,147
UPM00033924,2013-06-26,TMIN,190
UPM00033924,2015-10-05,TMIN,111
UPM00033924,2012-08-07,TMAX,329
UPM00033924,2010-11-01,TMIN,38
UPM00033924,2009-10-06,TMIN,108
