ID,Date,Element,Data_Value
USR0000AJAT,2011-07-27,TMAX,217
USC00507097,2007-06-09,TMAX,194
USC00507097,2009-10-22,TMIN,-78
USR0000AJAT,2013-11-29,TMIN,-217
USR0000AJAT,2011-10-22,TMIN,-144
USC00505857,2014-06-24,TMAX,128
USC00505857,2010-06-15,TMAX,167
USC00505857,2014-01-15,TMIN,-56
USC00507097,2009-07-01,TMAX,217
USC00507097,2008-09-30,TMIN,-56
USC00505857,2011-09-11,TMAX,144
USC00507097,2008-01-21,TMIN,-56
USC00507097,2008-01-21,TMAX,-11
USW00056401,2014-10-26,TMIN,-192
USR0000AJAT,2008-10-15,TMAX,-28
USR0000AJAT,2013-11-29,TMAX,-194
USC00507097,2007-06-09,TMIN,-6
USR0000AJAT,2012-01-05,TMAX,-228
USR0000AJAT,2006-10-02,TMIN,-33
USC00508547,2006-02-24,TMAX,-133
USR0000AJAT,2007-02-07,TMAX,-128
USR0000AJAT,2015-06-17,TMIN,100
USC00505857,2013-05-26,TMIN,-6
USR0000AJAT,2008-05-17,TMAX,161
USW00056401,2014-03-28,TMAX,-44
USC00505857,2010-12-31,TMIN,-183
USR0000AJAT,2008-05-17,TMIN,39
USC00505607,2006-04-08,TMIN,-178
USC00505857,2014-01-15,TMAX,6
USS0045O01S,2015-05-03,TMIN,-87
USC00505857,2009-04-14,TMAX,-22
USR0000AJAT,2005-09-28,TMIN,-22
USC00505607,2006-04-08,TMAX,61
USC00507097,2007-08-12,TMIN,39
USC00505607,2006-02-27,TMIN,-372
USC00507097,2008-05-17,TMIN,-6
USC00507097,2005-08-28,TMAX,139
USR0000AJAT,2005-01-19,TMIN,-400
USS0045O01S,2014-08-23,TMIN,-8
USC00507097,2008-09-30,TMAX,-6
USC00508547,2006-02-24,TMIN,-306
USC00507097,2005-08-28,TMIN,-17
USR0000AJAT,2005-04-02,TMAX,44
USR0000AJAT,2012-01-18,TMAX,-311
USR0000AJAT,2008-10-15,TMIN,-89
USR0000AJAT,2007-06-20,TMIN,117
USR0000AJAT,2008-05-16,TMIN,22
USR0000AJAT,2013-08-31,TMAX,122
USW00056401,2015-07-21,TMAX,203
USC00505857,2010-06-17,TMAX,144
USC00507097,2007-10-26,TMAX,11
USW00056401,2015-07-21,TMIN,30
USR0000AJAT,2011-07-14,TMIN,89
USC00508547,2005-01-01,TMIN,-289
USS0045O01S,2015-12-09,TMAX,-145
USR0000AJAT,2008-06-13,TMAX,206
USR0000AJAT,2010-10-26,TMIN,-83
USW00056401,2014-08-27,TMAX,107
USC00505857,2010-05-06,TMIN,-17
USR0000AJAT,2008-06-13,TMIN,83
USC00507097,2008-01-20,TMIN,-206
USR0000AJAT,2013-11-22,TMIN,-300
USC00505857,2010-06-17,TMIN,67
USC00507097,2008-01-20,TMAX,-33
USC00507097,2007-08-12,TMAX,183
USR0000AJAT,2011-11-22,TMIN,-344
USR0000AJAT,2010-06-30,TMIN,78
USC00505857,2009-12-19,TMAX,-122
USW00056401,2014-08-27,TMIN,49
USR0000AJAT,2009-06-09,TMAX,283
USC00507097,2009-11-20,TMAX,-239
USC00505857,2012-01-08,TMIN,-261
USC00505857,2009-12-19,TMIN,-328
USC00505857,2009-03-14,TMIN,-211
USS0045O01S,2015-01-19,TMIN,-238
USR0000AJAT,2006-09-29,TMIN,-11
USR0000AJAT,2006-09-29,TMAX,83
USW00056401,2014-01-30,TMAX,-144
USC00507097,2009-10-22,TMAX,33
USC00505857,2010-09-23,TMIN,-100
USR0000AJAT,2005-03-13,TMAX,100
USW00056401,2015-03-02,TMAX,-34
USC00505607,2007-01-15,TMIN,-128
USR0000AJAT,2007-05-31,TMIN,67
USR0000AJAT,2011-07-14,TMAX,133
USR0000AJAT,2014-08-22,TMIN,72
USC00507097,2006-01-27,TMAX,-244
USR0000AJAT,2011-10-20,TMAX,-39
USR0000AJAT,2007-06-20,TMAX,267
USW00056401,2015-02-01,TMAX,-126
USR0000AJAT,2014-04-01,TMAX,28
USR0000AJAT,2011-10-20,TMIN,-133
USR0000AJAT,2014-04-01,TMIN,-83
USC00505607,2006-06-10,TMAX,167
USC00505607,2008-11-07,TMAX,-44
USC00505857,2010-07-21,TMIN,72
USC00505607,2006-03-04,TMIN,-289
USC00505607,2006-03-04,TMAX,-44
USC00507097,2009-10-31,TMAX,-111
USR0000AJAT,2010-09-16,TMIN,28
USR0000AJAT,2010-09-16,TMAX,200
USC00505857,2011-06-12,TMIN,33
USR0000AJAT,2006-07-23,TMAX,267
USR0000AJAT,2006-04-12,TMAX,56
USR0000AJAT,2007-06-09,TMAX,233
USR0000AJAT,2006-04-12,TMIN,-56
USC00507097,2009-06-29,TMAX,167
USR0000AJAT,2008-05-16,TMAX,150
USC00507097,2009-07-02,TMAX,233
USS0045O01S,2015-03-31,TMIN,-141
USC00505857,2010-09-23,TMAX,39
USC00505857,2013-05-26,TMAX,161
USR0000AJAT,2006-07-23,TMIN,94
USS0045O01S,2015-03-31,TMAX,17
USR0000AJAT,2014-08-22,TMAX,206
USC00505857,2011-10-23,TMAX,-11
USC00507097,2009-07-01,TMIN,22
USC00505857,2011-11-22,TMAX,-189
USC00507097,2009-07-02,TMIN,44
USC00507097,2009-10-28,TMAX,-44
USC00505607,2008-09-23,TMAX,61
USR0000AJAT,2010-10-26,TMAX,-6
USR0000AJAT,2012-11-14,TMIN,-189
USC00505857,2014-06-24,TMIN,50
USR0000AJAT,2013-11-22,TMAX,-228
USC00505857,2010-05-06,TMAX,83
USC00505857,2013-11-29,TMAX,-161
USR0000AJAT,2007-02-07,TMIN,-150
USR0000AJAT,2005-09-28,TMAX,72
USC00505857,2013-11-29,TMIN,-306
USR0000AJAT,2005-04-02,TMIN,-78
USC00507097,2009-10-28,TMIN,-111
USR0000AJAT,2012-11-14,TMAX,-156
USR0000AJAT,2014-10-30,TMIN,-150
USC00505857,2010-07-21,TMAX,161
USR0000AJAT,2012-03-30,TMIN,-72
USR0000AJAT,2012-03-30,TMAX,61
USC00507097,2009-10-31,TMIN,-244
USR0000AJAT,2006-04-18,TMIN,-50
USR0000AJAT,2006-10-02,TMAX,106
USR0000AJAT,2014-10-30,TMAX,-72
USR0000AJAT,2011-07-27,TMIN,83
USW00056401,2015-03-02,TMIN,-223
USR0000AJAT,2006-04-18,TMAX,56
USC00507097,2008-05-17,TMAX,111
USC00507097,2005-04-02,TMIN,-228
USW00056401,2014-03-28,TMIN,-223
USC00508547,2005-04-01,TMAX,22
USC00507097,2009-08-25,TMIN,33
USC00508547,2005-04-22,TMIN,0
USC00507097,2009-09-30,TMIN,-44
USC00508547,2005-04-22,TMAX,111
USR0000AJAT,2013-02-21,TMAX,-122
USC00505607,2008-12-05,TMIN,-78
USC00505607,2007-02-06,TMAX,-83
USC00505607,2005-09-26,TMAX,94
USR0000AJAT,2008-07-19,TMAX,78
USC00505607,2005-11-08,TMIN,-233
USR0000AJAT,2014-03-31,TMAX,39
USW00056401,2015-02-27,TMAX,-62
USR0000AJAT,2014-03-29,TMAX,22
