ID,Date,Element,Data_Value
IN019010300,2015-12-31,TMAX,290
IN019010300,2015-12-23,TMAX,225
IN019010300,2015-12-18,TMIN,92
IN019010300,2015-12-27,TMAX,285
IN019010300,2015-12-08,TMIN,131
IN019010300,2015-12-26,TMIN,72
IN019010300,2015-12-24,TMAX,225
IN019010300,2015-12-31,TMIN,133
IN019010300,2015-12-07,TMAX,323
IN019010300,2015-12-29,TMAX,300
IN019010300,2015-12-27,TMIN,95
IN019010300,2015-12-08,TMAX,323
IN019010300,2015-12-30,TMAX,296
IN019010300,2015-12-28,TMAX,300
IN019010300,2015-12-14,TMIN,76
IN019010300,2015-12-13,TMIN,64
IN019010300,2015-12-13,TMAX,217
IN019010300,2015-12-11,TMAX,277
IN019010300,2015-12-26,TMAX,250
IN019010300,2015-12-09,TMIN,141
IN019010300,2015-12-15,TMAX,217
IN019010300,2015-12-15,TMIN,62
IN019010300,2015-12-18,TMAX,236
IN019010300,2015-12-14,TMAX,217
IN019010300,2015-12-22,TMIN,69
IN019010300,2015-12-09,TMAX,297
IN019010300,2015-12-12,TMAX,230
IN019010300,2015-12-17,TMAX,236
IN019010300,2015-12-17,TMIN,78
IN019010300,2015-12-29,TMIN,115
IN019010300,2015-12-22,TMAX,209
IN019010300,2015-12-20,TMAX,230
IN019010300,2015-12-16,TMIN,61
IN019010300,2015-12-25,TMAX,216
IN019010300,2015-12-21,TMIN,77
IN019010300,2015-12-10,TMAX,292
IN019010300,2015-12-21,TMAX,227
IN019010300,2015-12-28,TMIN,109
IN019010300,2015-12-11,TMIN,115
IN019010300,2015-12-25,TMIN,47
IN019010300,2015-12-30,TMIN,123
IN019010300,2015-12-19,TMIN,80
IN019010300,2015-12-19,TMAX,230
IN019010300,2015-12-23,TMIN,71
IN019010300,2015-12-10,TMIN,142
