ID,Date,Element,Data_Value
ITM00016149,2015-10-14,TMIN,149
ITM00016149,2005-03-30,TMAX,162
ITM00016149,2006-10-11,TMIN,100
ITM00016149,2015-09-13,TMIN,174
ITM00016149,2008-11-05,TMIN,128
ITM00016149,2007-03-25,TMAX,120
ITM00016149,2009-05-10,TMAX,238
ITM00016149,2011-10-18,TMAX,167
ITM00016149,2013-09-20,TMAX,238
ITM00016149,2015-02-25,TMAX,100
ITM00016149,2006-04-27,TMAX,168
ITM00016149,2009-07-24,TMIN,231
ITM00016149,2014-01-09,TMAX,90
ITM00016149,2013-02-15,TMIN,10
ITM00016149,2007-04-12,TMAX,217
ITM00016149,2008-08-07,TMIN,240
ITM00016149,2009-10-04,TMIN,110
ITM00016149,2011-12-05,TMAX,187
ITM00016149,2011-10-18,TMIN,48
ITM00016149,2005-12-29,TMAX,42
ITM00016149,2006-05-25,TMAX,212
ITM00016149,2006-10-06,TMAX,214
ITM00016149,2008-05-01,TMAX,200
ITM00016149,2009-10-04,TMAX,238
ITM00016149,2007-01-20,TMIN,38
ITM00016149,2014-01-14,TMAX,142
ITM00016149,2012-10-29,TMAX,124
ITM00016149,2008-11-05,TMAX,230
ITM00016149,2009-01-31,TMAX,70
ITM00016149,2006-04-27,TMIN,130
ITM00016149,2008-11-10,TMAX,150
ITM00016149,2013-02-25,TMIN,4
ITM00016149,2007-09-20,TMAX,204
ITM00016149,2014-03-10,TMIN,64
ITM00016149,2007-02-23,TMAX,110
ITM00016149,2007-03-25,TMIN,58
ITM00016149,2015-04-23,TMAX,224
ITM00016149,2008-05-21,TMAX,208
ITM00016149,2007-12-11,TMAX,72
ITM00016149,2008-09-01,TMAX,283
ITM00016149,2015-04-23,TMIN,90
ITM00016149,2011-01-27,TMAX,60
ITM00016149,2013-04-07,TMIN,80
ITM00016149,2013-04-07,TMAX,122
ITM00016149,2014-04-05,TMAX,160
ITM00016149,2012-03-25,TMAX,187
ITM00016149,2009-08-04,TMIN,199
ITM00016149,2013-02-16,TMIN,28
ITM00016149,2014-08-11,TMIN,218
ITM00016149,2008-01-28,TMAX,130
ITM00016149,2008-05-01,TMIN,69
ITM00016149,2010-03-07,TMAX,72
ITM00016149,2010-03-07,TMIN,0
ITM00016149,2013-02-16,TMAX,97
ITM00016149,2015-01-28,TMAX,81
ITM00016149,2013-02-27,TMIN,24
ITM00016149,2008-08-14,TMAX,312
ITM00016149,2011-04-07,TMIN,94
ITM00016149,2008-07-14,TMAX,314
ITM00016149,2014-08-11,TMAX,304
ITM00016149,2013-09-20,TMIN,148
ITM00016149,2014-04-10,TMAX,174
ITM00016149,2007-06-22,TMAX,342
ITM00016149,2012-08-10,TMIN,220
ITM00016149,2008-09-01,TMIN,190
ITM00016149,2014-11-24,TMAX,131
ITM00016149,2011-01-08,TMAX,64
ITM00016149,2015-09-13,TMAX,276
ITM00016149,2005-03-30,TMIN,65
ITM00016149,2007-01-20,TMAX,92
ITM00016149,2009-03-19,TMIN,20
ITM00016149,2011-10-16,TMAX,149
ITM00016149,2005-08-22,TMAX,220
ITM00016149,2011-10-17,TMIN,50
ITM00016149,2012-08-11,TMAX,290
ITM00016149,2011-08-07,TMIN,240
ITM00016149,2014-09-17,TMIN,158
ITM00016149,2013-05-07,TMAX,203
ITM00016149,2014-09-17,TMAX,240
ITM00016149,2012-03-25,TMIN,69
ITM00016149,2009-06-17,TMAX,268
ITM00016149,2008-09-28,TMAX,188
ITM00016149,2005-02-13,TMAX,120
ITM00016149,2015-06-22,TMIN,164
ITM00016149,2007-05-02,TMIN,106
ITM00016149,2014-02-16,TMAX,183
ITM00016149,2014-02-16,TMIN,50
ITM00016149,2015-06-22,TMAX,272
ITM00016149,2015-01-09,TMIN,8
ITM00016149,2012-03-17,TMAX,152
ITM00016149,2009-05-16,TMIN,150
ITM00016149,2011-10-17,TMAX,162
ITM00016149,2011-06-10,TMIN,130
ITM00016149,2015-03-07,TMAX,94
ITM00016149,2012-11-16,TMAX,128
ITM00016149,2007-12-28,TMAX,81
ITM00016149,2015-01-28,TMIN,18
ITM00016149,2011-02-16,TMIN,68
ITM00016149,2015-01-12,TMIN,0
ITM00016149,2014-03-10,TMAX,144
ITM00016149,2008-08-13,TMIN,232
ITM00016149,2015-03-06,TMIN,68
ITM00016149,2014-01-09,TMIN,40
ITM00016149,2009-06-23,TMAX,230
ITM00016149,2009-05-10,TMIN,107
ITM00016149,2009-02-11,TMAX,93
ITM00016149,2015-03-07,TMIN,68
ITM00016149,2008-02-12,TMAX,81
ITM00016149,2009-05-16,TMAX,240
ITM00016149,2011-05-25,TMAX,273
ITM00016149,2009-09-08,TMIN,154
ITM00016149,2009-10-20,TMIN,50
ITM00016149,2009-10-20,TMAX,172
ITM00016149,2007-08-30,TMIN,230
ITM00016149,2006-10-11,TMAX,273
ITM00016149,2009-08-03,TMIN,220
ITM00016149,2012-02-02,TMAX,31
ITM00016149,2013-06-24,TMAX,284
ITM00016149,2015-01-09,TMAX,82
ITM00016149,2008-08-13,TMAX,335
ITM00016149,2015-01-19,TMIN,16
ITM00016149,2007-05-02,TMAX,210
ITM00016149,2007-11-16,TMIN,50
ITM00016149,2008-08-07,TMAX,303
ITM00016149,2010-08-22,TMIN,210
ITM00016149,2012-10-28,TMAX,178
ITM00016149,2006-01-20,TMAX,30
ITM00016149,2007-12-15,TMIN,20
ITM00016149,2013-06-25,TMAX,255
ITM00016149,2013-06-25,TMIN,170
ITM00016149,2010-11-17,TMAX,133
ITM00016149,2012-04-16,TMAX,148
ITM00016149,2005-11-25,TMIN,-20
ITM00016149,2014-01-15,TMAX,90
ITM00016149,2006-04-06,TMAX,149
ITM00016149,2010-10-07,TMIN,140
ITM00016149,2012-03-27,TMAX,170
ITM00016149,2012-04-16,TMIN,108
ITM00016149,2008-08-14,TMIN,230
ITM00016149,2015-10-29,TMAX,174
ITM00016149,2013-07-30,TMIN,200
ITM00016149,2013-02-25,TMAX,100
ITM00016149,2015-10-29,TMIN,138
ITM00016149,2007-10-16,TMIN,48
ITM00016149,2011-07-06,TMAX,264
ITM00016149,2014-03-12,TMAX,150
ITM00016149,2014-03-12,TMIN,54
ITM00016149,2015-01-12,TMAX,162
ITM00016149,2007-10-16,TMAX,180
ITM00016149,2007-04-12,TMIN,70
ITM00016149,2009-10-30,TMAX,176
ITM00016149,2011-04-14,TMIN,60
ITM00016149,2012-03-17,TMIN,38
ITM00016149,2014-11-20,TMAX,150
ITM00016149,2015-03-06,TMAX,93
ITM00016149,2014-11-20,TMIN,67
ITM00016149,2009-09-08,TMAX,251
ITM00016149,2014-04-06,TMAX,181
ITM00016149,2007-08-30,TMAX,290
ITM00016149,2011-01-27,TMIN,11
ITM00016149,2015-10-14,TMAX,196
ITM00016149,2009-10-30,TMIN,70
ITM00016149,2009-07-24,TMAX,350
ITM00016149,2014-04-06,TMIN,112
ITM00016149,2010-01-11,TMAX,82
ITM00016149,2012-05-05,TMIN,107
ITM00016149,2012-06-04,TMAX,232
ITM00016149,2012-04-09,TMAX,112
ITM00016149,2007-05-12,TMIN,170
ITM00016149,2010-10-07,TMAX,212
ITM00016149,2008-05-21,TMIN,130
ITM00016149,2012-08-28,TMIN,176
ITM00016149,2009-12-16,TMAX,15
ITM00016149,2010-01-30,TMIN,-20
ITM00016149,2006-05-07,TMIN,88
ITM00016149,2011-07-13,TMAX,362
ITM00016149,2011-11-11,TMAX,140
ITM00016149,2011-07-13,TMIN,230
ITM00016149,2010-08-25,TMIN,210
ITM00016149,2008-12-28,TMAX,40
ITM00016149,2006-01-31,TMAX,99
ITM00016149,2008-05-11,TMAX,212
ITM00016149,2015-12-10,TMIN,38
ITM00016149,2015-06-04,TMAX,290
ITM00016149,2015-06-04,TMIN,179
ITM00016149,2011-07-14,TMIN,252
ITM00016149,2007-06-13,TMAX,266
ITM00016149,2011-07-03,TMIN,128
ITM00016149,2008-09-09,TMAX,273
ITM00016149,2014-09-07,TMIN,170
ITM00016149,2006-05-23,TMAX,272
ITM00016149,2007-10-04,TMIN,154
ITM00016149,2006-05-07,TMAX,194
ITM00016149,2015-09-21,TMAX,244
ITM00016149,2006-04-08,TMIN,20
ITM00016149,2007-06-13,TMIN,188
ITM00016149,2012-08-22,TMAX,298
ITM00016149,2011-07-14,TMAX,346
ITM00016149,2009-09-15,TMIN,145
ITM00016149,2010-05-26,TMIN,153
ITM00016149,2013-05-15,TMAX,210
ITM00016149,2008-03-01,TMIN,47
ITM00016149,2006-07-08,TMIN,199
ITM00016149,2006-07-30,TMAX,310
ITM00016149,2015-12-01,TMIN,50
ITM00016149,2005-11-22,TMIN,47
ITM00016149,2008-04-23,TMAX,180
ITM00016149,2015-12-01,TMAX,140
ITM00016149,2015-02-08,TMAX,66
ITM00016149,2008-03-01,TMAX,194
ITM00016149,2008-03-21,TMIN,-10
ITM00016149,2009-09-15,TMAX,236
ITM00016149,2008-03-21,TMAX,148
ITM00016149,2010-05-26,TMAX,301
ITM00016149,2006-09-26,TMIN,176
ITM00016149,2013-02-23,TMAX,32
ITM00016149,2006-04-08,TMAX,140
ITM00016149,2013-02-23,TMIN,10
ITM00016149,2008-06-14,TMAX,220
ITM00016149,2012-08-22,TMIN,210
ITM00016149,2008-03-23,TMAX,100
ITM00016149,2014-09-07,TMAX,250
ITM00016149,2011-02-02,TMAX,62
ITM00016149,2013-02-22,TMAX,22
ITM00016149,2006-07-15,TMAX,298
ITM00016149,2012-10-30,TMAX,152
ITM00016149,2010-07-31,TMAX,267
ITM00016149,2009-06-27,TMIN,177
ITM00016149,2015-05-19,TMIN,159
ITM00016149,2006-05-05,TMAX,198
ITM00016149,2006-02-01,TMAX,130
ITM00016149,2015-05-19,TMAX,260
ITM00016149,2015-07-15,TMIN,222
ITM00016149,2005-09-24,TMIN,128
ITM00016149,2015-04-26,TMAX,176
ITM00016149,2015-10-23,TMIN,100
ITM00016149,2015-10-23,TMAX,180
ITM00016149,2011-09-05,TMAX,300
ITM00016149,2011-08-12,TMAX,266
ITM00016149,2011-08-06,TMAX,288
ITM00016149,2011-08-12,TMIN,158
ITM00016149,2010-03-08,TMAX,60
ITM00016149,2005-09-24,TMAX,225
ITM00016149,2006-04-07,TMAX,123
ITM00016149,2014-09-06,TMAX,250
ITM00016149,2006-08-01,TMAX,331
ITM00016149,2014-09-06,TMIN,188
ITM00016149,2006-07-15,TMIN,199
ITM00016149,2007-01-15,TMAX,80
ITM00016149,2011-05-22,TMIN,128
ITM00016149,2005-08-07,TMIN,160
ITM00016149,2012-06-03,TMIN,196
ITM00016149,2011-05-22,TMAX,252
ITM00016149,2014-10-13,TMAX,274
ITM00016149,2014-10-13,TMIN,178
ITM00016149,2005-08-07,TMAX,262
ITM00016149,2005-12-07,TMAX,72
ITM00016149,2010-01-05,TMIN,5
ITM00016149,2008-06-06,TMIN,137
ITM00016149,2008-06-06,TMAX,240
ITM00016149,2010-01-05,TMAX,13
ITM00016149,2007-02-04,TMAX,153
ITM00016149,2012-06-03,TMAX,300
ITM00016149,2007-08-08,TMAX,303
ITM00016149,2007-05-18,TMAX,205
ITM00016149,2007-03-13,TMIN,37
ITM00016149,2010-07-31,TMIN,189
ITM00016149,2010-05-12,TMAX,244
ITM00016149,2010-05-12,TMIN,116
ITM00016149,2015-07-15,TMAX,302
ITM00016149,2008-05-04,TMAX,196
ITM00016149,2012-09-28,TMIN,199
