ID,Date,Element,Data_Value
IN012161300,2005-03-20,TMIN,205
IN012161300,2005-08-14,TMAX,266
IN012161300,2005-08-14,TMIN,215
IN012161300,2005-08-29,TMIN,209
IN012161300,2005-10-21,TMIN,175
IN012161300,2005-09-24,TMAX,272
IN012161300,2005-03-20,TMAX,389
IN012161300,2006-01-04,TMIN,113
IN012161300,2005-09-12,TMAX,255
IN012161300,2005-07-17,TMAX,308
IN012161300,2005-09-14,TMAX,254
IN012161300,2005-12-20,TMIN,85
IN012161300,2005-12-31,TMAX,303
IN012161300,2006-01-24,TMIN,67
IN012161300,2005-12-05,TMAX,309
IN012161300,2006-01-24,TMAX,260
IN012161300,2005-12-28,TMIN,85
IN012161300,2005-03-27,TMIN,190
IN012161300,2005-12-08,TMIN,120
IN012161300,2005-12-29,TMIN,87
IN012161300,2005-12-18,TMIN,72
IN012161300,2005-03-29,TMAX,358
IN012161300,2005-08-26,TMAX,270
IN012161300,2005-08-26,TMIN,205
IN012161300,2006-01-12,TMAX,322
IN012161300,2005-06-04,TMAX,370
IN012161300,2005-12-08,TMAX,308
IN012161300,2005-12-16,TMAX,283
IN012161300,2005-05-23,TMAX,395
IN012161300,2005-10-21,TMAX,314
IN012161300,2006-01-27,TMIN,71
IN012161300,2005-05-31,TMIN,248
IN012161300,2005-12-20,TMAX,295
IN012161300,2005-09-24,TMIN,213
IN012161300,2006-01-22,TMIN,122
IN012161300,2005-03-31,TMIN,177
IN012161300,2005-10-20,TMAX,322
IN012161300,2005-07-31,TMAX,247
IN012161300,2005-08-29,TMAX,300
IN012161300,2005-11-06,TMAX,296
IN012161300,2005-02-28,TMIN,184
IN012161300,2006-01-12,TMIN,109
IN012161300,2005-09-23,TMAX,235
IN012161300,2005-03-31,TMAX,372
IN012161300,2005-12-16,TMIN,100
IN012161300,2005-12-03,TMAX,306
IN012161300,2005-12-28,TMAX,300
IN012161300,2005-10-20,TMIN,180
IN012161300,2005-09-23,TMIN,215
IN012161300,2005-12-12,TMIN,90
IN012161300,2005-11-16,TMIN,107
IN012161300,2006-01-13,TMAX,325
IN012161300,2006-01-05,TMAX,299
IN012161300,2006-01-05,TMIN,109
IN012161300,2005-09-05,TMAX,312
IN012161300,2005-03-29,TMIN,181
IN012161300,2005-12-25,TMAX,263
IN012161300,2005-09-29,TMIN,212
IN012161300,2005-09-02,TMAX,330
IN012161300,2005-12-27,TMIN,86
IN012161300,2005-09-29,TMAX,295
IN012161300,2005-09-02,TMIN,222
IN012161300,2005-09-07,TMAX,309
IN012161300,2006-01-13,TMIN,110
IN012161300,2005-12-31,TMIN,94
