ID,Date,Element,Data_Value
CO000080342,2012-02-01,TMIN,150
CO000080342,2012-01-25,TMIN,138
CO000080342,2013-02-22,TMIN,148
CO000080342,2010-09-19,TMIN,130
CO000080342,2006-06-14,TMIN,144
CO000080342,2011-12-31,TMIN,146
CO000080342,2006-05-25,TMIN,148
CO000080342,2010-01-14,TMIN,150
CO000080342,2011-09-26,TMIN,153
CO000080342,2014-01-16,TMIN,146
CO000080342,2011-06-05,TMIN,151
CO000080342,2012-08-27,TMIN,164
CO000080342,2007-05-01,TMIN,152
CO000080342,2012-09-26,TMIN,148
CO000080342,2014-05-24,TMAX,251
CO000080342,2010-11-02,TMIN,150
CO000080342,2007-04-14,TMIN,158
CO000080342,2005-07-09,TMIN,134
CO000080342,2014-11-04,TMIN,154
CO000080342,2011-04-01,TMIN,146
CO000080342,2006-06-08,TMIN,150
CO000080342,2011-10-08,TMIN,158
CO000080342,2012-08-17,TMIN,148
CO000080342,2012-06-26,TMIN,146
CO000080342,2015-07-01,TMIN,162
CO000080342,2011-08-01,TMIN,138
CO000080342,2014-02-03,TMIN,140
CO000080342,2013-12-22,TMIN,158
CO000080342,2010-07-21,TMIN,130
CO000080342,2015-08-02,TMIN,162
CO000080342,2006-03-07,TMIN,158
CO000080342,2012-02-03,TMIN,160
CO000080342,2013-12-03,TMIN,148
CO000080342,2010-01-08,TMIN,150
CO000080342,2015-08-28,TMIN,154
CO000080342,2005-06-13,TMIN,145
CO000080342,2006-06-03,TMIN,84
CO000080342,2013-06-04,TMIN,152
CO000080342,2012-04-16,TMIN,138
CO000080342,2014-12-31,TMIN,144
CO000080342,2010-12-26,TMIN,135
CO000080342,2015-09-22,TMIN,165
CO000080342,2011-10-05,TMIN,146
CO000080342,2014-12-26,TMIN,145
CO000080342,2006-10-14,TMIN,152
CO000080342,2015-08-11,TMIN,140
CO000080342,2015-06-05,TMIN,152
CO000080342,2011-09-16,TMIN,137
CO000080342,2011-06-21,TMIN,148
CO000080342,2013-05-09,TMIN,156
CO000080342,2012-08-04,TMIN,146
CO000080342,2013-09-08,TMIN,136
CO000080342,2011-08-08,TMIN,157
CO000080342,2011-10-06,TMIN,150
CO000080342,2010-07-17,TMIN,149
CO000080342,2012-04-20,TMIN,148
CO000080342,2011-10-26,TMIN,140
CO000080342,2006-01-14,TMIN,137
CO000080342,2014-05-23,TMIN,158
CO000080342,2011-04-23,TMIN,146
CO000080342,2015-12-04,TMIN,152
CO000080342,2013-08-31,TMIN,135
CO000080342,2005-12-26,TMIN,146
CO000080342,2011-05-17,TMIN,150
CO000080342,2005-07-22,TMIN,146
CO000080342,2012-06-05,TMIN,158
CO000080342,2005-07-14,TMIN,136
CO000080342,2006-11-22,TMIN,146
CO000080342,2015-05-30,TMIN,140
CO000080342,2010-05-23,TMIN,166
CO000080342,2015-03-26,TMIN,150
CO000080342,2012-11-02,TMAX,244
CO000080342,2014-12-12,TMIN,147
CO000080342,2013-05-18,TMIN,150
CO000080342,2007-05-01,TMAX,236
CO000080342,2015-09-01,TMIN,168
