ID,Date,Element,Data_Value
TUM00017026,2005-12-10,TMAX,105
TUM00017026,2008-07-30,TMIN,207
TUM00017026,2010-09-20,TMAX,258
TUM00017026,2007-06-05,TMIN,182
TUM00017026,2007-03-02,TMIN,73
TUM00017026,2006-08-25,TMIN,221
TUM00017026,2011-04-08,TMAX,165
TUM00017026,2012-06-26,TMIN,216
TUM00017026,2007-10-15,TMIN,105
TUM00017026,2012-01-29,TMAX,49
TUM00017026,2012-07-04,TMIN,215
TUM00017026,2010-04-09,TMAX,93
TUM00017026,2014-07-18,TMIN,217
TUM00017026,2006-04-13,TMIN,120
TUM00017026,2008-07-30,TMAX,287
TUM00017026,2009-09-06,TMAX,260
TUM00017026,2008-03-22,TMAX,122
TUM00017026,2012-06-26,TMAX,293
TUM00017026,2006-08-25,TMAX,290
TUM00017026,2005-05-22,TMAX,178
TUM00017026,2010-11-12,TMAX,258
TUM00017026,2005-05-22,TMIN,142
TUM00017026,2007-03-20,TMIN,78
TUM00017026,2006-05-29,TMIN,143
TUM00017026,2008-10-18,TMAX,244
TUM00017026,2014-12-02,TMIN,46
TUM00017026,2008-07-05,TMAX,262
TUM00017026,2005-10-31,TMAX,125
TUM00017026,2005-12-10,TMIN,89
TUM00017026,2015-08-26,TMIN,221
TUM00017026,2007-10-03,TMAX,249
TUM00017026,2008-07-05,TMIN,215
TUM00017026,2010-08-30,TMAX,275
TUM00017026,2010-02-20,TMIN,81
TUM00017026,2015-10-02,TMAX,236
TUM00017026,2007-07-24,TMAX,311
TUM00017026,2008-03-22,TMIN,77
TUM00017026,2005-10-31,TMIN,77
TUM00017026,2010-05-24,TMAX,205
TUM00017026,2007-06-05,TMAX,257
TUM00017026,2006-05-30,TMIN,156
TUM00017026,2011-12-19,TMAX,163
TUM00017026,2006-11-06,TMIN,49
TUM00017026,2008-12-09,TMAX,99
TUM00017026,2013-01-07,TMAX,57
TUM00017026,2006-11-06,TMAX,143
TUM00017026,2014-04-08,TMIN,79
TUM00017026,2006-06-18,TMIN,158
TUM00017026,2008-10-26,TMIN,139
TUM00017026,2008-01-28,TMAX,64
TUM00017026,2006-06-18,TMAX,252
TUM00017026,2009-02-06,TMIN,84
TUM00017026,2008-06-30,TMAX,247
TUM00017026,2015-12-26,TMIN,100
TUM00017026,2012-09-22,TMIN,161
TUM00017026,2008-09-17,TMAX,279
TUM00017026,2008-05-24,TMAX,238
TUM00017026,2009-01-07,TMAX,46
TUM00017026,2007-12-11,TMAX,163
TUM00017026,2010-01-10,TMAX,176
TUM00017026,2008-06-18,TMIN,174
TUM00017026,2007-08-09,TMIN,207
TUM00017026,2008-01-08,TMIN,24
TUM00017026,2007-06-22,TMIN,182
TUM00017026,2010-01-10,TMIN,105
TUM00017026,2007-03-08,TMAX,91
TUM00017026,2008-06-18,TMAX,256
TUM00017026,2009-02-03,TMAX,110
TUM00017026,2005-12-22,TMIN,19
TUM00017026,2013-04-03,TMAX,154
TUM00017026,2005-09-08,TMIN,178
TUM00017026,2015-09-08,TMAX,240
TUM00017026,2015-09-13,TMAX,246
TUM00017026,2005-12-22,TMAX,80
TUM00017026,2006-10-11,TMAX,206
