ID,Date,Element,Data_Value
CA007080452,2006-03-23,TMIN,-25
CA007080452,2007-06-07,TMIN,82
CA007080452,2006-08-09,TMAX,256
CA007080452,2006-08-14,TMIN,163
CA007080452,2006-02-05,TMAX,-33
CA007080452,2006-09-15,TMIN,87
CA007080452,2007-04-22,TMIN,58
CA007080452,2007-01-17,TMAX,-38
CA007080452,2006-12-08,TMAX,-34
CA007080452,2005-10-29,TMAX,127
CA007080452,2006-07-25,TMAX,276
CA007080452,2006-03-23,TMAX,70
CA007080452,2007-01-20,TMIN,-246
CA007080452,2007-07-04,TMIN,135
CA007080452,2005-08-24,TMIN,94
CA007080452,2007-06-25,TMAX,283
CA007080452,2005-06-26,TMIN,153
CA007080452,2006-03-21,TMAX,-45
CA007080452,2006-11-02,TMIN,-14
CA007080452,2007-07-29,TMAX,259
CA007080452,2005-03-10,TMAX,-60
CA007080452,2006-11-02,TMAX,9
CA007080452,2006-04-17,TMIN,6
CA007080452,2005-10-27,TMIN,8
CA007080452,2006-02-12,TMAX,-47
CA007080452,2005-04-01,TMAX,46
CA007080452,2005-05-07,TMAX,182
CA007080452,2006-05-07,TMIN,-23
CA007080452,2006-07-25,TMIN,154
CA007080452,2007-07-04,TMAX,185
CA007080452,2007-01-25,TMAX,-204
CA007080452,2007-01-17,TMIN,-296
CA007080452,2005-06-11,TMIN,158
CA007080452,2006-04-02,TMAX,75
CA007080452,2007-06-25,TMIN,155
CA007080452,2005-10-27,TMAX,44
CA007080452,2006-08-09,TMIN,127
CA007080452,2007-07-23,TMIN,143
CA007080452,2007-05-18,TMIN,30
CA007080452,2007-07-21,TMAX,252
CA007080452,2005-10-29,TMIN,-13
CA007080452,2006-04-02,TMIN,-52
CA007080452,2006-03-29,TMIN,-11
CA007080452,2005-03-10,TMIN,-228
CA007080452,2006-03-29,TMAX,120
CA007080452,2005-09-27,TMIN,46
CA007080452,2005-09-27,TMAX,198
CA007080452,2005-06-11,TMAX,318
CA007080452,2005-01-16,TMIN,-273
CA007080452,2007-05-27,TMAX,185
CA007080452,2006-02-12,TMIN,-118
CA007080452,2006-06-25,TMIN,112
CA007080452,2005-01-20,TMIN,-295
CA007080452,2005-07-16,TMAX,329
CA007080452,2005-11-11,TMAX,17
CA007080452,2006-09-06,TMIN,62
CA007080452,2007-05-13,TMIN,-15
CA007080452,2006-10-30,TMIN,-21
CA007080452,2007-03-13,TMIN,-1
CA007080452,2007-01-20,TMAX,-173
CA007080452,2006-09-06,TMAX,141
CA007080452,2005-08-15,TMIN,114
CA007080452,2006-11-24,TMAX,19
CA007080452,2005-02-02,TMIN,-42
CA007080452,2007-08-18,TMIN,79
CA007080452,2006-09-15,TMAX,235
CA007080452,2007-05-04,TMIN,4
CA007080452,2007-03-13,TMAX,109
CA007080452,2007-05-13,TMAX,182
CA007080452,2005-04-07,TMAX,117
CA007080452,2005-04-08,TMAX,81
CA007080452,2007-08-18,TMAX,132
CA007080452,2007-06-07,TMAX,192
CA007080452,2005-09-04,TMIN,93
CA007080452,2005-08-19,TMIN,125
CA007080452,2006-02-17,TMAX,-151
CA007080452,2005-12-20,TMAX,-68
CA007080452,2007-04-22,TMAX,245
CA007080452,2005-07-19,TMIN,121
CA007080452,2005-02-02,TMAX,5
CA007080452,2007-05-28,TMIN,86
CA007080452,2005-05-07,TMIN,52
CA007080452,2006-10-15,TMAX,65
CA007080452,2007-04-01,TMAX,72
CA007080452,2005-04-08,TMIN,-34
CA007080452,2006-03-17,TMAX,-55
CA007080452,2006-03-17,TMIN,-160
CA007080452,2007-09-25,TMAX,270
CA007080452,2005-03-02,TMIN,-169
CA007080452,2006-11-27,TMAX,-14
CA007080452,2005-02-21,TMIN,-131
CA007080452,2007-08-20,TMIN,93
CA007080452,2007-08-20,TMAX,192
CA007080452,2006-11-27,TMIN,-42
CA007080452,2006-07-19,TMIN,134
CA007080452,2007-07-29,TMIN,130
CA007080452,2006-04-22,TMIN,45
CA007080452,2005-06-18,TMIN,112
CA007080452,2005-05-28,TMIN,86
CA007080452,2005-07-19,TMAX,221
CA007080452,2007-10-13,TMIN,8
CA007080452,2005-06-18,TMAX,202
CA007080452,2007-08-29,TMIN,96
CA007080452,2005-08-15,TMAX,244
CA007080452,2007-10-13,TMAX,57
CA007080452,2007-09-25,TMIN,196
CA007080452,2005-03-02,TMAX,-84
CA007080452,2006-10-30,TMAX,23
CA007080452,2007-04-01,TMIN,-41
CA007080452,2005-02-21,TMAX,-61
CA007080452,2006-11-24,TMIN,-38
CA007080452,2005-04-07,TMIN,4
CA007080452,2006-04-17,TMAX,110
CA007080452,2007-05-04,TMAX,134
CA007080452,2006-12-17,TMIN,8
CA007080452,2007-07-03,TMAX,166
CA007080452,2006-05-07,TMAX,132
CA007080452,2006-07-23,TMIN,103
CA007080452,2006-01-23,TMIN,-46
CA007080452,2007-07-03,TMIN,116
CA007080452,2006-04-19,TMAX,176
CA007080452,2005-03-31,TMIN,29
CA007080452,2006-07-23,TMAX,213
CA007080452,2005-03-31,TMAX,88
CA007080452,2007-02-11,TMIN,-192
CA007080452,2005-11-11,TMIN,-33
