ID,Date,Element,Data_Value
CVM00008589,2010-09-03,TMIN,248
CVM00008589,2010-12-28,TMAX,271
CVM00008589,2014-02-27,TMIN,188
CVM00008589,2013-01-28,TMAX,251
CVM00008589,2011-09-13,TMIN,243
CVM00008589,2014-07-24,TMAX,292
CVM00008589,2005-05-17,TMAX,314
CVM00008589,2011-04-09,TMAX,313
CVM00008589,2012-03-11,TMAX,291
CVM00008589,2012-08-06,TMAX,303
CVM00008589,2005-03-23,TMAX,305
CVM00008589,2014-06-25,TMIN,222
CVM00008589,2011-03-05,TMAX,251
CVM00008589,2013-02-05,TMIN,200
CVM00008589,2012-12-21,TMAX,295
CVM00008589,2015-12-17,TMIN,225
CVM00008589,2006-04-16,TMIN,209
CVM00008589,2015-09-12,TMIN,253
CVM00008589,2015-01-26,TMIN,193
CVM00008589,2012-12-21,TMIN,213
CVM00008589,2011-07-10,TMAX,296
CVM00008589,2013-01-28,TMIN,186
CVM00008589,2005-03-03,TMIN,195
CVM00008589,2013-02-05,TMAX,290
CVM00008589,2015-05-17,TMAX,282
CVM00008589,2012-12-04,TMIN,217
CVM00008589,2009-07-10,TMIN,230
CVM00008589,2009-09-23,TMIN,250
CVM00008589,2014-11-27,TMAX,282
CVM00008589,2011-03-23,TMAX,282
CVM00008589,2014-10-22,TMIN,232
CVM00008589,2005-03-03,TMAX,304
CVM00008589,2009-09-23,TMAX,316
CVM00008589,2012-07-10,TMAX,300
CVM00008589,2013-06-13,TMIN,222
CVM00008589,2014-10-22,TMAX,316
CVM00008589,2011-12-29,TMAX,263
CVM00008589,2011-02-14,TMAX,260
CVM00008589,2010-04-16,TMAX,275
CVM00008589,2014-06-25,TMAX,300
CVM00008589,2010-10-12,TMIN,249
CVM00008589,2012-05-29,TMAX,273
CVM00008589,2011-03-24,TMAX,267
CVM00008589,2005-02-13,TMAX,230
CVM00008589,2012-12-24,TMIN,175
CVM00008589,2011-09-05,TMIN,247
CVM00008589,2013-05-10,TMIN,216
CVM00008589,2011-10-05,TMAX,353
CVM00008589,2005-02-18,TMAX,260
CVM00008589,2008-10-22,TMAX,296
CVM00008589,2011-07-06,TMAX,293
CVM00008589,2005-04-19,TMAX,260
CVM00008589,2012-06-14,TMAX,272
CVM00008589,2013-03-03,TMAX,281
CVM00008589,2012-02-17,TMIN,178
CVM00008589,2010-04-27,TMIN,215
CVM00008589,2012-10-03,TMAX,295
CVM00008589,2005-05-26,TMAX,342
CVM00008589,2014-02-11,TMAX,255
CVM00008589,2013-02-10,TMIN,193
CVM00008589,2014-05-09,TMIN,205
CVM00008589,2015-03-10,TMAX,260
CVM00008589,2007-06-24,TMAX,296
CVM00008589,2013-02-10,TMAX,243
