ID,Date,Element,Data_Value
GV000001818,2005-12-24,TMAX,325
GV000001818,2005-11-18,TMAX,310
GV000001818,2006-05-07,TMAX,335
GV000001818,2013-08-13,TMAX,260
GV000001818,2007-06-25,TMAX,280
GV000001818,2006-05-05,TMIN,230
GV000001818,2005-09-17,TMAX,300
GV000001818,2005-09-04,TMAX,282
GV000001818,2005-11-22,TMAX,316
GV000001818,2005-11-25,TMAX,313
GV000001818,2006-02-17,TMAX,355
GV000001818,2005-01-12,TMIN,210
GV000001818,2006-03-01,TMAX,350
GV000001818,2006-04-30,TMAX,335
GV000001818,2007-08-25,TMAX,280
GV000001818,2006-01-03,TMAX,326
GV000001818,2007-07-28,TMAX,250
GV000001818,2005-01-22,TMAX,332
GV000001818,2005-12-28,TMAX,335
GV000001818,2005-12-28,TMIN,190
GV000001818,2007-06-05,TMAX,310
GV000001818,2005-03-30,TMAX,326
GV000001818,2005-09-05,TMAX,305
GV000001818,2005-12-30,TMAX,326
GV000001818,2005-06-18,TMAX,295
GV000001818,2006-03-14,TMAX,366
GV000001818,2005-03-17,TMAX,370
GV000001818,2013-07-05,TMAX,260
GV000001818,2015-04-16,TMAX,335
GV000001818,2005-11-24,TMAX,315
GV000001818,2005-07-08,TMAX,304
GV000001818,2005-03-15,TMAX,360
GV000001818,2005-10-21,TMIN,215
GV000001818,2006-04-05,TMAX,326
GV000001818,2005-09-15,TMAX,310
GV000001818,2005-11-23,TMAX,315
GV000001818,2005-10-21,TMAX,320
GV000001818,2006-03-03,TMAX,362
GV000001818,2006-04-28,TMAX,330
GV000001818,2007-06-15,TMAX,315
GV000001818,2012-02-27,TMAX,355
GV000001818,2006-04-09,TMAX,340
GV000001818,2005-09-14,TMAX,300
GV000001818,2005-11-27,TMAX,315
GV000001818,2005-11-12,TMAX,312
GV000001818,2013-08-18,TMAX,277
GV000001818,2005-07-04,TMAX,295
GV000001818,2006-04-27,TMAX,325
GV000001818,2005-02-03,TMAX,345
GV000001818,2014-07-18,TMAX,280
GV000001818,2006-03-11,TMAX,345
GV000001818,2013-03-16,TMAX,350
GV000001818,2006-02-25,TMAX,360
GV000001818,2007-07-05,TMAX,300
GV000001818,2005-11-22,TMIN,212
GV000001818,2005-02-21,TMAX,345
GV000001818,2014-08-14,TMAX,230
GV000001818,2005-12-09,TMAX,320
GV000001818,2005-02-01,TMAX,354
GV000001818,2015-03-17,TMAX,360
GV000001818,2007-06-04,TMAX,310
GV000001818,2005-03-24,TMAX,365
GV000001818,2005-10-20,TMAX,318
GV000001818,2005-03-31,TMAX,338
GV000001818,2006-02-22,TMAX,360
GV000001818,2006-03-16,TMAX,357
GV000001818,2005-08-21,TMAX,270
GV000001818,2006-03-15,TMAX,365
GV000001818,2005-01-25,TMAX,325
GV000001818,2005-07-01,TMAX,290
GV000001818,2006-03-04,TMAX,372
GV000001818,2005-12-05,TMAX,330
GV000001818,2006-08-07,TMAX,282
GV000001818,2005-08-31,TMAX,270
GV000001818,2006-03-05,TMAX,357
GV000001818,2005-02-17,TMIN,225
GV000001818,2005-07-25,TMAX,305
GV000001818,2006-03-15,TMIN,214
GV000001818,2005-06-02,TMAX,294
GV000001818,2006-04-29,TMAX,328
GV000001818,2006-03-25,TMAX,352
GV000001818,2006-09-20,TMAX,290
GV000001818,2005-01-05,TMAX,302
GV000001818,2005-12-11,TMAX,318
GV000001818,2005-09-20,TMAX,315
GV000001818,2005-01-31,TMAX,342
GV000001818,2006-05-14,TMAX,328
GV000001818,2009-03-24,TMAX,360
GV000001818,2006-04-03,TMAX,383
GV000001818,2005-01-06,TMAX,307
GV000001818,2005-11-11,TMAX,316
GV000001818,2005-05-30,TMAX,316
GV000001818,2005-09-23,TMAX,310
GV000001818,2005-08-19,TMAX,265
GV000001818,2005-02-22,TMIN,225
GV000001818,2005-08-06,TMAX,270
GV000001818,2005-02-22,TMAX,355
GV000001818,2005-11-15,TMAX,305
GV000001818,2014-02-18,TMAX,337
GV000001818,2005-05-18,TMAX,310
GV000001818,2005-06-25,TMAX,265
GV000001818,2006-05-10,TMAX,332
GV000001818,2005-03-09,TMAX,356
GV000001818,2005-09-16,TMAX,297
GV000001818,2005-06-01,TMAX,310
GV000001818,2005-03-11,TMAX,315
GV000001818,2007-07-25,TMAX,288
GV000001818,2006-01-13,TMAX,325
GV000001818,2005-02-01,TMIN,230
GV000001818,2015-10-04,TMAX,305
GV000001818,2005-06-29,TMAX,265
GV000001818,2013-06-07,TMAX,310
GV000001818,2005-12-15,TMAX,315
GV000001818,2006-04-07,TMAX,320
GV000001818,2005-08-23,TMAX,300
GV000001818,2005-08-27,TMAX,280
GV000001818,2005-01-12,TMAX,290
GV000001818,2005-10-15,TMAX,305
GV000001818,2006-05-01,TMAX,330
GV000001818,2005-06-22,TMAX,300
GV000001818,2006-05-04,TMAX,350
GV000001818,2007-05-08,TMAX,270
GV000001818,2005-02-16,TMAX,350
GV000001818,2006-07-04,TMIN,210
GV000001818,2006-05-20,TMAX,326
GV000001818,2005-08-13,TMAX,285
GV000001818,2012-05-05,TMAX,330
GV000001818,2005-10-04,TMAX,305
GV000001818,2006-04-21,TMAX,340
GV000001818,2005-08-29,TMAX,300
GV000001818,2006-01-08,TMAX,310
GV000001818,2005-08-22,TMIN,210
GV000001818,2005-08-22,TMAX,260
GV000001818,2006-04-23,TMAX,334
GV000001818,2005-11-06,TMAX,318
GV000001818,2006-04-08,TMAX,355
GV000001818,2005-01-14,TMAX,300
GV000001818,2005-09-26,TMAX,266
GV000001818,2005-11-30,TMAX,326
GV000001818,2006-01-02,TMAX,315
GV000001818,2006-05-29,TMAX,295
GV000001818,2006-03-02,TMAX,355
GV000001818,2005-12-25,TMAX,305
GV000001818,2007-06-07,TMAX,310
GV000001818,2007-06-01,TMAX,308
GV000001818,2006-02-24,TMAX,362
GV000001818,2005-08-10,TMAX,275
GV000001818,2006-04-22,TMAX,330
GV000001818,2005-06-07,TMAX,322
GV000001818,2005-08-18,TMIN,208
GV000001818,2006-11-25,TMAX,320
GV000001818,2015-08-08,TMAX,285
