ID,Date,Element,Data_Value
CA002403854,2007-01-06,TMIN,-191
CA002403854,2013-07-20,TMAX,108
CA002403854,2014-12-02,TMAX,-315
CA002403854,2005-09-17,TMIN,-55
CA002403854,2009-07-17,TMIN,41
CA002403854,2014-12-02,TMIN,-362
CA002403854,2013-08-09,TMAX,144
CA002403854,2013-04-24,TMIN,-310
CA002403854,2010-01-19,TMIN,-360
CA002403854,2010-01-15,TMIN,-373
CA002403854,2013-04-30,TMAX,-141
CA002403854,2013-04-06,TMIN,-179
CA002403854,2007-01-06,TMAX,-149
CA002403854,2010-01-19,TMAX,-274
CA002403854,2010-01-15,TMAX,-305
CA002403854,2007-10-05,TMAX,-42
CA002403854,2013-08-09,TMIN,45
CA002403854,2013-07-25,TMIN,34
CA002403854,2009-08-04,TMIN,60
CA002403854,2007-04-22,TMIN,-237
CA002403854,2007-11-13,TMIN,-319
CA002403854,2013-07-20,TMIN,48
CA002403854,2009-03-17,TMIN,-327
CA002403854,2007-08-01,TMAX,102
CA002403854,2007-09-01,TMIN,41
CA002403854,2008-01-23,TMAX,-202
CA002403854,2008-01-23,TMIN,-306
CA002403854,2005-01-12,TMAX,-363
CA002403854,2009-03-17,TMAX,-275
CA002403854,2009-08-07,TMAX,115
CA002403854,2005-09-17,TMAX,-9
CA002403854,2007-08-01,TMIN,45
CA002403854,2005-01-12,TMIN,-421
CA002403854,2013-08-03,TMAX,115
CA002403854,2013-08-03,TMIN,33
CA002403854,2014-09-08,TMIN,-10
CA002403854,2005-04-06,TMIN,-244
CA002403854,2013-04-24,TMAX,-225
CA002403854,2014-09-08,TMAX,73
CA002403854,2011-11-04,TMAX,-144
CA002403854,2005-04-06,TMAX,-152
CA002403854,2012-06-02,TMIN,-12
CA002403854,2007-12-25,TMAX,-269
CA002403854,2008-11-24,TMIN,-247
CA002403854,2008-11-24,TMAX,-106
CA002403854,2007-11-13,TMAX,-224
CA002403854,2007-12-25,TMIN,-361
CA002403854,2010-01-03,TMAX,-179
CA002403854,2009-07-17,TMAX,99
CA002403854,2014-09-19,TMAX,1
CA002403854,2013-08-23,TMAX,64
CA002403854,2005-08-12,TMAX,114
CA002403854,2007-08-29,TMAX,93
CA002403854,2014-09-19,TMIN,-69
CA002403854,2007-07-21,TMIN,58
CA002403854,2007-07-21,TMAX,171
CA002403854,2014-09-04,TMIN,40
CA002403854,2014-09-04,TMAX,116
CA002403854,2008-05-31,TMIN,-46
CA002403854,2008-05-31,TMAX,-6
CA002403854,2006-04-26,TMIN,-234
CA002403854,2009-03-22,TMIN,-330
CA002403854,2011-07-03,TMIN,88
CA002403854,2009-03-22,TMAX,-219
CA002403854,2012-05-16,TMAX,14
CA002403854,2007-04-19,TMAX,-180
CA002403854,2008-05-09,TMIN,-68
CA002403854,2011-07-04,TMAX,188
CA002403854,2014-09-12,TMIN,-28
CA002403854,2011-07-04,TMIN,67
CA002403854,2006-07-12,TMAX,131
CA002403854,2006-07-12,TMIN,25
CA002403854,2008-11-11,TMAX,-85
CA002403854,2005-10-04,TMAX,-81
CA002403854,2005-10-04,TMIN,-154
CA002403854,2014-09-12,TMAX,4
CA002403854,2013-04-12,TMIN,-115
CA002403854,2005-04-10,TMIN,-124
CA002403854,2005-04-10,TMAX,-58
CA002403854,2012-05-16,TMIN,-101
CA002403854,2005-10-06,TMAX,-20
CA002403854,2013-04-06,TMAX,-94
CA002403854,2008-11-11,TMIN,-123
CA002403854,2005-08-12,TMIN,79
CA002403854,2013-08-10,TMIN,61
CA002403854,2013-08-10,TMAX,154
CA002403854,2009-08-08,TMIN,61
CA002403854,2010-01-03,TMIN,-318
CA002403854,2012-06-02,TMAX,34
CA002403854,2013-07-25,TMAX,142
CA002403854,2011-02-22,TMIN,-372
CA002403854,2014-08-30,TMAX,107
CA002403854,2013-07-10,TMAX,125
CA002403854,2014-12-01,TMIN,-378
CA002403854,2014-12-01,TMAX,-309
CA002403854,2007-02-21,TMAX,-284
CA002403854,2013-04-23,TMAX,-170
CA002403854,2009-07-27,TMAX,134
CA002403854,2009-07-27,TMIN,33
CA002403854,2013-07-24,TMAX,162
CA002403854,2013-07-24,TMIN,41
CA002403854,2011-11-04,TMIN,-246
CA002403854,2014-08-14,TMIN,7
CA002403854,2009-03-21,TMAX,-272
CA002403854,2009-06-21,TMAX,37
CA002403854,2014-08-30,TMIN,17
CA002403854,2009-06-21,TMIN,13
CA002403854,2014-08-14,TMAX,80
CA002403854,2007-08-29,TMIN,43
