ID,Date,Element,Data_Value
CF000004454,2014-09-16,TMAX,317
CF000004454,2015-04-23,TMIN,220
CF000004454,2015-02-16,TMIN,227
CF000004454,2014-04-29,TMAX,330
CF000004454,2014-08-23,TMAX,325
CF000004454,2015-10-13,TMIN,220
CF000004454,2014-01-29,TMAX,335
CF000004454,2012-11-28,TMAX,310
CF000004454,2014-02-01,TMAX,330
CF000004454,2014-11-11,TMIN,205
CF000004454,2014-12-15,TMIN,215
CF000004454,2014-02-14,TMAX,330
CF000004454,2014-10-22,TMAX,340
CF000004454,2013-01-01,TMAX,290
CF000004454,2015-12-15,TMIN,226
CF000004454,2012-10-12,TMAX,325
CF000004454,2015-06-27,TMIN,210
CF000004454,2011-06-05,TMAX,305
CF000004454,2015-10-21,TMIN,230
CF000004454,2015-09-22,TMIN,220
CF000004454,2015-09-24,TMIN,198
CF000004454,2011-09-12,TMIN,230
CF000004454,2014-01-08,TMAX,320
CF000004454,2015-04-10,TMIN,230
CF000004454,2011-10-31,TMIN,200
CF000004454,2015-09-18,TMIN,220
CF000004454,2014-04-29,TMIN,219
CF000004454,2014-09-28,TMAX,321
CF000004454,2014-09-03,TMAX,315
CF000004454,2013-01-18,TMAX,320
CF000004454,2012-10-24,TMAX,308
CF000004454,2013-12-12,TMAX,265
CF000004454,2015-12-22,TMIN,226
CF000004454,2015-12-05,TMIN,226
CF000004454,2015-02-10,TMIN,204
CF000004454,2015-05-29,TMIN,222
CF000004454,2014-08-25,TMAX,325
CF000004454,2014-09-05,TMIN,195
CF000004454,2014-08-25,TMIN,205
CF000004454,2014-03-08,TMAX,355
CF000004454,2014-10-22,TMIN,230
CF000004454,2014-05-18,TMAX,330
CF000004454,2015-09-25,TMIN,228
CF000004454,2015-10-18,TMIN,220
CF000004454,2015-08-19,TMAX,345
CF000004454,2015-02-14,TMAX,325
CF000004454,2015-11-02,TMIN,220
CF000004454,2013-12-02,TMAX,240
CF000004454,2012-08-29,TMAX,335
CF000004454,2015-02-14,TMIN,207
CF000004454,2015-09-20,TMIN,215
CF000004454,2015-09-28,TMIN,215
CF000004454,2014-03-16,TMAX,358
CF000004454,2012-12-16,TMAX,295
CF000004454,2014-09-28,TMIN,210
CF000004454,2015-09-12,TMIN,215
CF000004454,2012-09-22,TMAX,325
CF000004454,2014-03-05,TMAX,350
CF000004454,2015-05-22,TMIN,225
CF000004454,2014-03-22,TMAX,342
CF000004454,2015-04-24,TMIN,232
CF000004454,2014-05-12,TMAX,326
CF000004454,2013-03-24,TMAX,330
CF000004454,2013-01-22,TMAX,320
CF000004454,2014-10-07,TMIN,210
CF000004454,2015-03-22,TMIN,220
CF000004454,2013-02-10,TMAX,342
CF000004454,2014-08-23,TMIN,205
CF000004454,2014-10-25,TMIN,210
CF000004454,2014-01-14,TMAX,320
CF000004454,2014-11-28,TMIN,224
CF000004454,2015-09-12,TMAX,340
CF000004454,2015-08-02,TMIN,214
CF000004454,2015-09-14,TMIN,230
CF000004454,2015-11-09,TMIN,215
CF000004454,2014-02-21,TMAX,335
CF000004454,2014-05-12,TMIN,210
CF000004454,2013-01-17,TMAX,328
CF000004454,2012-07-30,TMAX,334
CF000004454,2014-10-03,TMAX,295
CF000004454,2015-01-11,TMAX,321
CF000004454,2013-12-20,TMAX,330
CF000004454,2015-08-04,TMAX,330
CF000004454,2015-09-27,TMIN,230
CF000004454,2015-05-18,TMIN,235
CF000004454,2015-08-19,TMIN,222
CF000004454,2014-03-23,TMAX,340
CF000004454,2011-08-30,TMIN,215
CF000004454,2015-04-19,TMIN,234
CF000004454,2015-08-04,TMIN,220
CF000004454,2014-10-24,TMAX,310
CF000004454,2013-11-25,TMAX,310
CF000004454,2015-08-11,TMAX,327
CF000004454,2015-07-05,TMIN,225
CF000004454,2014-12-08,TMIN,220
CF000004454,2012-10-19,TMAX,272
CF000004454,2014-12-21,TMIN,223
CF000004454,2015-01-10,TMAX,315
CF000004454,2014-11-02,TMIN,220
CF000004454,2014-11-05,TMAX,310
CF000004454,2014-11-05,TMIN,225
CF000004454,2015-08-26,TMIN,220
CF000004454,2014-09-22,TMIN,200
CF000004454,2015-07-08,TMIN,220
CF000004454,2014-10-24,TMIN,227
CF000004454,2014-12-07,TMAX,305
CF000004454,2014-11-13,TMAX,314
CF000004454,2014-01-30,TMAX,345
CF000004454,2013-01-07,TMAX,335
CF000004454,2015-11-07,TMIN,216
CF000004454,2013-02-03,TMAX,310
CF000004454,2011-09-08,TMIN,210
CF000004454,2015-05-13,TMIN,230
CF000004454,2012-12-25,TMAX,330
CF000004454,2015-08-11,TMIN,216
CF000004454,2011-07-17,TMAX,298
CF000004454,2014-09-21,TMAX,315
CF000004454,2015-09-06,TMAX,327
CF000004454,2013-02-23,TMAX,375
CF000004454,2013-01-04,TMAX,310
CF000004454,2014-12-21,TMAX,315
CF000004454,2014-12-08,TMAX,344
CF000004454,2015-08-31,TMAX,340
CF000004454,2013-02-15,TMAX,325
CF000004454,2015-08-18,TMAX,340
CF000004454,2014-03-15,TMAX,350
CF000004454,2014-10-09,TMIN,230
CF000004454,2013-03-14,TMAX,345
CF000004454,2013-12-05,TMAX,310
CF000004454,2015-03-13,TMIN,234
CF000004454,2015-08-18,TMIN,205
CF000004454,2014-09-06,TMAX,315
CF000004454,2012-08-27,TMAX,351
CF000004454,2014-10-09,TMAX,330
CF000004454,2015-10-11,TMIN,205
CF000004454,2014-02-07,TMAX,345
CF000004454,2015-06-03,TMIN,223
CF000004454,2011-10-10,TMIN,215
CF000004454,2014-08-22,TMIN,205
CF000004454,2014-10-14,TMIN,225
CF000004454,2014-10-14,TMAX,345
CF000004454,2014-08-22,TMAX,325
CF000004454,2013-12-24,TMAX,335
CF000004454,2015-01-31,TMIN,225
CF000004454,2015-06-06,TMIN,216
CF000004454,2012-12-01,TMAX,310
CF000004454,2015-07-19,TMIN,205
CF000004454,2014-09-20,TMAX,348
CF000004454,2012-12-31,TMAX,295
CF000004454,2012-12-09,TMAX,314
CF000004454,2014-01-05,TMAX,330
CF000004454,2014-10-04,TMAX,339
CF000004454,2014-12-30,TMIN,223
CF000004454,2015-01-31,TMAX,320
CF000004454,2014-11-09,TMAX,345
CF000004454,2015-02-16,TMAX,350
CF000004454,2015-05-11,TMIN,205
CF000004454,2015-04-06,TMIN,220
CF000004454,2014-10-17,TMAX,345
CF000004454,2015-01-10,TMIN,205
CF000004454,2014-09-14,TMAX,305
CF000004454,2013-01-02,TMAX,300
CF000004454,2013-01-19,TMAX,350
CF000004454,2013-12-08,TMAX,325
CF000004454,2014-10-04,TMIN,210
CF000004454,2014-09-14,TMIN,220
CF000004454,2015-07-16,TMIN,210
CF000004454,2015-09-26,TMIN,215
CF000004454,2014-02-23,TMAX,245
CF000004454,2012-05-04,TMAX,342
CF000004454,2012-11-05,TMAX,285
CF000004454,2013-03-25,TMAX,265
CF000004454,2015-12-13,TMIN,220
CF000004454,2014-10-15,TMAX,338
CF000004454,2015-02-02,TMIN,215
CF000004454,2015-06-16,TMIN,205
CF000004454,2015-08-30,TMIN,220
CF000004454,2015-12-14,TMIN,225
CF000004454,2012-11-06,TMAX,295
CF000004454,2015-01-30,TMIN,225
CF000004454,2014-05-09,TMAX,325
CF000004454,2014-11-30,TMAX,342
CF000004454,2015-05-27,TMIN,195
CF000004454,2014-12-27,TMAX,305
CF000004454,2014-12-27,TMIN,235
CF000004454,2014-05-13,TMIN,220
CF000004454,2015-11-23,TMIN,226
CF000004454,2014-10-07,TMAX,319
CF000004454,2015-01-30,TMAX,345
CF000004454,2015-09-02,TMIN,216
CF000004454,2014-02-25,TMAX,345
CF000004454,2013-03-30,TMAX,340
CF000004454,2015-12-21,TMIN,222
CF000004454,2013-03-10,TMAX,322
CF000004454,2014-12-20,TMIN,225
CF000004454,2014-04-30,TMAX,320
CF000004454,2014-11-18,TMAX,275
CF000004454,2015-05-17,TMIN,220
CF000004454,2015-06-14,TMIN,210
CF000004454,2015-02-15,TMIN,225
CF000004454,2015-02-15,TMAX,340
CF000004454,2011-06-29,TMAX,302
CF000004454,2014-01-27,TMAX,340
CF000004454,2012-12-14,TMAX,305
CF000004454,2014-09-07,TMAX,255
CF000004454,2014-10-23,TMAX,305
CF000004454,2015-06-25,TMIN,210
CF000004454,2013-01-14,TMAX,290
CF000004454,2015-10-20,TMIN,210
CF000004454,2015-02-01,TMIN,213
CF000004454,2014-10-28,TMIN,227
CF000004454,2015-04-29,TMIN,200
CF000004454,2014-05-18,TMIN,210
CF000004454,2015-01-12,TMIN,165
CF000004454,2014-10-21,TMIN,219
CF000004454,2014-05-23,TMIN,220
CF000004454,2014-10-23,TMIN,225
CF000004454,2015-01-12,TMAX,315
CF000004454,2014-10-21,TMAX,320
CF000004454,2014-04-30,TMIN,230
CF000004454,2014-02-13,TMAX,325
CF000004454,2013-04-12,TMAX,295
CF000004454,2012-12-26,TMAX,295
CF000004454,2014-12-26,TMAX,325
CF000004454,2015-04-27,TMIN,225
CF000004454,2012-12-12,TMAX,330
CF000004454,2014-01-16,TMAX,295
CF000004454,2015-01-09,TMAX,315
CF000004454,2014-12-26,TMIN,220
CF000004454,2014-03-25,TMAX,345
CF000004454,2014-10-30,TMIN,225
CF000004454,2014-10-30,TMAX,339
CF000004454,2014-09-24,TMAX,331
CF000004454,2014-10-11,TMAX,336
CF000004454,2012-08-09,TMAX,350
CF000004454,2014-05-25,TMAX,330
CF000004454,2015-06-19,TMIN,215
CF000004454,2015-04-09,TMIN,225
CF000004454,2014-02-15,TMAX,328
CF000004454,2015-07-12,TMIN,200
CF000004454,2014-02-03,TMAX,334
CF000004454,2014-05-21,TMAX,325
CF000004454,2014-11-17,TMAX,337
CF000004454,2013-01-15,TMAX,342
CF000004454,2013-01-30,TMAX,258
CF000004454,2014-11-17,TMIN,222
CF000004454,2014-05-25,TMIN,205
CF000004454,2012-10-28,TMAX,342
CF000004454,2011-06-19,TMIN,205
CF000004454,2015-11-25,TMIN,220
CF000004454,2014-03-01,TMAX,325
CF000004454,2013-12-23,TMAX,285
CF000004454,2015-01-14,TMAX,325
CF000004454,2015-10-10,TMIN,217
CF000004454,2015-05-28,TMIN,225
CF000004454,2014-12-28,TMIN,220
CF000004454,2015-06-01,TMIN,230
CF000004454,2015-08-23,TMAX,345
CF000004454,2015-08-13,TMIN,218
CF000004454,2014-11-30,TMIN,225
CF000004454,2015-11-30,TMIN,221
CF000004454,2015-03-17,TMIN,209
CF000004454,2015-06-17,TMIN,200
CF000004454,2013-04-10,TMAX,285
CF000004454,2011-07-08,TMIN,200
CF000004454,2014-10-17,TMIN,235
CF000004454,2015-06-05,TMIN,220
CF000004454,2015-07-27,TMIN,225
CF000004454,2015-08-23,TMIN,236
CF000004454,2011-08-05,TMIN,195
CF000004454,2015-10-31,TMIN,230
CF000004454,2013-12-10,TMAX,325
CF000004454,2015-12-11,TMIN,229
CF000004454,2014-05-30,TMIN,202
CF000004454,2013-11-28,TMAX,335
CF000004454,2013-02-21,TMAX,350
CF000004454,2014-10-12,TMAX,338
CF000004454,2011-08-22,TMIN,205
CF000004454,2014-11-27,TMAX,280
CF000004454,2014-05-05,TMIN,227
CF000004454,2011-12-07,TMIN,220
CF000004454,2014-05-02,TMIN,200
CF000004454,2015-09-07,TMAX,334
CF000004454,2011-12-07,TMAX,295
CF000004454,2015-09-07,TMIN,205
CF000004454,2015-11-01,TMIN,230
CF000004454,2015-11-11,TMIN,209
CF000004454,2011-08-19,TMIN,216
CF000004454,2014-09-22,TMAX,330
CF000004454,2011-06-18,TMIN,205
CF000004454,2014-01-12,TMAX,325
CF000004454,2014-10-15,TMIN,220
CF000004454,2014-03-19,TMAX,335
CF000004454,2013-01-24,TMAX,328
CF000004454,2014-05-08,TMIN,210
CF000004454,2014-05-08,TMAX,290
CF000004454,2015-04-16,TMIN,220
CF000004454,2015-10-23,TMIN,208
CF000004454,2012-12-17,TMAX,330
CF000004454,2015-04-04,TMIN,220
CF000004454,2014-09-10,TMAX,321
CF000004454,2015-10-15,TMIN,214
CF000004454,2013-01-11,TMAX,340
CF000004454,2015-12-28,TMIN,226
CF000004454,2012-11-01,TMAX,315
CF000004454,2014-03-21,TMAX,280
CF000004454,2014-10-12,TMIN,230
CF000004454,2012-12-02,TMAX,295
CF000004454,2014-09-03,TMIN,202
CF000004454,2013-02-14,TMAX,315
CF000004454,2012-05-14,TMAX,330
CF000004454,2014-11-11,TMAX,330
CF000004454,2012-11-07,TMAX,325
CF000004454,2014-01-28,TMAX,240
CF000004454,2014-01-26,TMAX,340
CF000004454,2015-12-08,TMIN,224
CF000004454,2014-12-11,TMIN,210
CF000004454,2015-05-02,TMIN,225
CF000004454,2013-04-11,TMAX,340
CF000004454,2014-10-28,TMAX,300
CF000004454,2015-05-24,TMIN,215
CF000004454,2014-11-13,TMIN,220
CF000004454,2014-09-20,TMIN,205
CF000004454,2015-03-18,TMIN,230
CF000004454,2015-05-08,TMIN,215
CF000004454,2013-03-11,TMAX,280
CF000004454,2012-09-24,TMAX,330
CF000004454,2014-12-29,TMAX,330
CF000004454,2012-12-24,TMAX,320
CF000004454,2014-05-05,TMAX,325
CF000004454,2015-07-29,TMAX,310
CF000004454,2012-09-08,TMAX,325
CF000004454,2012-08-12,TMAX,330
CF000004454,2014-01-20,TMAX,330
CF000004454,2015-11-22,TMIN,218
CF000004454,2015-12-20,TMIN,220
CF000004454,2014-12-20,TMAX,338
CF000004454,2015-12-27,TMIN,226
CF000004454,2015-09-04,TMIN,220
CF000004454,2015-01-13,TMAX,320
CF000004454,2015-09-01,TMIN,235
CF000004454,2013-12-21,TMAX,332
CF000004454,2014-02-22,TMAX,345
CF000004454,2012-12-10,TMAX,326
CF000004454,2015-08-12,TMIN,220
CF000004454,2014-03-03,TMAX,335
CF000004454,2014-02-12,TMAX,345
CF000004454,2015-04-05,TMIN,220
CF000004454,2012-12-06,TMAX,320
CF000004454,2015-10-26,TMIN,220
CF000004454,2015-11-27,TMIN,225
CF000004454,2015-08-01,TMIN,205
CF000004454,2015-10-25,TMIN,225
CF000004454,2014-11-27,TMIN,224
CF000004454,2013-02-06,TMAX,360
CF000004454,2015-12-23,TMIN,225
CF000004454,2014-09-19,TMAX,340
CF000004454,2015-11-05,TMIN,222
CF000004454,2014-05-16,TMIN,210
CF000004454,2014-09-19,TMIN,210
CF000004454,2015-11-17,TMIN,210
CF000004454,2015-02-11,TMAX,328
CF000004454,2011-06-17,TMAX,305
CF000004454,2015-07-29,TMIN,220
CF000004454,2014-02-16,TMAX,330
CF000004454,2012-12-15,TMAX,330
CF000004454,2013-02-11,TMAX,300
CF000004454,2014-11-22,TMAX,335
CF000004454,2014-11-22,TMIN,225
CF000004454,2015-12-24,TMIN,215
CF000004454,2014-03-04,TMAX,324
CF000004454,2015-03-23,TMAX,335
CF000004454,2012-10-17,TMAX,330
CF000004454,2015-02-11,TMIN,205
CF000004454,2014-11-24,TMAX,285
CF000004454,2015-06-20,TMIN,208
CF000004454,2014-05-16,TMAX,300
CF000004454,2014-09-10,TMIN,215
CF000004454,2013-02-05,TMAX,350
CF000004454,2015-04-01,TMIN,225
CF000004454,2014-11-09,TMIN,217
CF000004454,2013-04-17,TMAX,340
CF000004454,2015-05-23,TMIN,228
CF000004454,2013-12-11,TMAX,310
CF000004454,2013-02-18,TMAX,290
CF000004454,2015-08-28,TMIN,217
CF000004454,2014-01-23,TMAX,335
CF000004454,2015-07-03,TMIN,215
CF000004454,2014-12-19,TMAX,305
CF000004454,2015-01-25,TMIN,215
CF000004454,2014-05-03,TMIN,215
CF000004454,2014-05-03,TMAX,340
CF000004454,2015-07-25,TMIN,210
CF000004454,2014-02-17,TMAX,340
CF000004454,2013-03-26,TMAX,315
CF000004454,2014-12-14,TMAX,320
CF000004454,2015-03-31,TMIN,210
CF000004454,2014-12-14,TMIN,225
CF000004454,2014-12-16,TMAX,325
CF000004454,2015-06-04,TMIN,215
CF000004454,2015-06-26,TMIN,200
CF000004454,2015-07-20,TMIN,210
CF000004454,2012-10-20,TMAX,320
CF000004454,2012-08-22,TMAX,340
CF000004454,2014-12-09,TMAX,335
CF000004454,2014-10-10,TMAX,275
CF000004454,2014-12-19,TMIN,230
CF000004454,2014-10-16,TMAX,335
CF000004454,2015-02-18,TMAX,335
CF000004454,2014-12-09,TMIN,220
CF000004454,2014-12-17,TMAX,325
CF000004454,2014-11-29,TMAX,325
CF000004454,2014-12-17,TMIN,215
CF000004454,2015-12-06,TMIN,227
CF000004454,2014-03-14,TMAX,350
CF000004454,2015-08-05,TMIN,225
CF000004454,2013-01-20,TMAX,345
CF000004454,2014-11-26,TMIN,219
CF000004454,2015-11-04,TMIN,218
CF000004454,2014-05-01,TMAX,335
CF000004454,2014-05-01,TMIN,215
CF000004454,2015-09-03,TMIN,225
CF000004454,2015-02-19,TMAX,330
CF000004454,2014-11-26,TMAX,337
CF000004454,2015-09-11,TMIN,220
CF000004454,2015-10-30,TMIN,225
CF000004454,2015-04-22,TMIN,230
CF000004454,2014-11-03,TMIN,210
CF000004454,2013-02-17,TMAX,356
CF000004454,2012-11-24,TMAX,343
CF000004454,2014-11-03,TMAX,335
CF000004454,2014-10-05,TMIN,215
CF000004454,2014-10-05,TMAX,325
CF000004454,2015-08-21,TMIN,225
CF000004454,2013-03-16,TMAX,297
CF000004454,2011-10-12,TMAX,303
CF000004454,2015-09-16,TMIN,225
CF000004454,2012-12-07,TMAX,304
CF000004454,2015-07-26,TMIN,230
CF000004454,2013-04-15,TMAX,340
CF000004454,2012-10-09,TMAX,335
CF000004454,2011-08-08,TMIN,210
CF000004454,2014-11-07,TMIN,210
CF000004454,2014-05-28,TMIN,230
CF000004454,2015-08-25,TMAX,320
CF000004454,2015-01-02,TMIN,215
CF000004454,2014-12-23,TMIN,220
CF000004454,2012-07-10,TMAX,335
CF000004454,2014-10-10,TMIN,220
CF000004454,2014-10-29,TMIN,205
CF000004454,2015-06-30,TMIN,215
CF000004454,2011-12-03,TMIN,225
CF000004454,2013-01-05,TMAX,330
CF000004454,2015-06-24,TMIN,217
CF000004454,2015-12-19,TMIN,225
CF000004454,2014-05-11,TMAX,255
CF000004454,2014-12-23,TMAX,305
CF000004454,2014-03-13,TMAX,360
CF000004454,2014-10-08,TMIN,210
CF000004454,2014-10-08,TMAX,335
CF000004454,2012-07-09,TMAX,320
CF000004454,2015-01-02,TMAX,260
CF000004454,2014-01-31,TMAX,335
CF000004454,2015-10-16,TMIN,220
CF000004454,2015-08-21,TMAX,340
CF000004454,2015-08-25,TMIN,225
CF000004454,2014-05-04,TMAX,330
CF000004454,2014-03-18,TMAX,347
CF000004454,2014-10-06,TMAX,323
CF000004454,2014-09-26,TMIN,210
CF000004454,2014-09-26,TMAX,317
CF000004454,2012-11-20,TMAX,245
