ID,Date,Element,Data_Value
RSM00021946,2007-01-29,TMIN,-344
RSM00021946,2013-11-23,TMAX,-206
RSM00021946,2010-07-17,TMAX,195
RSM00021946,2008-08-27,TMAX,129
RSM00021946,2010-08-16,TMAX,81
RSM00021946,2006-04-20,TMIN,-216
RSM00021946,2010-11-17,TMAX,-228
RSM00021946,2011-09-28,TMIN,-43
RSM00021946,2011-08-10,TMAX,93
RSM00021946,2010-07-03,TMAX,260
RSM00021946,2012-03-10,TMAX,-228
RSM00021946,2007-06-02,TMIN,-33
RSM00021946,2007-11-30,TMAX,-122
RSM00021946,2006-09-08,TMAX,52
RSM00021946,2010-11-17,TMIN,-281
RSM00021946,2015-08-27,TMAX,192
RSM00021946,2008-09-22,TMAX,12
RSM00021946,2008-07-20,TMAX,167
RSM00021946,2015-08-30,TMAX,145
RSM00021946,2015-01-01,TMIN,-314
RSM00021946,2015-12-08,TMIN,-363
RSM00021946,2011-06-25,TMAX,176
RSM00021946,2008-06-21,TMIN,41
RSM00021946,2012-11-20,TMIN,-341
RSM00021946,2006-02-21,TMIN,-366
RSM00021946,2013-11-23,TMIN,-253
RSM00021946,2013-07-10,TMAX,254
RSM00021946,2007-12-09,TMIN,-338
RSM00021946,2013-05-02,TMAX,13
RSM00021946,2009-02-21,TMAX,-346
RSM00021946,2007-06-02,TMAX,-9
RSM00021946,2008-12-08,TMAX,-284
RSM00021946,2012-03-10,TMIN,-294
RSM00021946,2005-08-15,TMIN,30
RSM00021946,2010-09-02,TMAX,70
RSM00021946,2015-05-18,TMIN,-153
RSM00021946,2007-02-10,TMAX,-291
RSM00021946,2013-07-10,TMIN,91
RSM00021946,2013-08-11,TMAX,172
RSM00021946,2005-01-03,TMAX,-402
RSM00021946,2008-12-08,TMIN,-377
RSM00021946,2012-04-27,TMAX,-122
RSM00021946,2015-08-08,TMAX,152
RSM00021946,2009-03-22,TMIN,-274
RSM00021946,2005-04-28,TMAX,-64
RSM00021946,2015-08-08,TMIN,97
RSM00021946,2008-07-07,TMIN,39
RSM00021946,2009-08-01,TMAX,130
RSM00021946,2007-11-30,TMIN,-181
RSM00021946,2008-07-07,TMAX,133
RSM00021946,2010-04-19,TMAX,-70
RSM00021946,2007-08-21,TMAX,146
RSM00021946,2011-09-28,TMAX,-11
RSM00021946,2009-09-28,TMAX,30
RSM00021946,2006-04-20,TMAX,-160
RSM00021946,2011-07-04,TMIN,81
RSM00021946,2006-04-12,TMAX,-232
RSM00021946,2009-12-09,TMIN,-293
RSM00021946,2010-12-22,TMIN,-362
RSM00021946,2010-08-16,TMIN,41
RSM00021946,2007-02-10,TMIN,-332
