ID,Date,Element,Data_Value
BRM00083698,2015-12-24,TMAX,332
BRM00083698,2015-10-24,TMAX,371
BRM00083698,2015-12-12,TMAX,330
BRM00083698,2015-12-01,TMAX,314
BRM00083698,2015-11-26,TMAX,296
BRM00083698,2015-11-22,TMAX,310
BRM00083698,2015-12-27,TMAX,340
BRM00083698,2015-10-18,TMAX,310
BRM00083698,2015-11-08,TMIN,224
BRM00083698,2015-06-20,TMIN,171
BRM00083698,2015-12-20,TMIN,238
BRM00083698,2015-12-21,TMAX,354
BRM00083698,2015-11-10,TMAX,314
BRM00083698,2015-12-08,TMAX,270
BRM00083698,2015-12-16,TMAX,337
BRM00083698,2015-11-14,TMIN,253
BRM00083698,2014-11-26,TMIN,243
BRM00083698,2014-11-16,TMIN,192
BRM00083698,2015-10-25,TMAX,292
BRM00083698,2015-11-05,TMAX,330
BRM00083698,2015-11-11,TMAX,318
BRM00083698,2015-10-19,TMAX,260
BRM00083698,2015-11-02,TMAX,326
BRM00083698,2015-10-26,TMAX,270
BRM00083698,2015-11-15,TMAX,381
BRM00083698,2015-12-18,TMAX,343
BRM00083698,2015-12-30,TMAX,363
BRM00083698,2015-12-22,TMAX,334
BRM00083698,2015-12-07,TMAX,333
BRM00083698,2015-12-11,TMAX,352
BRM00083698,2015-12-04,TMAX,274
BRM00083698,2015-10-17,TMAX,373
BRM00083698,2015-12-31,TMAX,352
BRM00083698,2015-11-30,TMAX,320
BRM00083698,2015-11-25,TMIN,243
BRM00083698,2015-11-04,TMAX,340
BRM00083698,2015-11-16,TMAX,386
BRM00083698,2015-12-23,TMAX,326
BRM00083698,2015-10-29,TMAX,278
BRM00083698,2015-10-28,TMAX,290
BRM00083698,2015-11-20,TMAX,332
BRM00083698,2015-12-15,TMAX,333
BRM00083698,2015-12-13,TMAX,333
BRM00083698,2015-10-23,TMAX,371
BRM00083698,2008-09-28,TMIN,179
BRM00083698,2015-11-06,TMIN,247
BRM00083698,2015-11-07,TMAX,337
BRM00083698,2015-12-06,TMAX,339
BRM00083698,2015-12-29,TMAX,361
BRM00083698,2015-12-03,TMAX,296
BRM00083698,2015-12-26,TMAX,378
