ID,Date,Element,Data_Value
JA000047590,2008-05-21,TMIN,109
JA000047592,2015-08-10,TMIN,237
JA000047592,2015-12-22,TMAX,99
JA000047588,2005-01-19,TMAX,53
JA000047588,2013-12-18,TMAX,7
JA000047592,2013-11-03,TMAX,191
JA000047592,2012-04-28,TMAX,156
JA000047588,2015-08-10,TMIN,225
JA000047588,2013-12-18,TMIN,-23
JA000047588,2010-04-16,TMAX,83
JA000047588,2010-06-05,TMAX,211
JA000047588,2014-03-19,TMAX,86
JA000047590,2015-11-12,TMIN,48
JA000047588,2013-10-18,TMAX,172
JA000047592,2011-06-28,TMIN,186
JA000047592,2013-09-28,TMIN,122
JA000047592,2013-11-03,TMIN,70
JA000047590,2015-11-12,TMAX,133
JA000047590,2005-11-28,TMIN,44
JA000047588,2009-01-10,TMAX,43
JA000047590,2006-10-14,TMAX,187
JA000047592,2010-09-24,TMAX,189
JA000047588,2012-06-09,TMAX,198
JA000047588,2014-01-22,TMIN,-34
JA000047590,2011-12-26,TMAX,31
JA000047588,2013-04-02,TMIN,5
JA000047588,2014-06-24,TMIN,168
JA000047588,2005-01-19,TMIN,-27
JA000047592,2010-05-27,TMIN,82
JA000047592,2015-08-10,TMAX,289
JA000047592,2010-05-27,TMAX,173
JA000047592,2015-01-27,TMAX,95
JA000047590,2009-09-11,TMAX,255
JA000047588,2006-10-16,TMAX,207
JA000047590,2013-07-09,TMAX,329
JA000047590,2013-07-09,TMIN,221
JA000047592,2005-11-06,TMIN,58
JA000047588,2009-12-22,TMAX,52
JA000047592,2007-08-02,TMIN,223
JA000047588,2014-05-15,TMIN,127
JA000047588,2011-12-13,TMAX,77
JA000047592,2009-11-13,TMIN,51
JA000047588,2014-05-15,TMAX,232
JA000047588,2008-10-13,TMAX,210
JA000047590,2011-11-22,TMAX,97
JA000047588,2013-06-26,TMAX,266
JA000047588,2012-06-12,TMAX,194
JA000047588,2012-06-12,TMIN,138
JA000047590,2006-02-05,TMAX,8
JA000047588,2011-02-15,TMAX,34
JA000047588,2012-07-11,TMAX,320
JA000047590,2015-10-05,TMAX,206
JA000047588,2009-12-22,TMIN,-34
JA000047592,2008-02-15,TMAX,29
JA000047592,2007-05-18,TMIN,120
JA000047590,2007-10-24,TMAX,179
JA000047590,2012-11-10,TMAX,152
JA000047588,2014-08-23,TMAX,325
JA000047588,2006-09-27,TMIN,144
JA000047590,2015-05-25,TMIN,145
JA000047588,2011-10-25,TMAX,181
JA000047590,2015-05-25,TMAX,232
JA000047588,2013-12-15,TMAX,8
JA000047590,2011-05-20,TMAX,257
JA000047588,2006-09-19,TMAX,277
JA000047588,2008-10-13,TMIN,77
JA000047588,2015-08-10,TMAX,344
JA000047590,2010-04-01,TMIN,60
JA000047590,2012-08-09,TMAX,270
JA000047592,2005-07-17,TMIN,206
JA000047590,2008-04-08,TMAX,134
JA000047588,2013-10-18,TMIN,60
JA000047590,2010-04-02,TMAX,110
JA000047590,2005-11-28,TMAX,128
JA000047590,2013-08-10,TMIN,256
JA000047590,2013-04-29,TMIN,71
JA000047592,2009-09-22,TMAX,229
JA000047592,2008-07-26,TMAX,255
JA000047592,2010-08-07,TMIN,234
JA000047588,2015-03-15,TMAX,121
JA000047588,2012-06-11,TMAX,263
JA000047592,2013-09-27,TMIN,104
JA000047592,2008-05-07,TMAX,241
JA000047588,2008-08-05,TMIN,231
JA000047592,2013-09-27,TMAX,217
JA000047588,2015-03-15,TMIN,-16
JA000047592,2006-01-07,TMIN,-68
JA000047592,2008-02-02,TMAX,59
JA000047590,2010-06-19,TMIN,196
JA000047590,2008-05-25,TMAX,234
JA000047590,2011-05-20,TMIN,155
JA000047588,2009-12-25,TMAX,76
JA000047588,2005-03-10,TMAX,72
JA000047590,2008-05-21,TMAX,233
JA000047592,2013-03-29,TMAX,116
JA000047590,2008-01-03,TMAX,70
JA000047588,2006-02-05,TMAX,-14
JA000047592,2009-08-25,TMIN,152
JA000047590,2010-07-14,TMAX,221
JA000047590,2009-04-01,TMIN,29
JA000047588,2015-05-28,TMIN,147
JA000047590,2010-08-19,TMAX,271
JA000047592,2005-06-04,TMAX,179
JA000047590,2010-03-21,TMAX,135
JA000047590,2009-03-14,TMAX,110
JA000047592,2009-11-15,TMAX,177
JA000047590,2012-03-24,TMAX,94
JA000047588,2008-02-01,TMIN,-36
JA000047588,2015-05-28,TMAX,278
JA000047588,2008-02-01,TMAX,8
JA000047590,2012-03-24,TMIN,4
JA000047588,2015-02-07,TMAX,65
JA000047588,2012-06-08,TMAX,280
JA000047588,2012-07-08,TMIN,186
JA000047590,2010-08-05,TMIN,251
JA000047592,2007-09-30,TMAX,185
JA000047590,2005-05-08,TMIN,85
JA000047592,2010-09-24,TMIN,124
JA000047590,2008-01-03,TMIN,-14
JA000047592,2005-08-23,TMAX,258
JA000047588,2014-08-05,TMIN,249
JA000047590,2013-08-01,TMAX,213
JA000047590,2006-08-25,TMAX,313
JA000047592,2005-03-29,TMAX,101
JA000047588,2011-07-29,TMAX,288
JA000047588,2014-06-24,TMAX,281
JA000047592,2014-12-15,TMIN,-34
JA000047590,2009-10-23,TMAX,180
JA000047592,2007-09-30,TMIN,128
JA000047592,2006-01-07,TMAX,23
JA000047588,2015-03-02,TMAX,45
JA000047590,2010-08-05,TMAX,326
JA000047588,2015-03-25,TMIN,0
JA000047588,2008-09-18,TMIN,168
JA000047588,2008-08-05,TMAX,311
JA000047592,2010-10-02,TMIN,116
JA000047590,2014-03-19,TMAX,102
JA000047590,2010-06-19,TMAX,252
JA000047592,2010-08-07,TMAX,296
JA000047590,2008-05-25,TMIN,141
JA000047588,2013-01-12,TMIN,-82
JA000047588,2008-09-18,TMAX,291
JA000047590,2013-12-14,TMAX,50
JA000047588,2012-06-11,TMIN,135
JA000047588,2005-07-16,TMAX,303
JA000047588,2015-06-24,TMAX,292
JA000047588,2012-07-08,TMAX,289
JA000047588,2013-01-12,TMAX,53
JA000047592,2013-05-31,TMAX,250
JA000047588,2008-12-18,TMIN,-5
JA000047592,2011-05-10,TMAX,213
JA000047588,2008-12-18,TMAX,100
JA000047592,2007-12-04,TMIN,2
JA000047590,2013-12-14,TMIN,-15
JA000047592,2011-01-15,TMAX,20
JA000047592,2005-04-27,TMAX,183
JA000047592,2007-12-04,TMAX,65
JA000047592,2014-06-27,TMIN,206
JA000047592,2006-04-19,TMIN,67
JA000047592,2005-04-27,TMIN,96
JA000047592,2013-08-17,TMIN,241
JA000047590,2005-08-28,TMAX,281
JA000047588,2005-09-19,TMAX,292
JA000047588,2014-09-12,TMIN,126
JA000047592,2013-08-17,TMAX,286
JA000047592,2014-12-27,TMIN,-57
JA000047592,2006-11-25,TMAX,97
JA000047590,2008-08-22,TMIN,159
JA000047590,2005-09-05,TMIN,193
JA000047590,2006-11-24,TMAX,96
JA000047592,2006-09-03,TMAX,278
JA000047588,2011-01-27,TMAX,25
JA000047592,2010-01-21,TMAX,84
JA000047588,2011-03-14,TMIN,-8
JA000047588,2011-10-14,TMIN,89
JA000047590,2011-05-04,TMAX,176
JA000047588,2012-04-24,TMAX,194
JA000047592,2008-04-17,TMIN,96
JA000047590,2006-08-01,TMAX,217
JA000047592,2009-12-17,TMIN,-45
JA000047590,2010-03-14,TMAX,103
JA000047592,2009-12-17,TMAX,36
JA000047590,2006-09-02,TMIN,179
JA000047588,2009-06-13,TMAX,208
JA000047588,2012-04-21,TMAX,161
JA000047590,2006-09-02,TMAX,269
JA000047590,2013-12-10,TMIN,43
JA000047590,2011-03-18,TMAX,58
JA000047590,2006-08-02,TMAX,245
JA000047592,2013-11-30,TMIN,18
JA000047588,2015-12-20,TMAX,79
JA000047590,2011-10-14,TMIN,123
JA000047592,2005-10-21,TMAX,209
JA000047590,2014-09-18,TMAX,235
JA000047588,2013-05-10,TMIN,73
JA000047590,2014-02-02,TMAX,93
JA000047588,2013-05-10,TMAX,288
JA000047592,2012-08-11,TMAX,272
JA000047592,2013-09-14,TMAX,259
JA000047592,2007-04-05,TMIN,-4
JA000047590,2008-02-02,TMAX,66
JA000047592,2014-07-31,TMIN,215
JA000047592,2014-06-27,TMAX,248
JA000047588,2010-12-30,TMAX,29
JA000047592,2014-12-15,TMAX,10
JA000047590,2006-08-02,TMIN,178
JA000047592,2012-08-11,TMIN,212
JA000047588,2006-10-08,TMAX,182
JA000047588,2012-10-27,TMAX,183
JA000047590,2010-08-06,TMAX,335
JA000047588,2006-07-23,TMIN,186
JA000047588,2012-04-26,TMAX,226
JA000047588,2011-03-14,TMAX,175
JA000047588,2011-10-14,TMAX,232
JA000047590,2007-01-29,TMAX,78
JA000047588,2014-01-22,TMAX,25
JA000047588,2006-07-23,TMAX,310
JA000047588,2015-11-13,TMAX,141
JA000047588,2014-09-12,TMAX,248
JA000047588,2011-09-14,TMAX,310
JA000047590,2008-04-22,TMAX,175
JA000047590,2015-02-06,TMAX,69
JA000047588,2015-09-06,TMAX,241
JA000047590,2015-11-28,TMAX,113
JA000047592,2005-10-21,TMIN,96
JA000047588,2006-10-08,TMIN,108
JA000047588,2011-09-14,TMIN,212
JA000047588,2013-04-29,TMIN,56
JA000047588,2008-09-19,TMAX,301
JA000047588,2015-10-12,TMAX,220
JA000047592,2009-03-28,TMAX,67
JA000047592,2008-04-17,TMAX,177
JA000047588,2010-05-20,TMIN,162
JA000047592,2012-11-24,TMAX,72
JA000047592,2006-03-22,TMIN,17
JA000047590,2014-04-17,TMIN,51
JA000047590,2014-04-17,TMAX,165
JA000047592,2015-10-21,TMAX,160
JA000047588,2006-04-18,TMAX,197
JA000047590,2005-12-13,TMAX,26
JA000047592,2010-03-02,TMAX,23
JA000047592,2015-10-21,TMIN,71
JA000047592,2013-09-28,TMAX,213
JA000047592,2009-07-01,TMAX,229
JA000047590,2005-09-05,TMAX,217
JA000047590,2011-03-18,TMIN,-41
JA000047588,2015-06-09,TMIN,151
JA000047588,2015-11-13,TMIN,11
JA000047592,2015-05-22,TMIN,106
JA000047590,2006-02-21,TMIN,25
JA000047590,2009-10-02,TMAX,213
JA000047588,2007-04-17,TMAX,98
JA000047588,2014-08-05,TMAX,353
JA000047588,2012-07-11,TMIN,203
JA000047592,2013-07-09,TMIN,212
JA000047592,2005-03-30,TMAX,81
JA000047592,2005-04-30,TMAX,209
JA000047590,2009-02-04,TMAX,73
JA000047588,2009-08-09,TMAX,265
