ID,Date,Element,Data_Value
UPM00033915,2014-07-30,TMAX,350
UPM00033915,2005-07-27,TMAX,320
UPM00033915,2015-08-12,TMAX,357
UPM00033915,2005-03-10,TMIN,-44
UPM00033915,2015-03-18,TMAX,69
UPM00033915,2014-07-30,TMIN,166
UPM00033915,2005-06-03,TMIN,96
UPM00033915,2007-06-16,TMIN,206
UPM00033915,2013-01-01,TMIN,-60
UPM00033915,2007-01-27,TMIN,-69
UPM00033915,2005-07-27,TMIN,182
UPM00033915,2007-10-25,TMIN,99
UPM00033915,2014-10-01,TMAX,182
UPM00033915,2006-07-29,TMIN,112
UPM00033915,2005-03-10,TMAX,3
UPM00033915,2015-05-08,TMAX,220
UPM00033915,2008-07-16,TMAX,319
UPM00033915,2015-09-04,TMAX,370
UPM00033915,2005-06-03,TMAX,222
UPM00033915,2005-08-10,TMAX,276
UPM00033915,2015-04-24,TMAX,167
UPM00033915,2007-06-09,TMIN,132
UPM00033915,2015-03-18,TMIN,10
UPM00033915,2014-09-04,TMAX,328
UPM00033915,2012-10-14,TMIN,100
UPM00033915,2006-09-19,TMIN,50
UPM00033915,2007-06-15,TMIN,177
UPM00033915,2012-10-14,TMAX,230
UPM00033915,2006-06-10,TMIN,143
UPM00033915,2015-11-24,TMIN,55
UPM00033915,2014-09-04,TMIN,183
UPM00033915,2015-06-28,TMIN,141
UPM00033915,2007-02-15,TMIN,-3
UPM00033915,2015-02-17,TMAX,-25
UPM00033915,2007-02-15,TMAX,125
UPM00033915,2005-01-23,TMIN,-29
UPM00033915,2007-10-11,TMIN,32
UPM00033915,2006-04-27,TMIN,60
UPM00033915,2006-08-04,TMIN,175
UPM00033915,2006-04-27,TMAX,135
UPM00033915,2015-02-17,TMIN,-97
UPM00033915,2005-01-23,TMAX,57
UPM00033915,2007-10-11,TMAX,201
UPM00033915,2006-08-04,TMAX,362
UPM00033915,2012-11-30,TMAX,183
UPM00033915,2015-06-28,TMAX,190
UPM00033915,2005-08-10,TMIN,126
UPM00033915,2015-08-12,TMIN,232
UPM00033915,2006-08-08,TMIN,226
UPM00033915,2006-03-25,TMIN,-65
UPM00033915,2008-09-11,TMIN,117
UPM00033915,2015-11-24,TMAX,82
UPM00033915,2007-06-15,TMAX,332
UPM00033915,2005-02-12,TMAX,-16
UPM00033915,2008-09-11,TMAX,259
UPM00033915,2007-04-24,TMIN,15
UPM00033915,2015-09-04,TMIN,196
UPM00033915,2005-02-12,TMIN,-155
UPM00033915,2005-06-23,TMIN,137
UPM00033915,2015-01-26,TMAX,26
UPM00033915,2009-03-29,TMAX,133
UPM00033915,2006-12-12,TMAX,45
UPM00033915,2006-06-14,TMIN,139
UPM00033915,2014-08-02,TMAX,365
UPM00033915,2007-06-20,TMAX,317
UPM00033915,2007-06-20,TMIN,202
UPM00033915,2014-08-02,TMIN,199
UPM00033915,2015-09-10,TMAX,258
UPM00033915,2008-11-25,TMIN,-38
UPM00033915,2012-12-31,TMIN,-60
UPM00033915,2012-12-31,TMAX,67
UPM00033915,2015-09-10,TMIN,97
UPM00033915,2015-12-09,TMAX,30
UPM00033915,2014-09-29,TMIN,76
UPM00033915,2006-07-14,TMIN,205
UPM00033915,2006-07-14,TMAX,345
UPM00033915,2012-10-26,TMAX,185
UPM00033915,2012-10-26,TMIN,72
UPM00033915,2005-02-19,TMAX,38
UPM00033915,2008-12-16,TMAX,-11
UPM00033915,2006-12-12,TMIN,20
UPM00033915,2006-06-14,TMAX,204
UPM00033915,2006-12-01,TMIN,26
UPM00033915,2006-08-31,TMAX,266
UPM00033915,2015-04-29,TMAX,225
UPM00033915,2008-08-10,TMAX,340
UPM00033915,2005-02-24,TMIN,-16
UPM00033915,2005-08-26,TMIN,137
UPM00033915,2005-02-24,TMAX,8
UPM00033915,2005-05-06,TMAX,152
UPM00033915,2015-04-29,TMIN,65
UPM00033915,2005-10-08,TMAX,213
UPM00033915,2014-09-29,TMAX,198
UPM00033915,2005-01-04,TMAX,46
UPM00033915,2009-04-29,TMIN,58
UPM00033915,2005-08-26,TMAX,288
UPM00033915,2005-10-08,TMIN,63
UPM00033915,2006-09-29,TMIN,151
UPM00033915,2005-05-06,TMIN,103
UPM00033915,2005-05-31,TMIN,162
UPM00033915,2005-09-26,TMAX,265
UPM00033915,2014-09-16,TMAX,232
UPM00033915,2014-09-16,TMIN,107
