ID,Date,Element,Data_Value
CA006015026,2013-03-02,TMIN,-260
CA006015025,2008-03-16,TMAX,-14
CA006015026,2014-11-03,TMIN,-24
CA006015025,2008-07-25,TMIN,148
CA006015025,2009-09-23,TMIN,45
CA006015025,2008-04-20,TMAX,133
CA006015025,2010-09-03,TMAX,117
CA006015025,2011-02-22,TMAX,-45
CA006015025,2006-05-15,TMAX,181
CA006015025,2011-07-08,TMIN,59
CA006015025,2006-11-20,TMIN,-223
CA006015026,2015-07-09,TMIN,72
CA006015025,2006-11-20,TMAX,-32
CA006015026,2014-12-27,TMAX,-198
CA006015025,2008-12-20,TMIN,-368
CA006015025,2011-04-14,TMIN,-180
CA006015025,2006-12-22,TMAX,-5
CA006015025,2009-08-24,TMIN,90
CA006015026,2015-05-31,TMAX,178
CA006015025,2007-02-23,TMIN,-327
CA006015026,2015-10-28,TMAX,85
CA006015025,2010-10-24,TMAX,65
CA006015026,2015-07-13,TMAX,232
CA006015025,2009-08-24,TMAX,118
CA006015025,2006-04-05,TMIN,-66
CA006015025,2010-12-20,TMIN,-102
CA006015025,2007-02-23,TMAX,-82
CA006015025,2008-04-20,TMIN,-23
CA006015025,2006-07-14,TMIN,166
CA006015025,2012-02-08,TMAX,-90
CA006015026,2014-10-06,TMIN,-27
CA006015025,2011-02-16,TMAX,-9
CA006015025,2011-12-01,TMIN,-199
CA006015025,2010-11-22,TMIN,-215
CA006015025,2010-12-20,TMAX,-81
CA006015025,2008-03-16,TMIN,-262
CA006015026,2015-12-01,TMIN,-103
CA006015026,2014-11-03,TMAX,40
CA006015025,2006-12-22,TMIN,-100
CA006015025,2008-12-20,TMAX,-219
CA006015026,2014-10-07,TMIN,-32
CA006015025,2010-10-22,TMAX,67
CA006015025,2008-10-30,TMIN,-18
CA006015025,2006-10-24,TMAX,5
CA006015025,2011-08-19,TMIN,111
CA006015025,2010-09-03,TMIN,55
CA006015025,2011-12-01,TMAX,-118
CA006015025,2006-12-21,TMIN,-110
CA006015025,2007-04-01,TMAX,22
CA006015025,2006-04-05,TMAX,79
CA006015025,2007-05-14,TMAX,174
CA006015025,2011-11-02,TMIN,-25
CA006015025,2008-10-30,TMAX,121
CA006015026,2012-11-29,TMAX,-195
CA006015026,2012-11-29,TMIN,-334
CA006015025,2012-09-12,TMAX,134
CA006015025,2007-03-19,TMIN,-330
CA006015025,2007-08-07,TMIN,137
CA006015025,2009-11-30,TMAX,-78
CA006015025,2006-12-21,TMAX,-10
CA006015026,2013-02-24,TMAX,13
CA006015025,2012-07-30,TMAX,227
CA006015025,2010-09-24,TMAX,123
CA006015025,2007-08-07,TMAX,230
CA006015025,2006-05-15,TMIN,50
CA006015026,2013-03-25,TMAX,-20
CA006015025,2011-04-08,TMAX,105
CA006015025,2007-04-01,TMIN,-101
CA006015025,2008-02-27,TMAX,-176
CA006015025,2011-03-06,TMIN,-390
CA006015026,2013-03-19,TMIN,-154
CA006015025,2007-10-18,TMAX,97
CA006015025,2011-01-30,TMAX,-212
CA006015026,2014-02-14,TMIN,-389
CA006015026,2015-12-01,TMAX,-4
CA006015026,2014-02-14,TMAX,-174
CA006015026,2014-10-06,TMAX,19
CA006015025,2007-10-18,TMIN,52
CA006015025,2010-10-22,TMIN,-56
CA006015025,2010-12-15,TMIN,-260
CA006015026,2014-11-22,TMAX,-64
CA006015025,2008-02-27,TMIN,-329
CA006015026,2013-03-02,TMAX,-66
CA006015025,2008-05-10,TMIN,-34
CA006015025,2010-09-18,TMIN,34
CA006015025,2007-02-17,TMIN,-282
CA006015025,2010-07-19,TMAX,252
CA006015026,2015-05-31,TMIN,0
CA006015025,2008-03-15,TMIN,-290
CA006015025,2012-10-29,TMAX,-18
CA006015025,2012-10-29,TMIN,-64
CA006015025,2008-11-17,TMAX,-91
CA006015025,2008-03-03,TMAX,-202
CA006015026,2013-01-31,TMAX,-217
CA006015025,2011-03-04,TMAX,-132
CA006015026,2013-03-18,TMAX,-75
CA006015025,2008-07-31,TMAX,248
CA006015025,2011-01-21,TMIN,-433
CA006015025,2009-08-19,TMIN,84
CA006015026,2015-05-06,TMIN,26
CA006015025,2008-11-27,TMIN,-58
CA006015025,2009-04-02,TMAX,-21
CA006015025,2009-09-23,TMAX,182
CA006015025,2009-09-10,TMIN,124
CA006015025,2008-07-31,TMIN,106
CA006015026,2013-03-19,TMAX,-111
CA006015025,2009-09-10,TMAX,233
CA006015026,2014-04-18,TMAX,63
CA006015026,2013-12-03,TMAX,-155
CA006015025,2007-02-17,TMAX,-193
CA006015025,2007-03-08,TMAX,-26
CA006015025,2012-02-29,TMIN,-269
CA006015026,2014-04-18,TMIN,-178
CA006015026,2015-10-20,TMIN,-92
CA006015025,2007-03-08,TMIN,-135
CA006015025,2007-12-03,TMIN,-232
CA006015026,2015-10-20,TMAX,14
CA006015025,2008-02-04,TMAX,-169
CA006015026,2013-01-31,TMIN,-320
CA006015025,2006-11-29,TMAX,-83
CA006015025,2011-12-26,TMIN,-261
CA006015026,2014-03-11,TMAX,-94
CA006015025,2009-07-04,TMAX,125
CA006015025,2006-10-01,TMIN,-11
CA006015025,2012-07-17,TMIN,76
CA006015025,2010-05-01,TMIN,-9
CA006015025,2009-04-02,TMIN,-83
CA006015025,2009-06-14,TMIN,66
CA006015025,2010-09-11,TMIN,102
CA006015025,2008-11-10,TMIN,-163
CA006015026,2014-03-11,TMIN,-331
CA006015025,2008-03-15,TMAX,-70
CA006015025,2011-12-26,TMAX,-19
CA006015025,2006-11-29,TMIN,-134
CA006015025,2008-11-10,TMAX,-57
CA006015025,2006-12-01,TMIN,-303
CA006015026,2014-01-23,TMAX,-151
CA006015025,2006-12-01,TMAX,-137
CA006015026,2014-07-06,TMAX,208
CA006015025,2011-01-30,TMIN,-378
CA006015025,2010-09-24,TMIN,7
CA006015025,2010-09-11,TMAX,146
CA006015026,2013-12-03,TMIN,-209
CA006015025,2011-08-03,TMAX,279
CA006015025,2009-08-19,TMAX,185
CA006015025,2012-02-28,TMIN,-231
CA006015025,2011-12-20,TMIN,-79
CA006015025,2008-07-12,TMAX,199
CA006015025,2006-05-29,TMAX,160
CA006015025,2010-08-10,TMAX,293
CA006015026,2015-05-06,TMAX,176
CA006015025,2008-03-19,TMAX,-71
CA006015025,2011-07-18,TMIN,107
CA006015025,2008-04-17,TMIN,-62
CA006015025,2008-11-17,TMIN,-174
CA006015025,2012-02-08,TMIN,-232
CA006015025,2010-03-19,TMAX,-79
CA006015025,2008-01-23,TMIN,-313
CA006015025,2006-05-13,TMAX,59
CA006015025,2008-01-23,TMAX,-225
CA006015026,2013-11-21,TMIN,-273
CA006015025,2006-11-04,TMAX,-78
CA006015025,2006-04-20,TMAX,191
CA006015025,2010-04-02,TMIN,-7
CA006015025,2007-12-06,TMIN,-210
CA006015025,2008-03-19,TMIN,-229
CA006015025,2010-04-02,TMAX,66
CA006015025,2006-04-20,TMIN,2
CA006015025,2010-10-24,TMIN,-12
CA006015026,2013-12-30,TMIN,-398
CA006015026,2015-10-28,TMIN,17
CA006015025,2007-05-14,TMIN,44
CA006015025,2006-09-28,TMAX,67
CA006015025,2008-04-17,TMAX,76
CA006015025,2006-04-06,TMIN,-89
CA006015026,2013-12-30,TMAX,-288
