ID,Date,Element,Data_Value
CHM00059758,2005-10-18,TMAX,310
CHM00059758,2011-01-07,TMIN,114
CHM00059758,2011-10-09,TMAX,276
CHM00059758,2010-11-13,TMIN,216
CHM00059758,2008-12-20,TMIN,190
CHM00059758,2007-11-19,TMAX,230
CHM00059758,2005-05-28,TMAX,333
CHM00059758,2014-12-10,TMAX,235
CHM00059758,2005-11-12,TMIN,237
CHM00059758,2015-02-10,TMIN,169
CHM00059758,2009-03-05,TMIN,227
CHM00059758,2005-11-12,TMAX,307
CHM00059758,2006-10-06,TMAX,315
CHM00059758,2006-03-31,TMAX,287
CHM00059758,2008-02-21,TMAX,210
CHM00059758,2014-04-12,TMIN,235
CHM00059758,2009-01-22,TMAX,225
CHM00059758,2012-09-18,TMIN,230
CHM00059758,2013-02-17,TMIN,189
CHM00059758,2011-07-14,TMIN,250
CHM00059758,2010-11-13,TMAX,262
CHM00059758,2008-12-20,TMAX,265
CHM00059758,2012-05-14,TMIN,244
CHM00059758,2008-04-03,TMIN,194
CHM00059758,2008-04-03,TMAX,255
CHM00059758,2006-11-02,TMIN,228
CHM00059758,2012-01-12,TMIN,151
CHM00059758,2014-03-25,TMAX,274
CHM00059758,2005-09-10,TMIN,261
CHM00059758,2006-05-13,TMIN,252
CHM00059758,2012-01-12,TMAX,166
CHM00059758,2009-05-16,TMIN,249
CHM00059758,2009-04-26,TMAX,241
CHM00059758,2011-01-07,TMAX,132
CHM00059758,2007-03-27,TMIN,232
CHM00059758,2007-03-27,TMAX,321
CHM00059758,2012-05-10,TMAX,329
CHM00059758,2013-01-04,TMAX,183
CHM00059758,2014-12-21,TMIN,154
CHM00059758,2011-03-27,TMAX,177
CHM00059758,2015-12-13,TMIN,213
CHM00059758,2010-11-15,TMAX,232
CHM00059758,2005-06-26,TMAX,344
CHM00059758,2005-10-18,TMIN,254
CHM00059758,2006-08-06,TMAX,319
CHM00059758,2009-03-15,TMIN,157
CHM00059758,2009-11-08,TMIN,234
CHM00059758,2009-05-05,TMAX,290
CHM00059758,2012-05-10,TMIN,256
CHM00059758,2011-07-03,TMIN,250
CHM00059758,2007-06-26,TMAX,345
CHM00059758,2007-11-23,TMIN,191
CHM00059758,2006-05-13,TMAX,320
CHM00059758,2015-04-01,TMIN,236
CHM00059758,2013-02-17,TMAX,261
CHM00059758,2012-09-18,TMAX,318
CHM00059758,2006-03-31,TMIN,225
CHM00059758,2009-12-22,TMAX,236
CHM00059758,2008-06-01,TMIN,238
CHM00059758,2011-12-10,TMAX,174
CHM00059758,2010-08-31,TMAX,315
CHM00059758,2011-07-19,TMIN,267
CHM00059758,2006-09-30,TMAX,287
CHM00059758,2012-08-22,TMIN,263
CHM00059758,2013-04-29,TMIN,246
CHM00059758,2009-10-08,TMIN,235
CHM00059758,2007-07-04,TMAX,306
CHM00059758,2007-01-15,TMAX,242
CHM00059758,2011-10-17,TMAX,288
CHM00059758,2008-06-03,TMIN,240
CHM00059758,2013-12-04,TMAX,240
CHM00059758,2010-01-26,TMAX,189
CHM00059758,2011-10-17,TMIN,223
CHM00059758,2008-06-03,TMAX,278
CHM00059758,2009-08-20,TMIN,247
CHM00059758,2010-03-10,TMIN,117
CHM00059758,2006-06-08,TMIN,281
CHM00059758,2007-01-15,TMIN,180
CHM00059758,2008-02-07,TMIN,106
CHM00059758,2006-02-19,TMAX,166
CHM00059758,2008-03-04,TMAX,231
CHM00059758,2007-01-24,TMAX,160
CHM00059758,2007-01-24,TMIN,129
CHM00059758,2008-08-09,TMAX,292
CHM00059758,2008-03-03,TMAX,240
CHM00059758,2006-01-04,TMIN,199
CHM00059758,2006-06-08,TMAX,370
CHM00059758,2011-11-24,TMIN,215
CHM00059758,2011-09-16,TMIN,251
CHM00059758,2009-03-05,TMAX,314
CHM00059758,2010-11-03,TMAX,241
CHM00059758,2008-02-07,TMAX,136
CHM00059758,2012-03-16,TMIN,218
CHM00059758,2012-08-20,TMAX,329
CHM00059758,2005-06-29,TMAX,352
CHM00059758,2007-05-09,TMAX,260
CHM00059758,2012-03-16,TMAX,286
CHM00059758,2014-11-14,TMAX,246
CHM00059758,2011-10-18,TMAX,283
CHM00059758,2010-08-31,TMIN,248
CHM00059758,2012-09-05,TMAX,307
CHM00059758,2015-02-03,TMAX,214
CHM00059758,2008-12-18,TMIN,161
CHM00059758,2005-01-13,TMAX,179
CHM00059758,2006-01-04,TMAX,289
CHM00059758,2005-06-22,TMIN,270
CHM00059758,2008-10-22,TMIN,236
CHM00059758,2014-06-10,TMAX,343
CHM00059758,2010-11-15,TMIN,209
CHM00059758,2011-07-25,TMIN,262
CHM00059758,2008-10-22,TMAX,307
CHM00059758,2009-03-03,TMIN,205
CHM00059758,2011-07-13,TMIN,258
CHM00059758,2015-02-03,TMIN,179
CHM00059758,2012-05-14,TMAX,345
CHM00059758,2011-11-03,TMAX,268
CHM00059758,2008-06-10,TMIN,256
CHM00059758,2006-12-13,TMIN,186
CHM00059758,2010-11-01,TMIN,195
CHM00059758,2014-02-14,TMIN,93
CHM00059758,2009-06-23,TMAX,342
CHM00059758,2007-03-14,TMAX,317
CHM00059758,2007-05-19,TMIN,239
CHM00059758,2011-07-25,TMAX,337
CHM00059758,2012-09-13,TMIN,239
CHM00059758,2014-03-25,TMIN,205
CHM00059758,2008-12-18,TMAX,228
CHM00059758,2007-07-15,TMAX,357
CHM00059758,2008-12-24,TMAX,199
CHM00059758,2009-08-20,TMAX,338
CHM00059758,2010-01-26,TMIN,158
CHM00059758,2005-06-22,TMAX,349
CHM00059758,2013-12-14,TMIN,182
CHM00059758,2013-10-06,TMAX,299
CHM00059758,2008-12-24,TMIN,153
CHM00059758,2010-10-01,TMAX,295
CHM00059758,2005-01-13,TMIN,106
CHM00059758,2007-03-14,TMIN,221
CHM00059758,2010-11-01,TMAX,251
CHM00059758,2006-08-06,TMIN,264
CHM00059758,2011-03-29,TMIN,140
CHM00059758,2009-05-16,TMAX,331
CHM00059758,2010-02-17,TMIN,101
CHM00059758,2005-09-16,TMIN,270
CHM00059758,2006-04-02,TMAX,321
CHM00059758,2009-03-21,TMIN,230
CHM00059758,2007-05-22,TMAX,369
CHM00059758,2012-08-04,TMAX,334
CHM00059758,2014-10-03,TMIN,250
CHM00059758,2005-06-11,TMAX,348
CHM00059758,2008-06-19,TMIN,244
CHM00059758,2008-07-12,TMIN,241
CHM00059758,2005-01-11,TMIN,182
CHM00059758,2011-04-07,TMIN,208
CHM00059758,2007-05-22,TMIN,268
CHM00059758,2008-07-27,TMAX,322
CHM00059758,2005-01-11,TMAX,226
CHM00059758,2014-10-03,TMAX,330
CHM00059758,2006-12-02,TMAX,231
CHM00059758,2005-09-05,TMIN,256
CHM00059758,2013-12-14,TMAX,217
CHM00059758,2006-03-22,TMIN,226
CHM00059758,2005-08-19,TMAX,312
CHM00059758,2005-08-21,TMIN,261
CHM00059758,2014-01-27,TMIN,159
CHM00059758,2012-08-16,TMAX,303
CHM00059758,2012-12-29,TMAX,229
CHM00059758,2005-06-11,TMIN,264
CHM00059758,2012-08-22,TMAX,302
CHM00059758,2009-01-11,TMAX,185
CHM00059758,2006-03-22,TMAX,351
CHM00059758,2005-11-14,TMIN,251
CHM00059758,2005-11-14,TMAX,312
CHM00059758,2007-01-01,TMIN,191
CHM00059758,2005-12-30,TMAX,197
CHM00059758,2007-03-29,TMIN,230
CHM00059758,2007-03-29,TMAX,323
CHM00059758,2009-03-22,TMAX,344
CHM00059758,2006-09-30,TMIN,250
CHM00059758,2007-10-02,TMIN,246
CHM00059758,2006-04-02,TMIN,242
CHM00059758,2014-02-15,TMIN,124
CHM00059758,2009-03-22,TMIN,228
CHM00059758,2005-07-26,TMIN,267
CHM00059758,2011-01-19,TMIN,156
CHM00059758,2006-05-18,TMAX,327
CHM00059758,2011-07-03,TMAX,341
CHM00059758,2012-12-16,TMIN,219
CHM00059758,2011-11-07,TMIN,246
CHM00059758,2010-09-28,TMIN,258
CHM00059758,2011-12-20,TMAX,199
CHM00059758,2012-07-06,TMAX,321
CHM00059758,2010-06-21,TMIN,259
CHM00059758,2008-07-27,TMIN,255
CHM00059758,2014-07-21,TMAX,322
CHM00059758,2012-12-11,TMIN,204
CHM00059758,2008-09-14,TMIN,254
CHM00059758,2012-07-06,TMIN,249
CHM00059758,2008-08-02,TMAX,319
CHM00059758,2014-02-14,TMAX,133
CHM00059758,2012-12-16,TMAX,288
CHM00059758,2007-12-02,TMAX,258
CHM00059758,2005-09-05,TMAX,312
CHM00059758,2014-10-06,TMAX,299
CHM00059758,2005-03-14,TMAX,148
CHM00059758,2005-07-26,TMAX,321
CHM00059758,2010-05-24,TMAX,298
CHM00059758,2009-02-22,TMAX,329
CHM00059758,2011-04-07,TMAX,254
CHM00059758,2009-01-11,TMIN,94
CHM00059758,2014-12-20,TMAX,188
CHM00059758,2008-10-07,TMAX,284
CHM00059758,2014-07-21,TMIN,256
CHM00059758,2009-06-13,TMIN,246
CHM00059758,2009-08-27,TMAX,335
CHM00059758,2009-05-02,TMAX,270
CHM00059758,2009-06-13,TMAX,344
CHM00059758,2007-12-02,TMIN,190
CHM00059758,2005-03-29,TMAX,328
CHM00059758,2008-06-19,TMAX,324
CHM00059758,2006-07-28,TMIN,266
CHM00059758,2010-05-24,TMIN,255
CHM00059758,2005-02-02,TMIN,158
CHM00059758,2008-01-12,TMIN,189
CHM00059758,2008-10-07,TMIN,237
CHM00059758,2008-09-01,TMIN,246
CHM00059758,2005-01-03,TMIN,150
CHM00059758,2009-06-28,TMIN,242
CHM00059758,2011-10-12,TMAX,298
CHM00059758,2007-12-20,TMAX,249
CHM00059758,2006-05-08,TMAX,350
CHM00059758,2005-08-21,TMAX,347
CHM00059758,2011-03-09,TMIN,159
CHM00059758,2014-02-15,TMAX,167
CHM00059758,2005-06-26,TMIN,264
CHM00059758,2014-12-21,TMAX,190
CHM00059758,2014-12-06,TMAX,212
CHM00059758,2011-01-25,TMAX,144
CHM00059758,2006-12-02,TMIN,209
CHM00059758,2011-12-10,TMIN,141
CHM00059758,2007-12-20,TMIN,190
CHM00059758,2009-12-31,TMAX,209
CHM00059758,2014-12-28,TMAX,159
CHM00059758,2010-05-06,TMAX,371
CHM00059758,2005-04-20,TMIN,229
CHM00059758,2014-07-28,TMAX,317
CHM00059758,2007-11-27,TMAX,224
CHM00059758,2007-04-20,TMIN,206
CHM00059758,2011-04-14,TMIN,211
CHM00059758,2007-11-27,TMIN,177
CHM00059758,2005-05-21,TMIN,243
CHM00059758,2014-12-07,TMAX,214
CHM00059758,2008-02-21,TMIN,115
CHM00059758,2008-07-12,TMAX,341
CHM00059758,2008-09-14,TMAX,324
CHM00059758,2007-07-04,TMIN,254
CHM00059758,2006-12-13,TMAX,234
CHM00059758,2010-02-17,TMAX,135
CHM00059758,2005-04-20,TMAX,297
CHM00059758,2007-10-02,TMAX,277
CHM00059758,2005-09-19,TMIN,266
CHM00059758,2008-04-17,TMAX,290
CHM00059758,2005-05-21,TMAX,351
CHM00059758,2009-05-03,TMIN,202
CHM00059758,2010-09-16,TMAX,315
CHM00059758,2011-09-10,TMIN,229
CHM00059758,2008-01-17,TMIN,115
CHM00059758,2014-04-12,TMAX,305
CHM00059758,2008-10-01,TMAX,289
CHM00059758,2007-12-13,TMAX,250
CHM00059758,2008-01-17,TMAX,153
CHM00059758,2014-04-02,TMAX,316
CHM00059758,2009-02-25,TMIN,230
CHM00059758,2007-11-23,TMAX,233
CHM00059758,2009-01-22,TMIN,150
CHM00059758,2011-09-10,TMAX,290
CHM00059758,2009-06-28,TMAX,309
CHM00059758,2005-09-26,TMIN,252
CHM00059758,2005-12-30,TMIN,174
CHM00059758,2011-10-12,TMIN,240
CHM00059758,2012-03-01,TMAX,227
CHM00059758,2009-12-13,TMIN,217
CHM00059758,2014-07-09,TMIN,260
CHM00059758,2007-04-20,TMAX,302
CHM00059758,2009-12-13,TMAX,246
CHM00059758,2010-06-21,TMAX,342
CHM00059758,2014-12-20,TMIN,123
CHM00059758,2005-08-19,TMIN,250
CHM00059758,2012-12-29,TMIN,201
