ID,Date,Element,Data_Value
KZ000035394,2010-12-04,TMIN,-263
KZ000035394,2013-09-26,TMAX,240
KZ000035394,2015-08-19,TMIN,144
KZ000035394,2015-11-03,TMAX,2
KZ000035394,2006-06-07,TMIN,120
KZ000035394,2015-11-26,TMAX,18
KZ000035394,2007-06-19,TMIN,100
KZ000035394,2006-08-09,TMIN,112
KZ000035394,2006-08-27,TMIN,80
KZ000035394,2006-03-21,TMIN,-43
KZ000035394,2006-10-31,TMAX,131
KZ000035394,2014-01-15,TMAX,-15
KZ000035394,2010-10-17,TMAX,96
KZ000035394,2011-03-09,TMAX,12
KZ000035394,2006-06-07,TMAX,251
KZ000035394,2005-03-15,TMIN,-76
KZ000035394,2015-08-14,TMAX,181
KZ000035394,2007-03-09,TMAX,-2
KZ000035394,2007-06-12,TMAX,190
KZ000035394,2014-07-05,TMAX,238
KZ000035394,2005-03-15,TMAX,42
KZ000035394,2009-12-08,TMAX,-216
KZ000035394,2015-09-10,TMAX,307
KZ000035394,2006-09-24,TMIN,42
KZ000035394,2005-04-08,TMAX,67
KZ000035394,2010-04-13,TMAX,56
KZ000035394,2015-06-19,TMAX,280
KZ000035394,2005-08-05,TMIN,153
KZ000035394,2005-06-20,TMAX,245
KZ000035394,2005-09-01,TMIN,70
KZ000035394,2009-06-17,TMIN,19
KZ000035394,2006-10-16,TMAX,50
KZ000035394,2009-01-14,TMAX,-69
KZ000035394,2005-09-19,TMAX,195
KZ000035394,2009-12-04,TMAX,4
KZ000035394,2005-04-07,TMAX,24
KZ000035394,2006-11-28,TMIN,-215
KZ000035394,2014-10-21,TMAX,27
KZ000035394,2006-08-09,TMAX,177
KZ000035394,2015-11-26,TMIN,-41
KZ000035394,2006-07-21,TMIN,153
KZ000035394,2011-08-13,TMAX,284
KZ000035394,2006-10-31,TMIN,27
KZ000035394,2014-02-26,TMAX,-136
KZ000035394,2005-01-30,TMAX,-218
KZ000035394,2014-05-14,TMAX,265
KZ000035394,2006-07-21,TMAX,295
KZ000035394,2012-07-03,TMAX,235
KZ000035394,2013-04-24,TMAX,200
KZ000035394,2006-02-21,TMAX,-79
KZ000035394,2009-02-12,TMAX,-127
KZ000035394,2008-04-11,TMAX,196
KZ000035394,2015-04-06,TMAX,18
KZ000035394,2010-09-27,TMIN,60
KZ000035394,2005-08-16,TMAX,276
KZ000035394,2014-01-29,TMAX,-176
KZ000035394,2005-06-18,TMAX,247
KZ000035394,2014-01-15,TMIN,-85
KZ000035394,2007-01-27,TMAX,30
KZ000035394,2014-09-15,TMAX,215
KZ000035394,2013-06-12,TMAX,230
KZ000035394,2014-09-01,TMAX,260
KZ000035394,2005-06-18,TMIN,126
KZ000035394,2014-11-08,TMAX,20
KZ000035394,2006-09-06,TMIN,85
KZ000035394,2005-08-16,TMIN,125
KZ000035394,2005-10-01,TMAX,185
KZ000035394,2014-11-14,TMAX,-10
KZ000035394,2014-12-21,TMAX,-11
KZ000035394,2010-11-27,TMIN,-29
KZ000035394,2013-08-18,TMAX,229
KZ000035394,2015-08-09,TMAX,241
KZ000035394,2015-08-02,TMAX,301
KZ000035394,2010-12-31,TMAX,-246
KZ000035394,2011-10-30,TMAX,-17
KZ000035394,2005-02-03,TMIN,-272
KZ000035394,2005-02-03,TMAX,-160
KZ000035394,2008-12-09,TMAX,-20
KZ000035394,2006-06-11,TMAX,300
KZ000035394,2005-04-03,TMIN,-38
KZ000035394,2011-07-09,TMAX,291
KZ000035394,2012-04-23,TMAX,171
KZ000035394,2005-03-20,TMIN,-8
KZ000035394,2005-04-03,TMAX,-10
KZ000035394,2011-01-26,TMAX,-104
KZ000035394,2005-12-10,TMAX,-190
KZ000035394,2009-06-10,TMAX,295
KZ000035394,2011-10-30,TMIN,-54
KZ000035394,2008-12-17,TMAX,-59
KZ000035394,2005-11-20,TMAX,14
KZ000035394,2013-04-02,TMAX,23
KZ000035394,2014-05-08,TMAX,292
KZ000035394,2009-08-24,TMAX,292
KZ000035394,2006-10-10,TMAX,161
KZ000035394,2009-11-01,TMIN,40
KZ000035394,2006-06-28,TMIN,152
KZ000035394,2006-11-28,TMAX,-66
KZ000035394,2006-11-17,TMIN,10
KZ000035394,2006-06-28,TMAX,255
KZ000035394,2005-03-20,TMAX,56
KZ000035394,2011-01-26,TMIN,-260
KZ000035394,2011-09-28,TMAX,231
KZ000035394,2012-12-04,TMIN,-48
KZ000035394,2011-10-22,TMAX,130
KZ000035394,2015-09-04,TMAX,150
KZ000035394,2005-12-10,TMIN,-273
KZ000035394,2012-06-09,TMIN,75
KZ000035394,2005-05-16,TMIN,109
KZ000035394,2011-08-31,TMAX,262
KZ000035394,2013-06-30,TMAX,223
KZ000035394,2015-08-03,TMAX,322
KZ000035394,2005-10-03,TMAX,185
KZ000035394,2011-02-27,TMAX,-152
KZ000035394,2005-05-16,TMAX,199
KZ000035394,2005-04-13,TMAX,181
KZ000035394,2006-12-29,TMAX,-50
KZ000035394,2006-12-03,TMIN,-176
KZ000035394,2012-06-03,TMAX,323
KZ000035394,2013-10-18,TMAX,144
KZ000035394,2005-03-28,TMAX,33
KZ000035394,2013-02-09,TMAX,-123
KZ000035394,2014-04-02,TMAX,126
KZ000035394,2005-03-28,TMIN,-45
KZ000035394,2009-09-24,TMAX,182
KZ000035394,2009-11-03,TMIN,75
KZ000035394,2012-06-09,TMAX,180
KZ000035394,2005-10-01,TMIN,49
KZ000035394,2010-05-25,TMAX,251
KZ000035394,2015-06-17,TMAX,271
KZ000035394,2011-12-29,TMAX,-10
KZ000035394,2008-10-01,TMAX,164
KZ000035394,2006-05-01,TMIN,4
KZ000035394,2012-04-03,TMAX,115
KZ000035394,2008-09-25,TMAX,115
KZ000035394,2007-02-13,TMAX,-27
KZ000035394,2007-04-05,TMAX,125
KZ000035394,2007-02-09,TMAX,-22
KZ000035394,2012-10-01,TMIN,44
KZ000035394,2006-05-01,TMAX,80
KZ000035394,2009-11-28,TMAX,30
KZ000035394,2011-12-29,TMIN,-110
KZ000035394,2011-06-09,TMAX,280
KZ000035394,2015-04-11,TMAX,217
KZ000035394,2011-12-26,TMAX,-40
KZ000035394,2015-02-24,TMAX,-4
KZ000035394,2005-12-17,TMIN,-109
KZ000035394,2006-11-14,TMIN,-2
KZ000035394,2010-06-28,TMAX,213
KZ000035394,2010-02-12,TMAX,-240
KZ000035394,2005-01-18,TMIN,-155
KZ000035394,2005-01-18,TMAX,-64
KZ000035394,2006-11-02,TMIN,8
KZ000035394,2005-08-30,TMIN,95
KZ000035394,2006-12-02,TMAX,-124
KZ000035394,2006-09-02,TMAX,216
KZ000035394,2011-05-17,TMIN,80
KZ000035394,2006-01-14,TMIN,-191
KZ000035394,2012-03-23,TMAX,42
KZ000035394,2011-06-30,TMAX,255
KZ000035394,2007-12-31,TMAX,-153
KZ000035394,2009-02-18,TMAX,-65
KZ000035394,2015-05-29,TMAX,235
KZ000035394,2015-06-27,TMAX,253
KZ000035394,2006-11-14,TMAX,35
KZ000035394,2012-08-17,TMAX,292
KZ000035394,2014-02-13,TMAX,-153
KZ000035394,2005-01-30,TMIN,-291
KZ000035394,2008-09-07,TMAX,135
KZ000035394,2005-06-20,TMIN,88
KZ000035394,2008-12-07,TMAX,31
KZ000035394,2015-03-26,TMIN,-93
KZ000035394,2009-02-14,TMAX,-35
KZ000035394,2011-09-29,TMAX,150
KZ000035394,2006-01-14,TMAX,-95
KZ000035394,2007-03-25,TMIN,-32
KZ000035394,2006-09-06,TMAX,240
KZ000035394,2013-05-21,TMIN,39
KZ000035394,2005-08-30,TMAX,181
KZ000035394,2006-09-24,TMAX,195
KZ000035394,2005-09-19,TMIN,19
KZ000035394,2013-05-21,TMAX,147
KZ000035394,2008-05-22,TMAX,264
KZ000035394,2006-02-21,TMIN,-169
KZ000035394,2006-10-10,TMIN,7
KZ000035394,2015-11-09,TMIN,-72
KZ000035394,2007-06-21,TMAX,345
KZ000035394,2005-01-26,TMIN,-307
KZ000035394,2005-11-20,TMIN,-77
KZ000035394,2011-08-01,TMAX,278
KZ000035394,2006-11-02,TMAX,82
KZ000035394,2008-10-30,TMAX,110
KZ000035394,2005-04-13,TMIN,30
KZ000035394,2013-10-03,TMAX,137
KZ000035394,2013-01-24,TMIN,-12
KZ000035394,2005-12-17,TMAX,-28
KZ000035394,2013-02-18,TMAX,-75
KZ000035394,2012-08-16,TMAX,242
KZ000035394,2015-10-03,TMAX,130
KZ000035394,2005-01-26,TMAX,-228
KZ000035394,2010-10-30,TMAX,160
KZ000035394,2006-05-19,TMIN,83
KZ000035394,2010-05-13,TMAX,111
