ID,Date,Element,Data_Value
ASN00013007,2010-12-12,TMIN,228
ASN00013007,2010-12-12,TMAX,381
ASN00013007,2012-03-07,TMAX,340
ASN00013007,2013-03-08,TMIN,273
ASN00013007,2010-03-04,TMAX,382
ASN00013007,2012-07-04,TMAX,204
ASN00013007,2011-12-22,TMAX,375
ASN00013007,2010-08-22,TMAX,339
ASN00013007,2014-03-12,TMIN,245
ASN00013007,2013-08-10,TMIN,162
ASN00013007,2007-07-22,TMAX,249
ASN00013007,2013-03-08,TMAX,406
ASN00013007,2009-09-16,TMAX,360
ASN00013007,2010-11-01,TMIN,192
ASN00013007,2015-08-17,TMAX,288
ASN00013007,2012-07-04,TMIN,67
ASN00013007,2009-10-17,TMIN,247
ASN00013007,2014-03-12,TMAX,380
ASN00013007,2007-07-22,TMIN,93
ASN00013007,2008-12-03,TMIN,264
ASN00013007,2011-01-09,TMAX,361
ASN00013007,2009-12-14,TMIN,260
ASN00013007,2005-08-05,TMAX,275
ASN00013007,2014-04-04,TMAX,384
ASN00013007,2014-04-04,TMIN,244
ASN00013007,2009-04-11,TMIN,222
ASN00013007,2012-11-12,TMIN,240
ASN00013007,2009-04-11,TMAX,356
ASN00013007,2006-04-24,TMIN,169
ASN00013007,2008-05-24,TMAX,290
ASN00013007,2007-05-12,TMAX,299
ASN00013007,2012-03-23,TMIN,232
ASN00013007,2015-05-13,TMIN,164
ASN00013007,2014-05-11,TMAX,349
ASN00013007,2007-08-04,TMIN,128
ASN00013007,2010-04-27,TMIN,240
ASN00013007,2010-04-27,TMAX,335
ASN00013007,2005-04-19,TMAX,394
ASN00013007,2010-03-24,TMAX,357
ASN00013007,2010-12-11,TMAX,335
ASN00013007,2012-03-23,TMAX,350
ASN00013007,2005-03-11,TMAX,409
ASN00013007,2007-01-09,TMAX,385
ASN00013007,2014-03-29,TMAX,364
ASN00013007,2011-03-19,TMIN,223
ASN00013007,2006-05-29,TMAX,234
ASN00013007,2014-09-30,TMIN,198
ASN00013007,2006-05-29,TMIN,97
ASN00013007,2015-11-17,TMAX,408
ASN00013007,2010-04-12,TMIN,188
ASN00013007,2008-12-04,TMAX,419
ASN00013007,2012-10-29,TMAX,355
ASN00013007,2010-04-12,TMAX,315
ASN00013007,2011-01-09,TMIN,234
ASN00013007,2007-08-04,TMAX,253
ASN00013007,2005-08-05,TMIN,133
ASN00013007,2009-11-19,TMIN,266
ASN00013007,2011-03-19,TMAX,332
ASN00013007,2014-09-18,TMAX,369
ASN00013007,2011-02-08,TMIN,223
ASN00013007,2014-09-30,TMAX,396
ASN00013007,2008-11-27,TMAX,400
ASN00013007,2010-12-07,TMIN,278
ASN00013007,2009-10-17,TMAX,351
ASN00013007,2015-12-08,TMIN,252
ASN00013007,2010-12-07,TMAX,416
ASN00013007,2012-02-10,TMIN,238
ASN00013007,2009-03-11,TMIN,234
ASN00013007,2007-03-07,TMIN,262
ASN00013007,2007-03-07,TMAX,366
ASN00013007,2009-12-30,TMIN,256
ASN00013007,2009-12-30,TMAX,426
ASN00013007,2011-02-28,TMAX,347
ASN00013007,2008-01-02,TMAX,412
ASN00013007,2009-03-18,TMAX,377
ASN00013007,2009-03-18,TMIN,229
ASN00013007,2008-11-27,TMIN,273
ASN00013007,2014-07-02,TMIN,70
ASN00013007,2010-03-21,TMAX,365
ASN00013007,2006-05-13,TMIN,138
ASN00013007,2009-02-06,TMAX,399
ASN00013007,2005-01-10,TMAX,414
ASN00013007,2014-07-02,TMAX,227
ASN00013007,2010-10-01,TMIN,195
ASN00013007,2012-01-25,TMAX,386
ASN00013007,2006-11-18,TMIN,228
ASN00013007,2005-05-13,TMAX,341
ASN00013007,2012-01-17,TMIN,261
ASN00013007,2005-08-17,TMAX,314
ASN00013007,2007-10-01,TMAX,350
ASN00013007,2009-07-21,TMAX,300
ASN00013007,2009-03-17,TMAX,382
ASN00013007,2007-01-09,TMIN,255
ASN00013007,2009-03-11,TMAX,385
ASN00013007,2006-05-13,TMAX,284
ASN00013007,2010-05-12,TMIN,155
ASN00013007,2005-04-08,TMIN,233
ASN00013007,2005-02-21,TMIN,219
ASN00013007,2010-01-22,TMIN,260
ASN00013007,2009-07-21,TMIN,167
ASN00013007,2014-03-29,TMIN,204
ASN00013007,2013-05-19,TMIN,175
ASN00013007,2010-01-22,TMAX,395
ASN00013007,2010-11-01,TMAX,316
ASN00013007,2015-09-23,TMIN,172
ASN00013007,2009-09-24,TMIN,153
ASN00013007,2013-11-30,TMAX,400
ASN00013007,2009-09-24,TMAX,349
ASN00013007,2013-08-10,TMAX,330
ASN00013007,2005-04-19,TMIN,234
ASN00013007,2013-05-19,TMAX,306
ASN00013007,2011-06-21,TMAX,247
ASN00013007,2009-06-28,TMAX,305
ASN00013007,2006-07-17,TMIN,77
ASN00013007,2010-03-24,TMIN,258
ASN00013007,2005-01-05,TMAX,383
ASN00013007,2013-02-18,TMAX,389
ASN00013007,2015-09-23,TMAX,314
ASN00013007,2013-11-30,TMIN,284
ASN00013007,2012-09-06,TMAX,340
ASN00013007,2012-03-07,TMIN,245
ASN00013007,2011-06-21,TMIN,107
ASN00013007,2011-10-16,TMIN,217
ASN00013007,2005-08-17,TMIN,132
ASN00013007,2015-04-30,TMIN,135
ASN00013007,2006-11-09,TMIN,240
ASN00013007,2010-09-17,TMIN,147
ASN00013007,2008-01-02,TMIN,252
ASN00013007,2009-03-17,TMIN,246
ASN00013007,2005-05-12,TMAX,329
ASN00013007,2005-05-12,TMIN,185
ASN00013007,2013-02-18,TMIN,244
ASN00013007,2015-11-17,TMIN,230
ASN00013007,2009-09-16,TMIN,257
ASN00013007,2012-11-12,TMAX,402
ASN00013007,2012-01-17,TMAX,385
ASN00013007,2014-06-03,TMIN,146
ASN00013007,2009-11-19,TMAX,375
ASN00013007,2013-11-01,TMAX,377
ASN00013007,2014-09-18,TMIN,186
ASN00013007,2010-12-04,TMIN,245
ASN00013007,2011-10-06,TMAX,380
ASN00013007,2013-02-03,TMAX,406
ASN00013007,2009-03-15,TMAX,380
ASN00013007,2011-02-05,TMIN,264
ASN00013007,2010-06-20,TMIN,128
ASN00013007,2015-07-23,TMAX,321
ASN00013007,2008-12-04,TMIN,290
ASN00013007,2005-08-21,TMAX,305
ASN00013007,2006-11-10,TMAX,436
ASN00013007,2013-06-24,TMIN,111
ASN00013007,2010-05-09,TMAX,286
ASN00013007,2006-03-30,TMIN,221
ASN00013007,2013-03-22,TMIN,243
ASN00013007,2006-03-30,TMAX,353
ASN00013007,2010-11-08,TMIN,232
ASN00013007,2011-10-06,TMIN,214
ASN00013007,2007-06-27,TMIN,86
ASN00013007,2007-09-06,TMAX,328
ASN00013007,2010-12-04,TMAX,380
ASN00013007,2010-01-23,TMAX,396
ASN00013007,2005-05-25,TMAX,320
ASN00013007,2007-09-06,TMIN,164
ASN00013007,2007-05-12,TMIN,157
ASN00013007,2011-10-22,TMAX,291
ASN00013007,2011-10-22,TMIN,184
ASN00013007,2015-10-18,TMIN,235
ASN00013007,2010-05-09,TMIN,132
ASN00013007,2013-02-03,TMIN,249
ASN00013007,2015-12-05,TMIN,293
ASN00013007,2014-12-31,TMAX,376
ASN00013007,2007-02-27,TMIN,269
ASN00013007,2010-10-21,TMAX,355
ASN00013007,2010-01-23,TMIN,270
ASN00013007,2006-06-25,TMIN,105
ASN00013007,2015-05-05,TMAX,335
ASN00013007,2009-01-07,TMAX,419
ASN00013007,2008-12-22,TMAX,366
ASN00013007,2014-11-08,TMAX,400
ASN00013007,2008-10-30,TMAX,395
ASN00013007,2005-10-29,TMAX,411
ASN00013007,2015-06-29,TMIN,119
ASN00013007,2008-12-22,TMIN,276
ASN00013007,2005-08-21,TMIN,154
ASN00013007,2006-10-20,TMAX,395
ASN00013007,2005-01-29,TMIN,226
ASN00013007,2010-07-05,TMIN,119
ASN00013007,2006-11-27,TMIN,241
ASN00013007,2011-04-08,TMIN,209
ASN00013007,2005-01-29,TMAX,390
ASN00013007,2006-05-18,TMIN,143
ASN00013007,2011-12-21,TMAX,407
ASN00013007,2007-06-27,TMAX,212
ASN00013007,2008-11-15,TMAX,397
ASN00013007,2008-11-15,TMIN,297
ASN00013007,2005-03-20,TMAX,394
ASN00013007,2011-12-21,TMIN,261
ASN00013007,2007-03-11,TMAX,285
ASN00013007,2014-07-29,TMAX,299
ASN00013007,2011-04-08,TMAX,340
ASN00013007,2010-12-11,TMIN,210
ASN00013007,2015-08-18,TMAX,290
ASN00013007,2014-01-01,TMAX,406
ASN00013007,2006-11-10,TMIN,258
ASN00013007,2005-01-05,TMIN,263
ASN00013007,2010-06-20,TMAX,235
ASN00013007,2007-02-06,TMIN,250
ASN00013007,2007-02-27,TMAX,409
ASN00013007,2015-08-28,TMIN,173
ASN00013007,2015-08-18,TMIN,169
ASN00013007,2014-01-01,TMIN,252
ASN00013007,2005-05-13,TMIN,183
ASN00013007,2013-05-05,TMIN,217
ASN00013007,2014-11-08,TMIN,262
ASN00013007,2013-05-05,TMAX,355
ASN00013007,2014-07-29,TMIN,159
ASN00013007,2015-08-28,TMAX,307
ASN00013007,2010-02-04,TMIN,200
ASN00013007,2010-09-12,TMAX,339
ASN00013007,2015-07-23,TMIN,142
ASN00013007,2009-01-07,TMIN,262
ASN00013007,2013-11-01,TMIN,263
ASN00013007,2006-04-24,TMAX,322
ASN00013007,2010-05-05,TMIN,196
ASN00013007,2008-08-18,TMAX,220
ASN00013007,2010-05-05,TMAX,329
ASN00013007,2010-08-12,TMIN,97
ASN00013007,2011-12-31,TMIN,229
ASN00013007,2009-08-22,TMIN,219
ASN00013007,2011-12-31,TMAX,372
ASN00013007,2005-03-11,TMIN,244
ASN00013007,2013-12-01,TMAX,395
ASN00013007,2011-12-22,TMIN,219
ASN00013007,2008-07-08,TMIN,119
ASN00013007,2011-09-09,TMIN,128
ASN00013007,2011-09-09,TMAX,260
ASN00013007,2013-10-10,TMIN,288
ASN00013007,2013-12-01,TMIN,284
ASN00013007,2007-12-17,TMIN,248
ASN00013007,2009-08-22,TMAX,363
ASN00013007,2007-09-15,TMIN,213
ASN00013007,2011-10-16,TMAX,364
ASN00013007,2010-09-12,TMIN,202
ASN00013007,2010-02-02,TMAX,412
ASN00013007,2010-03-04,TMIN,212
ASN00013007,2005-12-08,TMAX,418
ASN00013007,2010-08-12,TMAX,257
ASN00013007,2005-12-08,TMIN,274
ASN00013007,2007-12-17,TMAX,369
ASN00013007,2008-11-04,TMIN,257
ASN00013007,2013-10-10,TMAX,412
ASN00013007,2012-09-06,TMIN,185
ASN00013007,2006-12-27,TMIN,240
ASN00013007,2009-03-15,TMIN,223
ASN00013007,2007-09-15,TMAX,362
ASN00013007,2007-01-14,TMAX,357
ASN00013007,2012-10-29,TMIN,223
ASN00013007,2006-04-12,TMAX,370
ASN00013007,2006-04-12,TMIN,215
ASN00013007,2009-01-11,TMIN,288
ASN00013007,2005-07-24,TMAX,291
ASN00013007,2005-08-23,TMAX,300
ASN00013007,2009-05-07,TMIN,161
ASN00013007,2014-12-31,TMIN,226
ASN00013007,2005-08-23,TMIN,176
ASN00013007,2007-09-30,TMIN,181
ASN00013007,2006-09-26,TMIN,161
ASN00013007,2008-10-22,TMIN,227
ASN00013007,2008-10-22,TMAX,382
ASN00013007,2008-08-26,TMIN,158
ASN00013007,2015-10-18,TMAX,404
ASN00013007,2007-01-27,TMIN,264
ASN00013007,2012-04-21,TMIN,218
ASN00013007,2007-01-27,TMAX,374
ASN00013007,2012-08-27,TMAX,331
ASN00013007,2012-04-21,TMAX,364
ASN00013007,2005-07-08,TMAX,243
ASN00013007,2008-08-26,TMAX,325
ASN00013007,2009-03-20,TMAX,393
ASN00013007,2015-05-22,TMAX,266
ASN00013007,2014-07-01,TMIN,82
ASN00013007,2009-01-11,TMAX,432
ASN00013007,2007-09-30,TMAX,344
ASN00013007,2009-11-24,TMAX,321
ASN00013007,2009-11-24,TMIN,205
ASN00013007,2009-05-07,TMAX,288
ASN00013007,2006-07-03,TMIN,104
ASN00013007,2008-11-04,TMAX,380
ASN00013007,2006-09-26,TMAX,355
ASN00013007,2007-07-04,TMAX,255
ASN00013007,2007-07-04,TMIN,152
ASN00013007,2006-07-03,TMAX,257
ASN00013007,2012-08-27,TMIN,180
ASN00013007,2014-07-01,TMAX,217
ASN00013007,2012-01-31,TMIN,260
ASN00013007,2015-05-22,TMIN,174
ASN00013007,2012-01-31,TMAX,404
ASN00013007,2009-03-20,TMIN,209
ASN00013007,2010-02-04,TMAX,366
ASN00013007,2008-02-18,TMAX,353
ASN00013007,2009-01-12,TMAX,416
ASN00013007,2012-05-19,TMAX,277
ASN00013007,2013-11-05,TMIN,248
ASN00013007,2006-10-07,TMAX,376
ASN00013007,2014-08-05,TMIN,84
ASN00013007,2006-03-07,TMIN,235
ASN00013007,2010-04-11,TMIN,221
ASN00013007,2012-06-15,TMAX,292
ASN00013007,2013-08-20,TMAX,351
ASN00013007,2015-10-11,TMIN,225
ASN00013007,2012-06-15,TMIN,171
ASN00013007,2007-10-01,TMIN,196
ASN00013007,2005-07-14,TMIN,173
ASN00013007,2009-12-02,TMIN,258
ASN00013007,2013-02-14,TMAX,360
ASN00013007,2011-04-07,TMIN,193
ASN00013007,2007-02-08,TMAX,420
ASN00013007,2006-02-17,TMAX,417
ASN00013007,2005-07-14,TMAX,244
ASN00013007,2009-12-02,TMAX,420
ASN00013007,2012-03-27,TMAX,359
ASN00013007,2010-01-15,TMIN,257
ASN00013007,2012-03-27,TMIN,226
ASN00013007,2013-06-11,TMAX,294
ASN00013007,2015-07-28,TMIN,141
ASN00013007,2011-02-13,TMIN,230
ASN00013007,2013-06-11,TMIN,165
ASN00013007,2005-07-26,TMAX,262
ASN00013007,2007-05-13,TMAX,313
ASN00013007,2005-05-19,TMIN,144
ASN00013007,2010-04-11,TMAX,281
ASN00013007,2013-11-23,TMAX,369
ASN00013007,2013-11-23,TMIN,245
ASN00013007,2008-02-24,TMAX,351
ASN00013007,2007-02-08,TMIN,259
ASN00013007,2009-06-08,TMAX,259
ASN00013007,2006-10-07,TMIN,182
ASN00013007,2013-10-19,TMIN,254
ASN00013007,2005-07-26,TMIN,120
ASN00013007,2013-02-05,TMAX,420
ASN00013007,2010-02-10,TMIN,267
ASN00013007,2015-04-30,TMAX,285
ASN00013007,2015-04-03,TMIN,235
ASN00013007,2015-09-25,TMAX,309
ASN00013007,2011-07-04,TMIN,140
ASN00013007,2011-11-21,TMIN,200
ASN00013007,2015-10-11,TMAX,384
ASN00013007,2007-05-24,TMIN,152
ASN00013007,2014-06-25,TMAX,256
ASN00013007,2015-03-26,TMAX,354
ASN00013007,2013-11-08,TMAX,435
ASN00013007,2007-05-24,TMAX,282
ASN00013007,2006-05-18,TMAX,297
ASN00013007,2005-12-16,TMAX,330
ASN00013007,2005-12-16,TMIN,224
ASN00013007,2005-12-21,TMAX,405
ASN00013007,2013-08-06,TMIN,124
ASN00013007,2009-10-09,TMIN,215
ASN00013007,2011-02-28,TMIN,237
ASN00013007,2013-08-06,TMAX,287
ASN00013007,2015-04-03,TMAX,388
ASN00013007,2011-01-16,TMAX,405
ASN00013007,2011-01-16,TMIN,272
ASN00013007,2007-10-18,TMIN,228
ASN00013007,2014-06-25,TMIN,119
ASN00013007,2009-08-21,TMIN,183
ASN00013007,2007-05-18,TMAX,275
ASN00013007,2011-04-12,TMIN,190
ASN00013007,2010-01-15,TMAX,393
ASN00013007,2015-09-25,TMIN,146
ASN00013007,2009-08-21,TMAX,361
ASN00013007,2011-04-07,TMAX,320
ASN00013007,2007-08-14,TMIN,162
ASN00013007,2011-04-12,TMAX,331
ASN00013007,2006-02-17,TMIN,260
ASN00013007,2014-08-05,TMAX,210
ASN00013007,2012-12-16,TMIN,235
ASN00013007,2007-08-14,TMAX,321
ASN00013007,2007-05-18,TMIN,155
ASN00013007,2013-02-05,TMIN,274
ASN00013007,2008-08-30,TMIN,190
ASN00013007,2011-02-13,TMAX,350
ASN00013007,2006-04-03,TMIN,210
ASN00013007,2005-03-04,TMAX,419
ASN00013007,2014-03-27,TMIN,187
ASN00013007,2005-10-30,TMIN,298
ASN00013007,2014-02-24,TMAX,340
ASN00013007,2013-02-21,TMIN,266
ASN00013007,2011-06-23,TMIN,105
ASN00013007,2005-05-05,TMIN,186
ASN00013007,2014-04-28,TMAX,359
ASN00013007,2010-10-24,TMIN,253
ASN00013007,2008-10-21,TMAX,380
ASN00013007,2006-06-18,TMAX,252
ASN00013007,2013-11-05,TMAX,410
ASN00013007,2006-09-01,TMAX,307
ASN00013007,2011-09-27,TMIN,215
ASN00013007,2007-10-24,TMAX,363
ASN00013007,2008-10-21,TMIN,242
ASN00013007,2012-07-18,TMAX,271
ASN00013007,2010-10-26,TMIN,197
ASN00013007,2010-08-20,TMIN,167
ASN00013007,2010-07-14,TMAX,256
ASN00013007,2010-07-14,TMIN,127
ASN00013007,2011-06-23,TMAX,230
ASN00013007,2009-05-28,TMIN,162
ASN00013007,2007-04-28,TMIN,195
ASN00013007,2014-03-27,TMAX,349
ASN00013007,2006-09-01,TMIN,150
ASN00013007,2014-02-24,TMIN,246
ASN00013007,2014-03-25,TMAX,365
ASN00013007,2014-03-25,TMIN,244
ASN00013007,2011-10-15,TMAX,375
ASN00013007,2011-09-27,TMAX,380
ASN00013007,2005-02-11,TMAX,412
ASN00013007,2011-09-26,TMIN,220
ASN00013007,2010-10-26,TMAX,329
ASN00013007,2010-03-15,TMIN,200
ASN00013007,2012-08-26,TMAX,331
ASN00013007,2014-08-28,TMAX,290
ASN00013007,2006-06-18,TMIN,123
ASN00013007,2013-09-28,TMIN,243
ASN00013007,2006-03-08,TMIN,255
ASN00013007,2009-02-08,TMIN,256
ASN00013007,2008-02-24,TMIN,250
ASN00013007,2015-07-28,TMAX,266
ASN00013007,2009-04-07,TMIN,194
ASN00013007,2005-04-27,TMIN,203
ASN00013007,2007-03-27,TMIN,229
ASN00013007,2014-09-07,TMAX,365
ASN00013007,2009-02-08,TMAX,406
ASN00013007,2008-08-30,TMAX,319
ASN00013007,2013-05-04,TMAX,362
