ID,Date,Element,Data_Value
CA00840KE88,2006-02-27,TMAX,-50
CA00840KE88,2005-09-24,TMAX,130
CA00840KE88,2008-05-30,TMIN,45
CA00840KE88,2005-03-31,TMAX,-15
CA00840KE88,2005-09-07,TMAX,240
CA00840KE88,2008-06-30,TMAX,145
CA00840KE88,2005-02-25,TMIN,-60
CA00840KE88,2005-09-24,TMIN,65
CA00840KE88,2011-06-04,TMAX,130
CA00840KE88,2005-06-03,TMIN,90
CA00840KE88,2005-08-06,TMIN,120
CA00840KE88,2008-12-06,TMAX,40
CA00840KE88,2008-07-07,TMAX,280
CA00840KE88,2006-03-19,TMAX,30
CA00840KE88,2008-05-30,TMAX,115
CA00840KE88,2008-06-20,TMAX,160
CA00840KE88,2005-04-16,TMAX,70
CA00840KE88,2005-06-29,TMAX,100
CA00840KE88,2008-06-20,TMIN,50
CA00840KE88,2005-06-19,TMIN,55
CA00840KE88,2006-05-03,TMIN,30
CA00840KE88,2005-07-18,TMIN,110
CA00840KE88,2006-02-08,TMAX,0
CA00840KE88,2005-08-11,TMAX,170
CA00840KE88,2006-05-03,TMAX,180
CA00840KE88,2005-09-07,TMIN,110
CA00840KE88,2005-03-31,TMIN,-40
CA00840KE88,2006-02-27,TMIN,-120
CA00840KE88,2005-05-08,TMAX,130
CA00840KE88,2005-04-16,TMIN,-100
CA00840KE88,2005-01-25,TMIN,-80
CA00840KE88,2008-07-12,TMIN,100
CA00840KE88,2008-11-06,TMIN,40
CA00840KE88,2008-07-03,TMAX,195
CA00840KE88,2005-08-24,TMAX,130
CA00840KE88,2005-10-28,TMAX,50
CA00840KE88,2008-11-25,TMIN,-75
CA00840KE88,2006-02-08,TMIN,-85
CA00840KE88,2011-06-28,TMIN,70
CA00840KE88,2011-06-28,TMAX,105
CA00840KE88,2008-08-03,TMIN,100
CA00840KE88,2005-04-30,TMAX,75
CA00840KE88,2005-08-11,TMIN,125
CA00840KE88,2006-01-30,TMAX,-50
CA00840KE88,2006-06-16,TMIN,70
CA00840KE88,2005-08-13,TMAX,200
CA00840KE88,2005-08-05,TMIN,100
CA00840KE88,2005-09-30,TMIN,100
CA00840KE88,2005-10-02,TMIN,70
CA00840KE88,2006-06-13,TMAX,160
CA00840KE88,2008-11-25,TMAX,-15
CA00840KE88,2008-09-15,TMAX,230
CA00840KE88,2008-05-24,TMIN,15
CA00840KE88,2008-10-12,TMIN,-30
CA00840KE88,2008-10-01,TMAX,145
CA00840KE88,2008-08-03,TMAX,190
CA00840KE88,2008-10-03,TMIN,70
CA00840KE88,2008-10-03,TMAX,150
CA00840KE88,2005-08-06,TMAX,225
CA00840KE88,2008-10-01,TMIN,90
CA00840KE88,2006-04-05,TMAX,55
CA00840KE88,2008-07-16,TMIN,150
CA00840KE88,2008-10-12,TMAX,135
CA00840KE88,2006-06-16,TMAX,150
CA00840KE88,2005-08-13,TMIN,80
CA00840KE88,2005-03-06,TMIN,-160
CA00840KE88,2005-07-07,TMAX,260
CA00840KE88,2006-03-19,TMIN,-50
CA00840KE88,2008-12-22,TMAX,-40
CA00840KE88,2005-08-24,TMIN,100
CA00840KE88,2005-01-10,TMIN,-215
CA00840KE88,2006-01-21,TMIN,-80
CA00840KE88,2008-07-22,TMAX,205
CA00840KE88,2005-10-28,TMIN,-30
CA00840KE88,2006-01-21,TMAX,-20
CA00840KE88,2008-09-15,TMIN,130
CA00840KE88,2005-11-06,TMAX,20
CA00840KE88,2005-01-25,TMAX,-55
CA00840KE88,2005-11-14,TMIN,-5
CA00840KE88,2011-05-16,TMIN,-5
CA00840KE88,2005-11-17,TMAX,105
CA00840KE88,2005-04-28,TMIN,0
CA00840KE88,2006-01-30,TMIN,-60
CA00840KE88,2006-06-10,TMIN,100
CA00840KE88,2005-07-18,TMAX,265
CA00840KE88,2008-09-18,TMIN,80
CA00840KE88,2006-06-10,TMAX,230
CA00840KE88,2005-01-29,TMIN,-260
CA00840KE88,2011-05-16,TMAX,100
CA00840KE88,2005-11-06,TMIN,-80
CA00840KE88,2005-07-07,TMIN,45
CA00840KE88,2005-11-14,TMAX,50
CA00840KE88,2005-01-10,TMAX,-50
CA00840KE88,2005-04-30,TMIN,0
CA00840KE88,2006-04-05,TMIN,0
CA00840KE88,2008-08-21,TMAX,160
CA00840KE88,2005-08-05,TMAX,180
CA00840KE88,2008-08-21,TMIN,90
CA00840KE88,2005-06-03,TMAX,220
CA00840KE88,2008-07-16,TMAX,280
CA00840KE88,2005-01-29,TMAX,-120
CA00840KE88,2005-10-02,TMAX,120
CA00840KE88,2005-05-14,TMAX,80
CA00840KE88,2005-09-29,TMIN,50
CA00840KE88,2005-05-21,TMAX,60
CA00840KE88,2008-10-02,TMAX,150
CA00840KE88,2005-11-27,TMIN,-20
CA00840KE88,2006-06-26,TMAX,235
CA00840KE88,2008-06-08,TMAX,180
CA00840KE88,2005-08-10,TMIN,180
CA00840KE88,2005-08-10,TMAX,255
CA00840KE88,2005-10-17,TMIN,50
CA00840KE88,2005-08-04,TMIN,110
CA00840KE88,2005-02-07,TMIN,-185
CA00840KE88,2008-09-21,TMIN,40
CA00840KE88,2005-05-15,TMAX,50
CA00840KE88,2005-05-01,TMAX,120
CA00840KE88,2008-06-27,TMIN,70
CA00840KE88,2008-06-08,TMIN,40
CA00840KE88,2005-05-01,TMIN,-35
CA00840KE88,2005-01-14,TMIN,-120
CA00840KE88,2005-05-30,TMIN,60
CA00840KE88,2008-09-16,TMAX,200
CA00840KE88,2005-05-15,TMIN,50
CA00840KE88,2008-05-14,TMAX,70
CA00840KE88,2008-10-02,TMIN,45
CA00840KE88,2008-09-16,TMIN,80
CA00840KE88,2005-07-31,TMIN,100
CA00840KE88,2005-08-01,TMIN,90
CA00840KE88,2011-06-15,TMAX,135
CA00840KE88,2008-05-15,TMAX,60
CA00840KE88,2005-05-06,TMAX,145
CA00840KE88,2005-02-11,TMIN,-150
CA00840KE88,2005-05-06,TMIN,-20
CA00840KE88,2008-06-02,TMAX,60
CA00840KE88,2005-11-07,TMIN,-85
CA00840KE88,2006-03-09,TMAX,-20
CA00840KE88,2005-07-31,TMAX,200
CA00840KE88,2011-05-14,TMAX,100
CA00840KE88,2005-09-04,TMAX,175
CA00840KE88,2006-05-04,TMIN,40
CA00840KE88,2008-10-25,TMIN,-15
CA00840KE88,2005-09-27,TMIN,70
CA00840KE88,2005-05-14,TMIN,20
CA00840KE88,2005-09-27,TMAX,95
CA00840KE88,2008-09-18,TMAX,120
CA00840KE88,2005-07-20,TMAX,275
CA00840KE88,2006-05-04,TMAX,220
CA00840KE88,2005-05-21,TMIN,45
CA00840KE88,2006-06-26,TMIN,130
CA00840KE88,2005-12-31,TMAX,-10
CA00840KE88,2005-08-04,TMAX,130
CA00840KE88,2005-07-20,TMIN,175
CA00840KE88,2005-11-07,TMAX,15
CA00840KE88,2008-10-09,TMAX,105
CA00840KE88,2008-08-25,TMIN,185
CA00840KE88,2005-12-31,TMIN,-25
CA00840KE88,2006-06-07,TMAX,85
CA00840KE88,2011-06-24,TMIN,50
CA00840KE88,2011-06-24,TMAX,105
CA00840KE88,2008-05-24,TMAX,60
CA00840KE88,2008-08-25,TMAX,250
CA00840KE88,2008-12-18,TMAX,-50
CA00840KE88,2006-03-18,TMIN,-150
CA00840KE88,2006-04-26,TMIN,50
CA00840KE88,2006-04-30,TMAX,105
CA00840KE88,2005-06-30,TMIN,5
CA00840KE88,2008-11-17,TMAX,110
CA00840KE88,2008-06-17,TMIN,55
CA00840KE88,2006-01-11,TMIN,-115
CA00840KE88,2006-05-06,TMIN,60
CA00840KE88,2006-04-30,TMIN,-10
CA00840KE88,2005-06-30,TMAX,195
CA00840KE88,2006-06-01,TMIN,40
CA00840KE88,2006-01-11,TMAX,-95
CA00840KE88,2006-05-06,TMAX,165
CA00840KE88,2008-09-07,TMAX,150
CA00840KE88,2005-01-14,TMAX,90
CA00840KE88,2006-04-26,TMAX,50
CA00840KE88,2008-09-07,TMIN,120
CA00840KE88,2008-05-07,TMIN,-10
CA00840KE88,2008-11-17,TMIN,90
CA00840KE88,2008-08-18,TMIN,140
CA00840KE88,2008-11-15,TMIN,-25
CA00840KE88,2008-05-07,TMAX,60
CA00840KE88,2008-05-23,TMIN,30
CA00840KE88,2008-05-23,TMAX,140
CA00840KE88,2005-01-12,TMIN,-155
CA00840KE88,2008-08-18,TMAX,215
CA00840KE88,2005-12-10,TMIN,-50
CA00840KE88,2008-09-21,TMAX,140
CA00840KE88,2008-06-17,TMAX,100
CA00840KE88,2006-03-18,TMAX,20
CA00840KE88,2008-11-15,TMAX,60
CA00840KE88,2005-10-17,TMAX,85
CA00840KE88,2005-01-12,TMAX,-130
CA00840KE88,2005-08-01,TMAX,230
CA00840KE88,2005-05-30,TMAX,160
CA00840KE88,2006-06-07,TMIN,20
CA00840KE88,2005-12-19,TMAX,-40
CA00840KE88,2008-10-09,TMIN,-10
CA00840KE88,2008-12-18,TMIN,-110
CA00840KE88,2005-02-11,TMAX,30
CA00840KE88,2011-05-14,TMIN,-10
CA00840KE88,2005-12-02,TMAX,20
CA00840KE88,2005-03-30,TMIN,-35
CA00840KE88,2006-03-29,TMIN,-55
CA00840KE88,2006-03-06,TMIN,-30
CA00840KE88,2008-10-25,TMAX,70
CA00840KE88,2006-04-27,TMAX,90
CA00840KE88,2006-03-29,TMAX,20
CA00840KE88,2005-01-02,TMIN,-220
CA00840KE88,2006-04-27,TMIN,-20
CA00840KE88,2006-03-06,TMAX,20
CA00840KE88,2006-03-13,TMAX,15
CA00840KE88,2008-05-14,TMIN,-45
CA00840KE88,2006-06-28,TMIN,150
CA00840KE88,2005-10-10,TMAX,105
