ID,Date,Element,Data_Value
RSM00025062,2008-11-14,TMAX,-149
RSM00025062,2013-08-27,TMAX,16
RSM00025062,2014-01-03,TMAX,-160
RSM00025062,2011-08-09,TMIN,4
RSM00025062,2008-05-09,TMIN,-72
RSM00025062,2007-12-23,TMIN,-224
RSM00025062,2006-08-26,TMIN,-2
RSM00025062,2009-05-21,TMAX,11
RSM00025062,2009-10-27,TMAX,-68
RSM00025062,2009-10-27,TMIN,-106
RSM00025062,2011-11-04,TMAX,-110
RSM00025062,2007-03-15,TMIN,-332
RSM00025062,2006-08-22,TMIN,-3
RSM00025062,2007-12-23,TMAX,-185
RSM00025062,2014-05-07,TMAX,-66
RSM00025062,2005-09-05,TMAX,45
RSM00025062,2010-07-29,TMAX,23
RSM00025062,2011-11-11,TMIN,-196
RSM00025062,2008-05-04,TMIN,-158
RSM00025062,2007-12-17,TMIN,-292
RSM00025062,2015-12-06,TMIN,-216
RSM00025062,2007-03-23,TMAX,-190
RSM00025062,2009-04-16,TMIN,-166
RSM00025062,2005-06-13,TMIN,-25
RSM00025062,2015-09-12,TMIN,26
RSM00025062,2014-04-17,TMIN,-224
RSM00025062,2007-03-15,TMAX,-252
RSM00025062,2009-10-23,TMAX,-30
RSM00025062,2015-10-28,TMAX,-36
RSM00025062,2013-04-05,TMIN,-229
RSM00025062,2007-07-18,TMAX,184
RSM00025062,2014-05-04,TMAX,-52
RSM00025062,2015-03-31,TMIN,-265
RSM00025062,2013-04-09,TMIN,-293
RSM00025062,2008-07-15,TMAX,25
RSM00025062,2014-10-18,TMAX,-44
RSM00025062,2013-08-12,TMIN,-14
RSM00025062,2008-07-15,TMIN,1
RSM00025062,2007-12-01,TMIN,-25
RSM00025062,2012-02-25,TMAX,-368
RSM00025062,2011-06-23,TMAX,37
RSM00025062,2013-04-09,TMAX,-176
RSM00025062,2012-01-25,TMIN,-230
RSM00025062,2011-08-09,TMAX,16
RSM00025062,2009-12-06,TMAX,-144
