ID,Date,Element,Data_Value
GMM00010321,2009-02-11,TMIN,-42
GMM00010321,2013-05-04,TMIN,52
GMM00010321,2008-10-01,TMIN,0
GMM00010321,2013-05-11,TMIN,63
GMM00010321,2009-10-30,TMIN,0
GMM00010321,2008-02-25,TMIN,0
GMM00010321,2009-03-05,TMIN,0
GMM00010321,2009-06-04,TMIN,0
GMM00010321,2009-09-29,TMIN,0
GMM00010321,2007-10-11,TMIN,-14
GMM00010321,2013-05-11,TMAX,161
GMM00010321,2007-09-02,TMIN,0
GMM00010321,2009-04-29,TMIN,0
GMM00010321,2007-08-31,TMIN,0
GMM00010321,2007-10-17,TMIN,0
GMM00010321,2007-08-21,TMIN,0
GMM00010321,2007-10-03,TMIN,0
GMM00010321,2009-03-07,TMIN,-112
GMM00010321,2008-10-08,TMIN,0
GMM00010321,2007-09-22,TMIN,0
GMM00010321,2013-05-28,TMIN,75
GMM00010321,2008-02-21,TMIN,0
GMM00010321,2009-03-17,TMIN,0
GMM00010321,2008-10-06,TMIN,0
GMM00010321,2009-04-28,TMIN,0
GMM00010321,2007-09-29,TMIN,0
GMM00010321,2009-06-08,TMIN,0
GMM00010321,2008-03-07,TMIN,0
GMM00010321,2013-05-06,TMIN,64
GMM00010321,2009-02-25,TMIN,0
GMM00010321,2009-03-18,TMIN,0
GMM00010321,2008-04-18,TMIN,0
GMM00010321,2009-09-30,TMIN,0
GMM00010321,2009-10-16,TMIN,0
GMM00010321,2009-09-28,TMIN,0
GMM00010321,2009-02-24,TMIN,0
GMM00010321,2009-03-26,TMIN,0
GMM00010321,2009-03-11,TMIN,0
GMM00010321,2013-05-01,TMAX,167
GMM00010321,2013-05-17,TMAX,160
GMM00010321,2007-10-12,TMIN,-4
GMM00010321,2013-05-10,TMAX,168
GMM00010321,2007-05-16,TMIN,-16
GMM00010321,2009-11-01,TMIN,0
GMM00010321,2013-05-04,TMAX,201
GMM00010321,2009-03-08,TMIN,0
GMM00010321,2008-03-16,TMIN,0
GMM00010321,2009-09-14,TMIN,0
GMM00010321,2008-09-18,TMIN,0
GMM00010321,2009-04-20,TMIN,0
GMM00010321,2007-09-14,TMIN,0
GMM00010321,2008-02-18,TMIN,0
GMM00010321,2007-09-06,TMIN,0
GMM00010321,2009-09-11,TMIN,-14
GMM00010321,2009-04-10,TMIN,0
GMM00010321,2009-02-23,TMIN,0
GMM00010321,2013-05-27,TMIN,79
GMM00010321,2013-05-26,TMIN,79
GMM00010321,2009-03-23,TMIN,0
GMM00010321,2009-04-23,TMIN,0
GMM00010321,2009-02-20,TMIN,0
GMM00010321,2007-08-02,TMIN,0
GMM00010321,2008-04-07,TMIN,-131
GMM00010321,2009-02-26,TMIN,0
GMM00010321,2008-02-24,TMIN,0
GMM00010321,2009-05-28,TMIN,0
GMM00010321,2009-05-13,TMIN,0
GMM00010321,2008-02-29,TMIN,0
GMM00010321,2009-10-21,TMIN,0
GMM00010321,2009-04-03,TMIN,0
GMM00010321,2008-10-21,TMIN,0
GMM00010321,2007-08-30,TMIN,0
GMM00010321,2007-10-10,TMIN,0
GMM00010321,2009-10-01,TMIN,0
GMM00010321,2009-10-23,TMIN,0
GMM00010321,2007-10-30,TMIN,-49
GMM00010321,2007-10-21,TMIN,0
GMM00010321,2009-10-13,TMIN,-57
GMM00010321,2013-05-19,TMAX,155
GMM00010321,2008-09-20,TMIN,0
GMM00010321,2008-04-14,TMIN,0
