ID,Date,Element,Data_Value
RSM00028214,2010-05-05,TMIN,105
RSM00028214,2013-08-26,TMIN,58
RSM00028214,2009-12-22,TMIN,-194
RSM00028214,2015-07-16,TMAX,210
RSM00028214,2015-08-26,TMIN,63
RSM00028214,2010-09-06,TMIN,36
RSM00028214,2008-10-17,TMAX,48
RSM00028214,2015-07-31,TMAX,242
RSM00028214,2011-11-14,TMIN,-21
RSM00028214,2007-06-13,TMAX,203
RSM00028214,2008-10-11,TMIN,-15
RSM00028214,2009-09-17,TMAX,180
RSM00028214,2014-04-14,TMIN,-15
RSM00028214,2008-10-11,TMAX,29
RSM00028214,2008-07-09,TMIN,87
RSM00028214,2007-12-15,TMAX,-78
RSM00028214,2009-08-22,TMIN,125
RSM00028214,2015-03-30,TMAX,23
RSM00028214,2011-06-16,TMAX,153
RSM00028214,2015-08-26,TMAX,162
RSM00028214,2012-07-10,TMAX,288
RSM00028214,2011-06-01,TMIN,88
RSM00028214,2012-03-02,TMIN,-52
RSM00028214,2008-03-07,TMIN,-72
RSM00028214,2006-12-04,TMIN,-9
RSM00028214,2011-05-14,TMAX,115
RSM00028214,2009-07-03,TMAX,155
RSM00028214,2007-12-15,TMIN,-140
RSM00028214,2010-05-21,TMAX,236
RSM00028214,2013-07-29,TMIN,125
RSM00028214,2012-09-16,TMIN,98
RSM00028214,2015-04-13,TMAX,87
RSM00028214,2005-03-13,TMAX,-68
RSM00028214,2009-07-25,TMAX,209
RSM00028214,2007-03-12,TMAX,-8
RSM00028214,2008-08-21,TMAX,231
RSM00028214,2008-03-07,TMAX,-13
RSM00028214,2009-08-22,TMAX,282
RSM00028214,2015-06-21,TMAX,321
RSM00028214,2015-03-14,TMIN,-41
RSM00028214,2006-05-06,TMIN,-20
RSM00028214,2015-10-21,TMAX,15
RSM00028214,2011-06-24,TMAX,211
RSM00028214,2013-09-22,TMIN,75
RSM00028214,2010-04-01,TMAX,100
RSM00028214,2014-08-28,TMIN,96
RSM00028214,2011-06-01,TMAX,212
RSM00028214,2010-04-01,TMIN,-65
RSM00028214,2010-05-21,TMIN,40
RSM00028214,2009-06-20,TMAX,196
RSM00028214,2009-04-03,TMAX,14
RSM00028214,2015-07-16,TMIN,58
RSM00028214,2012-12-09,TMAX,-94
RSM00028214,2011-10-21,TMIN,43
RSM00028214,2010-05-19,TMIN,21
RSM00028214,2007-09-17,TMAX,151
RSM00028214,2012-08-17,TMAX,208
RSM00028214,2012-08-26,TMAX,171
RSM00028214,2006-03-15,TMIN,-183
RSM00028214,2012-12-20,TMAX,-261
RSM00028214,2011-11-18,TMIN,-108
RSM00028214,2008-02-07,TMAX,-130
RSM00028214,2010-10-02,TMAX,55
RSM00028214,2007-11-02,TMAX,51
RSM00028214,2009-08-17,TMIN,59
RSM00028214,2011-06-23,TMIN,114
RSM00028214,2006-06-29,TMAX,282
RSM00028214,2007-04-14,TMIN,9
RSM00028214,2013-06-01,TMIN,65
RSM00028214,2007-06-19,TMAX,246
RSM00028214,2011-02-16,TMIN,-260
RSM00028214,2007-04-14,TMAX,43
RSM00028214,2010-10-02,TMIN,-27
RSM00028214,2011-12-11,TMAX,-142
