ID,Date,Element,Data_Value
GME00121114,2007-04-19,TMIN,27
GME00121114,2008-02-17,TMIN,-114
GME00121114,2012-03-08,TMIN,-12
GME00121114,2009-10-27,TMAX,142
GME00121114,2011-04-24,TMIN,61
GME00121114,2015-07-21,TMIN,136
GME00121114,2009-05-12,TMAX,211
GME00121114,2008-03-31,TMIN,-6
GME00121114,2013-12-27,TMIN,-35
GME00121114,2013-11-03,TMIN,-11
GME00121114,2012-12-03,TMIN,-55
GME00121114,2012-11-20,TMAX,108
GME00121114,2006-07-07,TMIN,137
GME00121114,2012-05-25,TMAX,218
GME00121114,2013-11-03,TMAX,98
GME00121114,2008-03-23,TMAX,27
GME00121114,2012-12-03,TMAX,14
GME00121114,2008-03-31,TMAX,91
GME00121114,2012-05-25,TMIN,54
GME00121114,2008-03-23,TMIN,-84
GME00121114,2010-01-01,TMAX,44
GME00121114,2015-07-21,TMAX,308
GME00121114,2009-05-12,TMIN,79
GME00121114,2014-02-27,TMIN,8
GME00121114,2005-01-28,TMAX,-77
GME00121114,2015-03-09,TMIN,-50
GME00121114,2005-01-28,TMIN,-212
GME00121114,2014-03-29,TMAX,186
GME00121114,2005-07-27,TMAX,288
GME00121114,2005-07-27,TMIN,124
GME00121114,2011-03-27,TMAX,131
GME00121114,2011-04-10,TMAX,184
GME00121114,2014-03-29,TMIN,-43
GME00121114,2011-03-27,TMIN,37
GME00121114,2015-12-05,TMIN,-28
GME00121114,2013-06-17,TMAX,333
GME00121114,2008-04-01,TMIN,16
GME00121114,2012-11-20,TMIN,-56
GME00121114,2014-05-28,TMAX,162
GME00121114,2011-02-18,TMAX,41
GME00121114,2013-05-24,TMIN,0
GME00121114,2013-06-17,TMIN,108
GME00121114,2011-02-18,TMIN,-6
GME00121114,2014-05-28,TMIN,79
GME00121114,2007-04-19,TMAX,179
GME00121114,2014-11-09,TMAX,145
GME00121114,2014-02-27,TMAX,81
GME00121114,2012-03-08,TMAX,37
GME00121114,2013-11-25,TMIN,-91
GME00121114,2013-01-12,TMIN,-105
GME00121114,2007-02-10,TMAX,79
GME00121114,2006-07-07,TMAX,176
GME00121114,2013-01-12,TMAX,9
GME00121114,2013-12-27,TMAX,37
GME00121114,2012-08-05,TMIN,136
GME00121114,2014-10-12,TMIN,46
GME00121114,2008-07-26,TMAX,231
GME00121114,2008-10-20,TMAX,195
GME00121114,2010-01-01,TMIN,-35
GME00121114,2013-11-25,TMAX,1
GME00121114,2011-04-21,TMAX,214
GME00121114,2014-10-12,TMAX,215
GME00121114,2012-08-05,TMAX,244
GME00121114,2015-03-09,TMAX,126
GME00121114,2012-09-24,TMAX,184
GME00121114,2008-10-20,TMIN,14
GME00121114,2011-04-21,TMIN,21
GME00121114,2012-09-24,TMIN,80
GME00121114,2009-12-05,TMIN,-57
GME00121114,2009-12-05,TMAX,34
GME00121114,2005-09-04,TMAX,222
GME00121114,2014-11-09,TMIN,-12
GME00121114,2011-04-10,TMIN,7
GME00121114,2008-03-25,TMIN,-40
GME00121114,2008-02-17,TMAX,69
GME00121114,2015-02-13,TMAX,73
GME00121114,2010-10-29,TMIN,-21
GME00121114,2008-10-04,TMIN,-10
GME00121114,2008-10-04,TMAX,39
GME00121114,2013-12-09,TMIN,-112
GME00121114,2013-12-09,TMAX,49
GME00121114,2006-02-21,TMIN,-21
GME00121114,2007-07-21,TMAX,222
GME00121114,2011-04-24,TMAX,158
GME00121114,2014-04-26,TMAX,191
GME00121114,2009-08-18,TMAX,271
GME00121114,2015-02-13,TMIN,-121
GME00121114,2009-08-18,TMIN,136
GME00121114,2011-07-14,TMAX,141
GME00121114,2009-04-27,TMAX,171
GME00121114,2007-07-21,TMIN,151
GME00121114,2015-07-18,TMAX,280
GME00121114,2015-07-18,TMIN,116
GME00121114,2009-04-27,TMIN,29
GME00121114,2007-08-09,TMIN,93
GME00121114,2011-08-08,TMIN,98
GME00121114,2011-09-17,TMAX,239
GME00121114,2007-08-09,TMAX,144
GME00121114,2011-06-17,TMIN,116
GME00121114,2011-07-14,TMIN,105
GME00121114,2011-06-17,TMAX,224
GME00121114,2014-11-29,TMIN,-21
GME00121114,2014-11-29,TMAX,95
GME00121114,2013-07-19,TMAX,252
GME00121114,2014-01-03,TMIN,-52
GME00121114,2012-08-18,TMAX,292
GME00121114,2011-12-26,TMIN,-81
GME00121114,2012-04-09,TMAX,86
GME00121114,2012-12-27,TMAX,87
GME00121114,2010-08-17,TMAX,171
GME00121114,2005-02-20,TMAX,-8
GME00121114,2012-08-18,TMIN,84
GME00121114,2010-08-17,TMIN,105
GME00121114,2012-04-09,TMIN,-89
GME00121114,2012-12-20,TMAX,14
GME00121114,2009-02-23,TMAX,18
GME00121114,2009-02-23,TMIN,-8
GME00121114,2012-12-27,TMIN,-27
GME00121114,2006-02-19,TMIN,-64
GME00121114,2012-06-28,TMIN,102
GME00121114,2012-06-28,TMAX,281
GME00121114,2014-04-26,TMIN,78
GME00121114,2015-04-02,TMIN,-15
GME00121114,2006-02-21,TMAX,74
GME00121114,2010-10-29,TMAX,177
GME00121114,2012-12-20,TMIN,-138
GME00121114,2005-02-20,TMIN,-55
GME00121114,2006-02-19,TMAX,98
GME00121114,2011-08-08,TMAX,150
GME00121114,2015-06-21,TMAX,140
GME00121114,2014-09-16,TMIN,78
GME00121114,2006-05-16,TMAX,210
GME00121114,2015-09-07,TMAX,157
GME00121114,2011-10-24,TMIN,-64
GME00121114,2014-06-04,TMIN,50
GME00121114,2006-05-16,TMIN,92
GME00121114,2015-07-17,TMIN,142
GME00121114,2015-07-17,TMAX,326
GME00121114,2011-10-24,TMAX,148
GME00121114,2006-06-14,TMAX,268
GME00121114,2009-05-06,TMIN,56
GME00121114,2014-06-04,TMAX,190
GME00121114,2015-04-08,TMAX,135
GME00121114,2005-05-04,TMAX,127
GME00121114,2005-05-04,TMIN,65
GME00121114,2006-06-14,TMIN,83
GME00121114,2006-05-23,TMAX,97
GME00121114,2006-11-26,TMAX,160
GME00121114,2009-05-06,TMAX,177
GME00121114,2009-03-09,TMAX,34
GME00121114,2013-08-27,TMIN,104
GME00121114,2006-11-03,TMIN,-46
GME00121114,2005-09-03,TMAX,245
GME00121114,2005-09-03,TMIN,104
GME00121114,2009-03-09,TMIN,-19
GME00121114,2015-09-07,TMIN,28
GME00121114,2015-09-08,TMIN,20
GME00121114,2005-05-06,TMAX,67
GME00121114,2015-09-08,TMAX,176
GME00121114,2015-06-21,TMIN,75
GME00121114,2007-02-16,TMIN,-62
GME00121114,2014-09-16,TMAX,224
GME00121114,2007-02-16,TMAX,108
GME00121114,2011-11-03,TMIN,-19
GME00121114,2011-11-03,TMAX,198
GME00121114,2011-04-06,TMAX,201
GME00121114,2010-11-06,TMAX,145
GME00121114,2010-11-06,TMIN,24
GME00121114,2011-04-06,TMIN,44
GME00121114,2009-03-21,TMIN,-144
GME00121114,2009-03-21,TMAX,23
GME00121114,2010-01-08,TMAX,-25
GME00121114,2010-01-08,TMIN,-78
GME00121114,2011-09-17,TMIN,125
GME00121114,2010-05-12,TMIN,74
GME00121114,2013-12-14,TMAX,49
GME00121114,2007-03-01,TMIN,14
GME00121114,2007-03-01,TMAX,93
GME00121114,2015-08-21,TMIN,69
GME00121114,2013-12-14,TMIN,-112
GME00121114,2010-05-12,TMAX,144
GME00121114,2009-07-11,TMIN,65
GME00121114,2015-04-08,TMIN,-55
GME00121114,2015-08-21,TMAX,212
GME00121114,2011-12-26,TMAX,42
GME00121114,2014-01-03,TMAX,68
GME00121114,2015-04-02,TMAX,49
GME00121114,2009-05-14,TMIN,82
GME00121114,2006-06-19,TMIN,108
GME00121114,2012-04-28,TMIN,61
GME00121114,2012-04-28,TMAX,264
GME00121114,2007-08-21,TMAX,169
GME00121114,2005-06-12,TMAX,178
GME00121114,2005-06-12,TMIN,82
