ID,Date,Element,Data_Value
RSM00031655,2007-10-22,TMAX,26
RSM00031655,2009-01-22,TMIN,-270
RSM00031655,2010-02-20,TMAX,-121
RSM00031655,2007-02-27,TMAX,-71
RSM00031655,2010-06-15,TMAX,308
RSM00031655,2010-11-18,TMAX,-13
RSM00031655,2010-03-17,TMIN,-199
RSM00031655,2008-07-06,TMAX,320
RSM00031655,2013-05-05,TMIN,17
RSM00031655,2008-07-06,TMIN,231
RSM00031655,2008-11-16,TMAX,-10
RSM00031655,2014-02-28,TMIN,-201
RSM00031655,2007-07-18,TMAX,266
RSM00031655,2010-03-17,TMAX,-84
RSM00031655,2013-02-17,TMAX,-170
RSM00031655,2011-05-28,TMAX,247
RSM00031655,2013-02-02,TMAX,-147
RSM00031655,2009-01-28,TMIN,-280
RSM00031655,2008-07-15,TMAX,291
RSM00031655,2013-04-27,TMAX,95
RSM00031655,2009-08-26,TMIN,165
RSM00031655,2010-10-14,TMAX,115
RSM00031655,2010-12-19,TMIN,-226
RSM00031655,2010-11-11,TMAX,-18
RSM00031655,2013-09-18,TMIN,43
RSM00031655,2011-11-07,TMAX,44
RSM00031655,2011-11-18,TMIN,-125
RSM00031655,2011-11-18,TMAX,-49
RSM00031655,2012-02-12,TMIN,-263
RSM00031655,2010-04-14,TMIN,-77
RSM00031655,2007-05-28,TMIN,62
RSM00031655,2009-10-30,TMAX,-23
RSM00031655,2009-01-07,TMAX,-150
RSM00031655,2007-06-02,TMAX,302
RSM00031655,2010-04-19,TMAX,108
RSM00031655,2008-04-13,TMIN,-6
RSM00031655,2011-09-11,TMIN,95
RSM00031655,2011-06-11,TMAX,156
RSM00031655,2014-12-14,TMAX,-214
RSM00031655,2014-12-02,TMIN,-170
RSM00031655,2013-02-16,TMIN,-245
RSM00031655,2011-12-23,TMIN,-214
RSM00031655,2013-08-09,TMIN,172
RSM00031655,2015-07-04,TMAX,207
RSM00031655,2013-02-17,TMIN,-262
RSM00031655,2006-12-13,TMAX,-102
RSM00031655,2007-05-28,TMAX,226
RSM00031655,2011-10-23,TMAX,89
RSM00031655,2009-04-26,TMAX,131
RSM00031655,2011-12-23,TMAX,-122
RSM00031655,2005-10-16,TMIN,18
RSM00031655,2013-05-18,TMIN,122
RSM00031655,2005-10-16,TMAX,130
RSM00031655,2008-05-16,TMIN,112
RSM00031655,2013-08-23,TMIN,186
RSM00031655,2014-12-14,TMIN,-257
RSM00031655,2007-06-28,TMAX,237
RSM00031655,2008-05-16,TMAX,254
RSM00031655,2015-09-01,TMAX,257
RSM00031655,2009-01-22,TMAX,-157
RSM00031655,2012-09-28,TMAX,148
RSM00031655,2015-09-01,TMIN,161
RSM00031655,2008-04-13,TMAX,152
RSM00031655,2010-03-02,TMAX,-113
RSM00031655,2006-08-26,TMIN,153
RSM00031655,2009-04-30,TMAX,220
RSM00031655,2015-03-04,TMIN,-234
RSM00031655,2006-08-26,TMAX,281
RSM00031655,2011-09-11,TMAX,217
RSM00031655,2007-01-04,TMAX,-103
RSM00031655,2015-07-04,TMIN,79
RSM00031655,2013-03-29,TMIN,-175
