ID,Date,Element,Data_Value
NZ000939450,2005-02-16,TMAX,120
NZ000939450,2005-08-23,TMAX,87
NZ000939450,2005-06-13,TMIN,63
NZ000939450,2005-03-20,TMAX,104
NZ000939450,2005-08-23,TMIN,29
NZ000939450,2005-09-29,TMAX,85
NZ000939450,2005-12-09,TMAX,131
NZ000939450,2005-09-29,TMIN,34
NZ000939450,2005-06-19,TMIN,62
NZ000939450,2015-12-30,TMIN,67
NZ000939450,2005-03-29,TMIN,51
NZ000939450,2005-03-20,TMIN,80
NZ000939450,2005-06-05,TMAX,84
NZ000939450,2005-04-17,TMIN,37
NZ000939450,2005-05-23,TMAX,95
NZ000939450,2005-02-22,TMIN,62
NZ000939450,2005-10-23,TMAX,99
NZ000939450,2005-07-14,TMIN,-18
NZ000939450,2005-07-14,TMAX,42
NZ000939450,2005-08-27,TMAX,83
NZ000939450,2005-05-23,TMIN,51
NZ000939450,2005-03-29,TMAX,86
NZ000939450,2005-12-12,TMIN,70
NZ000939450,2005-12-12,TMAX,161
NZ000939450,2005-12-03,TMAX,103
NZ000939450,2005-02-16,TMIN,80
NZ000939450,2005-12-22,TMAX,151
NZ000939450,2005-09-03,TMAX,78
NZ000939450,2005-08-22,TMIN,30
NZ000939450,2005-10-20,TMAX,92
NZ000939450,2005-12-22,TMIN,95
NZ000939450,2005-06-19,TMAX,80
NZ000939450,2005-11-02,TMIN,56
NZ000939450,2005-08-12,TMIN,32
NZ000939450,2005-08-11,TMAX,101
NZ000939450,2005-06-02,TMAX,31
NZ000939450,2015-12-11,TMIN,70
NZ000939450,2005-10-25,TMIN,83
NZ000939450,2005-04-22,TMAX,105
NZ000939450,2005-03-13,TMIN,73
NZ000939450,2005-01-15,TMIN,84
NZ000939450,2005-10-25,TMAX,108
NZ000939450,2005-06-02,TMIN,-20
NZ000939450,2005-08-11,TMIN,56
NZ000939450,2005-04-22,TMIN,20
NZ000939450,2005-02-01,TMIN,105
NZ000939450,2005-10-20,TMIN,44
NZ000939450,2005-08-20,TMAX,99
NZ000939450,2005-04-07,TMAX,80
NZ000939450,2005-02-22,TMAX,120
NZ000939450,2005-09-03,TMIN,43
NZ000939450,2005-12-03,TMIN,47
NZ000939450,2005-08-03,TMAX,92
NZ000939450,2005-03-13,TMAX,125
NZ000939450,2005-05-31,TMIN,47
NZ000939450,2005-08-20,TMIN,58
NZ000939450,2005-04-07,TMIN,43
NZ000939450,2005-11-03,TMAX,79
NZ000939450,2005-06-25,TMAX,66
NZ000939450,2005-06-30,TMAX,83
NZ000939450,2005-07-28,TMIN,20
NZ000939450,2005-06-30,TMIN,32
NZ000939450,2005-07-28,TMAX,65
NZ000939450,2005-02-23,TMAX,130
NZ000939450,2005-01-04,TMIN,46
NZ000939450,2005-09-13,TMIN,63
NZ000939450,2005-06-06,TMAX,75
